Latitude,Longitude,Elevation
38.24079000,-78.7099500,792.0
38.24023000,-78.7108000,793.0
38.24020000,-78.7108100,793.0
38.24017000,-78.7108200,794.0
38.24015000,-78.7108400,794.0
38.24012000,-78.7108500,794.0
38.24015000,-78.7108400,794.0
38.24017000,-78.7108400,794.0
38.24015000,-78.7108400,794.0
38.24013000,-78.7108400,794.0
38.24010000,-78.7108500,794.0
38.24007000,-78.7108500,795.0
38.24005000,-78.7108600,795.0
38.24002000,-78.7108400,795.0
38.23998000,-78.7108000,796.0
38.23997000,-78.7107700,796.0
38.23997000,-78.7107300,796.0
38.23997000,-78.7106800,796.0
38.24000000,-78.7106200,795.0
38.23995000,-78.7106300,796.0
38.23993000,-78.7106200,796.0
38.23990000,-78.7106200,797.0
38.23988000,-78.7106000,797.0
38.23986000,-78.7105800,797.0
38.23985000,-78.7105500,796.0
38.23981000,-78.7105500,797.0
38.23978000,-78.7105500,797.0
38.23975000,-78.7105200,797.0
38.23971000,-78.7105200,797.0
38.23967000,-78.7105100,798.0
38.23964000,-78.7104900,798.0
38.23962000,-78.7104900,799.0
38.23960000,-78.7104900,799.0
38.23957000,-78.7104500,799.0
38.23955000,-78.7104400,799.0
38.23953000,-78.7104100,799.0
38.23951000,-78.7104200,800.0
38.23950000,-78.7103900,799.0
38.23947000,-78.7103800,800.0
38.23943000,-78.7103200,800.0
38.23942000,-78.7103000,800.0
38.23937000,-78.7102800,801.0
38.23935000,-78.7102600,802.0
38.23932000,-78.7102400,803.0
38.23926000,-78.7102400,805.0
38.23923000,-78.7102400,806.0
38.23920000,-78.7102300,807.0
38.23915000,-78.7102300,808.0
38.23912000,-78.7102500,809.0
38.23909000,-78.7102500,810.0
38.23906000,-78.7102500,811.0
38.23903000,-78.7102400,811.0
38.23899000,-78.7102200,812.0
38.23896000,-78.7101900,812.0
38.23895000,-78.7101600,812.0
38.23893000,-78.7101400,812.0
38.23891000,-78.7101100,812.0
38.23887000,-78.7101100,813.0
38.23885000,-78.7101200,813.0
38.23881000,-78.7101100,814.0
38.23878000,-78.7101100,815.0
38.23874000,-78.7101100,815.0
38.23871000,-78.7101100,816.0
38.23868000,-78.7101100,816.0
38.23866000,-78.7101300,817.0
38.23864000,-78.7101200,817.0
38.23862000,-78.7101200,818.0
38.23859000,-78.7101400,819.0
38.23857000,-78.7101500,819.0
38.23854000,-78.7101600,820.0
38.23851000,-78.7101600,820.0
38.23848000,-78.7101500,820.0
38.23848000,-78.7101200,819.0
38.23844000,-78.7101300,820.0
38.23842000,-78.7101300,820.0
38.23839000,-78.7101500,821.0
38.23837000,-78.7101600,821.0
38.23835000,-78.7101700,822.0
38.23830000,-78.7101800,823.0
38.23826000,-78.7101800,823.0
38.23824000,-78.7101800,823.0
38.23822000,-78.7101700,823.0
38.23820000,-78.7101500,822.0
38.23816000,-78.7101600,823.0
38.23812000,-78.7101600,823.0
38.23809000,-78.7101700,824.0
38.23808000,-78.7102100,825.0
38.23805000,-78.7102200,826.0
38.23803000,-78.7102300,826.0
38.23800000,-78.7102600,826.0
38.23798000,-78.7102600,826.0
38.23794000,-78.7102700,827.0
38.23792000,-78.7102900,827.0
38.23789000,-78.7103100,827.0
38.23787000,-78.7103300,827.0
38.23782000,-78.7103800,828.0
38.23780000,-78.7104000,828.0
38.23779000,-78.7104200,828.0
38.23776000,-78.7104800,829.0
38.23774000,-78.7105100,829.0
38.23773000,-78.7105300,829.0
38.23770000,-78.7105600,829.0
38.23769000,-78.7105900,830.0
38.23767000,-78.7106300,830.0
38.23766000,-78.7106600,830.0
38.23765000,-78.7107100,831.0
38.23764000,-78.7107400,831.0
38.23763000,-78.7107700,832.0
38.23763000,-78.7108100,832.0
38.23762000,-78.7108500,833.0
38.23762000,-78.7108800,833.0
38.23761000,-78.7109300,833.0
38.23760000,-78.7109600,833.0
38.23759000,-78.7110000,833.0
38.23759000,-78.7110300,833.0
38.23759000,-78.7110700,834.0
38.23761000,-78.7111000,835.0
38.23760000,-78.7111400,835.0
38.23760000,-78.7111900,835.0
38.23761000,-78.7112200,836.0
38.23761000,-78.7112600,836.0
38.23760000,-78.7112900,836.0
38.23759000,-78.7113300,836.0
38.23758000,-78.7113700,836.0
38.23756000,-78.7114200,836.0
38.23755000,-78.7114700,836.0
38.23755000,-78.7115100,837.0
38.23755000,-78.7115500,837.0
38.23753000,-78.7115900,837.0
38.23752000,-78.7116300,837.0
38.23751000,-78.7116700,838.0
38.23748000,-78.7117000,837.0
38.23745000,-78.7117400,836.0
38.23744000,-78.7117800,836.0
38.23742000,-78.7118200,836.0
38.23741000,-78.7118600,837.0
38.23742000,-78.7119000,837.0
38.23742000,-78.7119300,838.0
38.23741000,-78.7119700,838.0
38.23740000,-78.7120000,837.0
38.23740000,-78.7120500,838.0
38.23739000,-78.7120900,837.0
38.23739000,-78.7121300,837.0
38.23738000,-78.7121700,837.0
38.23738000,-78.7122000,837.0
