Latitude,Longitude,Elevation
37.50770000,-79.5240200,1056.0
37.50794000,-79.5240300,1057.0
37.50798000,-79.5239900,1057.0
37.50802000,-79.5239500,1057.0
37.50807000,-79.5239100,1057.0
37.50810000,-79.5238700,1057.0
37.50813000,-79.5238300,1056.0
37.50816000,-79.5237800,1056.0
37.50819000,-79.5237300,1056.0
37.50822000,-79.5236700,1056.0
37.50826000,-79.5236200,1056.0
37.50829000,-79.5235800,1055.0
37.50833000,-79.5235200,1055.0
37.50836000,-79.5234700,1054.0
37.50840000,-79.5234300,1053.0
37.50845000,-79.5233900,1052.0
37.50848000,-79.5233500,1051.0
37.50852000,-79.5233000,1051.0
37.50855000,-79.5232400,1051.0
37.50857000,-79.5231900,1051.0
37.50861000,-79.5231400,1051.0
37.50863000,-79.5230700,1051.0
37.50866000,-79.5230200,1050.0
37.50868000,-79.5229600,1050.0
37.50871000,-79.5229200,1049.0
37.50876000,-79.5228700,1048.0
37.50880000,-79.5228300,1046.0
37.50883000,-79.5227900,1046.0
37.50888000,-79.5227500,1044.0
37.50891000,-79.5227100,1044.0
37.50896000,-79.5226800,1043.0
37.50899000,-79.5226300,1043.0
37.50903000,-79.5225900,1042.0
37.50907000,-79.5225500,1042.0
37.50912000,-79.5225100,1041.0
37.50916000,-79.5224800,1040.0
37.50920000,-79.5224500,1040.0
37.50924000,-79.5224300,1039.0
37.50931000,-79.5224100,1038.0
37.50936000,-79.5223900,1038.0
37.50941000,-79.5223900,1037.0
37.50948000,-79.5223900,1036.0
37.50953000,-79.5223900,1036.0
37.50957000,-79.5224000,1036.0
37.50971000,-79.5225500,1031.0
37.50974000,-79.5226000,1029.0
37.50977000,-79.5226600,1027.0
37.50979000,-79.5227100,1026.0
37.50982000,-79.5227800,1024.0
37.50984000,-79.5228400,1023.0
37.50987000,-79.5228800,1022.0
37.50991000,-79.5229200,1022.0
37.50994000,-79.5229700,1021.0
37.50998000,-79.5230100,1021.0
37.51002000,-79.5230600,1021.0
37.51007000,-79.5231000,1021.0
37.51010000,-79.5231500,1020.0
37.51014000,-79.5231900,1020.0
37.51017000,-79.5232600,1018.0
37.51017000,-79.5233200,1017.0
37.51016000,-79.5233800,1015.0
37.51010000,-79.5234000,1014.0
37.51005000,-79.5233900,1013.0
37.50999000,-79.5234000,1013.0
37.50994000,-79.5234200,1012.0
37.50992000,-79.5234800,1010.0
37.50994000,-79.5235400,1008.0
37.50999000,-79.5236000,1007.0
37.51002000,-79.5236400,1006.0
37.51008000,-79.5236800,1005.0
37.51012000,-79.5237100,1004.0
37.51016000,-79.5237300,1004.0
37.51022000,-79.5237700,1003.0
37.51026000,-79.5237900,1002.0
37.51030000,-79.5238100,1001.0
37.51035000,-79.5238300,1000.0
37.51040000,-79.5238800,998.0
37.51045000,-79.5239200,996.0
37.51048000,-79.5239700,995.0
37.51052000,-79.5240100,994.0
37.51058000,-79.5240800,992.0
37.51061000,-79.5241300,991.0
37.51066000,-79.5241800,990.0
37.51070000,-79.5242200,989.0
37.51074000,-79.5242600,988.0
37.51078000,-79.5243200,986.0
37.51082000,-79.5243600,985.0
37.51088000,-79.5244200,983.0
37.51093000,-79.5244500,981.0
37.51097000,-79.5244900,980.0
37.51102000,-79.5245200,979.0
37.51107000,-79.5245500,978.0
37.51112000,-79.5245700,978.0
37.51117000,-79.5246000,977.0
37.51121000,-79.5246300,976.0
37.51125000,-79.5246700,975.0
37.51129000,-79.5247200,974.0
37.51128000,-79.5247800,973.0
37.51124000,-79.5248400,973.0
37.51121000,-79.5249000,972.0
37.51117000,-79.5249400,972.0
37.51112000,-79.5249800,973.0
37.51108000,-79.5250100,972.0
37.51101000,-79.5250300,972.0
37.51096000,-79.5250400,972.0
37.51090000,-79.5250500,971.0
37.51086000,-79.5250800,971.0
37.51082000,-79.5251300,970.0
37.51084000,-79.5251800,969.0
37.51089000,-79.5252400,968.0
37.51095000,-79.5252700,966.0
37.51099000,-79.5253100,964.0
37.51104000,-79.5253300,963.0
37.51109000,-79.5253500,961.0
37.51114000,-79.5253600,960.0
37.51118000,-79.5253800,959.0
37.51123000,-79.5254300,957.0
37.51126000,-79.5254700,955.0
37.51128000,-79.5255000,954.0
37.51142000,-79.5256500,949.0
