Latitude,Longitude,Elevation
39.13024000,-77.5306000,100.0
39.13024000,-77.5305800,100.0
39.12986000,-77.5307100,96.0
39.12981000,-77.5307500,95.0
39.12976000,-77.5307800,95.0
39.12971000,-77.5308000,94.0
39.12966000,-77.5308000,94.0
39.12961000,-77.5308000,93.0
39.12956000,-77.5308000,92.0
39.12949000,-77.5308000,92.0
39.12944000,-77.5307800,91.0
39.12939000,-77.5307800,91.0
39.12933000,-77.5307800,90.0
39.12928000,-77.5307800,90.0
39.12923000,-77.5307800,90.0
39.12918000,-77.5307800,89.0
39.12913000,-77.5307300,89.0
39.12911000,-77.5306700,88.0
39.12909000,-77.5306000,88.0
39.12906000,-77.5305600,88.0
39.12903000,-77.5305000,88.0
39.12899000,-77.5304300,87.0
39.12896000,-77.5303500,87.0
39.12893000,-77.5303000,87.0
39.12890000,-77.5302400,86.0
39.12888000,-77.5301700,85.0
39.12885000,-77.5301300,85.0
39.12880000,-77.5300900,85.0
39.12875000,-77.5300500,86.0
39.12870000,-77.5300200,86.0
39.12861000,-77.5298300,86.0
39.12861000,-77.5297700,86.0
39.12866000,-77.5297000,85.0
39.12868000,-77.5296400,84.0
39.12871000,-77.5295900,84.0
39.12873000,-77.5295300,83.0
39.12875000,-77.5294700,83.0
39.12876000,-77.5294000,82.0
39.12875000,-77.5293400,83.0
39.12873000,-77.5292500,83.0
39.12870000,-77.5291900,83.0
39.12868000,-77.5291200,84.0
39.12866000,-77.5290600,85.0
39.12865000,-77.5289900,86.0
39.12865000,-77.5289300,87.0
39.12865000,-77.5288700,88.0
39.12863000,-77.5287800,90.0
39.12865000,-77.5286500,92.0
39.12865000,-77.5285900,93.0
39.12866000,-77.5285200,93.0
39.12866000,-77.5284400,93.0
39.12866000,-77.5283700,94.0
39.12866000,-77.5283100,94.0
39.12866000,-77.5282400,93.0
39.12865000,-77.5281800,93.0
39.12865000,-77.5281100,92.0
39.12863000,-77.5280500,92.0
39.12860000,-77.5279600,92.0
39.12858000,-77.5279000,92.0
39.12855000,-77.5277700,91.0
39.12851000,-77.5277100,92.0
39.12850000,-77.5276400,91.0
39.12848000,-77.5275800,91.0
39.12843000,-77.5275300,92.0
39.12840000,-77.5274900,92.0
39.12836000,-77.5274500,93.0
