Latitude,Longitude,Elevation
38.45239000,-78.4669000,1009.0
38.45241000,-78.4669400,1008.0
38.45237000,-78.4666500,1011.0
38.45235000,-78.4665700,1013.0
38.45234000,-78.4665000,1014.0
38.45232000,-78.4664400,1016.0
38.45232000,-78.4663700,1018.0
38.45232000,-78.4663100,1019.0
38.45232000,-78.4662200,1021.0
38.45232000,-78.4661400,1023.0
38.45231000,-78.4660700,1025.0
38.45230000,-78.4660000,1026.0
38.45230000,-78.4659300,1027.0
38.45229000,-78.4658400,1029.0
38.45228000,-78.4657800,1029.0
38.45227000,-78.4657100,1030.0
38.45226000,-78.4656500,1031.0
38.45224000,-78.4655900,1032.0
38.45222000,-78.4655400,1033.0
38.45218000,-78.4654900,1033.0
38.45213000,-78.4654600,1033.0
38.45208000,-78.4654200,1034.0
38.45204000,-78.4654100,1034.0
38.45199000,-78.4654000,1035.0
38.45194000,-78.4653900,1035.0
38.45190000,-78.4653500,1036.0
38.45185000,-78.4653200,1037.0
38.45182000,-78.4652800,1037.0
38.45169000,-78.4651900,1038.0
38.45164000,-78.4651700,1039.0
38.45160000,-78.4651400,1039.0
38.45156000,-78.4651100,1039.0
38.45146000,-78.4651000,1040.0
38.45135000,-78.4651500,1042.0
38.45130000,-78.4651800,1043.0
38.45126000,-78.4652100,1043.0
38.45120000,-78.4652500,1043.0
38.45115000,-78.4652700,1043.0
38.45111000,-78.4652800,1043.0
38.45104000,-78.4653000,1044.0
38.45097000,-78.4653200,1045.0
38.45090000,-78.4653200,1045.0
38.45082000,-78.4653500,1046.0
38.45078000,-78.4653600,1046.0
38.45073000,-78.4653600,1046.0
38.45066000,-78.4653500,1046.0
38.45061000,-78.4653600,1046.0
38.45056000,-78.4654200,1046.0
38.45052000,-78.4654600,1045.0
38.45047000,-78.4654700,1045.0
38.45046000,-78.4654700,1045.0
38.45028000,-78.4654800,1045.0
38.45023000,-78.4654900,1046.0
38.45011000,-78.4655500,1047.0
38.44999000,-78.4655800,1047.0
38.44991000,-78.4655300,1049.0
38.44982000,-78.4655500,1050.0
38.44976000,-78.4656200,1050.0
38.44973000,-78.4656600,1051.0
38.44968000,-78.4656500,1052.0
38.44958000,-78.4656000,1054.0
38.44953000,-78.4655800,1055.0
38.44949000,-78.4655600,1056.0
38.44940000,-78.4655500,1057.0
38.44935000,-78.4655600,1057.0
38.44930000,-78.4655700,1058.0
38.44921000,-78.4655700,1059.0
38.44896000,-78.4654700,1060.0
38.44891000,-78.4654600,1060.0
38.44880000,-78.4654600,1061.0
38.44868000,-78.4654700,1062.0
38.44859000,-78.4654900,1064.0
38.44848000,-78.4655000,1067.0
38.44837000,-78.4654800,1071.0
38.44832000,-78.4654900,1072.0
38.44826000,-78.4655000,1074.0
38.44815000,-78.4654900,1077.0
38.44805000,-78.4654600,1080.0
38.44799000,-78.4654400,1081.0
38.44792000,-78.4654400,1082.0
38.44772000,-78.4654700,1084.0
38.44767000,-78.4654700,1085.0
38.44759000,-78.4654900,1086.0
38.44754000,-78.4655100,1086.0
38.44746000,-78.4655600,1087.0
38.44743000,-78.4656200,1086.0
38.44741000,-78.4656800,1085.0
38.44740000,-78.4657300,1084.0
38.44738000,-78.4656600,1085.0
38.44737000,-78.4655900,1086.0
38.44736000,-78.4655300,1087.0
38.44735000,-78.4654700,1087.0
38.44735000,-78.4654100,1087.0
38.44735000,-78.4653400,1087.0
38.44736000,-78.4652800,1087.0
38.44736000,-78.4652000,1087.0
38.44734000,-78.4651100,1087.0
38.44732000,-78.4650500,1087.0
38.44730000,-78.4649900,1087.0
38.44728000,-78.4649300,1087.0
38.44725000,-78.4648700,1087.0
38.44720000,-78.4648400,1087.0
38.44717000,-78.4648100,1087.0
38.44711000,-78.4647700,1087.0
38.44703000,-78.4647600,1087.0
38.44696000,-78.4647700,1087.0
38.44691000,-78.4647800,1087.0
38.44685000,-78.4648200,1086.0
38.44679000,-78.4648500,1085.0
38.44672000,-78.4650300,1084.0
38.44672000,-78.4651000,1084.0
38.44675000,-78.4652300,1084.0
38.44682000,-78.4654200,1083.0
38.44687000,-78.4654800,1084.0
38.44692000,-78.4655500,1085.0
38.44698000,-78.4656400,1084.0
38.44702000,-78.4656900,1083.0
38.44710000,-78.4657800,1082.0
38.44718000,-78.4658700,1081.0
38.44722000,-78.4659100,1080.0
38.44727000,-78.4659500,1078.0
38.44734000,-78.4660300,1075.0
38.44740000,-78.4660700,1073.0
38.44746000,-78.4660700,1073.0
38.44759000,-78.4660800,1072.0
38.44772000,-78.4661000,1071.0
38.44777000,-78.4661000,1071.0
38.44783000,-78.4661000,1070.0
38.44798000,-78.4660300,1071.0
38.44805000,-78.4660200,1071.0
38.44809000,-78.4659800,1071.0
38.44813000,-78.4659500,1071.0
38.44827000,-78.4658300,1070.0
38.44827000,-78.4658200,1071.0
38.44851000,-78.4657200,1065.0
38.44856000,-78.4657100,1064.0
38.44876000,-78.4657400,1061.0
38.44895000,-78.4658400,1058.0
38.44901000,-78.4658500,1057.0
38.44909000,-78.4658800,1056.0
38.44916000,-78.4659000,1054.0
38.44935000,-78.4659300,1052.0
38.44954000,-78.4659500,1049.0
38.44980000,-78.4660400,1045.0
38.44990000,-78.4660900,1042.0
38.45021000,-78.4661200,1039.0
38.45029000,-78.4660800,1039.0
38.45054000,-78.4660600,1038.0
38.45080000,-78.4659000,1040.0
38.45081000,-78.4658900,1040.0
38.45106000,-78.4658500,1039.0
38.45127000,-78.4658100,1039.0
38.45139000,-78.4657500,1040.0
38.45153000,-78.4656900,1040.0
38.45159000,-78.4656900,1039.0
38.45176000,-78.4655800,1038.0
38.45195000,-78.4654100,1035.0
38.45204000,-78.4653900,1034.0
38.45224000,-78.4655600,1032.0
38.45227000,-78.4656100,1031.0
38.45234000,-78.4659300,1027.0
38.45235000,-78.4661400,1022.0
38.45235000,-78.4662100,1021.0
38.45234000,-78.4664900,1015.0
38.45236000,-78.4666700,1011.0
38.45237000,-78.4668200,1009.0
38.45239000,-78.4669000,1009.0
