Latitude,Longitude,Elevation
39.11542000,-77.8472000,332.0
39.11549000,-77.8471500,332.0
39.11540000,-77.8471800,332.0
39.11534000,-77.8472700,332.0
39.11524000,-77.8473000,332.0
39.11515000,-77.8473500,334.0
39.11505000,-77.8473600,335.0
39.11496000,-77.8474000,336.0
39.11486000,-77.8474500,338.0
39.11477000,-77.8474200,340.0
39.11468000,-77.8474800,342.0
39.11459000,-77.8475300,343.0
39.11459000,-77.8476500,342.0
39.11463000,-77.8477700,342.0
39.11465000,-77.8479000,341.0
39.11458000,-77.8479800,341.0
39.11457000,-77.8481100,340.0
39.11454000,-77.8482300,339.0
39.11452000,-77.8483500,339.0
39.11446000,-77.8484600,339.0
39.11440000,-77.8485700,340.0
39.11438000,-77.8486900,340.0
39.11434000,-77.8488000,340.0
39.11430000,-77.8489300,339.0
39.11428000,-77.8490500,338.0
39.11428000,-77.8491700,337.0
39.11434000,-77.8492600,337.0
39.11440000,-77.8493700,336.0
39.11438000,-77.8495000,335.0
39.11434000,-77.8496100,335.0
39.11434000,-77.8497300,335.0
39.11431000,-77.8498500,335.0
39.11434000,-77.8499700,335.0
39.11438000,-77.8500800,336.0
39.11439000,-77.8502000,337.0
39.11434000,-77.8503000,339.0
39.11431000,-77.8504300,342.0
39.11429000,-77.8505400,344.0
39.11420000,-77.8505500,345.0
39.11410000,-77.8505700,346.0
39.11408000,-77.8506800,347.0
39.11412000,-77.8507900,348.0
39.11412000,-77.8509100,349.0
39.11408000,-77.8510200,351.0
39.11400000,-77.8510800,353.0
39.11393000,-77.8511700,355.0
39.11403000,-77.8512000,354.0
39.11414000,-77.8512000,352.0
39.11410000,-77.8513100,355.0
39.11406000,-77.8514300,357.0
39.11401000,-77.8515200,360.0
39.11393000,-77.8516000,363.0
39.11385000,-77.8516700,365.0
39.11377000,-77.8517200,366.0
39.11386000,-77.8517800,366.0
39.11396000,-77.8517800,364.0
39.11405000,-77.8518000,363.0
39.11412000,-77.8518900,363.0
39.11417000,-77.8520100,363.0
39.11424000,-77.8520900,362.0
39.11425000,-77.8522100,363.0
39.11422000,-77.8523300,365.0
39.11416000,-77.8524500,368.0
39.11413000,-77.8525700,370.0
39.11404000,-77.8526200,371.0
39.11396000,-77.8526700,373.0
39.11389000,-77.8527500,375.0
39.11399000,-77.8528200,375.0
39.11407000,-77.8528700,374.0
39.11415000,-77.8529500,374.0
39.11420000,-77.8530500,374.0
39.11419000,-77.8531700,376.0
39.11419000,-77.8532900,376.0
39.11423000,-77.8534200,376.0
39.11430000,-77.8535200,375.0
39.11434000,-77.8536300,374.0
39.11436000,-77.8537500,373.0
39.11433000,-77.8538600,374.0
39.11426000,-77.8539600,376.0
39.11424000,-77.8540800,376.0
39.11421000,-77.8542000,376.0
39.11413000,-77.8542600,378.0
39.11402000,-77.8543300,381.0
39.11391000,-77.8544300,384.0
39.11381000,-77.8544700,386.0
39.11375000,-77.8545800,385.0
39.11369000,-77.8546900,385.0
39.11362000,-77.8548100,386.0
39.11358000,-77.8549300,385.0
39.11350000,-77.8550000,386.0
39.11342000,-77.8550700,386.0
39.11333000,-77.8551400,388.0
39.11325000,-77.8552000,388.0
39.11315000,-77.8552800,389.0
39.11306000,-77.8553200,391.0
39.11298000,-77.8554000,391.0
39.11289000,-77.8554200,393.0
39.11280000,-77.8554800,395.0
39.11271000,-77.8555500,396.0
39.11265000,-77.8556500,393.0
39.11257000,-77.8557200,392.0
39.11247000,-77.8557700,393.0
39.11238000,-77.8558100,393.0
39.11233000,-77.8559200,389.0
39.11223000,-77.8559800,389.0
39.11215000,-77.8560500,386.0
39.11207000,-77.8561000,384.0
39.11200000,-77.8561800,382.0
39.11190000,-77.8561400,384.0
39.11180000,-77.8561700,385.0
39.11171000,-77.8561700,387.0
39.11161000,-77.8561400,390.0
39.11154000,-77.8560700,393.0
39.11149000,-77.8559700,396.0
39.11139000,-77.8558900,399.0
39.11133000,-77.8557800,400.0
39.11129000,-77.8556600,402.0
39.11122000,-77.8555000,405.0
39.11116000,-77.8553700,406.0
39.11109000,-77.8552700,407.0
39.11103000,-77.8551700,407.0
39.11097000,-77.8550700,408.0
39.11092000,-77.8549600,408.0
39.11086000,-77.8548700,409.0
39.11081000,-77.8547600,409.0
39.11076000,-77.8546400,409.0
39.11071000,-77.8545300,409.0
39.11071000,-77.8544100,410.0
39.11080000,-77.8543400,410.0
39.11087000,-77.8542500,411.0
39.11097000,-77.8542300,411.0
39.11102000,-77.8543400,411.0
39.11100000,-77.8542000,411.0
39.11103000,-77.8540700,410.0
39.11110000,-77.8539900,409.0
39.11117000,-77.8540600,410.0
39.11124000,-77.8541700,411.0
39.11126000,-77.8543000,411.0
39.11117000,-77.8542500,411.0
39.11124000,-77.8543500,411.0
39.11127000,-77.8544800,412.0
39.11136000,-77.8544300,412.0
39.11133000,-77.8543000,411.0
39.11143000,-77.8543300,412.0
39.11152000,-77.8543500,412.0
39.11155000,-77.8544800,413.0
39.11161000,-77.8546100,413.0
39.11167000,-77.8547100,412.0
39.11172000,-77.8548400,411.0
39.11179000,-77.8549100,411.0
39.11185000,-77.8550200,410.0
39.11190000,-77.8551200,408.0
39.11189000,-77.8552400,406.0
39.11193000,-77.8553500,405.0
39.11199000,-77.8554300,403.0
39.11206000,-77.8555300,402.0
39.11210000,-77.8556400,399.0
39.11216000,-77.8557200,397.0
39.11226000,-77.8557500,396.0
39.11235000,-77.8558000,394.0
39.11245000,-77.8558100,392.0
39.11252000,-77.8557400,393.0
39.11259000,-77.8556700,394.0
39.11265000,-77.8555700,396.0
39.11274000,-77.8555100,396.0
39.11282000,-77.8554100,395.0
39.11291000,-77.8553900,393.0
39.11299000,-77.8552900,393.0
39.11304000,-77.8552000,393.0
39.11314000,-77.8550900,392.0
39.11322000,-77.8550200,392.0
39.11329000,-77.8549500,391.0
39.11336000,-77.8548700,390.0
39.11343000,-77.8547900,390.0
39.11351000,-77.8547200,389.0
39.11361000,-77.8546300,389.0
39.11369000,-77.8545600,387.0
39.11376000,-77.8544900,386.0
39.11383000,-77.8544000,386.0
39.11389000,-77.8543000,385.0
39.11396000,-77.8542300,383.0
39.11404000,-77.8541400,381.0
39.11411000,-77.8540400,380.0
39.11414000,-77.8539200,380.0
39.11419000,-77.8538200,379.0
39.11423000,-77.8537100,377.0
39.11426000,-77.8535800,376.0
39.11422000,-77.8534600,377.0
39.11426000,-77.8533500,375.0
39.11431000,-77.8532400,372.0
39.11430000,-77.8530800,371.0
39.11427000,-77.8529700,371.0
39.11418000,-77.8529200,373.0
39.11409000,-77.8528800,374.0
39.11399000,-77.8528700,375.0
39.11390000,-77.8528000,376.0
39.11399000,-77.8527800,374.0
39.11398000,-77.8526500,372.0
39.11405000,-77.8525600,370.0
39.11412000,-77.8524700,369.0
39.11417000,-77.8523700,367.0
39.11418000,-77.8522500,365.0
39.11416000,-77.8521100,364.0
39.11412000,-77.8520000,364.0
39.11405000,-77.8519100,364.0
39.11396000,-77.8518500,365.0
39.11387000,-77.8517900,366.0
39.11384000,-77.8516600,365.0
39.11388000,-77.8515400,363.0
39.11397000,-77.8515100,360.0
39.11406000,-77.8514200,357.0
39.11412000,-77.8513200,354.0
39.11415000,-77.8512100,352.0
39.11414000,-77.8510900,351.0
39.11412000,-77.8509700,350.0
39.11409000,-77.8508600,349.0
39.11408000,-77.8507400,348.0
39.11416000,-77.8506700,347.0
39.11425000,-77.8506300,346.0
39.11432000,-77.8505400,344.0
39.11439000,-77.8504700,342.0
39.11435000,-77.8503400,340.0
39.11436000,-77.8502000,337.0
39.11438000,-77.8500900,336.0
39.11440000,-77.8499700,334.0
39.11447000,-77.8498800,333.0
39.11446000,-77.8497500,333.0
39.11446000,-77.8496300,334.0
39.11442000,-77.8495100,334.0
39.11436000,-77.8494000,335.0
39.11432000,-77.8492600,337.0
39.11431000,-77.8491300,338.0
39.11435000,-77.8490200,338.0
39.11433000,-77.8489000,339.0
39.11435000,-77.8487700,340.0
39.11439000,-77.8486100,340.0
39.11444000,-77.8485100,340.0
39.11450000,-77.8484300,339.0
39.11452000,-77.8482700,339.0
39.11461000,-77.8482200,339.0
39.11466000,-77.8481200,339.0
39.11464000,-77.8480100,340.0
39.11461000,-77.8478800,341.0
39.11459000,-77.8477600,342.0
39.11467000,-77.8476700,341.0
39.11476000,-77.8476300,340.0
39.11485000,-77.8475700,339.0
39.11489000,-77.8474700,337.0
39.11499000,-77.8474500,335.0
39.11507000,-77.8473900,334.0
39.11517000,-77.8473800,333.0
39.11526000,-77.8473500,332.0
39.11533000,-77.8472700,332.0
39.11542000,-77.8472000,332.0
