Latitude,Longitude,Elevation
37.38658000,-77.5818700,68.0
37.38663000,-77.5818900,68.0
37.38649000,-77.5821400,67.0
37.38632000,-77.5822900,65.0
37.38637000,-77.5822300,65.0
37.38617000,-77.5822800,63.0
37.38599000,-77.5823200,62.0
37.38577000,-77.5824700,62.0
37.38560000,-77.5825600,62.0
37.38543000,-77.5826100,60.0
37.38520000,-77.5827800,58.0
37.38506000,-77.5828500,56.0
37.38493000,-77.5828400,55.0
37.38485000,-77.5827600,54.0
37.38481000,-77.5826300,53.0
37.38480000,-77.5825200,52.0
37.38481000,-77.5823100,50.0
37.38480000,-77.5821200,48.0
37.38481000,-77.5820000,47.0
37.38480000,-77.5818000,46.0
37.38478000,-77.5817500,46.0
37.38474000,-77.5817000,45.0
37.38470000,-77.5816700,45.0
37.38464000,-77.5816400,46.0
37.38459000,-77.5816700,47.0
37.38454000,-77.5817900,49.0
37.38450000,-77.5819400,51.0
37.38445000,-77.5820700,54.0
37.38436000,-77.5821600,57.0
37.38421000,-77.5822300,59.0
37.38409000,-77.5822800,61.0
37.38398000,-77.5823400,63.0
37.38388000,-77.5823900,65.0
37.38375000,-77.5824200,66.0
37.38365000,-77.5824300,67.0
37.38353000,-77.5824400,68.0
37.38348000,-77.5824800,68.0
37.38344000,-77.5825700,68.0
37.38340000,-77.5826300,68.0
37.38332000,-77.5827300,68.0
37.38319000,-77.5828600,68.0
37.38313000,-77.5830600,69.0
37.38313000,-77.5832200,70.0
37.38322000,-77.5833900,71.0
37.38331000,-77.5835100,71.0
37.38344000,-77.5836200,70.0
37.38354000,-77.5837100,69.0
37.38370000,-77.5838100,66.0
37.38383000,-77.5839500,64.0
37.38400000,-77.5840200,62.0
37.38412000,-77.5840700,60.0
37.38426000,-77.5840900,57.0
37.38432000,-77.5840900,55.0
37.38436000,-77.5841100,54.0
37.38440000,-77.5842000,53.0
37.38441000,-77.5842800,53.0
37.38442000,-77.5844700,54.0
37.38442000,-77.5846800,54.0
37.38441000,-77.5848200,54.0
37.38439000,-77.5850600,53.0
37.38435000,-77.5853500,49.0
37.38431000,-77.5856100,45.0
37.38425000,-77.5857400,46.0
