Latitude,Longitude,Elevation
37.53442000,-77.4484100,16.0
37.53441000,-77.4485800,17.0
37.53440000,-77.4487900,17.0
37.53439000,-77.4490800,20.0
37.53436000,-77.4493000,22.0
37.53439000,-77.4490000,18.0
37.53441000,-77.4492300,22.0
37.53427000,-77.4492200,19.0
37.53375000,-77.4492800,10.0
37.53330000,-77.4493500,4.0
37.53292000,-77.4494500,4.0
37.53250000,-77.4496000,4.0
37.53201000,-77.4498000,4.0
37.53147000,-77.4500200,4.0
37.53141000,-77.4497800,4.0
37.53136000,-77.4498200,4.0
37.53142000,-77.4502000,4.0
37.53143000,-77.4502900,4.0
37.53142000,-77.4503700,4.0
37.53141000,-77.4505400,4.0
37.53140000,-77.4506800,4.0
37.53125000,-77.4508500,4.0
37.53103000,-77.4509800,4.0
37.53092000,-77.4510300,4.0
37.53083000,-77.4511200,4.0
37.53077000,-77.4512300,4.0
37.53070000,-77.4513800,4.0
37.53065000,-77.4516400,4.0
37.53063000,-77.4520700,4.0
37.53056000,-77.4525700,4.0
37.53040000,-77.4531800,4.0
37.53022000,-77.4535400,4.0
37.53015000,-77.4536000,4.0
37.52998000,-77.4541500,6.0
37.52987000,-77.4544000,17.0
37.52973000,-77.4547200,6.0
37.52960000,-77.4549900,17.0
37.52934000,-77.4553500,15.0
37.52931000,-77.4553800,17.0
37.52925000,-77.4554900,20.0
37.52905000,-77.4558300,13.0
37.52893000,-77.4560100,19.0
37.52881000,-77.4562100,16.0
37.52853000,-77.4566600,10.0
37.52841000,-77.4568200,10.0
37.52827000,-77.4569900,6.0
37.52813000,-77.4570700,6.0
37.52804000,-77.4571100,6.0
37.52789000,-77.4570700,10.0
37.52778000,-77.4570600,14.0
37.52769000,-77.4570600,14.0
37.52760000,-77.4570400,16.0
37.52752000,-77.4569900,19.0
37.52744000,-77.4569100,21.0
37.52737000,-77.4568300,21.0
37.52728000,-77.4566100,21.0
37.52725000,-77.4562900,22.0
37.52724000,-77.4561700,22.0
37.52729000,-77.4559200,23.0
37.52741000,-77.4555900,25.0
37.52761000,-77.4551200,24.0
37.52781000,-77.4546200,24.0
37.52800000,-77.4541700,26.0
37.52805000,-77.4541200,27.0
37.52808000,-77.4540200,27.0
37.52810000,-77.4539600,28.0
37.52813000,-77.4539000,28.0
37.52816000,-77.4538400,29.0
37.52821000,-77.4537100,29.0
37.52827000,-77.4535900,30.0
37.52832000,-77.4534100,29.0
37.52840000,-77.4531700,27.0
37.52853000,-77.4530000,27.0
37.52857000,-77.4529600,27.0
37.52869000,-77.4527000,28.0
37.52875000,-77.4526400,29.0
37.52882000,-77.4525600,30.0
37.52894000,-77.4523700,29.0
37.52899000,-77.4522600,28.0
37.52901000,-77.4521300,26.0
37.52901000,-77.4519900,24.0
37.52900000,-77.4519000,23.0
37.52898000,-77.4518100,22.0
37.52885000,-77.4518200,23.0
37.52883000,-77.4517600,22.0
37.52891000,-77.4516400,20.0
37.52899000,-77.4514400,20.0
37.52911000,-77.4512800,21.0
37.52920000,-77.4511700,20.0
37.52934000,-77.4509700,7.0
37.52939000,-77.4509200,5.0
37.52948000,-77.4508900,4.0
37.53069000,-77.4504300,4.0
37.53131000,-77.4501900,4.0
37.53134000,-77.4502500,4.0
37.53137000,-77.4503400,4.0
37.53139000,-77.4503900,4.0
37.53142000,-77.4502900,4.0
37.53137000,-77.4499000,4.0
37.53140000,-77.4498500,4.0
37.53142000,-77.4501200,4.0
37.53190000,-77.4498800,4.0
37.53241000,-77.4497500,4.0
37.53282000,-77.4495900,4.0
37.53321000,-77.4494900,4.0
37.53365000,-77.4493900,6.0
37.53415000,-77.4492900,16.0
37.53434000,-77.4492600,21.0
37.53439000,-77.4492500,22.0
37.53442000,-77.4490700,20.0
37.53438000,-77.4492900,22.0
37.53437000,-77.4491400,20.0
37.53439000,-77.4488900,17.0
37.53439000,-77.4486700,18.0
37.53438000,-77.4484800,18.0
37.53442000,-77.4484100,16.0
