Latitude,Longitude,Elevation
38.54871000,-78.3389000,472.0
38.54876000,-78.3387900,474.0
38.54880000,-78.3387500,475.0
38.54881000,-78.3386900,476.0
38.54881000,-78.3386400,476.0
38.54882000,-78.3385500,477.0
38.54883000,-78.3384800,478.0
38.54885000,-78.3384200,480.0
38.54888000,-78.3383700,481.0
38.54891000,-78.3383200,482.0
38.54894000,-78.3382600,483.0
38.54895000,-78.3382000,484.0
38.54897000,-78.3381500,485.0
38.54897000,-78.3380900,486.0
38.54898000,-78.3380300,487.0
38.54897000,-78.3379700,487.0
38.54896000,-78.3378900,488.0
38.54898000,-78.3378400,489.0
38.54901000,-78.3377700,490.0
38.54904000,-78.3377100,491.0
38.54909000,-78.3377000,492.0
38.54914000,-78.3376800,493.0
38.54919000,-78.3376700,494.0
38.54925000,-78.3376900,494.0
38.54931000,-78.3377100,495.0
38.54936000,-78.3377400,496.0
38.54941000,-78.3377500,497.0
38.54948000,-78.3377900,497.0
38.54953000,-78.3378100,496.0
38.54960000,-78.3378300,495.0
38.54967000,-78.3378300,495.0
38.54971000,-78.3378200,494.0
38.54976000,-78.3378000,494.0
38.54980000,-78.3377900,495.0
38.54985000,-78.3377600,495.0
38.54990000,-78.3377300,496.0
38.54996000,-78.3377000,496.0
38.55002000,-78.3376600,497.0
38.55005000,-78.3376200,498.0
38.55010000,-78.3375800,498.0
38.55013000,-78.3375300,499.0
38.55016000,-78.3374700,500.0
38.55019000,-78.3374100,502.0
38.55020000,-78.3373500,503.0
38.55021000,-78.3372900,504.0
38.55020000,-78.3372200,506.0
38.55016000,-78.3371500,506.0
38.55012000,-78.3370800,507.0
38.55011000,-78.3370000,508.0
38.55010000,-78.3369300,509.0
38.55011000,-78.3368600,511.0
38.55013000,-78.3368000,512.0
38.55015000,-78.3367400,513.0
38.55017000,-78.3366700,515.0
38.55018000,-78.3365900,516.0
38.55017000,-78.3365400,517.0
38.55017000,-78.3364800,518.0
38.55016000,-78.3364000,519.0
38.55017000,-78.3363400,520.0
38.55020000,-78.3362700,520.0
38.55021000,-78.3362000,520.0
38.55022000,-78.3361400,521.0
38.55023000,-78.3360700,521.0
38.55020000,-78.3360000,520.0
38.55016000,-78.3359300,519.0
38.55012000,-78.3358700,519.0
38.55008000,-78.3358300,519.0
38.55003000,-78.3358000,519.0
38.54999000,-78.3357600,519.0
38.54996000,-78.3357100,519.0
38.54993000,-78.3356400,520.0
38.54992000,-78.3355700,520.0
38.54991000,-78.3354900,522.0
38.54991000,-78.3354400,523.0
38.54995000,-78.3353900,524.0
38.55000000,-78.3353400,525.0
38.55005000,-78.3353200,526.0
38.55010000,-78.3352900,526.0
38.55014000,-78.3352800,526.0
38.55019000,-78.3352800,526.0
38.55023000,-78.3352900,526.0
38.55029000,-78.3353100,526.0
38.55033000,-78.3353300,526.0
38.55038000,-78.3353600,526.0
38.55042000,-78.3353800,525.0
38.55048000,-78.3353800,526.0
38.55052000,-78.3353500,527.0
38.55057000,-78.3353200,528.0
38.55062000,-78.3353000,529.0
38.55068000,-78.3352900,529.0
38.55072000,-78.3352900,530.0
38.55077000,-78.3353100,530.0
38.55082000,-78.3353300,530.0
38.55088000,-78.3353600,530.0
38.55093000,-78.3353600,531.0
38.55094000,-78.3353600,531.0
38.55112000,-78.3353900,532.0
38.55118000,-78.3353400,532.0
38.55123000,-78.3353000,532.0
38.55127000,-78.3352700,533.0
38.55132000,-78.3352200,533.0
38.55136000,-78.3351900,534.0
38.55141000,-78.3351500,535.0
38.55145000,-78.3351100,535.0
38.55150000,-78.3350800,536.0
38.55154000,-78.3350500,537.0
38.55159000,-78.3350300,537.0
38.55163000,-78.3350100,538.0
38.55169000,-78.3349900,539.0
38.55173000,-78.3349600,540.0
38.55179000,-78.3349500,541.0
38.55184000,-78.3349200,542.0
38.55189000,-78.3349000,543.0
38.55194000,-78.3348800,544.0
38.55198000,-78.3348600,544.0
38.55203000,-78.3348300,544.0
38.55208000,-78.3348100,544.0
38.55213000,-78.3347800,545.0
38.55218000,-78.3347600,544.0
38.55224000,-78.3347300,544.0
38.55229000,-78.3346900,545.0
38.55233000,-78.3346500,546.0
38.55238000,-78.3346000,546.0
38.55243000,-78.3345500,547.0
38.55247000,-78.3344900,548.0
38.55251000,-78.3344600,548.0
38.55255000,-78.3344100,549.0
38.55259000,-78.3343600,550.0
38.55263000,-78.3343000,551.0
38.55267000,-78.3342500,551.0
38.55272000,-78.3342200,551.0
38.55277000,-78.3341800,551.0
38.55282000,-78.3341500,552.0
38.55286000,-78.3341200,552.0
38.55292000,-78.3340800,553.0
38.55297000,-78.3340400,553.0
38.55303000,-78.3340000,553.0
38.55308000,-78.3339500,554.0
38.55313000,-78.3339300,555.0
38.55317000,-78.3339000,555.0
38.55340000,-78.3337600,558.0
38.55345000,-78.3337300,559.0
38.55351000,-78.3337100,560.0
38.55360000,-78.3336700,562.0
38.55365000,-78.3336600,563.0
38.55372000,-78.3336300,565.0
38.55376000,-78.3335900,566.0
38.55382000,-78.3335600,567.0
38.55387000,-78.3335200,568.0
38.55393000,-78.3334900,570.0
38.55399000,-78.3334500,571.0
38.55403000,-78.3334200,572.0
38.55409000,-78.3333900,573.0
38.55415000,-78.3333600,573.0
38.55421000,-78.3333400,574.0
38.55425000,-78.3333100,574.0
38.55432000,-78.3332800,575.0
38.55439000,-78.3332500,576.0
38.55445000,-78.3332300,576.0
38.55451000,-78.3332200,576.0
38.55456000,-78.3332100,576.0
38.55461000,-78.3331900,577.0
38.55467000,-78.3331800,577.0
38.55473000,-78.3331600,577.0
38.55480000,-78.3331500,577.0
38.55486000,-78.3331400,578.0
38.55491000,-78.3331200,579.0
38.55496000,-78.3331100,579.0
38.55501000,-78.3330900,579.0
38.55506000,-78.3330800,580.0
38.55511000,-78.3330600,580.0
38.55516000,-78.3330500,580.0
38.55520000,-78.3330300,580.0
38.55525000,-78.3330200,581.0
38.55530000,-78.3330100,581.0
38.55534000,-78.3330000,581.0
38.55540000,-78.3329900,581.0
38.55545000,-78.3329800,581.0
38.55550000,-78.3329700,581.0
38.55556000,-78.3329700,581.0
38.55560000,-78.3329600,581.0
38.55565000,-78.3329700,581.0
38.55570000,-78.3329700,582.0
38.55574000,-78.3329900,582.0
38.55580000,-78.3330000,582.0
38.55580000,-78.3330100,582.0
38.55598000,-78.3329600,584.0
38.55604000,-78.3329500,585.0
38.55608000,-78.3329400,585.0
38.55613000,-78.3329100,586.0
38.55617000,-78.3328600,587.0
38.55622000,-78.3328100,588.0
38.55625000,-78.3327400,589.0
38.55629000,-78.3326900,590.0
38.55633000,-78.3326100,591.0
38.55636000,-78.3325500,592.0
38.55639000,-78.3325000,593.0
38.55644000,-78.3324300,593.0
38.55648000,-78.3324000,593.0
38.55652000,-78.3323600,594.0
38.55657000,-78.3323300,594.0
38.55662000,-78.3323100,594.0
38.55666000,-78.3323100,594.0
38.55671000,-78.3323100,594.0
38.55676000,-78.3323000,594.0
38.55681000,-78.3322800,594.0
38.55684000,-78.3322300,594.0
38.55686000,-78.3321500,595.0
38.55686000,-78.3320800,595.0
38.55686000,-78.3320200,595.0
38.55685000,-78.3319600,595.0
38.55681000,-78.3319200,595.0
38.55678000,-78.3318800,595.0
38.55674000,-78.3318100,595.0
38.55670000,-78.3317300,595.0
38.55667000,-78.3316700,595.0
38.55666000,-78.3316200,595.0
38.55664000,-78.3315500,595.0
38.55663000,-78.3314800,595.0
38.55661000,-78.3314100,595.0
38.55659000,-78.3313200,596.0
38.55657000,-78.3312600,596.0
38.55657000,-78.3311900,597.0
38.55655000,-78.3311200,597.0
38.55653000,-78.3310500,598.0
38.55651000,-78.3309900,599.0
