Latitude,Longitude,Elevation
39.00159000,-77.2473100,58.0
39.00116000,-77.2475100,57.0
39.00108000,-77.2475600,57.0
39.00103000,-77.2476000,57.0
39.00099000,-77.2476400,56.0
39.00094000,-77.2476800,56.0
39.00091000,-77.2477300,56.0
39.00088000,-77.2477700,55.0
39.00086000,-77.2478300,55.0
39.00083000,-77.2478800,54.0
39.00078000,-77.2479200,54.0
39.00074000,-77.2479600,54.0
39.00068000,-77.2480100,53.0
39.00063000,-77.2480500,53.0
39.00058000,-77.2480700,53.0
39.00053000,-77.2481100,53.0
39.00048000,-77.2481300,52.0
39.00043000,-77.2481800,52.0
39.00038000,-77.2482000,52.0
39.00034000,-77.2482400,51.0
39.00029000,-77.2482800,50.0
39.00026000,-77.2483300,50.0
39.00023000,-77.2483700,49.0
39.00019000,-77.2484100,49.0
39.00016000,-77.2484600,49.0
38.99989000,-77.2486100,46.0
38.99983000,-77.2486100,46.0
38.99978000,-77.2486100,46.0
38.99973000,-77.2486100,46.0
38.99966000,-77.2486100,46.0
38.99961000,-77.2486100,46.0
38.99953000,-77.2486100,46.0
38.99946000,-77.2486100,46.0
38.99939000,-77.2486100,46.0
38.99933000,-77.2486100,46.0
38.99924000,-77.2486100,46.0
38.99918000,-77.2486100,46.0
38.99913000,-77.2486100,47.0
38.99906000,-77.2486100,47.0
38.99901000,-77.2486100,48.0
38.99896000,-77.2486100,48.0
38.99891000,-77.2486100,48.0
38.99886000,-77.2486100,48.0
38.99879000,-77.2486100,48.0
38.99874000,-77.2486100,48.0
38.99869000,-77.2486100,48.0
38.99864000,-77.2486100,48.0
38.99859000,-77.2486100,47.0
38.99854000,-77.2486100,47.0
38.99848000,-77.2486100,47.0
38.99842000,-77.2486100,46.0
38.99837000,-77.2486100,46.0
38.99831000,-77.2486100,45.0
38.99826000,-77.2486100,45.0
38.99821000,-77.2486100,45.0
38.99816000,-77.2486100,45.0
38.99811000,-77.2486100,45.0
38.99806000,-77.2486100,45.0
38.99799000,-77.2486100,44.0
38.99794000,-77.2486100,44.0
38.99787000,-77.2485900,44.0
38.99782000,-77.2485900,43.0
38.99777000,-77.2485600,44.0
38.99772000,-77.2485600,44.0
38.99767000,-77.2485600,44.0
38.99762000,-77.2485600,44.0
38.99757000,-77.2485600,44.0
38.99752000,-77.2485600,44.0
38.99747000,-77.2485600,44.0
38.99741000,-77.2485600,43.0
38.99736000,-77.2485600,43.0
38.99731000,-77.2485600,43.0
38.99727000,-77.2485600,43.0
38.99702000,-77.2484800,42.0
38.99697000,-77.2484800,42.0
38.99692000,-77.2484600,42.0
38.99687000,-77.2484400,43.0
38.99682000,-77.2483900,44.0
38.99677000,-77.2483900,44.0
38.99672000,-77.2483500,45.0
38.99667000,-77.2483300,46.0
38.99662000,-77.2483100,46.0
38.99657000,-77.2482800,46.0
38.99652000,-77.2482800,46.0
38.99647000,-77.2482600,46.0
38.99644000,-77.2482200,46.0
38.99639000,-77.2482000,46.0
38.99636000,-77.2481600,45.0
38.99632000,-77.2481100,45.0
38.99629000,-77.2480700,45.0
38.99626000,-77.2480300,45.0
38.99621000,-77.2479800,46.0
38.99616000,-77.2479400,46.0
38.99611000,-77.2479200,45.0
38.99606000,-77.2478800,45.0
38.99601000,-77.2478600,44.0
38.99596000,-77.2478100,44.0
38.99591000,-77.2478100,43.0
38.99587000,-77.2477700,43.0
38.99584000,-77.2477300,44.0
38.99581000,-77.2476800,44.0
38.99577000,-77.2476400,44.0
38.99574000,-77.2476000,44.0
38.99571000,-77.2475600,45.0
38.99567000,-77.2475100,45.0
38.99564000,-77.2474700,45.0
38.99562000,-77.2474100,45.0
38.99559000,-77.2473600,45.0
38.99557000,-77.2473000,45.0
38.99554000,-77.2472300,45.0
38.99552000,-77.2471500,46.0
38.99549000,-77.2471000,45.0
38.99546000,-77.2470400,45.0
38.99542000,-77.2470000,44.0
38.99539000,-77.2469300,44.0
38.99536000,-77.2468900,44.0
38.99532000,-77.2468500,43.0
38.99529000,-77.2468000,43.0
38.99524000,-77.2467800,42.0
38.99519000,-77.2467600,42.0
38.99486000,-77.2464000,41.0
38.99482000,-77.2463500,41.0
38.99477000,-77.2463100,41.0
38.99472000,-77.2462700,40.0
38.99469000,-77.2462200,41.0
38.99466000,-77.2461800,42.0
38.99461000,-77.2461400,43.0
38.99456000,-77.2461200,43.0
38.99451000,-77.2461000,43.0
38.99447000,-77.2460500,44.0
38.99442000,-77.2460300,44.0
38.99437000,-77.2460100,45.0
38.99432000,-77.2459900,45.0
38.99427000,-77.2459700,45.0
38.99424000,-77.2459200,46.0
38.99419000,-77.2459000,46.0
38.99414000,-77.2458800,46.0
38.99409000,-77.2458600,46.0
38.99404000,-77.2458400,46.0
38.99401000,-77.2458000,47.0
38.99397000,-77.2457500,48.0
38.99394000,-77.2457100,48.0
38.99389000,-77.2456700,48.0
38.99386000,-77.2456200,49.0
38.99381000,-77.2456000,49.0
38.99374000,-77.2455800,49.0
38.99367000,-77.2455600,48.0
38.99362000,-77.2455600,48.0
38.99357000,-77.2455400,48.0
38.99352000,-77.2455200,48.0
38.99349000,-77.2455200,48.0
38.99326000,-77.2457300,47.0
38.99326000,-77.2458000,47.0
38.99324000,-77.2458600,47.0
38.99324000,-77.2459200,46.0
38.99324000,-77.2459900,46.0
38.99324000,-77.2460500,45.0
38.99324000,-77.2461200,45.0
38.99322000,-77.2461800,43.0
38.99321000,-77.2462500,42.0
38.99319000,-77.2463100,41.0
38.99317000,-77.2463800,39.0
38.99312000,-77.2464200,38.0
38.99307000,-77.2464400,38.0
38.99302000,-77.2464600,38.0
38.99297000,-77.2464800,37.0
38.99292000,-77.2464800,37.0
38.99287000,-77.2465300,36.0
38.99282000,-77.2465500,36.0
38.99277000,-77.2465700,35.0
38.99272000,-77.2465900,35.0
38.99267000,-77.2466100,36.0
38.99262000,-77.2466100,36.0
38.99257000,-77.2466100,37.0
38.99252000,-77.2466300,37.0
38.99247000,-77.2466300,37.0
38.99244000,-77.2466800,37.0
38.99239000,-77.2467000,37.0
38.99234000,-77.2467200,37.0
38.99212000,-77.2467400,38.0
38.99206000,-77.2467600,38.0
38.99201000,-77.2467800,38.0
38.99197000,-77.2468100,37.0
38.99192000,-77.2468500,37.0
38.99186000,-77.2468800,37.0
38.99180000,-77.2469100,38.0
38.99175000,-77.2469200,38.0
38.99170000,-77.2469300,38.0
38.99165000,-77.2469400,39.0
38.99160000,-77.2469500,39.0
38.99156000,-77.2470000,38.0
38.99152000,-77.2470300,38.0
38.99148000,-77.2470600,38.0
38.99142000,-77.2470800,39.0
38.99137000,-77.2471000,39.0
38.99132000,-77.2471000,39.0
38.99126000,-77.2471000,39.0
38.99121000,-77.2471000,39.0
38.99116000,-77.2470900,39.0
38.99111000,-77.2470600,39.0
38.99106000,-77.2470500,39.0
38.99101000,-77.2470300,39.0
38.99096000,-77.2470100,38.0
38.99091000,-77.2470100,38.0
38.99086000,-77.2470100,37.0
38.99081000,-77.2470100,37.0
38.99077000,-77.2469800,37.0
38.99072000,-77.2469500,37.0
38.99067000,-77.2469400,37.0
38.99062000,-77.2469400,37.0
38.99056000,-77.2469400,37.0
38.99051000,-77.2469500,37.0
38.99046000,-77.2469500,36.0
38.99045000,-77.2469500,36.0
38.99029000,-77.2468900,38.0
38.99024000,-77.2468700,38.0
38.99019000,-77.2468600,38.0
38.99014000,-77.2468300,38.0
38.99009000,-77.2468000,38.0
38.99004000,-77.2467800,38.0
38.98999000,-77.2467800,37.0
38.98994000,-77.2467700,37.0
38.98990000,-77.2467400,37.0
38.98985000,-77.2467200,37.0
38.98980000,-77.2467000,37.0
38.98975000,-77.2466800,37.0
38.98970000,-77.2466800,37.0
38.98965000,-77.2466800,37.0
38.98960000,-77.2466900,37.0
38.98955000,-77.2467000,37.0
38.98950000,-77.2467100,36.0
38.98945000,-77.2467100,36.0
38.98941000,-77.2466800,36.0
38.98939000,-77.2466200,37.0
38.98937000,-77.2465600,38.0
38.98936000,-77.2465400,38.0
38.98922000,-77.2465000,38.0
38.98918000,-77.2464700,38.0
38.98914000,-77.2464300,39.0
38.98910000,-77.2464000,40.0
38.98905000,-77.2464000,39.0
38.98900000,-77.2464000,38.0
38.98895000,-77.2464000,38.0
38.98891000,-77.2463600,38.0
38.98887000,-77.2463300,39.0
38.98884000,-77.2462800,39.0
38.98879000,-77.2462500,40.0
38.98874000,-77.2462100,40.0
38.98869000,-77.2461900,40.0
38.98864000,-77.2461600,40.0
38.98859000,-77.2461400,40.0
38.98855000,-77.2461100,39.0
38.98853000,-77.2460500,40.0
38.98849000,-77.2460200,40.0
38.98844000,-77.2460000,39.0
38.98839000,-77.2460000,39.0
38.98834000,-77.2460000,38.0
