Latitude,Longitude,Elevation
38.22304000,-78.7333300,892.0
38.22304000,-78.7333400,892.0
38.22299000,-78.7333200,892.0
38.22295000,-78.7333000,892.0
38.22290000,-78.7333000,892.0
38.22285000,-78.7333100,893.0
38.22281000,-78.7333200,893.0
38.22277000,-78.7333600,894.0
38.22276000,-78.7334200,895.0
38.22274000,-78.7334800,895.0
38.22270000,-78.7335600,896.0
38.22266000,-78.7336200,897.0
38.22261000,-78.7336700,898.0
38.22256000,-78.7337200,899.0
38.22253000,-78.7337600,899.0
38.22248000,-78.7338000,900.0
38.22244000,-78.7338300,901.0
38.22238000,-78.7338500,901.0
38.22234000,-78.7338600,902.0
38.22229000,-78.7338700,902.0
38.22225000,-78.7338900,902.0
38.22221000,-78.7339200,903.0
38.22216000,-78.7339400,904.0
38.22212000,-78.7339700,905.0
38.22208000,-78.7340100,906.0
38.22204000,-78.7340400,906.0
38.22200000,-78.7340800,907.0
38.22197000,-78.7341300,908.0
38.22194000,-78.7341800,909.0
38.22191000,-78.7342200,910.0
38.22188000,-78.7342700,911.0
38.22186000,-78.7343300,912.0
38.22186000,-78.7343800,913.0
38.22187000,-78.7344400,914.0
38.22191000,-78.7344900,915.0
38.22194000,-78.7345300,915.0
38.22197000,-78.7345800,916.0
38.22201000,-78.7346300,916.0
38.22204000,-78.7346800,917.0
38.22206000,-78.7347400,918.0
38.22207000,-78.7347800,918.0
38.22209000,-78.7348300,919.0
38.22209000,-78.7348900,920.0
38.22210000,-78.7349500,921.0
38.22209000,-78.7350100,921.0
38.22206000,-78.7350600,921.0
38.22202000,-78.7351000,921.0
38.22198000,-78.7351200,922.0
38.22194000,-78.7351600,922.0
38.22184000,-78.7351700,922.0
38.22175000,-78.7351700,922.0
38.22168000,-78.7351900,922.0
38.22164000,-78.7352200,923.0
38.22160000,-78.7352500,923.0
38.22156000,-78.7352800,923.0
38.22155000,-78.7352800,923.0
38.22151000,-78.7353300,923.0
38.22147000,-78.7353800,923.0
38.22142000,-78.7354100,923.0
38.22132000,-78.7355000,924.0
38.22124000,-78.7355700,926.0
38.22120000,-78.7356100,926.0
38.22115000,-78.7356600,927.0
38.22110000,-78.7357300,928.0
38.22107000,-78.7357700,929.0
38.22102000,-78.7358200,929.0
38.22098000,-78.7358700,929.0
38.22093000,-78.7359300,930.0
38.22089000,-78.7359800,930.0
38.22086000,-78.7360300,931.0
38.22083000,-78.7360700,931.0
38.22076000,-78.7361400,932.0
38.22072000,-78.7361800,932.0
38.22068000,-78.7362100,933.0
38.22056000,-78.7363300,935.0
38.22049000,-78.7363800,936.0
38.22045000,-78.7364100,937.0
38.22032000,-78.7365300,939.0
38.22028000,-78.7365700,940.0
38.22023000,-78.7366500,941.0
38.22021000,-78.7366700,942.0
38.22019000,-78.7367200,942.0
38.22015000,-78.7367800,943.0
38.22009000,-78.7368700,945.0
38.22005000,-78.7369300,947.0
38.22000000,-78.7370700,949.0
38.21997000,-78.7371400,950.0
38.21993000,-78.7373100,951.0
38.21992000,-78.7373700,951.0
38.21991000,-78.7375000,950.0
38.21992000,-78.7375300,950.0
38.21993000,-78.7376500,948.0
38.21993000,-78.7377100,947.0
38.21989000,-78.7379200,946.0
38.21986000,-78.7380100,946.0
38.21984000,-78.7381000,946.0
38.21982000,-78.7381500,946.0
38.21979000,-78.7382900,945.0
38.21976000,-78.7384500,945.0
38.21971000,-78.7386500,946.0
38.21969000,-78.7387400,946.0
38.21966000,-78.7388300,945.0
38.21964000,-78.7388800,945.0
38.21963000,-78.7388800,945.0
38.21962000,-78.7389500,945.0
38.21960000,-78.7390100,945.0
38.21957000,-78.7390600,945.0
38.21954000,-78.7391000,944.0
38.21950000,-78.7391700,944.0
38.21946000,-78.7392100,943.0
38.21941000,-78.7392900,942.0
38.21938000,-78.7393400,942.0
38.21934000,-78.7393800,941.0
38.21936000,-78.7394900,941.0
38.21939000,-78.7395400,941.0
38.21950000,-78.7396000,943.0
38.21954000,-78.7396700,943.0
38.21957000,-78.7397800,943.0
38.21960000,-78.7398500,943.0
38.21960000,-78.7399000,943.0
38.21960000,-78.7399700,943.0
38.21961000,-78.7400900,942.0
38.21963000,-78.7402000,942.0
38.21965000,-78.7403100,941.0
38.21968000,-78.7403500,941.0
38.21972000,-78.7404200,940.0
38.21985000,-78.7404900,940.0
38.21995000,-78.7405300,940.0
38.22005000,-78.7405400,938.0
38.22010000,-78.7405400,936.0
38.22017000,-78.7405200,934.0
38.22024000,-78.7404600,931.0
38.22029000,-78.7403800,931.0
38.22029000,-78.7403100,932.0
38.22027000,-78.7402500,933.0
38.22024000,-78.7401600,935.0
38.22018000,-78.7400200,938.0
38.22011000,-78.7398900,940.0
38.22006000,-78.7398200,942.0
38.22003000,-78.7396300,943.0
38.22006000,-78.7394300,941.0
38.22004000,-78.7392000,941.0
38.22004000,-78.7391900,941.0
38.22003000,-78.7389700,941.0
38.22003000,-78.7389000,941.0
38.22003000,-78.7386900,939.0
38.22004000,-78.7384900,938.0
38.22007000,-78.7383100,937.0
38.22007000,-78.7382600,937.0
38.22008000,-78.7381900,936.0
38.22009000,-78.7381300,936.0
38.22015000,-78.7379200,935.0
38.22019000,-78.7377900,935.0
38.22024000,-78.7376200,936.0
38.22027000,-78.7375300,936.0
38.22030000,-78.7374300,937.0
38.22031000,-78.7373800,937.0
38.22035000,-78.7373100,937.0
38.22036000,-78.7372500,937.0
38.22049000,-78.7368900,936.0
38.22054000,-78.7367500,935.0
38.22059000,-78.7366000,934.0
38.22070000,-78.7363700,932.0
38.22087000,-78.7361600,930.0
38.22100000,-78.7360000,928.0
38.22112000,-78.7358800,928.0
38.22136000,-78.7356300,924.0
38.22159000,-78.7354100,921.0
38.22183000,-78.7353000,921.0
38.22190000,-78.7352500,921.0
38.22204000,-78.7352300,920.0
38.22213000,-78.7351200,920.0
38.22217000,-78.7351000,919.0
38.22222000,-78.7350900,919.0
38.22232000,-78.7352100,915.0
38.22245000,-78.7352600,911.0
38.22267000,-78.7350700,906.0
38.22276000,-78.7349000,905.0
38.22280000,-78.7347400,904.0
38.22280000,-78.7346700,905.0
38.22281000,-78.7345400,905.0
38.22282000,-78.7344300,905.0
38.22282000,-78.7343700,904.0
38.22283000,-78.7343000,904.0
38.22286000,-78.7342400,902.0
38.22290000,-78.7341500,900.0
38.22298000,-78.7339900,896.0
38.22307000,-78.7338000,893.0
38.22312000,-78.7336700,891.0
38.22313000,-78.7335200,891.0
38.22310000,-78.7334300,891.0
38.22309000,-78.7334200,891.0
38.22306000,-78.7333400,891.0
38.22304000,-78.7333300,892.0
