Latitude,Longitude,Elevation
37.13250000,-80.1809500,748.0
37.13263000,-80.1813900,749.0
37.13267000,-80.1814300,750.0
37.13273000,-80.1815100,751.0
37.13276000,-80.1815500,752.0
37.13284000,-80.1816800,754.0
37.13292000,-80.1818200,757.0
37.13296000,-80.1818900,758.0
37.13299000,-80.1819900,759.0
37.13301000,-80.1820600,760.0
37.13307000,-80.1821600,761.0
37.13309000,-80.1822300,762.0
37.13311000,-80.1823500,762.0
37.13313000,-80.1824500,763.0
37.13317000,-80.1825900,764.0
37.13319000,-80.1826600,764.0
37.13319000,-80.1827300,764.0
37.13321000,-80.1828300,765.0
37.13321000,-80.1829000,765.0
37.13322000,-80.1829800,766.0
37.13322000,-80.1830500,766.0
37.13322000,-80.1831400,767.0
37.13322000,-80.1832200,767.0
37.13322000,-80.1833400,768.0
37.13322000,-80.1834100,768.0
37.13322000,-80.1835100,768.0
37.13322000,-80.1836000,768.0
37.13322000,-80.1836700,769.0
37.13321000,-80.1837700,769.0
37.13321000,-80.1838400,770.0
37.13319000,-80.1839100,770.0
37.13317000,-80.1839900,771.0
37.13315000,-80.1840600,771.0
37.13315000,-80.1841300,772.0
37.13315000,-80.1842500,773.0
37.13313000,-80.1843200,773.0
37.13313000,-80.1844000,773.0
37.13313000,-80.1844700,774.0
37.13315000,-80.1845400,775.0
37.13317000,-80.1846400,776.0
37.13321000,-80.1847300,777.0
37.13326000,-80.1848300,778.0
37.13328000,-80.1849000,778.0
37.13332000,-80.1849500,778.0
37.13334000,-80.1850200,779.0
37.13336000,-80.1850900,779.0
37.13336000,-80.1851900,778.0
37.13336000,-80.1853400,778.0
37.13334000,-80.1854600,779.0
37.13334000,-80.1855300,779.0
37.13332000,-80.1856000,780.0
37.13330000,-80.1856700,782.0
37.13324000,-80.1857500,784.0
37.13322000,-80.1858200,785.0
37.13319000,-80.1858700,786.0
37.13317000,-80.1859400,787.0
37.13315000,-80.1860300,788.0
37.13315000,-80.1861100,789.0
37.13313000,-80.1862000,790.0
37.13315000,-80.1863200,791.0
37.13315000,-80.1864200,791.0
37.13315000,-80.1865200,792.0
37.13313000,-80.1865900,793.0
37.13309000,-80.1867600,794.0
37.13303000,-80.1868800,794.0
37.13299000,-80.1869500,795.0
37.13296000,-80.1870200,796.0
37.13292000,-80.1870700,796.0
37.13288000,-80.1871200,797.0
37.13284000,-80.1871700,797.0
37.13278000,-80.1872100,797.0
37.13273000,-80.1872400,797.0
37.13265000,-80.1872600,797.0
37.13257000,-80.1873100,797.0
37.13250000,-80.1873600,798.0
37.13244000,-80.1873800,797.0
37.13238000,-80.1873800,797.0
37.13230000,-80.1874100,797.0
37.13226000,-80.1874500,798.0
37.13221000,-80.1874500,797.0
37.13215000,-80.1874800,799.0
37.13211000,-80.1875300,800.0
37.13203000,-80.1875500,801.0
37.13198000,-80.1876000,803.0
37.13192000,-80.1876200,803.0
37.13184000,-80.1876700,805.0
37.13177000,-80.1877400,807.0
