Latitude,Longitude,Elevation
36.79411000,-80.4664200,1044.0
36.79409000,-80.4664500,1044.0
36.79419000,-80.4665300,1045.0
36.79406000,-80.4669300,1045.0
36.79401000,-80.4672900,1047.0
36.79389000,-80.4676800,1046.0
36.79385000,-80.4679400,1047.0
36.79390000,-80.4681900,1052.0
36.79391000,-80.4683700,1055.0
36.79386000,-80.4685000,1054.0
36.79375000,-80.4686100,1051.0
36.79377000,-80.4687100,1053.0
36.79377000,-80.4688700,1055.0
36.79375000,-80.4691300,1055.0
36.79365000,-80.4692800,1052.0
36.79361000,-80.4695000,1051.0
36.79369000,-80.4696500,1056.0
36.79369000,-80.4698800,1057.0
36.79366000,-80.4700200,1055.0
36.79380000,-80.4701800,1063.0
36.79389000,-80.4705600,1070.0
36.79379000,-80.4708300,1073.0
36.79356000,-80.4712600,1073.0
36.79343000,-80.4716600,1074.0
36.79337000,-80.4719900,1080.0
36.79320000,-80.4724500,1080.0
36.79318000,-80.4726000,1083.0
36.79331000,-80.4725600,1089.0
36.79359000,-80.4721900,1097.0
36.79373000,-80.4719900,1100.0
36.79377000,-80.4718900,1099.0
36.79398000,-80.4716000,1101.0
36.79409000,-80.4714400,1103.0
36.79421000,-80.4712800,1105.0
36.79435000,-80.4713100,1112.0
36.79433000,-80.4713800,1113.0
36.79420000,-80.4715800,1112.0
36.79408000,-80.4717900,1112.0
36.79406000,-80.4722700,1119.0
36.79405000,-80.4728900,1125.0
36.79416000,-80.4736000,1127.0
36.79446000,-80.4742900,1137.0
36.79461000,-80.4747000,1143.0
36.79461000,-80.4748700,1145.0
36.79467000,-80.4753500,1147.0
36.79475000,-80.4755600,1148.0
36.79486000,-80.4756000,1153.0
36.79501000,-80.4751200,1160.0
36.79515000,-80.4747500,1165.0
36.79525000,-80.4744700,1168.0
36.79534000,-80.4741800,1168.0
36.79541000,-80.4739800,1167.0
36.79550000,-80.4738300,1166.0
36.79560000,-80.4738000,1167.0
36.79561000,-80.4741100,1174.0
36.79569000,-80.4744200,1182.0
36.79576000,-80.4747000,1189.0
36.79587000,-80.4751400,1194.0
36.79593000,-80.4754600,1194.0
36.79603000,-80.4759000,1193.0
36.79609000,-80.4760100,1194.0
36.79609000,-80.4762000,1193.0
36.79609000,-80.4766000,1194.0
36.79636000,-80.4774700,1193.0
36.79609000,-80.4766000,1194.0
36.79609000,-80.4762000,1193.0
36.79609000,-80.4760100,1194.0
36.79603000,-80.4759000,1193.0
36.79593000,-80.4754600,1194.0
36.79587000,-80.4751400,1194.0
36.79576000,-80.4747000,1189.0
36.79569000,-80.4744200,1182.0
36.79561000,-80.4741100,1174.0
36.79560000,-80.4738000,1167.0
36.79550000,-80.4738300,1166.0
36.79541000,-80.4739800,1167.0
36.79534000,-80.4741800,1168.0
36.79525000,-80.4744700,1168.0
36.79515000,-80.4747500,1165.0
36.79501000,-80.4751200,1160.0
36.79486000,-80.4756000,1153.0
36.79475000,-80.4755600,1148.0
36.79467000,-80.4753500,1147.0
36.79461000,-80.4748700,1145.0
36.79461000,-80.4747000,1143.0
36.79446000,-80.4742900,1137.0
36.79416000,-80.4736000,1127.0
36.79405000,-80.4728900,1125.0
36.79406000,-80.4722700,1119.0
36.79408000,-80.4717900,1112.0
36.79420000,-80.4715800,1112.0
36.79433000,-80.4713800,1113.0
36.79435000,-80.4713100,1112.0
36.79421000,-80.4712800,1105.0
36.79409000,-80.4714400,1103.0
36.79398000,-80.4716000,1101.0
36.79377000,-80.4718900,1099.0
36.79373000,-80.4719900,1100.0
36.79359000,-80.4721900,1097.0
36.79331000,-80.4725600,1089.0
36.79318000,-80.4726000,1083.0
36.79320000,-80.4724500,1080.0
36.79337000,-80.4719900,1080.0
36.79343000,-80.4716600,1074.0
36.79356000,-80.4712600,1073.0
36.79379000,-80.4708300,1073.0
36.79389000,-80.4705600,1070.0
36.79380000,-80.4701800,1063.0
36.79366000,-80.4700200,1055.0
36.79369000,-80.4698800,1057.0
36.79369000,-80.4696500,1056.0
36.79361000,-80.4695000,1051.0
36.79365000,-80.4692800,1052.0
36.79375000,-80.4691300,1055.0
36.79377000,-80.4688700,1055.0
36.79377000,-80.4687100,1053.0
36.79375000,-80.4686100,1051.0
36.79386000,-80.4685000,1054.0
36.79391000,-80.4683700,1055.0
36.79390000,-80.4681900,1052.0
36.79385000,-80.4679400,1047.0
36.79389000,-80.4676800,1046.0
36.79401000,-80.4672900,1047.0
36.79406000,-80.4669300,1045.0
36.79419000,-80.4665300,1045.0
36.79409000,-80.4664500,1044.0
36.79411000,-80.4664200,1044.0
