Latitude,Longitude,Elevation
38.72483000,-77.3303500,78.0
38.72497000,-77.3303500,77.0
38.72505000,-77.3304400,77.0
38.72520000,-77.3308900,81.0
38.72520000,-77.3309500,81.0
38.72518000,-77.3310500,82.0
38.72517000,-77.3311000,82.0
38.72517000,-77.3311500,82.0
38.72513000,-77.3312300,82.0
38.72508000,-77.3312900,82.0
38.72500000,-77.3314100,82.0
38.72489000,-77.3315800,82.0
38.72476000,-77.3316400,82.0
38.72458000,-77.3316700,80.0
38.72447000,-77.3317900,78.0
38.72455000,-77.3319900,78.0
38.72463000,-77.3321300,78.0
38.72463000,-77.3322900,79.0
38.72454000,-77.3324200,79.0
38.72440000,-77.3324900,79.0
38.72430000,-77.3325900,77.0
38.72428000,-77.3327800,77.0
38.72417000,-77.3329600,75.0
38.72416000,-77.3331000,75.0
38.72425000,-77.3334500,75.0
38.72414000,-77.3335900,73.0
38.72399000,-77.3336800,72.0
38.72389000,-77.3337700,70.0
38.72389000,-77.3341100,66.0
38.72398000,-77.3342200,68.0
38.72409000,-77.3342400,71.0
38.72420000,-77.3341500,74.0
38.72432000,-77.3340400,76.0
38.72439000,-77.3340300,77.0
38.72448000,-77.3340100,78.0
38.72458000,-77.3338800,78.0
38.72464000,-77.3338500,78.0
38.72474000,-77.3339100,77.0
38.72482000,-77.3341100,76.0
38.72489000,-77.3342000,75.0
38.72509000,-77.3342500,75.0
38.72516000,-77.3343700,74.0
38.72512000,-77.3345600,70.0
38.72501000,-77.3346900,66.0
38.72496000,-77.3348400,62.0
38.72511000,-77.3349900,61.0
38.72552000,-77.3350900,65.0
38.72580000,-77.3350200,64.0
38.72587000,-77.3350600,64.0
38.72591000,-77.3351700,62.0
38.72607000,-77.3352500,60.0
38.72623000,-77.3353200,58.0
38.72648000,-77.3354300,58.0
38.72661000,-77.3354400,59.0
38.72678000,-77.3354300,59.0
38.72685000,-77.3354000,59.0
38.72693000,-77.3353600,59.0
38.72699000,-77.3353600,59.0
38.72704000,-77.3354100,59.0
38.72711000,-77.3354600,59.0
38.72719000,-77.3355600,59.0
38.72730000,-77.3356200,60.0
38.72738000,-77.3357500,62.0
38.72743000,-77.3358100,63.0
38.72751000,-77.3358400,65.0
38.72764000,-77.3358800,66.0
38.72774000,-77.3359400,68.0
38.72787000,-77.3360100,69.0
38.72797000,-77.3360800,69.0
38.72800000,-77.3361800,69.0
38.72804000,-77.3362800,69.0
38.72807000,-77.3362900,68.0
38.72809000,-77.3363000,67.0
38.72815000,-77.3363800,65.0
38.72809000,-77.3364700,67.0
38.72791000,-77.3363700,72.0
38.72778000,-77.3363000,73.0
38.72774000,-77.3363600,74.0
38.72771000,-77.3367000,76.0
38.72753000,-77.3369600,80.0
38.72738000,-77.3370500,82.0
38.72723000,-77.3371600,83.0
38.72710000,-77.3371900,83.0
38.72699000,-77.3374000,83.0
38.72691000,-77.3375800,82.0
38.72689000,-77.3377400,81.0
38.72690000,-77.3379500,81.0
38.72676000,-77.3379600,80.0
38.72664000,-77.3379300,79.0
38.72655000,-77.3380400,78.0
38.72655000,-77.3381700,79.0
38.72676000,-77.3382300,80.0
38.72692000,-77.3382900,81.0
38.72696000,-77.3384500,82.0
38.72688000,-77.3385800,82.0
38.72681000,-77.3387000,83.0
38.72689000,-77.3389800,88.0
38.72682000,-77.3391000,89.0
38.72671000,-77.3391500,88.0
38.72662000,-77.3393100,89.0
38.72644000,-77.3393200,87.0
38.72628000,-77.3392600,84.0
38.72616000,-77.3394200,84.0
38.72607000,-77.3394700,84.0
38.72567000,-77.3393800,85.0
38.72552000,-77.3394400,85.0
38.72554000,-77.3398700,89.0
38.72539000,-77.3403600,93.0
38.72541000,-77.3405800,94.0
38.72524000,-77.3406300,92.0
38.72502000,-77.3404800,88.0
38.72478000,-77.3406900,84.0
38.72479000,-77.3409500,84.0
38.72499000,-77.3411700,84.0
38.72525000,-77.3412800,84.0
38.72548000,-77.3414900,82.0
38.72580000,-77.3413100,86.0
38.72610000,-77.3409200,89.0
38.72638000,-77.3409700,88.0
38.72664000,-77.3412100,86.0
38.72679000,-77.3411100,88.0
38.72695000,-77.3409100,89.0
38.72730000,-77.3407900,90.0
38.72747000,-77.3408300,90.0
38.72765000,-77.3408700,92.0
38.72784000,-77.3408800,95.0
38.72806000,-77.3410400,96.0
38.72823000,-77.3411300,97.0
38.72851000,-77.3411600,100.0
38.72863000,-77.3412500,100.0
38.72869000,-77.3413600,99.0
38.72884000,-77.3416400,97.0
38.72890000,-77.3417100,97.0
38.72897000,-77.3417700,98.0
38.72902000,-77.3418700,98.0
38.72907000,-77.3420200,97.0
38.72912000,-77.3421100,97.0
38.72919000,-77.3422900,98.0
38.72932000,-77.3426400,98.0
38.72945000,-77.3428600,98.0
38.72959000,-77.3429600,99.0
38.72968000,-77.3430500,99.0
38.72979000,-77.3431100,100.0
38.72989000,-77.3430900,102.0
38.72996000,-77.3431300,102.0
38.73000000,-77.3431800,103.0
38.72994000,-77.3433600,101.0
38.72989000,-77.3434800,101.0
38.72988000,-77.3436500,100.0
38.72983000,-77.3437700,100.0
38.72978000,-77.3438900,100.0
38.72945000,-77.3443100,97.0
38.72896000,-77.3449900,103.0
38.72855000,-77.3453700,101.0
38.72834000,-77.3454100,101.0
38.72806000,-77.3455800,103.0
38.72790000,-77.3457200,103.0
38.72780000,-77.3462400,100.0
38.72759000,-77.3464000,100.0
38.72740000,-77.3464600,100.0
38.72719000,-77.3468400,98.0
38.72710000,-77.3471000,94.0
38.72685000,-77.3474500,90.0
38.72676000,-77.3476800,88.0
38.72658000,-77.3478900,84.0
38.72655000,-77.3481900,83.0
38.72623000,-77.3484100,80.0
38.72612000,-77.3485000,78.0
38.72605000,-77.3486400,77.0
38.72596000,-77.3487400,76.0
38.72585000,-77.3487900,74.0
38.72578000,-77.3487200,73.0
38.72565000,-77.3487000,72.0
38.72554000,-77.3487900,71.0
38.72551000,-77.3488900,71.0
38.72552000,-77.3489800,71.0
38.72557000,-77.3491000,71.0
38.72549000,-77.3495700,68.0
38.72531000,-77.3501500,64.0
38.72531000,-77.3504100,63.0
38.72527000,-77.3507300,60.0
38.72539000,-77.3509700,59.0
38.72544000,-77.3511800,58.0
38.72549000,-77.3512600,58.0
38.72561000,-77.3513700,57.0
38.72595000,-77.3515500,55.0
38.72644000,-77.3519300,56.0
38.72675000,-77.3522300,58.0
38.72707000,-77.3523400,59.0
38.72717000,-77.3524200,59.0
38.72731000,-77.3527100,62.0
38.72743000,-77.3528500,64.0
38.72768000,-77.3532000,67.0
38.72796000,-77.3538300,71.0
38.72843000,-77.3544100,81.0
38.72862000,-77.3545600,84.0
38.72878000,-77.3546500,85.0
38.72899000,-77.3547500,86.0
38.72906000,-77.3548900,86.0
38.72913000,-77.3550800,85.0
38.72928000,-77.3552400,85.0
38.72942000,-77.3552700,86.0
