Latitude,Longitude,Elevation
38.76009000,-77.3026400,111.0
38.76008000,-77.3026400,111.0
38.76018000,-77.3020800,110.0
38.76058000,-77.3021900,110.0
38.76076000,-77.3019900,108.0
38.76091000,-77.3019700,106.0
38.76088000,-77.3024800,106.0
38.76081000,-77.3026700,107.0
38.76074000,-77.3031700,109.0
38.76077000,-77.3032100,109.0
38.76106000,-77.3032700,108.0
38.76135000,-77.3032600,107.0
38.76152000,-77.3031800,106.0
38.76161000,-77.3031700,106.0
38.76177000,-77.3031700,107.0
38.76187000,-77.3031200,107.0
38.76192000,-77.3029800,107.0
38.76199000,-77.3026200,105.0
38.76209000,-77.3025800,106.0
38.76217000,-77.3026800,108.0
38.76254000,-77.3029900,113.0
38.76301000,-77.3035300,109.0
38.76319000,-77.3039200,107.0
38.76367000,-77.3042300,107.0
38.76393000,-77.3046100,112.0
38.76413000,-77.3048000,113.0
38.76455000,-77.3048400,110.0
38.76477000,-77.3048700,108.0
38.76490000,-77.3049100,106.0
38.76515000,-77.3049200,103.0
38.76532000,-77.3050500,104.0
38.76543000,-77.3051200,105.0
38.76553000,-77.3052800,108.0
38.76554000,-77.3057400,111.0
38.76545000,-77.3060900,109.0
38.76546000,-77.3061800,108.0
38.76549000,-77.3062600,107.0
38.76559000,-77.3062500,107.0
38.76581000,-77.3062300,106.0
38.76598000,-77.3061800,105.0
38.76615000,-77.3062000,103.0
38.76630000,-77.3062900,103.0
38.76639000,-77.3064000,104.0
38.76647000,-77.3065200,105.0
38.76706000,-77.3071200,104.0
38.76718000,-77.3071800,104.0
38.76723000,-77.3072900,105.0
38.76727000,-77.3074000,106.0
38.76732000,-77.3074700,107.0
38.76738000,-77.3075300,108.0
38.76746000,-77.3075900,108.0
38.76751000,-77.3077500,108.0
38.76757000,-77.3078600,109.0
38.76770000,-77.3079600,108.0
38.76785000,-77.3079900,109.0
38.76799000,-77.3080000,109.0
38.76810000,-77.3080100,109.0
38.76822000,-77.3080200,109.0
38.76832000,-77.3080200,109.0
38.76847000,-77.3080100,108.0
38.76858000,-77.3079600,106.0
38.76879000,-77.3079000,104.0
38.76888000,-77.3078700,103.0
38.76896000,-77.3079300,102.0
38.76901000,-77.3078900,101.0
38.76903000,-77.3078400,100.0
38.76905000,-77.3078900,100.0
38.76905000,-77.3080600,102.0
38.76906000,-77.3082900,104.0
38.76908000,-77.3084700,105.0
38.76918000,-77.3087300,105.0
38.76924000,-77.3088200,105.0
38.76937000,-77.3088800,104.0
38.76946000,-77.3089000,103.0
38.76953000,-77.3088600,101.0
38.76960000,-77.3088000,99.0
38.76971000,-77.3086500,96.0
38.76998000,-77.3082600,97.0
38.77002000,-77.3081100,98.0
38.77009000,-77.3079200,98.0
38.77012000,-77.3078700,99.0
38.77012000,-77.3076600,100.0
38.77012000,-77.3074600,102.0
38.77015000,-77.3071300,102.0
38.77006000,-77.3062700,104.0
38.77007000,-77.3061600,105.0
38.77010000,-77.3058000,107.0
38.77005000,-77.3049500,105.0
38.76993000,-77.3048600,105.0
38.76978000,-77.3048100,105.0
38.76967000,-77.3048000,106.0
38.76947000,-77.3048600,106.0
38.76940000,-77.3049000,105.0
38.76933000,-77.3049700,104.0
38.76922000,-77.3050100,103.0
38.76901000,-77.3049900,103.0
38.76884000,-77.3049000,104.0
38.76830000,-77.3040400,108.0
38.76808000,-77.3038500,107.0
38.76790000,-77.3037600,107.0
38.76754000,-77.3030700,109.0
38.76753000,-77.3027100,111.0
38.76748000,-77.3025000,112.0
38.76724000,-77.3022400,112.0
38.76697000,-77.3018900,109.0
38.76687000,-77.3020500,109.0
38.76679000,-77.3020500,108.0
38.76662000,-77.3019100,106.0
38.76617000,-77.3016300,105.0
38.76562000,-77.3010000,99.0
38.76549000,-77.3007800,100.0
38.76529000,-77.2996500,103.0
38.76528000,-77.2993800,104.0
38.76542000,-77.2991900,108.0
38.76569000,-77.2987700,106.0
38.76593000,-77.2985800,105.0
38.76607000,-77.2985600,107.0
38.76613000,-77.2986000,108.0
38.76654000,-77.2991500,110.0
38.76663000,-77.2991800,112.0
