Latitude,Longitude,Elevation
37.52348000,-77.4707200,25.0
37.52347000,-77.4707200,25.0
37.52325000,-77.4706500,29.0
37.52336000,-77.4709400,28.0
37.52332000,-77.4707700,28.0
37.52333000,-77.4708300,28.0
37.52340000,-77.4709200,27.0
37.52344000,-77.4711400,29.0
37.52350000,-77.4713100,30.0
37.52353000,-77.4714100,32.0
37.52353000,-77.4715700,34.0
37.52355000,-77.4717400,36.0
37.52357000,-77.4719500,38.0
37.52363000,-77.4721900,41.0
37.52373000,-77.4724100,42.0
37.52386000,-77.4726200,42.0
37.52394000,-77.4727600,42.0
37.52400000,-77.4729100,43.0
37.52408000,-77.4730900,44.0
37.52417000,-77.4732500,46.0
37.52424000,-77.4733700,46.0
37.52430000,-77.4735400,48.0
37.52434000,-77.4736600,50.0
37.52438000,-77.4737600,50.0
37.52444000,-77.4738600,51.0
37.52449000,-77.4739100,49.0
37.52460000,-77.4739700,45.0
37.52469000,-77.4740200,42.0
37.52475000,-77.4740600,41.0
37.52479000,-77.4741500,42.0
37.52481000,-77.4742700,42.0
37.52485000,-77.4743700,42.0
37.52494000,-77.4744700,41.0
37.52503000,-77.4746600,38.0
37.52505000,-77.4747700,37.0
37.52507000,-77.4748500,37.0
37.52509000,-77.4749200,36.0
37.52513000,-77.4749900,35.0
37.52521000,-77.4750500,33.0
37.52526000,-77.4751400,31.0
37.52530000,-77.4752900,29.0
37.52534000,-77.4758300,32.0
37.52537000,-77.4759000,33.0
37.52539000,-77.4760300,34.0
37.52541000,-77.4761400,35.0
37.52545000,-77.4762800,36.0
37.52555000,-77.4764800,35.0
37.52562000,-77.4766200,36.0
37.52566000,-77.4767100,36.0
37.52570000,-77.4768300,37.0
37.52571000,-77.4768900,38.0
37.52570000,-77.4769700,40.0
37.52568000,-77.4770400,41.0
37.52564000,-77.4771200,42.0
37.52558000,-77.4771900,44.0
37.52553000,-77.4773000,45.0
37.52552000,-77.4773700,45.0
37.52552000,-77.4774400,45.0
37.52555000,-77.4775500,45.0
37.52556000,-77.4776100,46.0
37.52553000,-77.4776700,46.0
37.52544000,-77.4777200,47.0
37.52535000,-77.4777800,48.0
37.52528000,-77.4778500,48.0
37.52512000,-77.4778900,48.0
37.52496000,-77.4779100,50.0
37.52487000,-77.4779200,51.0
37.52480000,-77.4779400,52.0
37.52473000,-77.4779500,52.0
37.52468000,-77.4779900,53.0
37.52466000,-77.4780900,53.0
37.52471000,-77.4782000,53.0
37.52484000,-77.4782500,51.0
37.52489000,-77.4783000,51.0
37.52492000,-77.4783700,51.0
37.52491000,-77.4784800,52.0
37.52489000,-77.4785800,53.0
37.52490000,-77.4786400,54.0
37.52492000,-77.4787200,55.0
37.52511000,-77.4786700,52.0
37.52534000,-77.4785700,50.0
37.52537000,-77.4785300,50.0
37.52548000,-77.4784700,51.0
37.52566000,-77.4784100,53.0
37.52575000,-77.4783800,54.0
37.52583000,-77.4784100,55.0
37.52589000,-77.4784800,53.0
37.52592000,-77.4787100,53.0
37.52599000,-77.4788600,51.0
37.52603000,-77.4789300,50.0
37.52607000,-77.4789900,50.0
37.52610000,-77.4790500,50.0
37.52611000,-77.4791700,51.0
37.52612000,-77.4793900,51.0
37.52614000,-77.4794800,51.0
37.52616000,-77.4795300,51.0
37.52620000,-77.4795700,50.0
37.52625000,-77.4795900,49.0
37.52630000,-77.4796200,47.0
37.52633000,-77.4796600,47.0
37.52637000,-77.4797500,46.0
37.52649000,-77.4799700,46.0
37.52659000,-77.4801800,45.0
37.52664000,-77.4803200,45.0
37.52668000,-77.4805400,48.0
37.52673000,-77.4806900,48.0
37.52677000,-77.4808200,48.0
37.52701000,-77.4812900,45.0
37.52709000,-77.4815800,45.0
37.52712000,-77.4817200,46.0
37.52712000,-77.4818400,48.0
37.52711000,-77.4819100,50.0
37.52702000,-77.4822000,53.0
37.52691000,-77.4824300,53.0
37.52682000,-77.4826000,53.0
37.52677000,-77.4827000,52.0
37.52675000,-77.4827900,52.0
37.52676000,-77.4828700,52.0
37.52683000,-77.4828700,52.0
37.52694000,-77.4828000,52.0
37.52732000,-77.4825500,48.0
37.52744000,-77.4825000,46.0
37.52753000,-77.4825000,44.0
37.52767000,-77.4826200,41.0
37.52796000,-77.4828100,37.0
37.52818000,-77.4829700,35.0
37.52821000,-77.4830100,35.0
37.52828000,-77.4831000,35.0
37.52832000,-77.4832300,37.0
37.52835000,-77.4833700,39.0
37.52839000,-77.4834600,41.0
37.52841000,-77.4835300,42.0
37.52839000,-77.4836400,45.0
37.52836000,-77.4837400,47.0
37.52828000,-77.4838600,50.0
37.52822000,-77.4839200,52.0
37.52816000,-77.4839600,53.0
37.52818000,-77.4840200,54.0
37.52824000,-77.4840700,54.0
37.52829000,-77.4841000,54.0
37.52834000,-77.4841200,54.0
37.52840000,-77.4841300,54.0
37.52845000,-77.4841300,54.0
37.52850000,-77.4841200,54.0
37.52858000,-77.4840500,53.0
37.52871000,-77.4840000,52.0
37.52883000,-77.4840000,51.0
37.52893000,-77.4840400,51.0
37.52901000,-77.4840900,51.0
37.52909000,-77.4841400,51.0
37.52915000,-77.4842400,52.0
37.52926000,-77.4845100,55.0
37.52932000,-77.4846200,55.0
37.52940000,-77.4848000,55.0
37.52950000,-77.4849900,51.0
37.52955000,-77.4850700,50.0
37.52959000,-77.4851700,50.0
37.52962000,-77.4852200,50.0
37.52965000,-77.4853300,51.0
37.52967000,-77.4853900,52.0
37.52967000,-77.4855100,54.0
37.52965000,-77.4855600,55.0
37.52959000,-77.4856300,56.0
37.52951000,-77.4857000,57.0
37.52946000,-77.4857300,57.0
37.52942000,-77.4857200,57.0
37.52947000,-77.4855000,55.0
37.52957000,-77.4854000,53.0
37.52962000,-77.4853400,52.0
37.52960000,-77.4852000,50.0
37.52960000,-77.4851200,49.0
37.52954000,-77.4849500,50.0
37.52945000,-77.4847700,54.0
37.52939000,-77.4846500,55.0
37.52929000,-77.4843900,53.0
37.52923000,-77.4842800,52.0
37.52915000,-77.4841900,51.0
37.52907000,-77.4841100,50.0
37.52897000,-77.4840400,50.0
37.52886000,-77.4839900,51.0
37.52872000,-77.4840000,51.0
37.52863000,-77.4840600,53.0
37.52857000,-77.4840900,53.0
37.52853000,-77.4841000,53.0
37.52846000,-77.4841200,54.0
37.52841000,-77.4841300,54.0
37.52836000,-77.4841300,54.0
37.52829000,-77.4841200,54.0
37.52822000,-77.4840900,54.0
37.52818000,-77.4840600,54.0
37.52816000,-77.4839900,54.0
37.52823000,-77.4838800,51.0
37.52829000,-77.4837900,49.0
37.52833000,-77.4837200,47.0
37.52837000,-77.4836600,46.0
37.52840000,-77.4836000,44.0
37.52840000,-77.4835100,42.0
37.52840000,-77.4833800,39.0
37.52839000,-77.4832500,36.0
37.52831000,-77.4831100,35.0
37.52810000,-77.4829100,36.0
37.52781000,-77.4827000,39.0
37.52766000,-77.4825500,41.0
37.52756000,-77.4825000,43.0
37.52746000,-77.4824900,45.0
37.52708000,-77.4827800,51.0
37.52693000,-77.4828400,52.0
37.52681000,-77.4828800,52.0
37.52677000,-77.4828400,52.0
37.52675000,-77.4827800,52.0
37.52676000,-77.4827100,52.0
37.52681000,-77.4825800,53.0
37.52687000,-77.4823400,54.0
37.52702000,-77.4820300,53.0
37.52707000,-77.4819600,51.0
37.52712000,-77.4818500,48.0
37.52713000,-77.4817000,45.0
37.52711000,-77.4814200,42.0
37.52691000,-77.4809400,45.0
37.52685000,-77.4808100,44.0
37.52680000,-77.4806700,44.0
37.52676000,-77.4804500,43.0
37.52672000,-77.4803100,42.0
37.52664000,-77.4801200,43.0
37.52651000,-77.4798900,45.0
37.52644000,-77.4797800,45.0
37.52641000,-77.4797300,45.0
37.52637000,-77.4796800,46.0
37.52632000,-77.4796600,47.0
37.52627000,-77.4796400,48.0
37.52623000,-77.4796000,49.0
37.52619000,-77.4795300,50.0
37.52617000,-77.4793300,50.0
37.52616000,-77.4791800,50.0
37.52615000,-77.4791100,49.0
37.52612000,-77.4790600,50.0
37.52610000,-77.4789900,49.0
37.52605000,-77.4788700,49.0
37.52599000,-77.4786300,50.0
