Latitude,Longitude,Elevation
38.93787000,-78.2886200,209.0
38.93772000,-78.2885500,208.0
38.93767000,-78.2885600,208.0
38.93762000,-78.2885600,208.0
38.93757000,-78.2885700,208.0
38.93751000,-78.2885900,208.0
38.93746000,-78.2886100,209.0
38.93741000,-78.2886400,209.0
38.93737000,-78.2886800,209.0
38.93732000,-78.2887100,209.0
38.93728000,-78.2887400,209.0
38.93724000,-78.2887700,209.0
38.93719000,-78.2888000,210.0
38.93715000,-78.2888200,210.0
38.93711000,-78.2888500,210.0
38.93706000,-78.2888700,210.0
38.93701000,-78.2889000,210.0
38.93697000,-78.2889100,210.0
38.93691000,-78.2889400,210.0
38.93688000,-78.2889700,210.0
38.93684000,-78.2890100,210.0
38.93680000,-78.2890600,210.0
38.93677000,-78.2891100,210.0
38.93674000,-78.2891600,210.0
38.93671000,-78.2892300,211.0
38.93669000,-78.2892800,211.0
38.93667000,-78.2893300,211.0
38.93664000,-78.2893900,211.0
38.93661000,-78.2894400,212.0
38.93658000,-78.2894900,212.0
38.93653000,-78.2895200,212.0
38.93648000,-78.2895100,213.0
38.93644000,-78.2894700,212.0
38.93639000,-78.2894300,212.0
38.93634000,-78.2893800,212.0
38.93630000,-78.2893300,212.0
38.93626000,-78.2893100,212.0
38.93621000,-78.2893000,212.0
38.93615000,-78.2893100,212.0
38.93610000,-78.2893300,213.0
38.93606000,-78.2893500,213.0
38.93602000,-78.2893800,214.0
38.93598000,-78.2894300,214.0
38.93595000,-78.2894900,215.0
38.93592000,-78.2895500,215.0
38.93590000,-78.2896200,216.0
38.93587000,-78.2896500,216.0
38.93574000,-78.2898100,217.0
38.93571000,-78.2898600,217.0
38.93567000,-78.2899300,217.0
38.93564000,-78.2899800,217.0
38.93562000,-78.2900300,218.0
38.93557000,-78.2901100,218.0
38.93553000,-78.2901700,218.0
38.93549000,-78.2902100,218.0
38.93544000,-78.2902400,218.0
38.93539000,-78.2902400,218.0
38.93534000,-78.2902600,218.0
38.93529000,-78.2902700,218.0
38.93525000,-78.2903000,219.0
38.93522000,-78.2903500,219.0
38.93520000,-78.2904000,220.0
38.93519000,-78.2904800,220.0
38.93518000,-78.2905400,220.0
38.93516000,-78.2905900,220.0
38.93511000,-78.2906100,220.0
38.93507000,-78.2905800,220.0
38.93507000,-78.2905200,220.0
38.93507000,-78.2904500,220.0
38.93508000,-78.2903900,220.0
38.93510000,-78.2903100,220.0
38.93511000,-78.2902500,220.0
38.93513000,-78.2901900,220.0
38.93513000,-78.2901200,221.0
38.93512000,-78.2900600,221.0
38.93510000,-78.2900000,221.0
38.93505000,-78.2900200,222.0
38.93500000,-78.2900300,222.0
38.93495000,-78.2900500,223.0
38.93492000,-78.2901000,223.0
38.93490000,-78.2901600,223.0
38.93488000,-78.2902100,223.0
38.93485000,-78.2902700,223.0
38.93482000,-78.2903200,223.0
38.93479000,-78.2903600,224.0
38.93475000,-78.2904000,224.0
38.93471000,-78.2904400,225.0
38.93467000,-78.2904700,225.0
38.93463000,-78.2905000,225.0
38.93459000,-78.2905300,226.0
38.93455000,-78.2905800,226.0
38.93452000,-78.2906300,227.0
38.93449000,-78.2906700,227.0
38.93445000,-78.2907100,227.0
38.93440000,-78.2907400,228.0
38.93436000,-78.2907500,228.0
38.93432000,-78.2907700,228.0
38.93427000,-78.2907900,228.0
38.93423000,-78.2908100,228.0
38.93421000,-78.2908200,228.0
38.93408000,-78.2909200,229.0
38.93404000,-78.2909800,229.0
38.93403000,-78.2910400,230.0
38.93403000,-78.2911000,230.0
38.93404000,-78.2911700,230.0
38.93407000,-78.2912300,230.0
38.93411000,-78.2912700,230.0
38.93416000,-78.2912900,230.0
38.93420000,-78.2913300,230.0
38.93424000,-78.2913800,230.0
38.93428000,-78.2914100,230.0
38.93433000,-78.2914400,230.0
38.93438000,-78.2914600,230.0
38.93442000,-78.2914900,230.0
38.93446000,-78.2915300,230.0
38.93450000,-78.2915800,230.0
38.93454000,-78.2916400,229.0
38.93458000,-78.2917000,229.0
38.93458000,-78.2917800,230.0
38.93457000,-78.2918400,231.0
38.93456000,-78.2919100,232.0
38.93454000,-78.2919600,232.0
38.93452000,-78.2920200,233.0
38.93449000,-78.2920700,233.0
38.93446000,-78.2921200,234.0
38.93443000,-78.2921800,234.0
38.93441000,-78.2922300,235.0
38.93441000,-78.2922900,235.0
38.93442000,-78.2923500,236.0
38.93444000,-78.2924100,236.0
38.93446000,-78.2924700,236.0
38.93448000,-78.2925200,236.0
38.93451000,-78.2925800,236.0
38.93454000,-78.2926400,236.0
38.93455000,-78.2926900,236.0
38.93458000,-78.2927700,236.0
38.93460000,-78.2928300,237.0
38.93462000,-78.2928900,237.0
38.93466000,-78.2929400,237.0
38.93471000,-78.2929900,236.0
38.93475000,-78.2930300,236.0
38.93480000,-78.2930600,236.0
38.93484000,-78.2931000,236.0
38.93488000,-78.2931300,236.0
38.93492000,-78.2931800,237.0
38.93494000,-78.2932400,237.0
38.93495000,-78.2933100,238.0
38.93495000,-78.2933700,238.0
38.93495000,-78.2934300,238.0
38.93495000,-78.2935000,238.0
38.93495000,-78.2935500,238.0
38.93497000,-78.2937900,239.0
38.93498000,-78.2938500,239.0
38.93499000,-78.2939300,240.0
38.93499000,-78.2940000,240.0
38.93500000,-78.2940800,241.0
38.93500000,-78.2941600,241.0
38.93501000,-78.2942400,242.0
38.93502000,-78.2943300,243.0
38.93504000,-78.2943900,243.0
38.93504000,-78.2944600,244.0
38.93505000,-78.2945400,244.0
38.93506000,-78.2946100,244.0
38.93507000,-78.2946800,245.0
38.93509000,-78.2947500,245.0
38.93511000,-78.2948100,245.0
38.93513000,-78.2948600,245.0
38.93516000,-78.2949200,245.0
38.93519000,-78.2949700,245.0
38.93528000,-78.2950600,245.0
38.93532000,-78.2951000,246.0
38.93538000,-78.2951300,247.0
38.93542000,-78.2951600,247.0
38.93547000,-78.2951800,248.0
38.93553000,-78.2951900,248.0
38.93558000,-78.2951900,248.0
38.93564000,-78.2952000,249.0
38.93570000,-78.2952000,249.0
38.93574000,-78.2951900,249.0
38.93580000,-78.2951600,249.0
38.93584000,-78.2951400,249.0
38.93589000,-78.2951200,249.0
38.93595000,-78.2951100,250.0
38.93600000,-78.2951100,250.0
38.93605000,-78.2951100,251.0
38.93609000,-78.2951100,251.0
38.93614000,-78.2951100,252.0
38.93619000,-78.2951100,252.0
38.93624000,-78.2951000,253.0
38.93629000,-78.2950800,253.0
38.93634000,-78.2950800,254.0
38.93639000,-78.2950800,254.0
38.93644000,-78.2951000,255.0
38.93650000,-78.2951300,255.0
38.93654000,-78.2951700,256.0
38.93658000,-78.2952200,256.0
38.93662000,-78.2952700,257.0
38.93666000,-78.2953200,258.0
38.93669000,-78.2953600,258.0
38.93672000,-78.2953800,258.0
38.93691000,-78.2956100,258.0
38.93695000,-78.2956500,258.0
38.93700000,-78.2957000,259.0
38.93705000,-78.2957200,258.0
38.93708000,-78.2957500,258.0
38.93713000,-78.2957700,258.0
38.93719000,-78.2958200,258.0
38.93724000,-78.2958800,258.0
38.93728000,-78.2959200,258.0
38.93732000,-78.2959500,258.0
38.93736000,-78.2959900,259.0
38.93740000,-78.2960400,259.0
38.93744000,-78.2960900,260.0
38.93749000,-78.2961700,260.0
38.93756000,-78.2963100,260.0
38.93760000,-78.2963800,260.0
38.93762000,-78.2964400,260.0
38.93765000,-78.2965200,260.0
38.93768000,-78.2965800,260.0
38.93770000,-78.2966500,260.0
38.93772000,-78.2967200,260.0
38.93774000,-78.2967900,260.0
38.93775000,-78.2968600,260.0
38.93776000,-78.2969200,261.0
38.93777000,-78.2969900,261.0
38.93778000,-78.2970500,262.0
38.93780000,-78.2971100,262.0
38.93781000,-78.2971900,263.0
38.93783000,-78.2972600,263.0
38.93785000,-78.2973400,264.0
38.93787000,-78.2974000,264.0
38.93789000,-78.2974600,264.0
38.93791000,-78.2975200,265.0
38.93793000,-78.2975800,265.0
38.93795000,-78.2976400,266.0
38.93797000,-78.2976900,266.0
38.93800000,-78.2977500,267.0
38.93802000,-78.2978200,267.0
38.93805000,-78.2978700,267.0
38.93808000,-78.2979200,267.0
38.93810000,-78.2980000,268.0
38.93814000,-78.2980500,268.0
38.93817000,-78.2981100,269.0
38.93820000,-78.2981700,269.0
38.93823000,-78.2982200,269.0
38.93828000,-78.2982700,270.0
38.93832000,-78.2983200,270.0
38.93837000,-78.2983600,271.0
38.93842000,-78.2983900,271.0
38.93842000,-78.2984000,271.0
38.93858000,-78.2984100,272.0
38.93864000,-78.2984300,272.0
38.93868000,-78.2984400,273.0
38.93873000,-78.2984500,273.0
38.93878000,-78.2984500,273.0
38.93884000,-78.2984600,274.0
38.93888000,-78.2984800,274.0
38.93892000,-78.2985100,274.0
38.93897000,-78.2985500,275.0
38.93901000,-78.2985900,275.0
38.93906000,-78.2986000,275.0
38.93911000,-78.2986000,275.0
38.93916000,-78.2985900,275.0
38.93924000,-78.2985600,275.0
38.93928000,-78.2985400,275.0
38.93934000,-78.2985200,275.0
38.93939000,-78.2985100,275.0
38.93944000,-78.2985100,275.0
38.93950000,-78.2985100,276.0
38.93955000,-78.2985000,276.0
38.93960000,-78.2985100,277.0
38.93964000,-78.2985200,278.0
38.93967000,-78.2985700,278.0
38.93971000,-78.2986200,279.0
38.93974000,-78.2986900,281.0
38.93975000,-78.2987500,281.0
38.93976000,-78.2988300,282.0
38.93977000,-78.2988900,283.0
