Latitude,Longitude,Elevation
37.39081000,-79.9061800,370.0
37.39086000,-79.9061200,370.0
37.39084000,-79.9061300,370.0
37.39084000,-79.9061600,370.0
37.39084000,-79.9061500,370.0
37.39084000,-79.9061800,370.0
37.39082000,-79.9061600,370.0
37.39082000,-79.9062800,371.0
37.39088000,-79.9063700,372.0
37.39096000,-79.9064300,372.0
37.39104000,-79.9065000,373.0
37.39112000,-79.9065600,374.0
37.39113000,-79.9066700,375.0
37.39115000,-79.9067900,375.0
37.39114000,-79.9069100,375.0
37.39113000,-79.9070300,375.0
37.39115000,-79.9071500,375.0
37.39118000,-79.9072700,376.0
37.39119000,-79.9073900,378.0
37.39120000,-79.9075000,379.0
37.39122000,-79.9076200,380.0
37.39125000,-79.9077300,381.0
37.39123000,-79.9078400,383.0
37.39123000,-79.9079500,384.0
37.39123000,-79.9080700,386.0
37.39123000,-79.9081800,387.0
37.39122000,-79.9083000,387.0
37.39122000,-79.9084200,388.0
37.39123000,-79.9085400,388.0
37.39121000,-79.9086600,388.0
37.39120000,-79.9087800,388.0
37.39119000,-79.9088900,388.0
37.39119000,-79.9090100,388.0
37.39119000,-79.9091200,388.0
37.39117000,-79.9092300,387.0
37.39116000,-79.9093500,387.0
37.39115000,-79.9094700,387.0
37.39119000,-79.9095800,386.0
37.39121000,-79.9096900,385.0
37.39118000,-79.9098000,384.0
37.39124000,-79.9098700,382.0
37.39121000,-79.9099700,382.0
37.39120000,-79.9100900,380.0
37.39116000,-79.9102000,380.0
37.39112000,-79.9103000,379.0
37.39104000,-79.9103700,379.0
37.39100000,-79.9104800,377.0
37.39101000,-79.9105900,375.0
37.39101000,-79.9107100,374.0
37.39096000,-79.9108100,373.0
37.39091000,-79.9109100,372.0
37.39088000,-79.9110300,370.0
37.39084000,-79.9111300,369.0
37.39077000,-79.9112700,368.0
37.39071000,-79.9113500,368.0
37.39062000,-79.9114200,367.0
37.39055000,-79.9114900,367.0
37.39049000,-79.9115700,366.0
37.39044000,-79.9116800,364.0
37.39035000,-79.9117200,363.0
37.39028000,-79.9118100,362.0
37.39024000,-79.9119200,362.0
37.39018000,-79.9120000,362.0
37.39008000,-79.9120000,363.0
37.39002000,-79.9120900,363.0
37.38995000,-79.9121700,363.0
37.38990000,-79.9122800,362.0
37.38996000,-79.9123700,361.0
37.39001000,-79.9124700,360.0
37.39002000,-79.9125900,359.0
37.38999000,-79.9127100,359.0
37.38996000,-79.9128200,358.0
37.38997000,-79.9129400,358.0
37.38994000,-79.9130500,357.0
37.38993000,-79.9131700,357.0
37.38998000,-79.9132700,356.0
37.38997000,-79.9133800,356.0
37.38993000,-79.9134900,356.0
37.38989000,-79.9136000,356.0
37.38988000,-79.9137200,356.0
37.38986000,-79.9138200,356.0
37.38983000,-79.9139400,356.0
37.38985000,-79.9140500,356.0
37.38982000,-79.9141600,356.0
37.38983000,-79.9142700,356.0
37.38988000,-79.9143700,356.0
37.38997000,-79.9144100,356.0
37.39004000,-79.9144900,356.0
37.39010000,-79.9145800,356.0
37.39015000,-79.9146800,356.0
37.39013000,-79.9148000,355.0
37.39007000,-79.9148800,355.0
37.39000000,-79.9149700,355.0
37.38997000,-79.9150900,356.0
37.38998000,-79.9152000,357.0
37.38992000,-79.9153000,358.0
37.38988000,-79.9154000,360.0
37.38983000,-79.9155100,361.0
37.38979000,-79.9156100,363.0
37.38980000,-79.9157300,364.0
37.38980000,-79.9158500,364.0
37.38979000,-79.9159700,365.0
37.38976000,-79.9160800,365.0
37.38974000,-79.9161900,366.0
37.38968000,-79.9162700,365.0
37.38962000,-79.9163700,365.0
37.38957000,-79.9164700,365.0
37.38956000,-79.9165900,366.0
37.38956000,-79.9167200,367.0
37.38952000,-79.9168200,368.0
37.38951000,-79.9169400,369.0
37.38952000,-79.9170500,370.0
37.38947000,-79.9171500,371.0
37.38942000,-79.9172400,372.0
37.38935000,-79.9173300,374.0
37.38926000,-79.9173800,375.0
37.38916000,-79.9173700,377.0
37.38909000,-79.9174300,378.0
37.38907000,-79.9175500,379.0
37.38908000,-79.9176700,379.0
37.38913000,-79.9177700,379.0
37.38912000,-79.9178900,380.0
37.38910000,-79.9180100,381.0
37.38905000,-79.9181200,382.0
37.38898000,-79.9182100,383.0
37.38892000,-79.9183100,383.0
37.38890000,-79.9184200,384.0
37.38890000,-79.9185400,384.0
37.38894000,-79.9186500,385.0
37.38892000,-79.9187700,386.0
37.38888000,-79.9188700,387.0
37.38891000,-79.9189800,388.0
37.38900000,-79.9190400,388.0
37.38907000,-79.9191100,388.0
37.38911000,-79.9192200,390.0
37.38914000,-79.9193300,392.0
37.38918000,-79.9194400,394.0
37.38922000,-79.9195500,396.0
37.38922000,-79.9196600,399.0
37.38925000,-79.9197800,400.0
37.38927000,-79.9198900,401.0
37.38929000,-79.9200000,402.0
37.38929000,-79.9201200,403.0
37.38928000,-79.9202400,404.0
37.38929000,-79.9203500,405.0
37.38928000,-79.9204800,405.0
37.38921000,-79.9205600,405.0
37.38914000,-79.9206300,405.0
37.38911000,-79.9207500,405.0
37.38908000,-79.9208600,404.0
37.38902000,-79.9209500,403.0
37.38893000,-79.9209800,403.0
37.38883000,-79.9210000,405.0
37.38874000,-79.9210300,407.0
37.38872000,-79.9211400,406.0
37.38863000,-79.9211800,408.0
37.38854000,-79.9212000,409.0
37.38844000,-79.9212000,411.0
37.38835000,-79.9212100,413.0
37.38826000,-79.9212500,412.0
37.38817000,-79.9212100,412.0
37.38811000,-79.9211200,414.0
37.38808000,-79.9210000,416.0
37.38804000,-79.9209000,417.0
37.38800000,-79.9208000,418.0
37.38792000,-79.9207300,418.0
37.38783000,-79.9206900,417.0
37.38774000,-79.9207200,417.0
37.38764000,-79.9207500,416.0
37.38756000,-79.9207700,416.0
37.38746000,-79.9207700,416.0
37.38738000,-79.9208200,417.0
37.38729000,-79.9208500,419.0
37.38720000,-79.9208600,419.0
37.38715000,-79.9209600,419.0
37.38709000,-79.9210500,419.0
37.38702000,-79.9211200,419.0
37.38694000,-79.9211900,420.0
37.38690000,-79.9212900,421.0
37.38681000,-79.9213300,421.0
37.38675000,-79.9214200,421.0
37.38681000,-79.9215000,423.0
