Latitude,Longitude,Elevation
37.35312000,-80.5997900,669.0
37.35333000,-80.5996400,667.0
37.35338000,-80.5996200,668.0
37.35342000,-80.5995800,668.0
37.35347000,-80.5995300,667.0
37.35351000,-80.5994600,667.0
37.35354000,-80.5993900,667.0
37.35355000,-80.5993200,667.0
37.35356000,-80.5992500,667.0
37.35358000,-80.5992000,667.0
37.35361000,-80.5991500,668.0
37.35366000,-80.5990900,669.0
37.35371000,-80.5990300,671.0
37.35374000,-80.5989900,672.0
37.35377000,-80.5989100,673.0
37.35378000,-80.5988500,673.0
37.35378000,-80.5987600,674.0
37.35379000,-80.5986900,675.0
37.35380000,-80.5986200,675.0
37.35381000,-80.5985600,676.0
37.35382000,-80.5984900,676.0
37.35383000,-80.5984300,677.0
37.35384000,-80.5983600,677.0
37.35384000,-80.5982900,678.0
37.35385000,-80.5982400,678.0
37.35387000,-80.5981700,679.0
37.35390000,-80.5981200,679.0
37.35392000,-80.5980600,680.0
37.35395000,-80.5980000,681.0
37.35396000,-80.5979300,681.0
37.35397000,-80.5978700,682.0
37.35401000,-80.5978200,683.0
37.35406000,-80.5977800,683.0
37.35411000,-80.5977600,684.0
37.35416000,-80.5977200,684.0
37.35421000,-80.5976700,685.0
37.35424000,-80.5976100,685.0
37.35429000,-80.5975500,686.0
37.35431000,-80.5974800,686.0
37.35434000,-80.5974300,687.0
37.35436000,-80.5973800,687.0
37.35436000,-80.5973700,687.0
37.35448000,-80.5971000,689.0
37.35451000,-80.5970300,690.0
37.35452000,-80.5969500,690.0
37.35452000,-80.5968700,690.0
37.35452000,-80.5968100,691.0
37.35452000,-80.5967400,691.0
37.35454000,-80.5966800,692.0
37.35456000,-80.5965900,693.0
37.35458000,-80.5965400,693.0
37.35459000,-80.5964800,694.0
37.35460000,-80.5964100,694.0
37.35462000,-80.5963600,695.0
37.35464000,-80.5962900,695.0
37.35466000,-80.5962300,695.0
37.35468000,-80.5961800,695.0
37.35471000,-80.5961200,695.0
37.35474000,-80.5960700,694.0
37.35477000,-80.5960200,694.0
37.35481000,-80.5959800,694.0
37.35483000,-80.5959300,694.0
37.35485000,-80.5958600,694.0
37.35488000,-80.5958100,693.0
37.35490000,-80.5957600,693.0
37.35494000,-80.5957100,693.0
37.35500000,-80.5956800,693.0
37.35506000,-80.5956800,694.0
37.35516000,-80.5956400,696.0
37.35523000,-80.5956100,698.0
37.35527000,-80.5955500,698.0
37.35531000,-80.5954900,699.0
37.35534000,-80.5954300,699.0
37.35535000,-80.5953700,699.0
37.35537000,-80.5953100,699.0
37.35540000,-80.5952600,700.0
37.35545000,-80.5952300,701.0
37.35549000,-80.5951800,701.0
37.35552000,-80.5951100,702.0
37.35554000,-80.5950600,702.0
37.35556000,-80.5950000,702.0
37.35558000,-80.5949200,702.0
37.35560000,-80.5948700,702.0
37.35563000,-80.5948100,702.0
37.35567000,-80.5947600,702.0
37.35571000,-80.5947100,702.0
37.35575000,-80.5946600,702.0
37.35579000,-80.5946200,703.0
37.35583000,-80.5945800,703.0
37.35587000,-80.5945400,704.0
37.35591000,-80.5944900,706.0
37.35593000,-80.5944300,707.0
37.35596000,-80.5943700,708.0
