Latitude,Longitude,Elevation
37.38034000,-80.0901000,609.0
37.38032000,-80.0901100,609.0
37.38034000,-80.0901900,609.0
37.38034000,-80.0902400,609.0
37.38054000,-80.0901400,606.0
37.38093000,-80.0899000,602.0
37.38116000,-80.0897400,600.0
37.38121000,-80.0897000,601.0
37.38126000,-80.0896300,602.0
37.38128000,-80.0895500,605.0
37.38130000,-80.0894900,607.0
37.38131000,-80.0893300,612.0
37.38130000,-80.0892400,615.0
37.38132000,-80.0891800,617.0
37.38134000,-80.0891300,618.0
37.38137000,-80.0890900,619.0
37.38140000,-80.0890700,619.0
37.38144000,-80.0890500,619.0
37.38197000,-80.0889100,615.0
37.38207000,-80.0888900,613.0
37.38211000,-80.0888700,613.0
37.38215000,-80.0888400,613.0
37.38218000,-80.0887800,613.0
37.38219000,-80.0887400,614.0
37.38219000,-80.0887100,614.0
37.38213000,-80.0884500,623.0
37.38210000,-80.0883000,628.0
37.38210000,-80.0882300,630.0
37.38212000,-80.0881600,631.0
37.38215000,-80.0881000,631.0
37.38227000,-80.0879400,630.0
37.38236000,-80.0877800,629.0
37.38247000,-80.0875800,627.0
37.38252000,-80.0874600,627.0
37.38256000,-80.0873500,627.0
37.38257000,-80.0872500,629.0
37.38257000,-80.0871700,631.0
37.38247000,-80.0864100,643.0
37.38247000,-80.0862700,643.0
37.38248000,-80.0861400,642.0
37.38248000,-80.0860100,641.0
37.38247000,-80.0858900,640.0
37.38242000,-80.0855900,638.0
37.38233000,-80.0852800,636.0
37.38232000,-80.0852100,636.0
37.38232000,-80.0851100,636.0
37.38233000,-80.0850100,636.0
37.38235000,-80.0849500,636.0
37.38242000,-80.0847800,637.0
37.38286000,-80.0839900,643.0
37.38296000,-80.0838200,643.0
37.38303000,-80.0836600,643.0
37.38321000,-80.0831900,640.0
37.38326000,-80.0830500,640.0
37.38329000,-80.0829400,639.0
37.38341000,-80.0823500,636.0
37.38346000,-80.0822000,636.0
37.38352000,-80.0820600,635.0
37.38361000,-80.0818900,636.0
37.38367000,-80.0817900,636.0
37.38378000,-80.0816700,638.0
37.38387000,-80.0815900,639.0
37.38390000,-80.0815500,639.0
37.38429000,-80.0809600,636.0
37.38460000,-80.0805100,636.0
37.38478000,-80.0802800,633.0
37.38485000,-80.0801700,632.0
37.38490000,-80.0800400,632.0
37.38494000,-80.0799100,633.0
37.38502000,-80.0795100,633.0
37.38510000,-80.0791600,629.0
37.38517000,-80.0789000,626.0
37.38543000,-80.0780100,635.0
37.38547000,-80.0778300,635.0
37.38549000,-80.0776800,635.0
37.38549000,-80.0776000,635.0
37.38545000,-80.0774300,634.0
37.38544000,-80.0773300,633.0
37.38545000,-80.0772400,633.0
37.38546000,-80.0771900,633.0
37.38557000,-80.0768900,636.0
37.38561000,-80.0767400,637.0
37.38564000,-80.0766800,637.0
37.38568000,-80.0766300,638.0
37.38575000,-80.0765800,639.0
37.38585000,-80.0765400,640.0
37.38618000,-80.0764300,636.0
37.38624000,-80.0764100,635.0
37.38627000,-80.0763800,635.0
37.38631000,-80.0763200,635.0
37.38634000,-80.0762600,635.0
37.38634000,-80.0762300,635.0
37.38634000,-80.0761300,636.0
37.38632000,-80.0760700,637.0
37.38628000,-80.0760000,639.0
37.38621000,-80.0758000,641.0
37.38615000,-80.0755800,640.0
37.38611000,-80.0754200,639.0
37.38610000,-80.0753400,639.0
37.38611000,-80.0752500,638.0
37.38614000,-80.0751600,638.0
37.38629000,-80.0747500,636.0
37.38679000,-80.0735200,647.0
37.38688000,-80.0732700,648.0
37.38696000,-80.0729800,650.0
37.38711000,-80.0723300,647.0
37.38724000,-80.0719500,650.0
37.38742000,-80.0713900,655.0
37.38744000,-80.0712700,656.0
37.38744000,-80.0711400,657.0
37.38744000,-80.0707500,660.0
37.38744000,-80.0703100,665.0
37.38747000,-80.0699700,667.0
37.38747000,-80.0698300,667.0
37.38745000,-80.0697000,667.0
37.38741000,-80.0695400,668.0
37.38740000,-80.0694400,668.0
37.38741000,-80.0692400,669.0
37.38744000,-80.0690400,670.0
37.38747000,-80.0689100,671.0
37.38752000,-80.0687300,672.0
37.38755000,-80.0685400,672.0
37.38758000,-80.0683000,672.0
37.38766000,-80.0678900,671.0
37.38774000,-80.0675600,670.0
37.38781000,-80.0673100,672.0
37.38786000,-80.0671500,674.0
37.38793000,-80.0668900,676.0
37.38794000,-80.0668300,676.0
37.38794000,-80.0667600,677.0
37.38792000,-80.0666800,677.0
37.38787000,-80.0665100,678.0
37.38779000,-80.0662800,679.0
37.38775000,-80.0661400,680.0
37.38773000,-80.0659900,681.0
37.38771000,-80.0658500,681.0
37.38772000,-80.0657000,681.0
37.38774000,-80.0655600,682.0
37.38776000,-80.0655100,683.0
37.38782000,-80.0652900,685.0
37.38783000,-80.0651900,685.0
37.38787000,-80.0644800,691.0
37.38790000,-80.0642500,694.0
37.38794000,-80.0639800,698.0
37.38800000,-80.0635500,705.0
37.38811000,-80.0627500,707.0
37.38814000,-80.0626300,708.0
37.38819000,-80.0625300,709.0
37.38828000,-80.0623400,711.0
37.38837000,-80.0622200,711.0
37.38846000,-80.0621000,710.0
37.38852000,-80.0620300,709.0
37.38855000,-80.0620000,709.0
37.38856000,-80.0619500,709.0
37.38855000,-80.0618900,709.0
37.38853000,-80.0618400,709.0
37.38839000,-80.0616600,709.0
37.38827000,-80.0615300,709.0
37.38816000,-80.0614200,708.0
37.38809000,-80.0613400,708.0
37.38805000,-80.0612700,708.0
37.38802000,-80.0611800,708.0
37.38801000,-80.0611000,708.0
37.38803000,-80.0607500,709.0
37.38805000,-80.0603700,709.0
37.38806000,-80.0602600,708.0
37.38810000,-80.0601300,708.0
37.38815000,-80.0600300,708.0
37.38820000,-80.0599500,708.0
37.38827000,-80.0598600,708.0
37.38828000,-80.0598500,708.0
37.38828000,-80.0598600,708.0
37.38828000,-80.0598500,708.0
37.38827000,-80.0598600,708.0
37.38820000,-80.0599500,708.0
37.38815000,-80.0600300,708.0
37.38810000,-80.0601300,708.0
37.38806000,-80.0602600,708.0
37.38805000,-80.0603700,709.0
37.38803000,-80.0607500,709.0
37.38801000,-80.0611000,708.0
37.38802000,-80.0611800,708.0
37.38805000,-80.0612700,708.0
37.38809000,-80.0613400,708.0
37.38816000,-80.0614200,708.0
37.38827000,-80.0615300,709.0
37.38839000,-80.0616600,709.0
37.38853000,-80.0618400,709.0
37.38855000,-80.0618900,709.0
37.38856000,-80.0619500,709.0
37.38855000,-80.0620000,709.0
37.38852000,-80.0620300,709.0
37.38846000,-80.0621000,710.0
37.38837000,-80.0622200,711.0
37.38828000,-80.0623400,711.0
37.38819000,-80.0625300,709.0
37.38814000,-80.0626300,708.0
37.38811000,-80.0627500,707.0
37.38800000,-80.0635500,705.0
37.38794000,-80.0639800,698.0
37.38790000,-80.0642500,694.0
37.38787000,-80.0644800,691.0
37.38783000,-80.0651900,685.0
37.38782000,-80.0652900,685.0
37.38776000,-80.0655100,683.0
37.38774000,-80.0655600,682.0
37.38772000,-80.0657000,681.0
37.38771000,-80.0658500,681.0
37.38773000,-80.0659900,681.0
37.38775000,-80.0661400,680.0
37.38779000,-80.0662800,679.0
37.38787000,-80.0665100,678.0
37.38792000,-80.0666800,677.0
37.38794000,-80.0667600,677.0
37.38794000,-80.0668300,676.0
37.38793000,-80.0668900,676.0
37.38786000,-80.0671500,674.0
37.38781000,-80.0673100,672.0
37.38774000,-80.0675600,670.0
37.38766000,-80.0678900,671.0
37.38758000,-80.0683000,672.0
37.38755000,-80.0685400,672.0
37.38752000,-80.0687300,672.0
37.38747000,-80.0689100,671.0
37.38744000,-80.0690400,670.0
37.38741000,-80.0692400,669.0
37.38740000,-80.0694400,668.0
37.38741000,-80.0695400,668.0
37.38745000,-80.0697000,667.0
37.38747000,-80.0698300,667.0
37.38747000,-80.0699700,667.0
37.38744000,-80.0703100,665.0
37.38744000,-80.0707500,660.0
37.38744000,-80.0711400,657.0
37.38744000,-80.0712700,656.0
37.38742000,-80.0713900,655.0
37.38724000,-80.0719500,650.0
37.38711000,-80.0723300,647.0
37.38696000,-80.0729800,650.0
