Latitude,Longitude,Elevation
37.62837000,-79.5434900,328.0
37.62814000,-79.5435400,328.0
37.62793000,-79.5434500,327.0
37.62773000,-79.5432700,323.0
37.62752000,-79.5431300,317.0
37.62734000,-79.5429600,310.0
37.62711000,-79.5429900,301.0
37.62699000,-79.5432300,298.0
37.62701000,-79.5435300,303.0
37.62715000,-79.5437700,311.0
37.62733000,-79.5439600,321.0
37.62749000,-79.5441500,332.0
37.62762000,-79.5444000,341.0
37.62763000,-79.5444300,341.0
37.62783000,-79.5446000,342.0
37.62803000,-79.5447400,342.0
37.62823000,-79.5449000,343.0
37.62842000,-79.5450700,341.0
37.62844000,-79.5450900,341.0
37.62859000,-79.5453200,336.0
37.62882000,-79.5453600,329.0
37.62905000,-79.5454200,325.0
37.62911000,-79.5454500,323.0
37.62932000,-79.5455800,319.0
37.62945000,-79.5458100,314.0
37.62958000,-79.5460500,315.0
37.62975000,-79.5462600,317.0
37.62995000,-79.5464300,315.0
37.63013000,-79.5466200,313.0
37.63025000,-79.5468400,312.0
37.63041000,-79.5470400,311.0
37.63055000,-79.5472700,312.0
37.63070000,-79.5475000,313.0
37.63078000,-79.5477700,313.0
37.63071000,-79.5480600,314.0
37.63059000,-79.5483100,313.0
37.63036000,-79.5483700,314.0
37.63016000,-79.5482600,322.0
37.62998000,-79.5484500,331.0
37.63006000,-79.5487200,322.0
37.63013000,-79.5488200,320.0
37.63033000,-79.5490800,316.0
37.63049000,-79.5492800,316.0
37.63063000,-79.5495300,316.0
37.63083000,-79.5497400,316.0
37.63101000,-79.5499600,320.0
37.63121000,-79.5500900,325.0
37.63146000,-79.5502600,328.0
37.63167000,-79.5503900,330.0
37.63185000,-79.5506300,331.0
37.63200000,-79.5508800,331.0
37.63217000,-79.5511300,331.0
37.63232000,-79.5513400,334.0
37.63234000,-79.5514100,335.0
37.63248000,-79.5516500,333.0
37.63266000,-79.5518400,334.0
37.63279000,-79.5520700,335.0
37.63294000,-79.5523000,337.0
37.63307000,-79.5525500,334.0
37.63323000,-79.5527600,336.0
37.63340000,-79.5529600,340.0
37.63358000,-79.5531400,341.0
37.63375000,-79.5533300,342.0
37.63384000,-79.5536100,339.0
37.63387000,-79.5537100,341.0
37.63401000,-79.5539300,344.0
37.63418000,-79.5541200,342.0
37.63440000,-79.5540800,342.0
37.63441000,-79.5540800,342.0
37.63440000,-79.5540800,342.0
37.63418000,-79.5541200,342.0
37.63401000,-79.5539300,344.0
37.63387000,-79.5537100,341.0
37.63384000,-79.5536100,339.0
37.63375000,-79.5533300,342.0
37.63358000,-79.5531400,341.0
37.63340000,-79.5529600,340.0
37.63323000,-79.5527600,336.0
37.63307000,-79.5525500,334.0
37.63294000,-79.5523000,337.0
37.63279000,-79.5520700,335.0
37.63266000,-79.5518400,334.0
37.63248000,-79.5516500,333.0
37.63234000,-79.5514100,335.0
37.63232000,-79.5513400,334.0
37.63217000,-79.5511300,331.0
37.63200000,-79.5508800,331.0
37.63185000,-79.5506300,331.0
37.63167000,-79.5503900,330.0
37.63146000,-79.5502600,328.0
37.63121000,-79.5500900,325.0
37.63101000,-79.5499600,320.0
37.63083000,-79.5497400,316.0
37.63063000,-79.5495300,316.0
37.63049000,-79.5492800,316.0
37.63033000,-79.5490800,316.0
37.63013000,-79.5488200,320.0
37.63006000,-79.5487200,322.0
37.62998000,-79.5484500,331.0
37.63016000,-79.5482600,322.0
37.63036000,-79.5483700,314.0
37.63059000,-79.5483100,313.0
37.63071000,-79.5480600,314.0
37.63078000,-79.5477700,313.0
37.63070000,-79.5475000,313.0
37.63055000,-79.5472700,312.0
37.63041000,-79.5470400,311.0
37.63025000,-79.5468400,312.0
37.63013000,-79.5466200,313.0
37.62995000,-79.5464300,315.0
37.62975000,-79.5462600,317.0
37.62958000,-79.5460500,315.0
37.62945000,-79.5458100,314.0
37.62932000,-79.5455800,319.0
37.62911000,-79.5454500,323.0
37.62905000,-79.5454200,325.0
37.62882000,-79.5453600,329.0
37.62859000,-79.5453200,336.0
37.62844000,-79.5450900,341.0
37.62842000,-79.5450700,341.0
37.62823000,-79.5449000,343.0
37.62803000,-79.5447400,342.0
37.62783000,-79.5446000,342.0
37.62763000,-79.5444300,341.0
37.62762000,-79.5444000,341.0
37.62749000,-79.5441500,332.0
37.62733000,-79.5439600,321.0
37.62715000,-79.5437700,311.0
37.62701000,-79.5435300,303.0
37.62699000,-79.5432300,298.0
37.62711000,-79.5429900,301.0
37.62734000,-79.5429600,310.0
37.62752000,-79.5431300,317.0
37.62773000,-79.5432700,323.0
37.62793000,-79.5434500,327.0
37.62814000,-79.5435400,328.0
37.62837000,-79.5434900,328.0
