Latitude,Longitude,Elevation
37.19328000,-80.3215800,456.0
37.19317000,-80.3214100,457.0
37.19313000,-80.3213700,456.0
37.19309000,-80.3213300,456.0
37.19303000,-80.3213200,455.0
37.19297000,-80.3213000,455.0
37.19290000,-80.3213000,455.0
37.19286000,-80.3212800,455.0
37.19282000,-80.3212500,455.0
37.19278000,-80.3212000,455.0
37.19275000,-80.3211500,455.0
37.19271000,-80.3211200,454.0
37.19266000,-80.3211000,454.0
37.19262000,-80.3210800,454.0
37.19257000,-80.3210400,454.0
37.19253000,-80.3210100,453.0
37.19248000,-80.3209700,453.0
37.19243000,-80.3209400,453.0
37.19240000,-80.3208900,453.0
37.19236000,-80.3208500,454.0
37.19231000,-80.3208200,454.0
37.19225000,-80.3208200,454.0
37.19220000,-80.3208200,455.0
37.19215000,-80.3208200,456.0
37.19210000,-80.3208000,457.0
37.19206000,-80.3207800,458.0
37.19201000,-80.3207300,458.0
37.19196000,-80.3206900,459.0
37.19193000,-80.3206400,458.0
37.19191000,-80.3205800,458.0
37.19188000,-80.3205300,458.0
37.19183000,-80.3205000,459.0
37.19178000,-80.3204700,459.0
37.19174000,-80.3204400,460.0
37.19170000,-80.3204100,460.0
37.19166000,-80.3203800,460.0
37.19161000,-80.3203500,460.0
37.19160000,-80.3203500,460.0
37.19145000,-80.3202500,460.0
37.19141000,-80.3202200,460.0
37.19136000,-80.3201800,460.0
37.19132000,-80.3201300,459.0
37.19129000,-80.3200900,458.0
37.19125000,-80.3200500,457.0
37.19120000,-80.3200100,456.0
37.19116000,-80.3199900,456.0
37.19110000,-80.3199700,456.0
37.19104000,-80.3199600,458.0
37.19098000,-80.3199400,459.0
37.19093000,-80.3199300,460.0
37.19089000,-80.3199000,460.0
37.19084000,-80.3198600,460.0
37.19079000,-80.3198300,461.0
37.19075000,-80.3198100,461.0
37.19071000,-80.3197900,461.0
37.19066000,-80.3197800,462.0
37.19061000,-80.3197600,462.0
37.19056000,-80.3197500,463.0
37.19051000,-80.3197300,463.0
37.19046000,-80.3197000,462.0
37.19041000,-80.3196800,462.0
37.19038000,-80.3196800,462.0
37.19025000,-80.3196700,463.0
37.19019000,-80.3196500,463.0
37.19014000,-80.3196400,463.0
37.19010000,-80.3196800,464.0
37.19007000,-80.3197300,464.0
37.19004000,-80.3197700,465.0
37.19000000,-80.3198100,466.0
37.18996000,-80.3198400,468.0
37.18993000,-80.3199000,471.0
37.18992000,-80.3199600,472.0
37.18989000,-80.3200100,474.0
37.18986000,-80.3200600,477.0
37.18982000,-80.3201100,480.0
37.18978000,-80.3201400,482.0
37.18973000,-80.3201700,485.0
37.18968000,-80.3201700,487.0
37.18963000,-80.3201500,488.0
37.18959000,-80.3201200,489.0
37.18955000,-80.3200800,489.0
37.18951000,-80.3200500,490.0
37.18950000,-80.3200400,490.0
37.18935000,-80.3198800,491.0
37.18934000,-80.3198200,490.0
37.18934000,-80.3197600,489.0
37.18936000,-80.3197000,487.0
37.18938000,-80.3196400,486.0
37.18937000,-80.3195900,485.0
37.18936000,-80.3195300,485.0
37.18933000,-80.3194800,485.0
37.18932000,-80.3194200,484.0
37.18930000,-80.3193700,484.0
37.18926000,-80.3193200,484.0
37.18922000,-80.3192900,484.0
37.18919000,-80.3192500,484.0
37.18915000,-80.3192000,484.0
37.18911000,-80.3191600,485.0
37.18907000,-80.3191100,486.0
37.18904000,-80.3190700,487.0
37.18901000,-80.3190200,487.0
37.18898000,-80.3189800,488.0
37.18895000,-80.3189500,489.0
37.18890000,-80.3189200,490.0
37.18884000,-80.3189000,491.0
37.18880000,-80.3189000,492.0
37.18878000,-80.3188300,493.0
37.18878000,-80.3187800,493.0
37.18879000,-80.3187200,493.0
37.18881000,-80.3186700,493.0
37.18885000,-80.3186300,493.0
37.18889000,-80.3186000,493.0
37.18894000,-80.3185800,492.0
37.18898000,-80.3185500,492.0
37.18899000,-80.3185200,492.0
37.18904000,-80.3184900,491.0
37.18908000,-80.3184500,491.0
37.18912000,-80.3184100,491.0
37.18915000,-80.3183700,491.0
37.18919000,-80.3183200,491.0
37.18921000,-80.3182700,491.0
37.18922000,-80.3182000,492.0
37.18924000,-80.3181300,492.0
37.18927000,-80.3180700,492.0
37.18931000,-80.3180300,492.0
37.18935000,-80.3180000,491.0
37.18939000,-80.3180200,490.0
37.18942000,-80.3180800,488.0
37.18945000,-80.3181300,487.0
37.18948000,-80.3181600,486.0
37.18952000,-80.3181900,485.0
37.18958000,-80.3182000,484.0
37.18962000,-80.3182100,483.0
37.18979000,-80.3183000,479.0
37.18984000,-80.3183000,478.0
37.18989000,-80.3183000,478.0
37.18994000,-80.3183500,476.0
37.18998000,-80.3183800,476.0
37.19002000,-80.3184300,476.0
37.19009000,-80.3185700,476.0
37.19014000,-80.3187000,475.0
37.19020000,-80.3188400,472.0
37.19025000,-80.3188900,471.0
37.19032000,-80.3189300,471.0
37.19040000,-80.3189400,471.0
37.19048000,-80.3189200,472.0
37.19050000,-80.3189100,473.0
37.19069000,-80.3188500,477.0
37.19075000,-80.3188300,479.0
37.19081000,-80.3188200,480.0
37.19088000,-80.3188000,482.0
37.19100000,-80.3187500,486.0
37.19108000,-80.3187200,488.0
37.19122000,-80.3186700,491.0
37.19134000,-80.3186100,494.0
37.19140000,-80.3185700,496.0
37.19147000,-80.3185500,497.0
37.19152000,-80.3185500,498.0
37.19160000,-80.3185300,500.0
37.19173000,-80.3185000,502.0
37.19179000,-80.3184900,503.0
37.19185000,-80.3184700,505.0
37.19192000,-80.3184400,506.0
37.19200000,-80.3184000,509.0
37.19209000,-80.3184000,510.0
37.19222000,-80.3184000,511.0
