Latitude,Longitude,Elevation
37.75965000,-79.1953400,1071.0
37.75964000,-79.1953800,1071.0
37.75965000,-79.1953400,1071.0
37.75948000,-79.1950500,1074.0
37.75933000,-79.1949000,1078.0
37.75925000,-79.1948100,1080.0
37.75909000,-79.1946300,1085.0
37.75901000,-79.1945000,1088.0
37.75894000,-79.1943800,1090.0
37.75886000,-79.1942500,1092.0
37.75879000,-79.1941500,1094.0
37.75865000,-79.1940400,1100.0
37.75851000,-79.1938700,1104.0
37.75834000,-79.1936900,1107.0
37.75811000,-79.1934000,1107.0
37.75784000,-79.1930600,1108.0
37.75751000,-79.1927900,1113.0
37.75736000,-79.1927000,1116.0
37.75733000,-79.1926900,1116.0
37.75719000,-79.1927000,1119.0
37.75719000,-79.1930300,1125.0
37.75722000,-79.1933200,1129.0
37.75733000,-79.1937300,1132.0
37.75745000,-79.1943900,1137.0
37.75738000,-79.1945900,1142.0
37.75717000,-79.1944100,1147.0
37.75696000,-79.1940800,1151.0
37.75668000,-79.1938600,1155.0
37.75632000,-79.1938100,1159.0
37.75616000,-79.1938600,1162.0
37.75585000,-79.1939300,1162.0
37.75570000,-79.1941200,1163.0
37.75572000,-79.1943000,1166.0
37.75580000,-79.1943700,1168.0
37.75588000,-79.1944000,1170.0
37.75607000,-79.1945300,1173.0
37.75616000,-79.1945800,1174.0
37.75622000,-79.1946300,1174.0
37.75626000,-79.1946900,1174.0
37.75626000,-79.1947900,1175.0
37.75626000,-79.1949300,1177.0
37.75630000,-79.1950900,1177.0
37.75634000,-79.1952300,1178.0
37.75635000,-79.1953500,1179.0
37.75635000,-79.1955000,1180.0
37.75634000,-79.1956400,1181.0
37.75630000,-79.1957900,1183.0
37.75626000,-79.1959300,1183.0
37.75620000,-79.1960800,1182.0
37.75612000,-79.1962100,1182.0
37.75611000,-79.1962200,1182.0
37.75604000,-79.1963400,1183.0
37.75591000,-79.1965000,1182.0
37.75574000,-79.1966900,1181.0
37.75568000,-79.1967500,1181.0
37.75563000,-79.1968200,1180.0
37.75560000,-79.1969000,1180.0
37.75545000,-79.1973100,1181.0
37.75539000,-79.1974200,1182.0
37.75533000,-79.1975100,1183.0
37.75527000,-79.1975800,1183.0
37.75518000,-79.1976500,1184.0
37.75492000,-79.1978100,1188.0
37.75473000,-79.1979400,1190.0
37.75467000,-79.1980100,1191.0
37.75460000,-79.1981200,1192.0
37.75455000,-79.1981800,1192.0
37.75452000,-79.1982000,1193.0
37.75420000,-79.1983900,1196.0
37.75397000,-79.1985200,1197.0
37.75379000,-79.1986200,1199.0
37.75370000,-79.1986600,1200.0
37.75364000,-79.1987100,1200.0
37.75356000,-79.1987700,1200.0
37.75349000,-79.1988500,1199.0
37.75347000,-79.1988800,1199.0
37.75334000,-79.1990200,1198.0
37.75317000,-79.1991700,1194.0
37.75309000,-79.1992300,1192.0
37.75297000,-79.1993500,1190.0
37.75286000,-79.1994800,1189.0
37.75273000,-79.1996600,1188.0
37.75267000,-79.1997800,1187.0
37.75262000,-79.1999000,1186.0
37.75259000,-79.2000000,1185.0
37.75242000,-79.2007100,1188.0
37.75240000,-79.2008600,1188.0
37.75237000,-79.2010400,1189.0
37.75237000,-79.2012700,1190.0
37.75238000,-79.2015500,1193.0
37.75239000,-79.2017000,1195.0
37.75241000,-79.2018500,1197.0
37.75245000,-79.2019700,1199.0
37.75246000,-79.2020700,1200.0
37.75246000,-79.2021600,1201.0
37.75244000,-79.2022500,1202.0
37.75232000,-79.2025000,1206.0
37.75227000,-79.2026600,1209.0
37.75222000,-79.2027700,1211.0
37.75210000,-79.2029100,1211.0
37.75208000,-79.2029600,1211.0
37.75204000,-79.2030300,1212.0
37.75188000,-79.2034800,1216.0
37.75174000,-79.2038000,1218.0
37.75171000,-79.2039000,1218.0
37.75165000,-79.2041300,1219.0
37.75162000,-79.2043800,1219.0
37.75160000,-79.2044400,1219.0
37.75155000,-79.2045800,1218.0
