Latitude,Longitude,Elevation
38.80344000,-77.5881200,115.0
38.80366000,-77.5878100,115.0
38.80381000,-77.5878200,115.0
38.80383000,-77.5878100,115.0
38.80386000,-77.5878100,115.0
38.80390000,-77.5878100,114.0
38.80393000,-77.5878000,114.0
38.80396000,-77.5878000,114.0
38.80399000,-77.5877900,114.0
38.80402000,-77.5877800,114.0
38.80405000,-77.5877600,114.0
38.80408000,-77.5877500,114.0
38.80411000,-77.5877400,114.0
38.80414000,-77.5877200,113.0
38.80417000,-77.5877100,113.0
38.80421000,-77.5877200,113.0
38.80425000,-77.5877400,113.0
38.80428000,-77.5877600,113.0
38.80432000,-77.5877600,113.0
38.80435000,-77.5877600,113.0
38.80438000,-77.5877700,113.0
38.80441000,-77.5877600,113.0
38.80445000,-77.5877400,112.0
38.80447000,-77.5877200,112.0
38.80450000,-77.5877000,112.0
38.80453000,-77.5876800,112.0
38.80457000,-77.5876800,112.0
38.80460000,-77.5876800,112.0
38.80463000,-77.5876800,112.0
38.80465000,-77.5876400,112.0
38.80464000,-77.5876100,112.0
38.80466000,-77.5875800,112.0
38.80468000,-77.5875500,112.0
38.80470000,-77.5875200,112.0
38.80473000,-77.5874800,112.0
38.80475000,-77.5874500,112.0
38.80477000,-77.5874000,112.0
38.80475000,-77.5873700,112.0
38.80473000,-77.5873300,112.0
38.80472000,-77.5872900,112.0
38.80471000,-77.5872500,112.0
38.80471000,-77.5872100,112.0
38.80473000,-77.5871700,112.0
38.80474000,-77.5871300,112.0
38.80476000,-77.5870900,112.0
38.80477000,-77.5870600,112.0
38.80479000,-77.5870300,112.0
38.80482000,-77.5870000,112.0
38.80485000,-77.5869800,112.0
38.80487000,-77.5869500,111.0
38.80490000,-77.5869100,111.0
38.80491000,-77.5868700,111.0
38.80492000,-77.5868400,111.0
38.80494000,-77.5868100,111.0
38.80496000,-77.5867700,111.0
38.80498000,-77.5867300,111.0
38.80499000,-77.5866800,111.0
38.80500000,-77.5866300,111.0
38.80500000,-77.5865800,111.0
38.80500000,-77.5865400,111.0
38.80498000,-77.5865000,111.0
38.80495000,-77.5864800,111.0
38.80478000,-77.5866200,112.0
38.80495000,-77.5861100,111.0
38.80498000,-77.5861100,111.0
38.80501000,-77.5861100,110.0
38.80504000,-77.5861100,110.0
38.80507000,-77.5861300,110.0
38.80510000,-77.5861000,109.0
38.80511000,-77.5860600,109.0
38.80512000,-77.5860200,108.0
38.80513000,-77.5859900,108.0
38.80514000,-77.5859500,108.0
38.80514000,-77.5859100,107.0
38.80514000,-77.5858500,107.0
38.80513000,-77.5858100,106.0
38.80511000,-77.5857800,106.0
38.80510000,-77.5857500,106.0
38.80508000,-77.5857100,106.0
38.80506000,-77.5856800,106.0
38.80503000,-77.5856400,106.0
38.80500000,-77.5856100,106.0
38.80498000,-77.5855800,106.0
38.80496000,-77.5855400,106.0
38.80494000,-77.5855200,106.0
38.80490000,-77.5854900,106.0
38.80487000,-77.5854800,107.0
38.80484000,-77.5854600,107.0
38.80482000,-77.5854300,107.0
38.80480000,-77.5854000,107.0
38.80477000,-77.5853700,107.0
38.80474000,-77.5853400,108.0
38.80472000,-77.5853000,108.0
38.80471000,-77.5852600,107.0
38.80471000,-77.5852200,107.0
38.80469000,-77.5851800,107.0
38.80467000,-77.5851500,107.0
38.80465000,-77.5851200,107.0
38.80463000,-77.5850900,106.0
38.80463000,-77.5850400,106.0
38.80465000,-77.5850000,106.0
38.80465000,-77.5849500,106.0
38.80463000,-77.5849100,105.0
38.80461000,-77.5848800,105.0
38.80459000,-77.5848500,105.0
38.80455000,-77.5848200,105.0
38.80452000,-77.5848000,106.0
38.80449000,-77.5847800,106.0
38.80447000,-77.5847500,105.0
38.80445000,-77.5847200,105.0
38.80443000,-77.5846900,105.0
38.80440000,-77.5846600,105.0
38.80439000,-77.5846200,105.0
38.80439000,-77.5845700,105.0
38.80438000,-77.5845400,105.0
38.80438000,-77.5845000,104.0
38.80440000,-77.5844500,104.0
38.80440000,-77.5844100,104.0
38.80440000,-77.5843600,104.0
38.80440000,-77.5843200,104.0
38.80439000,-77.5842800,104.0
38.80439000,-77.5842400,104.0
38.80436000,-77.5842200,104.0
38.80439000,-77.5842000,104.0
38.80441000,-77.5841900,104.0
38.80444000,-77.5841800,104.0
38.80447000,-77.5841600,105.0
38.80450000,-77.5841500,105.0
38.80454000,-77.5841400,105.0
38.80457000,-77.5841300,105.0
38.80460000,-77.5841100,105.0
38.80463000,-77.5840800,105.0
38.80467000,-77.5840500,106.0
38.80469000,-77.5840200,106.0
38.80471000,-77.5840000,106.0
38.80474000,-77.5839800,106.0
38.80477000,-77.5839600,106.0
38.80480000,-77.5839300,106.0
38.80483000,-77.5839100,106.0
38.80486000,-77.5838800,106.0
38.80490000,-77.5838500,106.0
38.80493000,-77.5838200,106.0
38.80495000,-77.5837900,106.0
38.80497000,-77.5837600,106.0
38.80500000,-77.5837400,106.0
38.80505000,-77.5837100,105.0
38.80508000,-77.5837100,105.0
38.80511000,-77.5837100,105.0
38.80515000,-77.5836800,104.0
38.80516000,-77.5836500,104.0
38.80518000,-77.5836200,104.0
38.80520000,-77.5835900,104.0
38.80521000,-77.5835500,103.0
38.80522000,-77.5835100,103.0
38.80523000,-77.5834600,103.0
38.80524000,-77.5834100,103.0
38.80523000,-77.5833600,103.0
38.80524000,-77.5833100,103.0
38.80525000,-77.5832600,103.0
38.80527000,-77.5832200,103.0
38.80529000,-77.5831900,102.0
38.80531000,-77.5831600,102.0
38.80534000,-77.5831300,102.0
38.80537000,-77.5830900,102.0
38.80540000,-77.5830600,102.0
38.80542000,-77.5830300,102.0
38.80545000,-77.5830100,101.0
38.80548000,-77.5829800,101.0
38.80551000,-77.5829600,101.0
38.80554000,-77.5829300,101.0
38.80557000,-77.5828900,101.0
38.80559000,-77.5828500,101.0
38.80559000,-77.5828100,102.0
38.80559000,-77.5827700,102.0
38.80560000,-77.5827300,102.0
38.80560000,-77.5827000,102.0
38.80561000,-77.5826600,102.0
38.80561000,-77.5826200,102.0
38.80560000,-77.5825700,102.0
38.80559000,-77.5825300,103.0
38.80557000,-77.5824900,103.0
38.80555000,-77.5824400,102.0
38.80553000,-77.5824000,102.0
38.80552000,-77.5823700,102.0
38.80550000,-77.5823300,102.0
38.80549000,-77.5822900,102.0
38.80547000,-77.5822600,102.0
38.80545000,-77.5822300,102.0
38.80542000,-77.5822000,101.0
38.80539000,-77.5821700,101.0
38.80536000,-77.5821400,101.0
38.80533000,-77.5821200,101.0
38.80530000,-77.5821300,101.0
38.80527000,-77.5821400,101.0
38.80523000,-77.5821200,101.0
38.80520000,-77.5821000,101.0
38.80518000,-77.5820700,101.0
38.80519000,-77.5820300,101.0
38.80519000,-77.5819900,101.0
38.80521000,-77.5819500,101.0
38.80522000,-77.5819200,100.0
38.80524000,-77.5818900,100.0
38.80526000,-77.5818500,100.0
38.80524000,-77.5818200,100.0
38.80525000,-77.5817800,100.0
38.80525000,-77.5817400,100.0
38.80523000,-77.5817100,100.0
38.80520000,-77.5816800,100.0
38.80518000,-77.5816500,100.0
38.80516000,-77.5816200,100.0
38.80514000,-77.5815900,100.0
38.80512000,-77.5815500,100.0
38.80512000,-77.5815100,100.0
38.80512000,-77.5814700,100.0
38.80512000,-77.5814300,100.0
38.80509000,-77.5814100,100.0
38.80507000,-77.5814000,100.0
38.80503000,-77.5813900,100.0
38.80500000,-77.5813800,100.0
38.80497000,-77.5813700,100.0
38.80494000,-77.5813600,101.0
38.80492000,-77.5813300,100.0
38.80490000,-77.5812900,100.0
