Latitude,Longitude,Elevation
37.85080000,-79.0791300,514.0
37.85083000,-79.0789300,513.0
37.85080000,-79.0787700,514.0
37.85053000,-79.0786200,521.0
37.85025000,-79.0783000,529.0
37.85014000,-79.0781000,531.0
37.85013000,-79.0780600,531.0
37.85011000,-79.0782200,533.0
37.85016000,-79.0783800,533.0
37.85043000,-79.0787000,525.0
37.85035000,-79.0788700,528.0
37.85003000,-79.0786000,538.0
37.84978000,-79.0783600,548.0
37.84972000,-79.0781200,548.0
37.84958000,-79.0779600,553.0
37.84941000,-79.0777400,560.0
37.84912000,-79.0776900,577.0
37.84890000,-79.0779000,589.0
37.84915000,-79.0780300,577.0
37.84910000,-79.0787800,589.0
37.84906000,-79.0790200,592.0
37.84897000,-79.0792500,596.0
37.84904000,-79.0790200,593.0
37.84898000,-79.0788100,596.0
37.84882000,-79.0784500,602.0
37.84876000,-79.0785500,606.0
37.84856000,-79.0781200,610.0
37.84847000,-79.0779800,614.0
37.84844000,-79.0782700,621.0
37.84808000,-79.0776800,635.0
37.84801000,-79.0778600,641.0
37.84788000,-79.0776400,646.0
37.84732000,-79.0777100,661.0
37.84702000,-79.0777700,671.0
37.84684000,-79.0776400,677.0
37.84662000,-79.0772600,682.0
37.84668000,-79.0779300,689.0
37.84746000,-79.0786900,681.0
37.84735000,-79.0787000,686.0
37.84660000,-79.0783600,697.0
37.84621000,-79.0780300,709.0
37.84593000,-79.0772800,716.0
37.84520000,-79.0767700,734.0
37.84524000,-79.0770000,738.0
37.84576000,-79.0776300,731.0
37.84570000,-79.0778000,739.0
37.84457000,-79.0768800,763.0
37.84420000,-79.0761900,776.0
37.84409000,-79.0765900,788.0
37.84412000,-79.0770500,794.0
37.84431000,-79.0775200,795.0
37.84384000,-79.0772200,812.0
37.84349000,-79.0766800,829.0
37.84351000,-79.0762300,825.0
37.84373000,-79.0754900,818.0
37.84378000,-79.0750700,820.0
37.84413000,-79.0749500,813.0
37.84378000,-79.0750700,820.0
37.84373000,-79.0754900,818.0
37.84351000,-79.0762300,825.0
37.84349000,-79.0766800,829.0
37.84384000,-79.0772200,812.0
37.84431000,-79.0775200,795.0
37.84412000,-79.0770500,794.0
37.84409000,-79.0765900,788.0
37.84420000,-79.0761900,776.0
37.84457000,-79.0768800,763.0
37.84570000,-79.0778000,739.0
37.84576000,-79.0776300,731.0
37.84524000,-79.0770000,738.0
37.84520000,-79.0767700,734.0
37.84593000,-79.0772800,716.0
37.84621000,-79.0780300,709.0
37.84660000,-79.0783600,697.0
37.84735000,-79.0787000,686.0
37.84746000,-79.0786900,681.0
37.84668000,-79.0779300,689.0
37.84662000,-79.0772600,682.0
37.84684000,-79.0776400,677.0
37.84702000,-79.0777700,671.0
37.84732000,-79.0777100,661.0
37.84788000,-79.0776400,646.0
37.84801000,-79.0778600,641.0
37.84808000,-79.0776800,635.0
37.84844000,-79.0782700,621.0
37.84847000,-79.0779800,614.0
37.84856000,-79.0781200,610.0
37.84876000,-79.0785500,606.0
37.84882000,-79.0784500,602.0
37.84898000,-79.0788100,596.0
37.84904000,-79.0790200,593.0
37.84897000,-79.0792500,596.0
37.84906000,-79.0790200,592.0
37.84910000,-79.0787800,589.0
37.84915000,-79.0780300,577.0
37.84890000,-79.0779000,589.0
37.84912000,-79.0776900,577.0
37.84941000,-79.0777400,560.0
37.84958000,-79.0779600,553.0
37.84972000,-79.0781200,548.0
37.84978000,-79.0783600,548.0
37.85003000,-79.0786000,538.0
37.85035000,-79.0788700,528.0
37.85043000,-79.0787000,525.0
37.85016000,-79.0783800,533.0
37.85011000,-79.0782200,533.0
37.85013000,-79.0780600,531.0
37.85014000,-79.0781000,531.0
37.85025000,-79.0783000,529.0
37.85053000,-79.0786200,521.0
37.85080000,-79.0787700,514.0
37.85083000,-79.0789300,513.0
37.85080000,-79.0791300,514.0
