Latitude,Longitude,Elevation
38.51971000,-78.4308300,1045.0
38.51982000,-78.4303100,1037.0
38.51981000,-78.4302000,1036.0
38.51982000,-78.4298500,1034.0
38.51988000,-78.4296800,1035.0
38.51995000,-78.4295100,1036.0
38.51995000,-78.4292900,1034.0
38.51997000,-78.4290700,1030.0
38.52000000,-78.4287700,1025.0
38.52003000,-78.4283900,1020.0
38.52016000,-78.4280600,1017.0
38.52009000,-78.4278600,1014.0
38.52003000,-78.4275800,1011.0
38.52002000,-78.4274300,1010.0
38.51986000,-78.4272200,1008.0
38.51981000,-78.4268900,1006.0
38.51975000,-78.4264200,1004.0
38.51965000,-78.4262100,1002.0
38.51938000,-78.4261600,998.0
38.51929000,-78.4259600,996.0
38.51915000,-78.4257100,990.0
38.51880000,-78.4256300,984.0
38.51856000,-78.4254500,977.0
38.51853000,-78.4252200,971.0
38.51861000,-78.4249600,966.0
38.51848000,-78.4249200,963.0
38.51823000,-78.4249600,961.0
38.51798000,-78.4250800,962.0
38.51793000,-78.4248900,959.0
38.51803000,-78.4246400,953.0
38.51817000,-78.4245200,951.0
38.51840000,-78.4239200,944.0
38.51846000,-78.4237700,942.0
38.51856000,-78.4236900,939.0
38.51870000,-78.4236700,936.0
38.51886000,-78.4237000,935.0
38.51899000,-78.4237500,935.0
38.51931000,-78.4238000,935.0
38.51947000,-78.4237800,934.0
38.51949000,-78.4236800,928.0
38.51934000,-78.4235700,924.0
38.51926000,-78.4235000,923.0
38.51939000,-78.4234500,917.0
38.51953000,-78.4234300,914.0
38.51969000,-78.4234300,911.0
38.52001000,-78.4233300,899.0
38.52016000,-78.4231000,887.0
38.52023000,-78.4230000,881.0
38.52039000,-78.4229100,875.0
38.52043000,-78.4227700,871.0
38.52045000,-78.4227100,870.0
38.52046000,-78.4228200,872.0
38.52037000,-78.4228600,874.0
38.52029000,-78.4229500,878.0
38.52015000,-78.4231800,890.0
38.51984000,-78.4233400,903.0
38.51965000,-78.4233700,909.0
38.51947000,-78.4233900,912.0
38.51929000,-78.4234000,917.0
38.51934000,-78.4234400,918.0
38.51950000,-78.4235800,922.0
38.51950000,-78.4237400,931.0
38.51937000,-78.4237900,935.0
38.51914000,-78.4237600,934.0
38.51900000,-78.4237000,933.0
38.51884000,-78.4236700,934.0
38.51870000,-78.4236700,936.0
38.51859000,-78.4237200,939.0
38.51851000,-78.4238100,941.0
38.51826000,-78.4243900,949.0
38.51809000,-78.4245000,950.0
38.51796000,-78.4247900,957.0
38.51794000,-78.4250300,961.0
38.51815000,-78.4249200,960.0
38.51838000,-78.4248700,961.0
38.51853000,-78.4248900,963.0
38.51847000,-78.4250800,967.0
38.51848000,-78.4253000,972.0
38.51867000,-78.4255000,979.0
38.51901000,-78.4255900,985.0
38.51917000,-78.4258300,992.0
38.51925000,-78.4260500,995.0
38.51952000,-78.4261100,1000.0
38.51962000,-78.4263000,1002.0
38.51970000,-78.4267800,1005.0
38.51973000,-78.4271100,1006.0
38.51991000,-78.4273200,1009.0
38.51996000,-78.4274700,1009.0
38.52006000,-78.4277500,1012.0
38.52017000,-78.4279500,1016.0
38.52007000,-78.4282800,1019.0
38.52004000,-78.4286600,1024.0
38.52002000,-78.4289600,1029.0
38.52002000,-78.4291800,1032.0
38.52003000,-78.4293900,1036.0
38.51999000,-78.4295700,1036.0
38.51990000,-78.4297500,1035.0
38.51985000,-78.4301100,1035.0
38.51984000,-78.4302300,1037.0
38.51985000,-78.4304500,1040.0
38.51971000,-78.4308300,1045.0
