Latitude,Longitude,Elevation
38.53061000,-78.4395500,1099.0
38.53102000,-78.4398000,1094.0
38.53110000,-78.4399600,1092.0
38.53115000,-78.4401800,1088.0
38.53126000,-78.4402800,1085.0
38.53140000,-78.4401700,1086.0
38.53150000,-78.4400300,1086.0
38.53156000,-78.4399300,1087.0
38.53161000,-78.4398200,1087.0
38.53168000,-78.4397400,1086.0
38.53176000,-78.4396600,1085.0
38.53184000,-78.4395800,1085.0
38.53192000,-78.4395200,1085.0
38.53201000,-78.4394600,1086.0
38.53210000,-78.4394300,1086.0
38.53219000,-78.4393900,1086.0
38.53228000,-78.4393400,1087.0
38.53237000,-78.4393000,1087.0
38.53246000,-78.4392700,1087.0
38.53256000,-78.4392300,1087.0
38.53266000,-78.4392100,1087.0
38.53275000,-78.4391800,1086.0
38.53285000,-78.4391500,1085.0
38.53293000,-78.4391000,1085.0
38.53302000,-78.4390500,1084.0
38.53312000,-78.4388600,1085.0
38.53315000,-78.4387400,1086.0
38.53311000,-78.4385400,1088.0
38.53311000,-78.4384200,1089.0
38.53311000,-78.4383000,1089.0
38.53305000,-78.4381000,1090.0
38.53302000,-78.4379800,1090.0
38.53300000,-78.4378700,1090.0
38.53300000,-78.4377500,1088.0
38.53297000,-78.4376000,1087.0
38.53285000,-78.4374800,1089.0
38.53276000,-78.4374400,1091.0
38.53267000,-78.4374100,1092.0
38.53258000,-78.4373800,1094.0
38.53249000,-78.4373400,1096.0
38.53239000,-78.4373200,1097.0
38.53231000,-78.4372700,1097.0
38.53222000,-78.4372100,1097.0
38.53214000,-78.4371500,1096.0
38.53199000,-78.4370100,1094.0
38.53188000,-78.4368100,1090.0
38.53181000,-78.4367300,1090.0
38.53173000,-78.4366700,1090.0
38.53165000,-78.4366000,1091.0
38.53156000,-78.4365600,1092.0
38.53147000,-78.4365200,1093.0
38.53141000,-78.4363200,1091.0
38.53140000,-78.4361900,1087.0
38.53139000,-78.4360600,1084.0
38.53138000,-78.4359300,1082.0
38.53136000,-78.4358200,1080.0
38.53127000,-78.4356600,1079.0
38.53120000,-78.4355900,1080.0
38.53105000,-78.4354400,1082.0
38.53099000,-78.4353300,1082.0
38.53093000,-78.4352400,1081.0
38.53087000,-78.4351300,1080.0
38.53080000,-78.4350700,1080.0
38.53072000,-78.4350000,1079.0
38.53065000,-78.4349200,1078.0
38.53058000,-78.4348200,1077.0
38.53051000,-78.4347500,1076.0
38.53041000,-78.4347200,1077.0
38.53032000,-78.4346900,1077.0
38.53023000,-78.4346400,1077.0
38.53015000,-78.4345800,1075.0
38.53006000,-78.4345300,1075.0
38.52997000,-78.4345000,1075.0
38.52988000,-78.4345000,1075.0
38.52979000,-78.4345000,1075.0
38.52969000,-78.4344900,1075.0
38.52952000,-78.4344200,1074.0
38.52943000,-78.4343900,1074.0
38.52929000,-78.4342600,1071.0
38.52922000,-78.4341600,1070.0
38.52919000,-78.4340500,1068.0
38.52920000,-78.4338100,1065.0
38.52918000,-78.4337000,1065.0
38.52915000,-78.4334600,1064.0
38.52916000,-78.4333400,1064.0
38.52918000,-78.4331400,1061.0
38.52918000,-78.4330100,1060.0
38.52920000,-78.4327900,1057.0
38.52923000,-78.4326700,1055.0
38.52931000,-78.4324700,1050.0
38.52948000,-78.4324000,1046.0
38.52958000,-78.4323900,1045.0
38.52967000,-78.4323900,1044.0
38.52977000,-78.4324100,1043.0
38.52986000,-78.4324200,1042.0
38.52996000,-78.4324300,1041.0
38.53012000,-78.4325300,1041.0
38.53020000,-78.4325800,1042.0
38.53030000,-78.4326400,1042.0
38.53037000,-78.4327200,1041.0
38.53046000,-78.4327800,1041.0
38.53055000,-78.4328200,1040.0
38.53065000,-78.4328400,1038.0
38.53074000,-78.4328600,1035.0
38.53083000,-78.4328600,1033.0
38.53093000,-78.4328700,1031.0
38.53102000,-78.4328800,1030.0
38.53111000,-78.4328900,1028.0
38.53126000,-78.4329800,1025.0
38.53135000,-78.4330000,1023.0
38.53150000,-78.4331200,1020.0
38.53159000,-78.4331500,1018.0
38.53170000,-78.4330400,1014.0
38.53174000,-78.4328100,1010.0
38.53177000,-78.4325700,1006.0
38.53178000,-78.4323400,1004.0
38.53178000,-78.4322200,1003.0
38.53177000,-78.4321000,1002.0
38.53177000,-78.4318700,999.0
38.53177000,-78.4317500,998.0
38.53177000,-78.4315200,996.0
38.53176000,-78.4314000,995.0
38.53176000,-78.4312800,993.0
38.53177000,-78.4311500,991.0
38.53173000,-78.4309600,990.0
38.53170000,-78.4308400,990.0
38.53168000,-78.4307200,989.0
38.53168000,-78.4306000,988.0
38.53168000,-78.4304800,987.0
38.53167000,-78.4303600,986.0
38.53169000,-78.4301300,985.0
38.53169000,-78.4300100,986.0
38.53170000,-78.4298800,986.0
38.53170000,-78.4297600,987.0
38.53168000,-78.4295200,988.0
38.53170000,-78.4294000,987.0
38.53171000,-78.4291700,985.0
38.53172000,-78.4290500,983.0
38.53172000,-78.4289300,982.0
38.53173000,-78.4288100,980.0
38.53177000,-78.4285900,977.0
38.53179000,-78.4284700,976.0
38.53182000,-78.4283600,975.0
38.53186000,-78.4282500,973.0
38.53189000,-78.4280300,972.0
38.53197000,-78.4278300,970.0
38.53201000,-78.4277100,969.0
38.53204000,-78.4275900,967.0
38.53207000,-78.4274700,966.0
38.53209000,-78.4273400,966.0
38.53210000,-78.4272200,966.0
38.53212000,-78.4271000,966.0
38.53213000,-78.4269700,965.0
38.53214000,-78.4267300,967.0
38.53220000,-78.4265300,966.0
38.53225000,-78.4264300,966.0
38.53230000,-78.4263300,965.0
38.53239000,-78.4261400,962.0
38.53245000,-78.4260400,960.0
38.53252000,-78.4259600,959.0
38.53259000,-78.4258800,957.0
38.53267000,-78.4258000,956.0
38.53274000,-78.4257300,955.0
38.53281000,-78.4256500,955.0
38.53290000,-78.4255900,954.0
38.53299000,-78.4255500,952.0
38.53307000,-78.4254600,952.0
38.53318000,-78.4253600,950.0
38.53335000,-78.4252600,947.0
38.53343000,-78.4251800,946.0
38.53350000,-78.4251000,945.0
38.53357000,-78.4250200,944.0
38.53364000,-78.4249300,943.0
38.53370000,-78.4248400,941.0
38.53374000,-78.4247200,940.0
38.53379000,-78.4246200,939.0
38.53381000,-78.4245000,939.0
38.53383000,-78.4243800,940.0
38.53385000,-78.4242600,940.0
38.53386000,-78.4240300,942.0
38.53387000,-78.4239100,943.0
38.53394000,-78.4237000,942.0
38.53397000,-78.4235800,941.0
38.53402000,-78.4234800,938.0
38.53406000,-78.4233700,936.0
38.53412000,-78.4232800,933.0
38.53418000,-78.4231800,931.0
38.53422000,-78.4229900,929.0
38.53425000,-78.4228800,928.0
38.53427000,-78.4227500,928.0
38.53428000,-78.4226300,928.0
38.53428000,-78.4225000,928.0
38.53428000,-78.4223800,929.0
38.53432000,-78.4221800,929.0
38.53433000,-78.4219500,930.0
38.53432000,-78.4217800,931.0
38.53431000,-78.4215800,932.0
38.53423000,-78.4214100,934.0
38.53417000,-78.4213200,936.0
38.53411000,-78.4212200,937.0
38.53405000,-78.4211300,937.0
38.53397000,-78.4210700,938.0
38.53388000,-78.4210100,938.0
38.53379000,-78.4209700,938.0
38.53369000,-78.4209500,937.0
38.53359000,-78.4209400,937.0
38.53350000,-78.4209400,936.0
38.53335000,-78.4210100,934.0
38.53326000,-78.4210600,933.0
38.53313000,-78.4209900,933.0
38.53297000,-78.4209500,931.0
38.53291000,-78.4208500,930.0
38.53286000,-78.4207400,929.0
38.53280000,-78.4206400,928.0
38.53275000,-78.4205300,927.0
38.53270000,-78.4204300,927.0
38.53265000,-78.4203300,926.0
38.53261000,-78.4202100,925.0
38.53259000,-78.4200900,924.0
38.53257000,-78.4199700,923.0
38.53255000,-78.4198500,922.0
38.53242000,-78.4196900,916.0
38.53235000,-78.4194700,912.0
38.53234000,-78.4192400,907.0
38.53235000,-78.4190200,902.0
38.53237000,-78.4189000,899.0
38.53239000,-78.4187800,898.0
38.53240000,-78.4186500,898.0
38.53243000,-78.4184200,896.0
38.53246000,-78.4182000,893.0
38.53253000,-78.4180100,892.0
38.53258000,-78.4179100,892.0
38.53269000,-78.4177200,893.0
38.53272000,-78.4176000,893.0
38.53273000,-78.4174800,893.0
38.53281000,-78.4173000,894.0
38.53286000,-78.4171900,895.0
38.53291000,-78.4170900,895.0
38.53295000,-78.4169800,895.0
38.53297000,-78.4168600,894.0
38.53308000,-78.4167000,894.0
38.53315000,-78.4166200,895.0
38.53321000,-78.4165300,896.0
38.53327000,-78.4164300,897.0
38.53332000,-78.4163300,897.0
38.53335000,-78.4162000,897.0
38.53335000,-78.4160700,896.0
38.53336000,-78.4159500,895.0
38.53336000,-78.4158200,894.0
38.53336000,-78.4156900,893.0
38.53336000,-78.4155700,891.0
38.53330000,-78.4153700,889.0
38.53316000,-78.4152300,885.0
38.53308000,-78.4151700,884.0
38.53303000,-78.4150700,882.0
38.53309000,-78.4149000,880.0
38.53322000,-78.4148500,880.0
38.53332000,-78.4148400,880.0
38.53342000,-78.4148300,880.0
38.53351000,-78.4148200,880.0
38.53361000,-78.4148100,880.0
38.53377000,-78.4147400,878.0
38.53384000,-78.4146600,877.0
38.53395000,-78.4144700,874.0
38.53400000,-78.4143600,874.0
38.53406000,-78.4142600,873.0
38.53411000,-78.4141500,872.0
38.53415000,-78.4140300,870.0
38.53409000,-78.4138600,866.0
38.53396000,-78.4137500,864.0
38.53387000,-78.4137200,864.0
38.53377000,-78.4137100,864.0
38.53367000,-78.4136900,864.0
38.53358000,-78.4136700,864.0
38.53349000,-78.4136400,863.0
38.53340000,-78.4136000,861.0
38.53323000,-78.4135100,858.0
38.53314000,-78.4134600,855.0
38.53305000,-78.4134200,854.0
38.53296000,-78.4133800,852.0
38.53286000,-78.4133600,850.0
38.53277000,-78.4133400,848.0
38.53267000,-78.4133100,847.0
38.53257000,-78.4133000,846.0
38.53247000,-78.4132800,845.0
38.53229000,-78.4133000,843.0
38.53220000,-78.4133000,842.0
38.53213000,-78.4131800,840.0
38.53217000,-78.4129600,838.0
38.53226000,-78.4128200,838.0
38.53232000,-78.4127300,837.0
38.53240000,-78.4126600,836.0
38.53244000,-78.4125400,834.0
38.53249000,-78.4124400,832.0
38.53255000,-78.4123600,831.0
38.53261000,-78.4122700,829.0
38.53267000,-78.4121800,828.0
38.53274000,-78.4121000,826.0
38.53282000,-78.4120200,824.0
38.53287000,-78.4119200,821.0
38.53293000,-78.4118300,819.0
38.53302000,-78.4117700,818.0
38.53310000,-78.4117100,816.0
38.53327000,-78.4116200,813.0
38.53337000,-78.4115900,812.0
38.53352000,-78.4114800,812.0
38.53362000,-78.4114400,811.0
38.53371000,-78.4112700,808.0
38.53389000,-78.4112000,805.0
38.53398000,-78.4111600,803.0
38.53407000,-78.4111300,800.0
38.53416000,-78.4111300,798.0
38.53434000,-78.4111700,795.0
38.53443000,-78.4111800,794.0
38.53452000,-78.4111600,793.0
38.53460000,-78.4110500,791.0
38.53453000,-78.4108600,788.0
38.53446000,-78.4106800,784.0
38.53432000,-78.4105200,782.0
38.53430000,-78.4102900,777.0
38.53420000,-78.4101400,775.0
38.53414000,-78.4100500,774.0
38.53407000,-78.4099600,773.0
38.53401000,-78.4098600,772.0
38.53386000,-78.4097400,771.0
38.53378000,-78.4096700,770.0
38.53369000,-78.4096200,770.0
38.53360000,-78.4095900,770.0
38.53350000,-78.4095800,769.0
38.53341000,-78.4095800,769.0
38.53332000,-78.4095900,770.0
38.53323000,-78.4095900,770.0
38.53313000,-78.4096000,770.0
38.53303000,-78.4096100,769.0
38.53294000,-78.4096100,768.0
38.53285000,-78.4096000,767.0
