Latitude,Longitude,Elevation
36.81708000,-82.6222100,481.0
36.81714000,-82.6220700,480.0
36.81715000,-82.6225900,485.0
36.81722000,-82.6229800,487.0
36.81736000,-82.6233700,489.0
36.81743000,-82.6236700,488.0
36.81760000,-82.6241000,493.0
36.81774000,-82.6245300,501.0
36.81777000,-82.6248300,501.0
36.81781000,-82.6251700,503.0
36.81787000,-82.6254700,504.0
36.81808000,-82.6259000,509.0
36.81818000,-82.6262000,508.0
36.81839000,-82.6265000,510.0
36.81856000,-82.6267600,512.0
36.81877000,-82.6268900,516.0
36.81901000,-82.6269700,520.0
36.81921000,-82.6271900,522.0
36.81942000,-82.6274400,522.0
36.81952000,-82.6277400,518.0
36.81959000,-82.6280500,514.0
36.81959000,-82.6284700,507.0
36.81956000,-82.6287700,505.0
36.81949000,-82.6290800,507.0
36.81942000,-82.6295000,512.0
36.81928000,-82.6297600,514.0
36.81915000,-82.6302300,520.0
36.81901000,-82.6304900,525.0
36.81901000,-82.6308300,525.0
36.81901000,-82.6313500,525.0
36.81894000,-82.6316500,528.0
36.81894000,-82.6320400,532.0
36.81890000,-82.6325100,531.0
36.81884000,-82.6330700,533.0
36.81877000,-82.6337500,534.0
36.81870000,-82.6340500,532.0
36.81853000,-82.6344800,532.0
36.81836000,-82.6349100,534.0
36.81815000,-82.6352100,538.0
36.81787000,-82.6355100,542.0
36.81736000,-82.6361600,545.0
36.81732000,-82.6365900,548.0
36.81726000,-82.6370600,550.0
36.81719000,-82.6374000,552.0
36.81684000,-82.6382600,557.0
36.81653000,-82.6389500,564.0
36.81636000,-82.6391600,563.0
36.81605000,-82.6400200,573.0
36.81598000,-82.6404500,578.0
36.81585000,-82.6408800,581.0
36.81530000,-82.6414300,578.0
36.81509000,-82.6416500,578.0
36.81482000,-82.6419900,582.0
36.81451000,-82.6422100,588.0
36.81423000,-82.6423800,590.0
36.81389000,-82.6425100,587.0
36.81337000,-82.6430200,590.0
36.81313000,-82.6434900,595.0
36.81303000,-82.6438400,598.0
36.81293000,-82.6441400,605.0
36.81306000,-82.6444800,607.0
36.81334000,-82.6448700,602.0
36.81348000,-82.6451300,605.0
36.81341000,-82.6454300,609.0
36.81320000,-82.6460300,611.0
36.81303000,-82.6463700,616.0
36.81303000,-82.6467100,625.0
36.81306000,-82.6470600,628.0
36.81341000,-82.6478700,625.0
36.81358000,-82.6483400,626.0
36.81379000,-82.6491600,632.0
36.81372000,-82.6494600,637.0
36.81330000,-82.6498000,642.0
36.81310000,-82.6503200,645.0
36.81300000,-82.6506200,647.0
36.81306000,-82.6509600,644.0
36.81334000,-82.6517800,649.0
36.81355000,-82.6523800,654.0
36.81365000,-82.6531500,665.0
36.81375000,-82.6536700,671.0
36.81396000,-82.6546100,664.0
36.81399000,-82.6553400,664.0
36.81399000,-82.6556800,663.0
36.81365000,-82.6565000,671.0
36.81334000,-82.6570100,676.0
36.81289000,-82.6578300,678.0
36.81265000,-82.6582600,689.0
36.81241000,-82.6583400,690.0
36.81221000,-82.6584700,692.0
36.81269000,-82.6584300,695.0
36.81337000,-82.6584300,686.0
36.81375000,-82.6586900,686.0
36.81396000,-82.6592000,695.0
36.81423000,-82.6596700,700.0
36.81458000,-82.6603200,707.0
36.81478000,-82.6606600,708.0
36.81571000,-82.6618600,723.0
36.81650000,-82.6627200,740.0
36.81647000,-82.6623800,743.0
36.81650000,-82.6620800,748.0
36.81674000,-82.6619100,756.0
36.81702000,-82.6621200,761.0
36.81732000,-82.6625900,765.0
36.81739000,-82.6628900,764.0
36.81825000,-82.6638800,779.0
36.81870000,-82.6643900,784.0
36.81908000,-82.6647400,792.0
36.81949000,-82.6649100,800.0
36.82042000,-82.6655500,814.0
36.82062000,-82.6657200,819.0
36.82100000,-82.6657200,829.0
36.82217000,-82.6659400,851.0
36.82258000,-82.6659800,850.0
36.82286000,-82.6659800,849.0
36.82330000,-82.6659800,847.0
36.82354000,-82.6659800,848.0
36.82344000,-82.6657200,845.0
36.82320000,-82.6651700,839.0
36.82296000,-82.6646500,836.0
36.82296000,-82.6643500,839.0
36.82296000,-82.6640500,843.0
36.82296000,-82.6634900,849.0
36.82296000,-82.6629800,850.0
36.82303000,-82.6625100,849.0
36.82323000,-82.6623300,850.0
36.82351000,-82.6623800,853.0
36.82375000,-82.6622500,854.0
36.82389000,-82.6619500,853.0
36.82409000,-82.6618200,855.0
36.82426000,-82.6615200,857.0
36.82433000,-82.6612200,858.0
36.82444000,-82.6609200,859.0
36.82454000,-82.6605700,858.0
36.82468000,-82.6602300,857.0
36.82474000,-82.6599300,855.0
36.82488000,-82.6599300,857.0
36.82554000,-82.6596300,862.0
36.82574000,-82.6595000,865.0
36.82595000,-82.6593700,868.0
36.82629000,-82.6591200,871.0
36.82657000,-82.6590700,872.0
36.82681000,-82.6590700,875.0
36.82725000,-82.6589400,879.0
36.82739000,-82.6586000,879.0
36.82770000,-82.6581700,879.0
36.82777000,-82.6577900,878.0
36.82766000,-82.6574900,876.0
36.82770000,-82.6571400,874.0
36.82791000,-82.6568800,873.0
36.82811000,-82.6567100,873.0
36.82828000,-82.6565000,873.0
36.82842000,-82.6562400,874.0
36.82859000,-82.6559800,876.0
36.82894000,-82.6558100,874.0
36.82918000,-82.6557700,876.0
36.82966000,-82.6555500,880.0
36.82986000,-82.6554300,878.0
36.83004000,-82.6551700,875.0
36.83024000,-82.6550400,875.0
36.83014000,-82.6547000,872.0
36.83000000,-82.6543100,871.0
36.82990000,-82.6538800,874.0
36.82990000,-82.6535400,875.0
36.82990000,-82.6532400,876.0
36.83000000,-82.6528500,876.0
36.83014000,-82.6522500,879.0
36.83014000,-82.6517800,882.0
36.83014000,-82.6513900,881.0
36.83031000,-82.6511300,882.0
36.83058000,-82.6508800,884.0
36.83083000,-82.6507000,887.0
36.83083000,-82.6503600,884.0
36.83058000,-82.6500600,881.0
36.83041000,-82.6498500,879.0
36.83024000,-82.6495900,879.0
36.83007000,-82.6493700,880.0
36.82976000,-82.6492500,879.0
36.82921000,-82.6492500,875.0
36.82894000,-82.6491600,874.0
36.82866000,-82.6487700,873.0
36.82845000,-82.6484700,868.0
36.82804000,-82.6479100,860.0
36.82794000,-82.6476600,857.0
36.82794000,-82.6472700,853.0
36.82818000,-82.6473100,856.0
36.82887000,-82.6474000,857.0
36.82894000,-82.6470100,853.0
36.82880000,-82.6465000,848.0
36.82887000,-82.6461600,843.0
36.82914000,-82.6460300,840.0
36.82983000,-82.6461600,845.0
36.82979000,-82.6458100,843.0
36.82969000,-82.6454700,839.0
36.82952000,-82.6451300,836.0
36.82976000,-82.6449100,842.0
36.83014000,-82.6444800,850.0
36.83031000,-82.6439700,848.0
36.83041000,-82.6435800,850.0
36.83055000,-82.6433200,851.0
36.83103000,-82.6422900,847.0
36.83113000,-82.6419500,848.0
36.83113000,-82.6416100,844.0
36.83127000,-82.6412600,839.0
36.83103000,-82.6409600,835.0
36.83065000,-82.6405300,828.0
36.83048000,-82.6400600,826.0
36.83034000,-82.6398000,826.0
36.82976000,-82.6395500,821.0
36.82935000,-82.6390700,819.0
36.82914000,-82.6388200,818.0
36.82873000,-82.6383400,810.0
36.82870000,-82.6380400,808.0
36.82870000,-82.6376600,803.0
36.82845000,-82.6369700,793.0
36.82815000,-82.6366300,788.0
36.82794000,-82.6363700,784.0
36.82763000,-82.6362000,781.0
36.82712000,-82.6359000,775.0
36.82725000,-82.6356000,765.0
36.82773000,-82.6353000,750.0
36.82722000,-82.6346100,733.0
36.82488000,-82.6328100,690.0
36.82464000,-82.6326800,693.0
36.82440000,-82.6323800,683.0
36.82420000,-82.6320800,667.0
36.82399000,-82.6319500,661.0
36.82354000,-82.6319100,657.0
36.82310000,-82.6319900,652.0
36.82244000,-82.6322100,632.0
36.82196000,-82.6323400,626.0
36.82145000,-82.6325900,613.0
36.82128000,-82.6328100,609.0
36.82097000,-82.6331900,601.0
36.82073000,-82.6327700,587.0
36.82055000,-82.6321600,575.0
36.82059000,-82.6317400,569.0
36.82079000,-82.6311800,562.0
36.82097000,-82.6308800,560.0
36.82155000,-82.6300600,548.0
36.82182000,-82.6297200,543.0
36.82155000,-82.6295900,532.0
36.82097000,-82.6295900,522.0
36.82055000,-82.6294200,514.0
36.82000000,-82.6291600,507.0
36.81973000,-82.6291600,505.0
36.81952000,-82.6289500,506.0
36.81959000,-82.6286500,505.0
36.81959000,-82.6279600,516.0
36.81925000,-82.6272300,523.0
36.81890000,-82.6270200,517.0
36.81873000,-82.6267600,516.0
36.81863000,-82.6265000,517.0
36.81818000,-82.6258600,512.0
36.81787000,-82.6249600,505.0
36.81750000,-82.6241400,490.0
36.81746000,-82.6237500,488.0
36.81719000,-82.6227700,487.0
36.81715000,-82.6224700,483.0
36.81708000,-82.6222100,481.0
