Latitude,Longitude,Elevation
38.96753000,-77.2893400,65.0
38.96755000,-77.2893300,65.0
38.96753000,-77.2893400,65.0
38.96753000,-77.2892900,64.0
38.96755000,-77.2885700,60.0
38.96744000,-77.2878000,64.0
38.96732000,-77.2870300,61.0
38.96749000,-77.2866100,61.0
38.96775000,-77.2861900,61.0
38.96801000,-77.2856000,61.0
38.96827000,-77.2850100,61.0
38.96854000,-77.2842800,62.0
38.96880000,-77.2835400,59.0
38.96889000,-77.2828400,61.0
38.96897000,-77.2821400,62.0
38.96898000,-77.2819400,63.0
38.96889000,-77.2814600,63.0
38.96895000,-77.2812800,62.0
38.96908000,-77.2811300,62.0
38.96910000,-77.2811000,62.0
38.97034000,-77.2802400,64.0
38.97048000,-77.2800600,64.0
38.97058000,-77.2799000,63.0
38.97060000,-77.2798500,62.0
38.97063000,-77.2797600,62.0
38.97078000,-77.2793400,61.0
38.97076000,-77.2788500,62.0
38.97059000,-77.2781800,63.0
38.97061000,-77.2781100,63.0
38.97057000,-77.2778900,63.0
38.97053000,-77.2776500,63.0
38.97053000,-77.2774900,63.0
38.97054000,-77.2774400,63.0
38.97055000,-77.2772700,63.0
38.97059000,-77.2770800,64.0
38.97063000,-77.2768600,64.0
38.97068000,-77.2766600,66.0
38.97088000,-77.2764100,66.0
38.97105000,-77.2763000,66.0
38.97119000,-77.2762100,66.0
38.97138000,-77.2761500,67.0
38.97156000,-77.2761600,68.0
38.97169000,-77.2762100,69.0
38.97181000,-77.2764200,68.0
38.97195000,-77.2766000,68.0
38.97218000,-77.2767400,68.0
38.97231000,-77.2768100,66.0
38.97247000,-77.2766300,66.0
38.97263000,-77.2764000,67.0
38.97281000,-77.2761500,66.0
38.97296000,-77.2758600,68.0
38.97305000,-77.2756400,68.0
38.97314000,-77.2754200,67.0
38.97321000,-77.2751500,65.0
38.97324000,-77.2749500,63.0
38.97326000,-77.2748600,62.0
38.97311000,-77.2747700,61.0
38.97301000,-77.2747200,61.0
38.97284000,-77.2745700,61.0
38.97263000,-77.2746600,65.0
38.97235000,-77.2745600,64.0
38.97222000,-77.2746000,64.0
38.97202000,-77.2746300,63.0
38.97181000,-77.2746400,64.0
38.97157000,-77.2746800,66.0
38.97135000,-77.2745800,67.0
38.97115000,-77.2745700,67.0
38.97101000,-77.2745500,67.0
38.97084000,-77.2744700,66.0
38.97055000,-77.2743300,66.0
38.97041000,-77.2735600,66.0
38.97033000,-77.2734100,67.0
38.97034000,-77.2732300,66.0
38.97054000,-77.2731000,64.0
38.97063000,-77.2729200,64.0
38.97091000,-77.2726100,64.0
38.97102000,-77.2723700,64.0
38.97113000,-77.2722600,64.0
38.97119000,-77.2720600,64.0
38.97118000,-77.2714300,59.0
38.97128000,-77.2711600,58.0
38.97130000,-77.2708900,58.0
38.97136000,-77.2702600,56.0
38.97133000,-77.2698100,56.0
38.97118000,-77.2696500,55.0
38.97074000,-77.2690700,58.0
38.97079000,-77.2687800,57.0
38.97057000,-77.2682900,57.0
38.97059000,-77.2681400,57.0
38.97055000,-77.2679500,58.0
38.97050000,-77.2677100,59.0
38.97050000,-77.2672700,60.0
38.97062000,-77.2664300,58.0
38.97091000,-77.2656400,61.0
38.97112000,-77.2652200,61.0
38.97100000,-77.2648100,63.0
38.97109000,-77.2646300,62.0
38.97139000,-77.2643000,61.0
38.97190000,-77.2631500,63.0
38.97209000,-77.2629600,63.0
38.97232000,-77.2628900,62.0
38.97254000,-77.2627200,61.0
38.97271000,-77.2624400,62.0
38.97292000,-77.2618300,67.0
38.97311000,-77.2608000,69.0
38.97326000,-77.2603000,66.0
38.97360000,-77.2598700,64.0
38.97400000,-77.2591600,63.0
38.97413000,-77.2591000,60.0
38.97432000,-77.2589000,59.0
38.97467000,-77.2579700,62.0
38.97472000,-77.2579000,62.0
38.97482000,-77.2579300,63.0
38.97485000,-77.2579300,63.0
38.97491000,-77.2578900,63.0
38.97494000,-77.2578700,63.0
38.97489000,-77.2575200,60.0
38.97485000,-77.2574200,61.0
38.97477000,-77.2571900,62.0
38.97459000,-77.2567500,65.0
38.97430000,-77.2564800,62.0
38.97423000,-77.2563200,62.0
38.97422000,-77.2561700,62.0
38.97428000,-77.2560600,62.0
38.97448000,-77.2558000,61.0
38.97492000,-77.2555500,63.0
38.97566000,-77.2550000,60.0
38.97572000,-77.2549100,59.0
38.97580000,-77.2547100,58.0
38.97635000,-77.2539300,57.0
38.97666000,-77.2537000,58.0
38.97706000,-77.2526900,56.0
38.97772000,-77.2520600,60.0
38.97789000,-77.2517400,62.0
38.97815000,-77.2510600,65.0
38.97831000,-77.2505200,62.0
