Latitude,Longitude,Elevation
38.25429000,-78.6827900,878.0
38.25419000,-78.6828900,877.0
38.25388000,-78.6827500,873.0
38.25381000,-78.6827200,872.0
38.25332000,-78.6826500,866.0
38.25322000,-78.6827700,863.0
38.25313000,-78.6829300,861.0
38.25305000,-78.6829800,859.0
38.25295000,-78.6830600,855.0
38.25291000,-78.6832800,854.0
38.25274000,-78.6835000,852.0
38.25258000,-78.6836700,851.0
38.25241000,-78.6836800,846.0
38.25224000,-78.6835100,839.0
38.25209000,-78.6833100,830.0
38.25199000,-78.6832300,827.0
38.25186000,-78.6831500,823.0
38.25165000,-78.6830400,820.0
38.25151000,-78.6829700,818.0
38.25116000,-78.6829300,810.0
38.25090000,-78.6829300,806.0
38.25076000,-78.6828900,804.0
38.25062000,-78.6828700,801.0
38.25052000,-78.6828900,798.0
38.25014000,-78.6829400,786.0
38.24978000,-78.6831500,776.0
38.24935000,-78.6831600,765.0
38.24883000,-78.6830700,759.0
38.24858000,-78.6830200,753.0
38.24850000,-78.6832400,748.0
38.24842000,-78.6835500,742.0
38.24830000,-78.6836400,739.0
38.24797000,-78.6835500,739.0
38.24772000,-78.6837600,735.0
38.24754000,-78.6840700,729.0
38.24705000,-78.6844500,723.0
38.24644000,-78.6848600,717.0
38.24594000,-78.6849500,711.0
38.24555000,-78.6853200,709.0
38.24530000,-78.6857100,704.0
38.24449000,-78.6865200,696.0
38.24426000,-78.6870900,695.0
38.24408000,-78.6872300,691.0
38.24343000,-78.6875700,683.0
38.24320000,-78.6879300,683.0
38.24279000,-78.6880900,677.0
38.24255000,-78.6883000,677.0
38.24223000,-78.6887100,674.0
38.24162000,-78.6890200,664.0
38.24122000,-78.6892200,659.0
38.24086000,-78.6896700,653.0
38.24084000,-78.6898800,651.0
38.24102000,-78.6899500,654.0
38.24117000,-78.6901700,656.0
38.24110000,-78.6903000,655.0
38.24084000,-78.6902600,652.0
38.24052000,-78.6902900,644.0
38.24005000,-78.6904900,632.0
38.23977000,-78.6904700,625.0
38.23939000,-78.6905900,615.0
38.23902000,-78.6908800,604.0
38.23896000,-78.6911400,605.0
38.23892000,-78.6916000,613.0
38.23869000,-78.6919300,611.0
38.23836000,-78.6920600,601.0
38.23825000,-78.6919500,593.0
38.23843000,-78.6917600,595.0
38.23868000,-78.6915700,601.0
38.23867000,-78.6914200,596.0
38.23856000,-78.6913400,590.0
38.23840000,-78.6914300,583.0
38.23801000,-78.6915500,583.0
38.23767000,-78.6917100,578.0
38.23722000,-78.6921300,558.0
38.23672000,-78.6926500,548.0
38.23641000,-78.6930800,548.0
38.23609000,-78.6935500,536.0
38.23585000,-78.6937000,530.0
38.23604000,-78.6936000,534.0
38.23634000,-78.6931400,546.0
38.23661000,-78.6927600,545.0
38.23712000,-78.6922300,557.0
38.23757000,-78.6917900,573.0
38.23789000,-78.6916300,582.0
38.23834000,-78.6914800,582.0
38.23850000,-78.6913400,587.0
38.23863000,-78.6913800,593.0
38.23866000,-78.6915100,598.0
38.23843000,-78.6917100,594.0
38.23824000,-78.6918800,591.0
38.23834000,-78.6920400,599.0
38.23861000,-78.6919500,607.0
38.23880000,-78.6916700,610.0
38.23886000,-78.6912700,603.0
38.23891000,-78.6910100,602.0
38.23928000,-78.6907100,612.0
38.23967000,-78.6905700,623.0
38.23995000,-78.6906000,631.0
38.24040000,-78.6903800,642.0
38.24077000,-78.6903400,651.0
38.24105000,-78.6903700,655.0
38.24114000,-78.6902900,655.0
38.24102000,-78.6900800,653.0
38.24083000,-78.6900000,650.0
38.24083000,-78.6897900,651.0
38.24114000,-78.6893400,658.0
38.24151000,-78.6891300,662.0
38.24213000,-78.6888100,673.0
38.24245000,-78.6884100,677.0
38.24269000,-78.6882000,678.0
38.24310000,-78.6880400,682.0
38.24333000,-78.6876800,683.0
38.24397000,-78.6873400,689.0
38.24416000,-78.6871900,693.0
38.24440000,-78.6866100,696.0
38.24520000,-78.6858000,702.0
38.24546000,-78.6854100,708.0
38.24585000,-78.6850400,709.0
38.24636000,-78.6849600,715.0
38.24696000,-78.6845600,722.0
38.24744000,-78.6841900,726.0
38.24761000,-78.6838800,733.0
38.24786000,-78.6836100,739.0
38.24818000,-78.6837400,737.0
38.24830000,-78.6836500,739.0
38.24839000,-78.6833800,744.0
38.24847000,-78.6830800,750.0
38.24872000,-78.6831200,755.0
38.24925000,-78.6832100,764.0
38.24967000,-78.6832300,773.0
38.25002000,-78.6830500,782.0
38.25040000,-78.6829900,792.0
38.25051000,-78.6829100,797.0
38.25063000,-78.6828600,801.0
38.25077000,-78.6829000,804.0
38.25103000,-78.6828900,808.0
38.25138000,-78.6828900,816.0
38.25152000,-78.6829100,819.0
38.25173000,-78.6830000,822.0
38.25187000,-78.6830900,824.0
38.25196000,-78.6831900,826.0
38.25210000,-78.6834300,832.0
38.25227000,-78.6836400,841.0
38.25244000,-78.6836900,848.0
38.25259000,-78.6835600,850.0
38.25279000,-78.6833700,852.0
38.25284000,-78.6831900,853.0
38.25293000,-78.6830900,855.0
38.25302000,-78.6830300,858.0
38.25312000,-78.6828800,861.0
38.25323000,-78.6827100,864.0
38.25348000,-78.6827200,867.0
38.25382000,-78.6827600,872.0
38.25388000,-78.6827500,873.0
38.25419000,-78.6828900,877.0
38.25429000,-78.6827900,878.0
