Latitude,Longitude,Elevation
37.37847000,-80.1560900,546.0
37.37843000,-80.1560700,547.0
37.37840000,-80.1560200,548.0
37.37836000,-80.1559900,548.0
37.37832000,-80.1559400,549.0
37.37830000,-80.1558900,549.0
37.37827000,-80.1558200,549.0
37.37825000,-80.1557700,549.0
37.37822000,-80.1557100,549.0
37.37819000,-80.1556600,549.0
37.37816000,-80.1556200,549.0
37.37811000,-80.1555700,550.0
37.37808000,-80.1555200,549.0
37.37803000,-80.1554800,549.0
37.37799000,-80.1554600,548.0
37.37794000,-80.1554400,548.0
37.37789000,-80.1554100,548.0
37.37784000,-80.1553900,548.0
37.37779000,-80.1553700,547.0
37.37774000,-80.1553500,547.0
37.37769000,-80.1553500,548.0
37.37762000,-80.1553600,549.0
37.37756000,-80.1553800,549.0
37.37750000,-80.1554100,550.0
37.37745000,-80.1554400,551.0
37.37740000,-80.1554700,552.0
37.37736000,-80.1555100,553.0
37.37732000,-80.1555500,553.0
37.37728000,-80.1555800,554.0
37.37724000,-80.1556200,555.0
37.37721000,-80.1556700,556.0
37.37716000,-80.1557100,557.0
37.37711000,-80.1557500,558.0
37.37707000,-80.1558000,559.0
37.37703000,-80.1558200,560.0
37.37702000,-80.1558000,560.0
37.37684000,-80.1558700,562.0
37.37659000,-80.1558400,563.0
37.37626000,-80.1560500,565.0
37.37611000,-80.1562400,567.0
37.37603000,-80.1563300,569.0
37.37593000,-80.1563800,570.0
37.37575000,-80.1565200,571.0
37.37564000,-80.1565300,571.0
37.37554000,-80.1564700,571.0
37.37547000,-80.1564800,571.0
37.37540000,-80.1565100,572.0
37.37535000,-80.1565800,572.0
37.37520000,-80.1567000,573.0
37.37506000,-80.1567400,576.0
37.37500000,-80.1567800,577.0
37.37491000,-80.1568600,580.0
37.37488000,-80.1569900,581.0
37.37467000,-80.1572400,585.0
37.37461000,-80.1574000,586.0
37.37461000,-80.1575800,585.0
37.37460000,-80.1576200,585.0
37.37454000,-80.1578500,587.0
37.37448000,-80.1580500,589.0
37.37436000,-80.1583000,592.0
37.37413000,-80.1584900,599.0
37.37362000,-80.1585800,601.0
37.37306000,-80.1587800,608.0
37.37291000,-80.1588400,611.0
37.37288000,-80.1588700,612.0
37.37282000,-80.1589200,613.0
37.37278000,-80.1590300,615.0
37.37275000,-80.1591700,617.0
37.37243000,-80.1593400,619.0
37.37229000,-80.1595200,619.0
37.37223000,-80.1595900,620.0
37.37218000,-80.1596600,620.0
37.37213000,-80.1597300,620.0
37.37208000,-80.1598000,621.0
37.37208000,-80.1599500,621.0
37.37210000,-80.1600100,621.0
37.37219000,-80.1600600,623.0
37.37222000,-80.1600800,624.0
37.37229000,-80.1600800,625.0
37.37235000,-80.1600200,626.0
37.37238000,-80.1600300,627.0
37.37241000,-80.1600500,628.0
37.37241000,-80.1601400,630.0
37.37227000,-80.1603200,629.0
37.37220000,-80.1606400,634.0
37.37230000,-80.1610600,640.0
37.37230000,-80.1615800,649.0
37.37229000,-80.1617700,652.0
37.37227000,-80.1619500,654.0
37.37225000,-80.1620200,655.0
37.37224000,-80.1620400,655.0
37.37220000,-80.1621200,657.0
37.37214000,-80.1621900,658.0
37.37197000,-80.1622100,658.0
37.37171000,-80.1621900,655.0
37.37168000,-80.1622000,655.0
37.37156000,-80.1623700,656.0
37.37154000,-80.1625500,658.0
37.37155000,-80.1627800,661.0
37.37163000,-80.1631300,672.0
37.37161000,-80.1632600,675.0
37.37162000,-80.1633000,676.0
37.37155000,-80.1634000,677.0
37.37148000,-80.1636500,679.0
37.37132000,-80.1638300,679.0
37.37118000,-80.1638800,678.0
37.37107000,-80.1641100,684.0
37.37093000,-80.1642400,688.0
37.37080000,-80.1643200,690.0
37.37073000,-80.1644100,693.0
37.37063000,-80.1645700,697.0
37.37055000,-80.1646500,698.0
37.37045000,-80.1645700,698.0
37.37043000,-80.1644000,695.0
37.37043000,-80.1642800,694.0
