Latitude,Longitude,Elevation
39.10960000,-78.4778100,646.0
39.10960000,-78.4778200,647.0
39.10965000,-78.4776800,645.0
39.10969000,-78.4775500,644.0
39.10950000,-78.4774200,644.0
39.10946000,-78.4773400,645.0
39.10945000,-78.4772300,645.0
39.10952000,-78.4766800,649.0
39.10961000,-78.4762900,655.0
39.10978000,-78.4758100,661.0
39.10999000,-78.4753600,661.0
39.11020000,-78.4749900,662.0
39.11037000,-78.4747500,664.0
39.11068000,-78.4743800,663.0
39.11125000,-78.4737700,664.0
39.11167000,-78.4733900,663.0
39.11239000,-78.4727300,667.0
39.11293000,-78.4722100,671.0
39.11356000,-78.4714400,680.0
39.11368000,-78.4712100,684.0
39.11370000,-78.4710900,686.0
39.11373000,-78.4708100,690.0
39.11378000,-78.4703500,696.0
39.11389000,-78.4697300,703.0
39.11413000,-78.4681400,717.0
39.11413000,-78.4676400,722.0
39.11407000,-78.4672400,730.0
39.11407000,-78.4666100,740.0
39.11400000,-78.4659300,750.0
39.11400000,-78.4655400,753.0
39.11395000,-78.4652500,754.0
39.11390000,-78.4651000,754.0
39.11373000,-78.4647300,756.0
39.11370000,-78.4646000,756.0
39.11357000,-78.4638600,763.0
39.11352000,-78.4636800,764.0
39.11336000,-78.4634100,765.0
39.11332000,-78.4633200,765.0
39.11331000,-78.4632900,765.0
39.11326000,-78.4631400,764.0
39.11324000,-78.4627400,764.0
39.11323000,-78.4622600,765.0
39.11325000,-78.4621300,767.0
39.11335000,-78.4619800,771.0
39.11337000,-78.4617700,771.0
39.11343000,-78.4612300,775.0
39.11348000,-78.4609400,779.0
39.11363000,-78.4601700,781.0
39.11395000,-78.4594400,788.0
39.11444000,-78.4587200,783.0
39.11509000,-78.4582400,788.0
39.11521000,-78.4581200,789.0
39.11509000,-78.4582400,788.0
39.11444000,-78.4587200,783.0
39.11395000,-78.4594400,788.0
39.11363000,-78.4601700,781.0
39.11348000,-78.4609400,779.0
39.11343000,-78.4612300,775.0
39.11337000,-78.4617700,771.0
39.11335000,-78.4619800,771.0
39.11325000,-78.4621300,767.0
39.11323000,-78.4622600,765.0
39.11324000,-78.4627400,764.0
39.11326000,-78.4631400,764.0
39.11331000,-78.4632900,765.0
39.11332000,-78.4633200,765.0
39.11336000,-78.4634100,765.0
39.11352000,-78.4636800,764.0
39.11357000,-78.4638600,763.0
39.11370000,-78.4646000,756.0
39.11373000,-78.4647300,756.0
39.11390000,-78.4651000,754.0
39.11395000,-78.4652500,754.0
39.11400000,-78.4655400,753.0
39.11400000,-78.4659300,750.0
39.11407000,-78.4666100,740.0
39.11407000,-78.4672400,730.0
39.11413000,-78.4676400,722.0
39.11413000,-78.4681400,717.0
39.11389000,-78.4697300,703.0
39.11378000,-78.4703500,696.0
39.11373000,-78.4708100,690.0
39.11370000,-78.4710900,686.0
39.11368000,-78.4712100,684.0
39.11356000,-78.4714400,680.0
39.11293000,-78.4722100,671.0
39.11239000,-78.4727300,667.0
39.11167000,-78.4733900,663.0
39.11125000,-78.4737700,664.0
39.11068000,-78.4743800,663.0
39.11037000,-78.4747500,664.0
39.11020000,-78.4749900,662.0
39.10999000,-78.4753600,661.0
39.10978000,-78.4758100,661.0
39.10961000,-78.4762900,655.0
39.10952000,-78.4766800,649.0
39.10945000,-78.4772300,645.0
39.10946000,-78.4773400,645.0
39.10950000,-78.4774200,644.0
39.10969000,-78.4775500,644.0
39.10965000,-78.4776800,645.0
39.10960000,-78.4778200,647.0
39.10960000,-78.4778100,646.0
