Latitude,Longitude,Elevation
36.65200000,-83.4356200,504.0
36.65201000,-83.4356200,505.0
36.65226000,-83.4357200,509.0
36.65229000,-83.4357700,510.0
36.65232000,-83.4358400,511.0
36.65235000,-83.4358800,512.0
36.65240000,-83.4359000,514.0
36.65245000,-83.4359200,516.0
36.65251000,-83.4359500,518.0
36.65256000,-83.4359900,519.0
36.65260000,-83.4360100,520.0
36.65265000,-83.4360400,521.0
36.65271000,-83.4360400,523.0
36.65279000,-83.4360000,525.0
36.65285000,-83.4359900,526.0
36.65289000,-83.4359900,527.0
36.65294000,-83.4359900,528.0
36.65300000,-83.4360000,530.0
36.65305000,-83.4360000,531.0
36.65310000,-83.4360100,532.0
36.65315000,-83.4360300,533.0
36.65321000,-83.4360300,534.0
36.65327000,-83.4360200,535.0
36.65334000,-83.4360300,537.0
36.65338000,-83.4360400,537.0
36.65343000,-83.4360700,538.0
36.65347000,-83.4361100,539.0
36.65352000,-83.4361500,540.0
36.65357000,-83.4361800,541.0
36.65362000,-83.4362200,542.0
36.65366000,-83.4362500,542.0
36.65383000,-83.4363100,543.0
36.65387000,-83.4363800,543.0
36.65391000,-83.4364300,544.0
36.65394000,-83.4364800,545.0
36.65398000,-83.4365200,546.0
36.65402000,-83.4365600,548.0
36.65405000,-83.4366100,549.0
36.65408000,-83.4366500,550.0
36.65411000,-83.4366900,551.0
36.65415000,-83.4367400,553.0
36.65419000,-83.4367900,553.0
36.65423000,-83.4368300,554.0
36.65427000,-83.4368800,554.0
36.65431000,-83.4369100,554.0
36.65436000,-83.4369200,553.0
36.65441000,-83.4369400,552.0
36.65442000,-83.4369500,552.0
36.65459000,-83.4370500,557.0
36.65466000,-83.4370600,557.0
36.65472000,-83.4370300,557.0
36.65477000,-83.4369800,556.0
36.65483000,-83.4369600,555.0
36.65489000,-83.4369700,556.0
36.65494000,-83.4369800,556.0
36.65499000,-83.4370000,557.0
36.65504000,-83.4370200,557.0
36.65508000,-83.4370400,558.0
36.65513000,-83.4370600,559.0
36.65517000,-83.4370900,560.0
36.65522000,-83.4371100,561.0
36.65528000,-83.4371200,561.0
36.65535000,-83.4371000,562.0
36.65539000,-83.4370600,563.0
36.65543000,-83.4370300,563.0
36.65547000,-83.4369800,564.0
36.65558000,-83.4369000,565.0
36.65563000,-83.4368500,565.0
36.65568000,-83.4368200,566.0
36.65572000,-83.4367800,565.0
36.65576000,-83.4367500,565.0
36.65579000,-83.4367100,565.0
36.65581000,-83.4366600,564.0
36.65586000,-83.4366100,565.0
36.65591000,-83.4365800,565.0
36.65596000,-83.4365600,566.0
36.65600000,-83.4365400,566.0
36.65606000,-83.4365100,566.0
36.65610000,-83.4364700,566.0
36.65612000,-83.4364200,566.0
36.65614000,-83.4363700,566.0
36.65616000,-83.4363100,567.0
36.65619000,-83.4362600,568.0
36.65623000,-83.4362400,568.0
36.65628000,-83.4362600,569.0
36.65634000,-83.4363000,569.0
36.65638000,-83.4363200,570.0
36.65643000,-83.4363600,570.0
36.65649000,-83.4364000,571.0
36.65653000,-83.4364300,572.0
36.65659000,-83.4364700,574.0
36.65662000,-83.4365100,574.0
36.65666000,-83.4365400,575.0
36.65671000,-83.4365600,576.0
36.65677000,-83.4365900,577.0
36.65684000,-83.4365900,577.0
36.65690000,-83.4366200,578.0
36.65695000,-83.4366600,579.0
36.65701000,-83.4367200,580.0
36.65704000,-83.4367600,580.0
36.65708000,-83.4368100,581.0
36.65711000,-83.4368500,582.0
36.65716000,-83.4369000,583.0
36.65720000,-83.4369300,583.0
36.65725000,-83.4369700,585.0
36.65730000,-83.4369800,586.0
36.65736000,-83.4369800,586.0
36.65741000,-83.4369900,587.0
36.65742000,-83.4369300,586.0
36.65741000,-83.4368600,586.0
36.65738000,-83.4368100,586.0
36.65736000,-83.4367500,585.0
36.65734000,-83.4366800,585.0
36.65731000,-83.4366100,585.0
36.65730000,-83.4365600,585.0
36.65727000,-83.4365000,585.0
36.65725000,-83.4364300,585.0
36.65722000,-83.4363600,585.0
36.65720000,-83.4363100,585.0
36.65718000,-83.4362500,585.0
36.65717000,-83.4361800,585.0
36.65716000,-83.4361200,585.0
36.65714000,-83.4360300,585.0
36.65712000,-83.4359600,585.0
36.65711000,-83.4359100,585.0
36.65709000,-83.4358500,585.0
36.65708000,-83.4357900,585.0
36.65711000,-83.4357400,586.0
36.65715000,-83.4357100,586.0
36.65732000,-83.4357100,587.0
36.65737000,-83.4357100,587.0
36.65742000,-83.4357000,588.0
36.65747000,-83.4357000,588.0
36.65751000,-83.4356800,588.0
36.65756000,-83.4356500,589.0
36.65760000,-83.4356000,589.0
36.65762000,-83.4355600,589.0
36.65766000,-83.4355200,589.0
36.65770000,-83.4355000,590.0
36.65774000,-83.4355100,591.0
36.65779000,-83.4355600,592.0
36.65782000,-83.4356000,593.0
36.65786000,-83.4356400,595.0
36.65791000,-83.4356700,596.0
36.65795000,-83.4357000,598.0
36.65800000,-83.4357100,599.0
36.65818000,-83.4358000,604.0
36.65823000,-83.4358300,605.0
36.65832000,-83.4358400,607.0
36.65838000,-83.4358400,609.0
36.65850000,-83.4358700,612.0
36.65851000,-83.4358800,612.0
36.65858000,-83.4360000,615.0
36.65862000,-83.4360600,617.0
36.65866000,-83.4360900,618.0
36.65872000,-83.4361100,619.0
36.65877000,-83.4361100,620.0
36.65881000,-83.4360900,621.0
36.65886000,-83.4361100,622.0
36.65891000,-83.4361600,623.0
36.65895000,-83.4362100,624.0
36.65900000,-83.4362800,626.0
36.65903000,-83.4363300,626.0
36.65906000,-83.4364000,628.0
36.65909000,-83.4364600,629.0
36.65911000,-83.4365200,631.0
36.65914000,-83.4365600,632.0
36.65918000,-83.4366000,634.0
36.65922000,-83.4366400,635.0
36.65928000,-83.4366800,636.0
36.65934000,-83.4367200,637.0
36.65938000,-83.4367500,637.0
36.65942000,-83.4367800,638.0
36.65946000,-83.4368200,639.0
36.65950000,-83.4368700,640.0
36.65955000,-83.4368900,640.0
36.65959000,-83.4369100,641.0
36.65964000,-83.4369300,641.0
36.65968000,-83.4369700,642.0
36.65972000,-83.4370000,643.0
36.65975000,-83.4370600,646.0
36.65977000,-83.4371200,648.0
36.65979000,-83.4372000,651.0
