Latitude,Longitude,Elevation
38.81276000,-77.5206900,83.0
38.81295000,-77.5208100,84.0
38.81302000,-77.5207500,84.0
38.81312000,-77.5206500,85.0
38.81336000,-77.5202300,85.0
38.81370000,-77.5198300,85.0
38.81414000,-77.5192100,80.0
38.81417000,-77.5191700,79.0
38.81434000,-77.5189000,80.0
38.81442000,-77.5186800,81.0
38.81449000,-77.5186200,82.0
38.81451000,-77.5182900,83.0
38.81453000,-77.5180000,86.0
38.81454000,-77.5178600,87.0
38.81455000,-77.5176200,88.0
38.81455000,-77.5174300,87.0
38.81451000,-77.5172500,86.0
38.81449000,-77.5170300,86.0
38.81447000,-77.5168800,86.0
38.81439000,-77.5166700,85.0
38.81440000,-77.5165800,85.0
38.81427000,-77.5164900,84.0
38.81421000,-77.5161500,84.0
38.81411000,-77.5159200,82.0
38.81400000,-77.5157900,80.0
38.81387000,-77.5155800,78.0
38.81382000,-77.5152700,75.0
38.81384000,-77.5149600,73.0
38.81380000,-77.5145900,72.0
38.81368000,-77.5138700,69.0
38.81360000,-77.5137200,68.0
38.81355000,-77.5135400,67.0
38.81341000,-77.5131800,68.0
38.81336000,-77.5130500,68.0
38.81329000,-77.5128700,68.0
38.81329000,-77.5127700,68.0
38.81324000,-77.5125100,68.0
38.81322000,-77.5123900,68.0
38.81320000,-77.5121700,69.0
38.81318000,-77.5120000,70.0
38.81315000,-77.5117800,70.0
38.81307000,-77.5115100,70.0
38.81307000,-77.5112100,68.0
38.81310000,-77.5111300,68.0
38.81306000,-77.5110600,67.0
38.81315000,-77.5110700,68.0
38.81324000,-77.5111000,69.0
38.81338000,-77.5110600,70.0
38.81354000,-77.5110300,70.0
38.81403000,-77.5109900,70.0
38.81416000,-77.5109800,71.0
38.81423000,-77.5110000,71.0
38.81447000,-77.5109300,73.0
38.81483000,-77.5108400,72.0
38.81494000,-77.5108100,71.0
38.81517000,-77.5107500,68.0
38.81560000,-77.5107200,66.0
38.81578000,-77.5106800,65.0
38.81606000,-77.5105900,61.0
38.81657000,-77.5104800,61.0
38.81676000,-77.5104300,60.0
38.81702000,-77.5104000,56.0
38.81716000,-77.5103600,55.0
38.81730000,-77.5104700,54.0
38.81749000,-77.5105600,54.0
38.81781000,-77.5104900,55.0
38.81796000,-77.5104000,54.0
38.81801000,-77.5103600,54.0
38.81811000,-77.5103600,53.0
38.81854000,-77.5104000,51.0
38.81956000,-77.5104900,51.0
38.82132000,-77.5106700,58.0
38.82159000,-77.5107300,58.0
38.82180000,-77.5107500,58.0
38.82195000,-77.5107700,59.0
38.82210000,-77.5108000,59.0
38.82218000,-77.5108400,59.0
38.82226000,-77.5109100,60.0
38.82234000,-77.5109500,61.0
38.82238000,-77.5109700,61.0
38.82255000,-77.5110300,63.0
38.82270000,-77.5110800,65.0
38.82277000,-77.5111300,65.0
38.82285000,-77.5111800,65.0
38.82311000,-77.5112700,65.0
38.82321000,-77.5113200,65.0
38.82349000,-77.5114100,65.0
38.82395000,-77.5116000,69.0
38.82401000,-77.5116700,69.0
38.82410000,-77.5118300,70.0
38.82416000,-77.5118800,71.0
38.82427000,-77.5119300,72.0
38.82436000,-77.5119500,73.0
38.82441000,-77.5119300,74.0
38.82445000,-77.5119000,74.0
38.82450000,-77.5118200,74.0
38.82456000,-77.5117800,74.0
38.82464000,-77.5117400,74.0
38.82455000,-77.5116800,74.0
38.82446000,-77.5116200,74.0
38.82430000,-77.5115300,73.0
38.82417000,-77.5113800,71.0
38.82400000,-77.5111900,70.0
38.82384000,-77.5110000,68.0
38.82368000,-77.5107700,68.0
38.82358000,-77.5105800,68.0
