Latitude,Longitude,Elevation
38.99900000,-77.2558200,51.0
38.99828000,-77.2557000,52.0
38.99812000,-77.2556200,51.0
38.99754000,-77.2552600,50.0
38.99747000,-77.2552500,51.0
38.99740000,-77.2551900,51.0
38.99731000,-77.2549900,52.0
38.99719000,-77.2548700,52.0
38.99694000,-77.2548000,50.0
38.99668000,-77.2547300,49.0
38.99647000,-77.2546000,49.0
38.99624000,-77.2545100,49.0
38.99604000,-77.2544200,50.0
38.99603000,-77.2542800,50.0
38.99592000,-77.2541400,50.0
38.99580000,-77.2539900,49.0
38.99575000,-77.2539500,50.0
38.99550000,-77.2537600,49.0
38.99507000,-77.2534000,46.0
38.99502000,-77.2533500,46.0
38.99444000,-77.2528200,50.0
38.99408000,-77.2524800,49.0
38.99391000,-77.2523200,50.0
38.99383000,-77.2520800,52.0
38.99378000,-77.2518300,52.0
38.99376000,-77.2515200,50.0
38.99370000,-77.2512900,49.0
38.99366000,-77.2511400,48.0
38.99365000,-77.2509400,46.0
38.99356000,-77.2506700,44.0
38.99342000,-77.2504600,43.0
38.99335000,-77.2501600,41.0
38.99320000,-77.2499100,40.0
38.99315000,-77.2497100,38.0
38.99312000,-77.2495600,37.0
38.99292000,-77.2494700,38.0
38.99272000,-77.2493800,39.0
38.99262000,-77.2491900,37.0
38.99249000,-77.2490300,37.0
38.99232000,-77.2489900,38.0
38.99211000,-77.2489500,37.0
38.99200000,-77.2489900,38.0
38.99192000,-77.2492400,41.0
38.99177000,-77.2492800,42.0
38.99164000,-77.2491800,43.0
38.99158000,-77.2489600,42.0
38.99154000,-77.2488200,41.0
38.99147000,-77.2487500,40.0
38.99128000,-77.2487700,44.0
38.99111000,-77.2488700,47.0
38.99099000,-77.2488200,46.0
38.99091000,-77.2486800,44.0
38.99073000,-77.2485900,42.0
38.99062000,-77.2485300,41.0
38.99049000,-77.2484700,41.0
38.99035000,-77.2484600,43.0
38.99019000,-77.2484400,44.0
38.99001000,-77.2484000,44.0
38.98988000,-77.2483800,44.0
38.98977000,-77.2483000,43.0
38.98969000,-77.2482600,42.0
38.98965000,-77.2483100,44.0
38.98961000,-77.2483900,46.0
38.98958000,-77.2485100,48.0
38.98950000,-77.2486500,51.0
38.98939000,-77.2486200,51.0
38.98930000,-77.2485300,51.0
