Latitude,Longitude,Elevation
37.90195000,-78.9852200,806.0
37.90192000,-78.9852000,805.0
37.90190000,-78.9850800,805.0
37.90186000,-78.9849700,804.0
37.90180000,-78.9848800,803.0
37.90173000,-78.9848100,802.0
37.90163000,-78.9848200,802.0
37.90156000,-78.9848900,802.0
37.90148000,-78.9849800,802.0
37.90142000,-78.9850600,803.0
37.90134000,-78.9851300,804.0
37.90128000,-78.9852300,805.0
37.90121000,-78.9853100,806.0
37.90112000,-78.9853400,807.0
37.90102000,-78.9853700,807.0
37.90093000,-78.9854300,808.0
37.90085000,-78.9854900,809.0
37.90077000,-78.9855400,810.0
37.90068000,-78.9856000,810.0
37.90061000,-78.9856600,809.0
37.90053000,-78.9857300,809.0
37.90046000,-78.9858000,810.0
37.90039000,-78.9858700,810.0
37.90031000,-78.9859500,812.0
37.90023000,-78.9860200,813.0
37.90014000,-78.9860800,815.0
37.90005000,-78.9861400,816.0
37.89996000,-78.9861900,817.0
37.89988000,-78.9862400,818.0
37.89979000,-78.9862800,818.0
37.89970000,-78.9863100,819.0
37.89961000,-78.9863600,819.0
37.89952000,-78.9864000,818.0
37.89945000,-78.9864800,818.0
37.89938000,-78.9865700,818.0
37.89930000,-78.9866300,817.0
37.89920000,-78.9866600,817.0
37.89911000,-78.9866700,817.0
37.89902000,-78.9866400,816.0
37.89893000,-78.9866500,816.0
37.89884000,-78.9867000,815.0
37.89874000,-78.9867600,815.0
37.89867000,-78.9868300,815.0
37.89859000,-78.9868900,815.0
37.89850000,-78.9869100,815.0
37.89842000,-78.9869800,816.0
37.89834000,-78.9870600,817.0
37.89825000,-78.9871000,819.0
37.89817000,-78.9871500,821.0
37.89807000,-78.9872000,823.0
37.89799000,-78.9872500,826.0
37.89791000,-78.9873200,829.0
37.89782000,-78.9873800,832.0
37.89775000,-78.9874400,835.0
37.89767000,-78.9875200,837.0
37.89759000,-78.9875700,839.0
37.89751000,-78.9876300,840.0
37.89742000,-78.9876900,842.0
37.89734000,-78.9877500,844.0
37.89724000,-78.9877700,847.0
37.89717000,-78.9878300,848.0
37.89708000,-78.9878900,850.0
37.89700000,-78.9879500,852.0
37.89692000,-78.9880200,854.0
37.89684000,-78.9880700,857.0
37.89675000,-78.9881200,861.0
37.89670000,-78.9882200,862.0
37.89667000,-78.9883400,860.0
37.89665000,-78.9884500,860.0
37.89663000,-78.9885600,859.0
37.89660000,-78.9886800,859.0
37.89657000,-78.9887900,859.0
37.89653000,-78.9888900,859.0
37.89646000,-78.9889700,861.0
37.89638000,-78.9890200,862.0
37.89632000,-78.9891100,862.0
37.89623000,-78.9891500,865.0
37.89613000,-78.9891500,870.0
37.89603000,-78.9891600,875.0
37.89594000,-78.9891700,880.0
37.89584000,-78.9891900,884.0
37.89576000,-78.9892300,886.0
37.89566000,-78.9892600,888.0
