Latitude,Longitude,Elevation
38.55641000,-78.3868000,1029.0
38.55621000,-78.3870200,1032.0
38.55621000,-78.3872100,1035.0
38.55619000,-78.3873900,1037.0
38.55615000,-78.3875300,1039.0
38.55599000,-78.3877600,1043.0
38.55585000,-78.3879600,1047.0
38.55573000,-78.3881300,1050.0
38.55571000,-78.3882000,1052.0
38.55569000,-78.3882600,1053.0
38.55563000,-78.3883000,1054.0
38.55555000,-78.3884200,1056.0
38.55543000,-78.3886600,1061.0
38.55530000,-78.3887400,1063.0
38.55517000,-78.3887200,1064.0
38.55509000,-78.3887600,1066.0
38.55498000,-78.3887500,1067.0
38.55482000,-78.3889400,1072.0
38.55475000,-78.3890100,1074.0
38.55465000,-78.3890000,1074.0
38.55451000,-78.3891400,1078.0
38.55439000,-78.3892200,1082.0
38.55440000,-78.3892800,1083.0
38.55435000,-78.3894400,1088.0
38.55425000,-78.3894700,1090.0
38.55410000,-78.3895000,1092.0
38.55400000,-78.3896600,1098.0
38.55389000,-78.3898100,1102.0
38.55382000,-78.3899800,1106.0
38.55391000,-78.3901900,1109.0
38.55393000,-78.3903900,1112.0
38.55385000,-78.3905400,1117.0
38.55388000,-78.3907900,1122.0
38.55403000,-78.3909500,1124.0
38.55408000,-78.3910700,1126.0
38.55407000,-78.3911800,1129.0
38.55392000,-78.3913800,1134.0
38.55386000,-78.3914800,1137.0
38.55385000,-78.3915800,1139.0
38.55377000,-78.3918000,1142.0
38.55377000,-78.3920500,1146.0
38.55379000,-78.3923100,1151.0
38.55381000,-78.3924700,1153.0
38.55381000,-78.3927300,1158.0
38.55389000,-78.3929800,1162.0
38.55394000,-78.3932100,1167.0
38.55377000,-78.3933700,1169.0
38.55368000,-78.3934700,1171.0
38.55357000,-78.3935200,1172.0
38.55341000,-78.3935900,1174.0
38.55339000,-78.3939800,1183.0
38.55347000,-78.3942700,1189.0
38.55348000,-78.3943800,1192.0
38.55338000,-78.3945700,1194.0
38.55339000,-78.3948100,1197.0
38.55344000,-78.3949800,1198.0
38.55351000,-78.3949800,1199.0
38.55370000,-78.3950700,1203.0
38.55393000,-78.3951500,1207.0
38.55411000,-78.3953500,1212.0
38.55411000,-78.3956000,1215.0
38.55417000,-78.3957200,1217.0
38.55426000,-78.3958900,1220.0
38.55436000,-78.3959500,1222.0
38.55444000,-78.3958500,1223.0
38.55468000,-78.3958800,1227.0
38.55483000,-78.3958800,1227.0
38.55496000,-78.3958600,1226.0
38.55506000,-78.3958400,1224.0
38.55513000,-78.3958600,1220.0
38.55517000,-78.3958100,1219.0
38.55517000,-78.3956200,1221.0
38.55518000,-78.3955100,1221.0
38.55521000,-78.3953400,1221.0
38.55525000,-78.3952200,1221.0
38.55529000,-78.3951400,1220.0
38.55527000,-78.3952400,1220.0
38.55525000,-78.3953600,1220.0
38.55523000,-78.3954700,1220.0
38.55521000,-78.3956400,1220.0
38.55522000,-78.3957000,1218.0
38.55520000,-78.3957900,1218.0
38.55510000,-78.3957900,1222.0
38.55498000,-78.3958300,1227.0
38.55483000,-78.3958500,1227.0
38.55458000,-78.3958600,1225.0
38.55450000,-78.3959300,1224.0
38.55440000,-78.3959200,1222.0
38.55429000,-78.3958400,1220.0
38.55421000,-78.3957500,1218.0
38.55421000,-78.3954900,1216.0
38.55408000,-78.3952900,1211.0
38.55385000,-78.3951900,1207.0
38.55365000,-78.3950800,1202.0
38.55354000,-78.3950700,1200.0
38.55345000,-78.3949400,1198.0
38.55341000,-78.3947000,1196.0
38.55348000,-78.3945100,1194.0
38.55346000,-78.3944000,1192.0
38.55339000,-78.3941100,1185.0
38.55337000,-78.3937100,1176.0
38.55345000,-78.3936300,1175.0
38.55354000,-78.3935900,1174.0
38.55363000,-78.3935000,1172.0
38.55387000,-78.3933600,1169.0
38.55394000,-78.3933200,1169.0
38.55394000,-78.3931200,1165.0
38.55386000,-78.3928600,1160.0
38.55385000,-78.3925900,1156.0
38.55382000,-78.3924300,1153.0
38.55380000,-78.3921800,1148.0
38.55376000,-78.3919300,1144.0
38.55381000,-78.3917100,1141.0
38.55380000,-78.3916100,1139.0
38.55385000,-78.3915100,1137.0
38.55401000,-78.3913200,1133.0
38.55407000,-78.3912000,1130.0
38.55408000,-78.3910800,1127.0
38.55389000,-78.3909200,1124.0
38.55386000,-78.3906700,1119.0
38.55394000,-78.3905300,1115.0
38.55392000,-78.3903300,1111.0
38.55382000,-78.3901100,1108.0
38.55384000,-78.3899400,1105.0
38.55390000,-78.3898000,1102.0
38.55395000,-78.3896000,1097.0
38.55410000,-78.3895500,1094.0
38.55425000,-78.3895400,1092.0
38.55430000,-78.3894100,1088.0
38.55430000,-78.3893500,1086.0
38.55437000,-78.3892800,1084.0
38.55450000,-78.3891100,1078.0
38.55462000,-78.3891200,1077.0
38.55468000,-78.3890600,1076.0
38.55484000,-78.3888300,1069.0
38.55495000,-78.3888300,1068.0
38.55503000,-78.3887800,1067.0
38.55516000,-78.3888000,1066.0
38.55528000,-78.3887600,1064.0
38.55541000,-78.3885700,1060.0
38.55549000,-78.3884300,1057.0
38.55560000,-78.3883700,1055.0
38.55564000,-78.3883200,1054.0
38.55564000,-78.3882600,1053.0
38.55570000,-78.3881000,1050.0
38.55584000,-78.3878900,1046.0
38.55602000,-78.3876500,1042.0
38.55610000,-78.3874900,1040.0
38.55615000,-78.3873100,1037.0
38.55617000,-78.3871000,1034.0
38.55619000,-78.3869200,1031.0
38.55641000,-78.3868000,1029.0
