Latitude,Longitude,Elevation
38.63832000,-78.3137100,869.0
38.63797000,-78.3137900,869.0
38.63788000,-78.3138500,870.0
38.63779000,-78.3138400,869.0
38.63758000,-78.3137600,866.0
38.63751000,-78.3136700,864.0
38.63743000,-78.3136200,864.0
38.63723000,-78.3135300,862.0
38.63711000,-78.3133900,861.0
38.63697000,-78.3133100,861.0
38.63689000,-78.3132300,860.0
38.63682000,-78.3131300,858.0
38.63654000,-78.3128500,852.0
38.63639000,-78.3126700,850.0
38.63632000,-78.3125800,849.0
38.63628000,-78.3124000,848.0
38.63621000,-78.3121500,845.0
38.63609000,-78.3117000,840.0
38.63607000,-78.3114400,837.0
38.63607000,-78.3112800,836.0
38.63606000,-78.3111000,835.0
38.63608000,-78.3109800,835.0
38.63610000,-78.3108400,836.0
38.63600000,-78.3108400,836.0
38.63594000,-78.3106000,834.0
38.63592000,-78.3104700,833.0
38.63589000,-78.3103500,831.0
38.63585000,-78.3102400,830.0
38.63583000,-78.3101300,829.0
38.63581000,-78.3100000,828.0
38.63577000,-78.3099000,827.0
38.63574000,-78.3097700,826.0
38.63571000,-78.3096600,825.0
38.63569000,-78.3094900,822.0
38.63573000,-78.3093200,820.0
38.63582000,-78.3089800,817.0
38.63585000,-78.3088700,815.0
38.63590000,-78.3087600,813.0
38.63594000,-78.3086000,810.0
38.63599000,-78.3084600,809.0
38.63611000,-78.3082300,807.0
38.63613000,-78.3081000,806.0
38.63608000,-78.3079500,807.0
38.63597000,-78.3077900,808.0
38.63571000,-78.3079200,806.0
38.63545000,-78.3080400,803.0
38.63536000,-78.3080600,802.0
38.63526000,-78.3080600,800.0
38.63517000,-78.3080500,800.0
38.63508000,-78.3080700,799.0
38.63498000,-78.3080800,798.0
38.63489000,-78.3080800,797.0
38.63479000,-78.3081100,796.0
38.63470000,-78.3081500,795.0
38.63463000,-78.3082400,794.0
38.63457000,-78.3083200,793.0
38.63443000,-78.3085600,790.0
38.63438000,-78.3086700,789.0
38.63431000,-78.3088200,787.0
38.63424000,-78.3089100,785.0
38.63411000,-78.3089900,781.0
38.63399000,-78.3090600,778.0
38.63381000,-78.3092700,774.0
38.63373000,-78.3093400,773.0
38.63377000,-78.3095300,774.0
38.63364000,-78.3096200,772.0
38.63359000,-78.3097500,772.0
38.63350000,-78.3098400,771.0
38.63341000,-78.3098100,769.0
38.63336000,-78.3096000,768.0
38.63336000,-78.3094800,768.0
38.63333000,-78.3090200,766.0
38.63334000,-78.3086700,766.0
38.63334000,-78.3085500,766.0
38.63330000,-78.3083800,765.0
38.63327000,-78.3079400,762.0
38.63326000,-78.3078000,761.0
38.63318000,-78.3076600,759.0
38.63312000,-78.3075700,757.0
38.63308000,-78.3074700,756.0
38.63303000,-78.3073600,755.0
38.63300000,-78.3072400,755.0
38.63297000,-78.3071200,754.0
38.63291000,-78.3070300,754.0
38.63286000,-78.3069300,753.0
38.63282000,-78.3067300,752.0
38.63281000,-78.3066100,753.0
38.63273000,-78.3063600,753.0
38.63265000,-78.3063100,752.0
38.63251000,-78.3061000,751.0
38.63240000,-78.3057700,747.0
38.63235000,-78.3055500,745.0
38.63231000,-78.3052000,742.0
38.63232000,-78.3050700,740.0
38.63235000,-78.3049400,738.0
38.63237000,-78.3048300,737.0
38.63243000,-78.3047200,736.0
38.63267000,-78.3044200,735.0
38.63273000,-78.3043300,735.0
38.63277000,-78.3041200,734.0
38.63279000,-78.3039900,733.0
38.63280000,-78.3038700,733.0
38.63279000,-78.3037400,733.0
38.63283000,-78.3036300,733.0
38.63287000,-78.3035200,733.0
38.63303000,-78.3032200,733.0
38.63290000,-78.3029100,731.0
38.63270000,-78.3026800,730.0
38.63247000,-78.3024800,731.0
38.63239000,-78.3024200,730.0
38.63229000,-78.3024000,728.0
38.63216000,-78.3022800,726.0
38.63208000,-78.3022000,725.0
38.63194000,-78.3019900,722.0
38.63188000,-78.3018900,722.0
38.63180000,-78.3018000,721.0
38.63150000,-78.3017200,719.0
38.63128000,-78.3015200,718.0
38.63109000,-78.3012700,717.0
38.63098000,-78.3009500,713.0
38.63082000,-78.3006600,707.0
38.63079000,-78.3003100,707.0
38.63067000,-78.2999800,706.0
38.63068000,-78.2996400,705.0
38.63062000,-78.2993000,703.0
38.63059000,-78.2989500,702.0
38.63055000,-78.2986000,699.0
38.63054000,-78.2982500,699.0
38.63055000,-78.2979000,699.0
38.63060000,-78.2975600,698.0
38.63051000,-78.2972100,695.0
38.63040000,-78.2968900,691.0
38.63036000,-78.2965300,689.0
38.63038000,-78.2961800,687.0
38.63048000,-78.2958300,686.0
38.63055000,-78.2955000,686.0
38.63027000,-78.2966300,688.0
