Latitude,Longitude,Elevation
38.34496000,-78.5531900,805.0
38.34493000,-78.5532000,805.0
38.34503000,-78.5533700,804.0
38.34478000,-78.5529700,809.0
38.34490000,-78.5529800,808.0
38.34495000,-78.5528700,809.0
38.34498000,-78.5527600,810.0
38.34493000,-78.5526600,812.0
38.34485000,-78.5526000,814.0
38.34478000,-78.5525200,816.0
38.34471000,-78.5524400,818.0
38.34464000,-78.5523500,819.0
38.34456000,-78.5522900,820.0
38.34447000,-78.5522700,821.0
38.34436000,-78.5522700,821.0
38.34427000,-78.5522800,822.0
38.34426000,-78.5521600,822.0
38.34420000,-78.5520600,822.0
38.34417000,-78.5519400,822.0
38.34411000,-78.5518600,824.0
38.34403000,-78.5518000,825.0
38.34402000,-78.5516800,825.0
38.34393000,-78.5516400,827.0
38.34386000,-78.5515600,829.0
38.34378000,-78.5515000,831.0
38.34369000,-78.5514500,834.0
38.34360000,-78.5514600,837.0
38.34354000,-78.5515400,839.0
38.34351000,-78.5516600,840.0
38.34348000,-78.5517800,841.0
38.34343000,-78.5519200,843.0
38.34340000,-78.5521300,844.0
38.34317000,-78.5526100,849.0
38.34294000,-78.5524800,857.0
38.34282000,-78.5522400,859.0
38.34281000,-78.5520400,858.0
38.34293000,-78.5518500,854.0
38.34279000,-78.5515800,855.0
38.34250000,-78.5512400,862.0
38.34219000,-78.5509900,873.0
38.34191000,-78.5506300,882.0
38.34188000,-78.5501900,886.0
38.34182000,-78.5498900,894.0
38.34190000,-78.5494900,896.0
38.34198000,-78.5493000,896.0
38.34193000,-78.5490300,902.0
38.34206000,-78.5487100,902.0
38.34189000,-78.5484400,911.0
38.34194000,-78.5479300,917.0
38.34211000,-78.5477200,916.0
38.34210000,-78.5472800,920.0
38.34198000,-78.5469900,924.0
38.34208000,-78.5465900,921.0
38.34195000,-78.5461900,927.0
38.34170000,-78.5461200,934.0
38.34152000,-78.5465100,939.0
38.34139000,-78.5468000,942.0
38.34116000,-78.5468400,946.0
38.34086000,-78.5466200,954.0
38.34033000,-78.5468300,964.0
38.34043000,-78.5467900,964.0
38.34014000,-78.5468000,967.0
38.33991000,-78.5471300,972.0
38.33981000,-78.5473500,975.0
38.33958000,-78.5473400,981.0
38.33971000,-78.5472700,978.0
38.33960000,-78.5473200,981.0
38.33952000,-78.5474400,983.0
38.33925000,-78.5472000,989.0
38.33896000,-78.5473600,996.0
38.33879000,-78.5474800,1000.0
38.33861000,-78.5473000,1002.0
38.33844000,-78.5469900,1006.0
38.33818000,-78.5468000,1011.0
38.33781000,-78.5467800,1014.0
38.33760000,-78.5466300,1014.0
38.33728000,-78.5469900,1024.0
38.33752000,-78.5474400,1027.0
38.33729000,-78.5474900,1033.0
38.33718000,-78.5479100,1041.0
38.33716000,-78.5482900,1047.0
38.33720000,-78.5487800,1051.0
38.33721000,-78.5490700,1054.0
38.33719000,-78.5495300,1057.0
38.33710000,-78.5499100,1061.0
38.33719000,-78.5504000,1066.0
38.33726000,-78.5509300,1075.0
38.33747000,-78.5516200,1078.0
38.33754000,-78.5518800,1078.0
38.33762000,-78.5522300,1076.0
38.33735000,-78.5525500,1076.0
38.33715000,-78.5525900,1079.0
38.33701000,-78.5524800,1082.0
38.33677000,-78.5525500,1084.0
38.33669000,-78.5529400,1079.0
38.33650000,-78.5528600,1082.0
38.33667000,-78.5532300,1074.0
38.33671000,-78.5527400,1083.0
38.33697000,-78.5526200,1081.0
38.33728000,-78.5526700,1076.0
38.33757000,-78.5525400,1072.0
38.33766000,-78.5522600,1075.0
38.33766000,-78.5516800,1075.0
38.33735000,-78.5513300,1078.0
38.33745000,-78.5509100,1068.0
38.33740000,-78.5505300,1064.0
38.33735000,-78.5501700,1059.0
38.33715000,-78.5499100,1060.0
38.33720000,-78.5494200,1057.0
38.33724000,-78.5491000,1053.0
38.33713000,-78.5485200,1050.0
38.33715000,-78.5481900,1045.0
38.33728000,-78.5475500,1034.0
38.33761000,-78.5473600,1025.0
38.33736000,-78.5469600,1022.0
38.33771000,-78.5466800,1014.0
38.33800000,-78.5468100,1014.0
38.33819000,-78.5470200,1013.0
38.33841000,-78.5469600,1007.0
38.33885000,-78.5473800,998.0
38.33910000,-78.5475200,994.0
38.33924000,-78.5474200,990.0
38.33978000,-78.5475800,976.0
38.34003000,-78.5475500,970.0
38.34015000,-78.5473100,967.0
38.34036000,-78.5470700,965.0
38.34084000,-78.5468100,955.0
38.34116000,-78.5468500,946.0
38.34137000,-78.5469200,943.0
38.34148000,-78.5468300,940.0
38.34162000,-78.5465900,937.0
38.34183000,-78.5462000,931.0
38.34207000,-78.5465700,921.0
38.34216000,-78.5469500,918.0
38.34208000,-78.5476700,917.0
38.34198000,-78.5481200,912.0
38.34191000,-78.5486100,908.0
38.34209000,-78.5491000,895.0
38.34198000,-78.5495400,893.0
38.34200000,-78.5499000,886.0
38.34197000,-78.5500900,884.0
38.34194000,-78.5504800,882.0
38.34213000,-78.5508500,875.0
38.34230000,-78.5510300,869.0
38.34267000,-78.5514200,856.0
38.34284000,-78.5520900,858.0
38.34303000,-78.5526100,853.0
38.34332000,-78.5524700,846.0
38.34341000,-78.5521500,843.0
38.34341000,-78.5518700,843.0
38.34350000,-78.5514700,840.0
38.34375000,-78.5518200,832.0
38.34399000,-78.5520200,825.0
38.34420000,-78.5525400,819.0
38.34446000,-78.5526100,817.0
38.34473000,-78.5527400,814.0
38.34510000,-78.5523800,812.0
38.34496000,-78.5531900,805.0
