Latitude,Longitude,Elevation
37.96837000,-78.8966200,729.0
37.96837000,-78.8966300,729.0
37.96838000,-78.8966200,729.0
37.96829000,-78.8965800,729.0
37.96820000,-78.8965600,730.0
37.96810000,-78.8966100,731.0
37.96803000,-78.8967000,732.0
37.96794000,-78.8968200,734.0
37.96787000,-78.8969900,736.0
37.96781000,-78.8973700,740.0
37.96751000,-78.8975900,754.0
37.96743000,-78.8976900,757.0
37.96735000,-78.8977100,760.0
37.96730000,-78.8977800,762.0
37.96724000,-78.8979400,764.0
37.96717000,-78.8980800,767.0
37.96708000,-78.8981700,769.0
37.96698000,-78.8982000,772.0
37.96688000,-78.8981500,774.0
37.96674000,-78.8980500,778.0
37.96668000,-78.8980200,779.0
37.96660000,-78.8980400,781.0
37.96653000,-78.8980700,783.0
37.96638000,-78.8983900,789.0
37.96628000,-78.8985000,792.0
37.96622000,-78.8985200,794.0
37.96615000,-78.8985200,796.0
37.96603000,-78.8983100,798.0
37.96586000,-78.8983000,801.0
37.96573000,-78.8984500,804.0
37.96563000,-78.8984800,805.0
37.96551000,-78.8986200,809.0
37.96529000,-78.8988400,816.0
37.96509000,-78.8989500,821.0
37.96496000,-78.8989800,824.0
37.96460000,-78.8992300,834.0
37.96443000,-78.8994200,838.0
37.96423000,-78.8995600,842.0
37.96396000,-78.8998500,850.0
37.96358000,-78.9002100,857.0
37.96325000,-78.9004500,858.0
37.96292000,-78.9006800,861.0
37.96260000,-78.9010100,862.0
37.96241000,-78.9012600,864.0
37.96234000,-78.9013300,866.0
37.96215000,-78.9015600,870.0
37.96211000,-78.9015900,872.0
37.96207000,-78.9016300,873.0
37.96201000,-78.9016900,875.0
37.96196000,-78.9017800,876.0
37.96192000,-78.9018200,878.0
37.96188000,-78.9018700,879.0
37.96185000,-78.9019100,880.0
37.96182000,-78.9019500,882.0
37.96179000,-78.9019900,883.0
37.96175000,-78.9020500,885.0
37.96172000,-78.9021000,887.0
37.96168000,-78.9021400,889.0
37.96164000,-78.9021800,891.0
37.96160000,-78.9022100,892.0
37.96153000,-78.9022000,895.0
37.96149000,-78.9021700,896.0
37.96147000,-78.9020800,898.0
37.96147000,-78.9020000,899.0
37.96146000,-78.9018700,902.0
37.96146000,-78.9018100,903.0
37.96146000,-78.9017400,904.0
37.96146000,-78.9016800,905.0
37.96144000,-78.9016300,907.0
37.96139000,-78.9016000,910.0
37.96134000,-78.9016000,913.0
37.96128000,-78.9016100,916.0
37.96122000,-78.9016400,918.0
37.96117000,-78.9016700,920.0
37.96112000,-78.9016800,923.0
37.96108000,-78.9017100,924.0
37.96102000,-78.9017400,926.0
37.96097000,-78.9017600,928.0
37.96092000,-78.9017800,931.0
37.96086000,-78.9018100,933.0
37.96082000,-78.9018300,935.0
37.96077000,-78.9018400,937.0
37.96071000,-78.9018400,941.0
37.96066000,-78.9018400,943.0
37.96060000,-78.9018100,947.0
37.96055000,-78.9017900,950.0
37.96050000,-78.9017700,953.0
37.96048000,-78.9017500,954.0
37.96038000,-78.9016300,960.0
37.96036000,-78.9015600,961.0
37.96035000,-78.9015000,962.0
37.96034000,-78.9014400,963.0
37.96031000,-78.9013600,965.0
37.96029000,-78.9012900,966.0
37.96027000,-78.9012100,967.0
37.96026000,-78.9011300,967.0
37.96026000,-78.9010600,966.0
37.96026000,-78.9009700,966.0
37.96026000,-78.9009000,965.0
37.96027000,-78.9008200,965.0
37.96029000,-78.9007500,964.0
37.96031000,-78.9006800,964.0
37.96034000,-78.9006300,963.0
37.96038000,-78.9005900,963.0
37.96042000,-78.9005500,962.0
37.96046000,-78.9005100,961.0
37.96051000,-78.9004600,959.0
37.96056000,-78.9004400,958.0
37.96061000,-78.9004200,957.0
37.96066000,-78.9004300,957.0
37.96071000,-78.9004400,956.0
37.96077000,-78.9004500,955.0
37.96082000,-78.9004600,954.0
37.96086000,-78.9004800,954.0
37.96093000,-78.9005000,952.0
37.96099000,-78.9005100,951.0
37.96105000,-78.9005200,950.0
37.96109000,-78.9005200,949.0
37.96113000,-78.9005600,948.0
37.96118000,-78.9005900,945.0
37.96122000,-78.9006200,943.0
37.96127000,-78.9006400,941.0
37.96131000,-78.9006700,938.0
37.96135000,-78.9007000,936.0
37.96131000,-78.9006600,939.0
37.96126000,-78.9006300,941.0
37.96121000,-78.9005900,944.0
37.96117000,-78.9005700,946.0
37.96112000,-78.9005600,948.0
37.96107000,-78.9005400,949.0
37.96102000,-78.9005200,950.0
37.96097000,-78.9005100,952.0
37.96091000,-78.9005000,953.0
37.96085000,-78.9004900,954.0
37.96080000,-78.9004800,955.0
37.96075000,-78.9004800,956.0
37.96069000,-78.9004600,956.0
37.96064000,-78.9004500,957.0
37.96057000,-78.9004300,958.0
37.96052000,-78.9004300,959.0
37.96047000,-78.9004300,960.0
37.96041000,-78.9004300,960.0
37.96036000,-78.9004400,961.0
37.96031000,-78.9004400,962.0
37.96025000,-78.9004600,964.0
37.96022000,-78.9004800,964.0
37.96022000,-78.9004700,964.0
37.96016000,-78.9004800,965.0
37.95953000,-78.9007100,977.0
37.95916000,-78.9010400,991.0
37.95902000,-78.9013200,996.0
37.95885000,-78.9013900,998.0
37.95878000,-78.9014100,998.0
37.95878000,-78.9013200,997.0
37.95876000,-78.9011800,995.0
37.95873000,-78.9011000,994.0
37.95866000,-78.9010600,994.0
37.95860000,-78.9009500,992.0
37.95851000,-78.9008100,990.0
37.95836000,-78.9006900,990.0
37.95831000,-78.9006200,989.0
37.95821000,-78.9005600,989.0
37.95819000,-78.9004800,987.0
37.95807000,-78.9003800,987.0
37.95805000,-78.9002900,985.0
37.95796000,-78.9001400,985.0
37.95787000,-78.9000100,985.0
37.95781000,-78.8999500,986.0
37.95774000,-78.8998500,986.0
37.95772000,-78.8997200,985.0
37.95772000,-78.8996300,984.0
37.95765000,-78.8994600,982.0
37.95764000,-78.8993300,980.0
37.95770000,-78.8989700,971.0
37.95772000,-78.8989500,970.0
37.95780000,-78.8990400,970.0
37.95806000,-78.8992000,967.0
37.95834000,-78.8993000,962.0
37.95884000,-78.8992900,958.0
37.95919000,-78.8992300,952.0
37.95921000,-78.8991900,951.0
37.95921000,-78.8991000,950.0
37.95915000,-78.8989900,949.0
37.95882000,-78.8986500,946.0
37.95880000,-78.8986100,945.0
37.95867000,-78.8985400,945.0
37.95861000,-78.8984300,944.0
37.95857000,-78.8981700,939.0
37.95860000,-78.8980900,936.0
37.95862000,-78.8979100,932.0
37.95864000,-78.8978900,931.0
37.95889000,-78.8980800,932.0
37.95913000,-78.8981900,930.0
37.95941000,-78.8982600,928.0
37.95955000,-78.8982800,927.0
37.95973000,-78.8982800,926.0
37.95980000,-78.8982500,924.0
37.96005000,-78.8982100,920.0
37.96015000,-78.8981800,918.0
37.96065000,-78.8981400,912.0
37.96072000,-78.8981100,911.0
37.96074000,-78.8980800,910.0
37.96074000,-78.8980300,908.0
37.96069000,-78.8979700,907.0
37.96063000,-78.8979300,906.0
37.96045000,-78.8978800,905.0
37.96031000,-78.8978700,906.0
37.96024000,-78.8977700,904.0
37.96018000,-78.8977200,903.0
37.96000000,-78.8976600,904.0
37.95994000,-78.8975600,902.0
37.95985000,-78.8974800,900.0
37.95975000,-78.8973400,897.0
37.95965000,-78.8973000,898.0
37.95954000,-78.8971800,897.0
37.95951000,-78.8971000,896.0
37.95944000,-78.8970000,894.0
37.95940000,-78.8969200,893.0
37.95930000,-78.8968000,893.0
37.95918000,-78.8965700,893.0
37.95915000,-78.8964400,892.0
37.95913000,-78.8961700,889.0
37.95909000,-78.8959400,886.0
37.95910000,-78.8957600,882.0
37.95908000,-78.8956300,881.0
37.95903000,-78.8955000,880.0
37.95894000,-78.8953100,880.0
37.95885000,-78.8951700,881.0
37.95868000,-78.8947700,878.0
37.95866000,-78.8946800,876.0
37.95863000,-78.8946500,876.0
37.95874000,-78.8946800,876.0
37.95901000,-78.8949100,873.0
37.95908000,-78.8949100,871.0
37.95918000,-78.8949800,869.0
37.95932000,-78.8951100,867.0
37.95936000,-78.8951800,868.0
37.95942000,-78.8952200,867.0
37.95947000,-78.8953300,868.0
37.95950000,-78.8953600,868.0
37.95953000,-78.8953700,868.0
37.95956000,-78.8951900,865.0
37.95953000,-78.8950600,863.0
37.95954000,-78.8949300,862.0
37.95947000,-78.8947700,860.0
37.95946000,-78.8944500,854.0
37.95942000,-78.8942800,852.0
37.95939000,-78.8940100,849.0
37.95937000,-78.8939200,848.0
37.95929000,-78.8938300,848.0
37.95920000,-78.8936800,847.0
37.95919000,-78.8936000,846.0
37.95925000,-78.8935600,843.0
37.95932000,-78.8935600,842.0
37.95943000,-78.8936900,842.0
37.95954000,-78.8936900,840.0
37.95964000,-78.8937300,840.0
37.95981000,-78.8937000,837.0
37.95998000,-78.8937700,836.0
37.96011000,-78.8938700,835.0
37.96025000,-78.8939100,833.0
37.96038000,-78.8939800,834.0
37.96055000,-78.8939800,832.0
37.96069000,-78.8939400,829.0
37.96083000,-78.8939300,827.0
37.96090000,-78.8938900,825.0
37.96098000,-78.8937400,824.0
37.96101000,-78.8937200,824.0
37.96112000,-78.8937300,822.0
37.96133000,-78.8936900,820.0
37.96145000,-78.8935800,818.0
37.96162000,-78.8935100,813.0
37.96167000,-78.8934500,812.0
37.96171000,-78.8933800,812.0
37.96172000,-78.8932900,811.0
37.96170000,-78.8932000,811.0
37.96164000,-78.8930900,810.0
37.96157000,-78.8930500,810.0
37.96150000,-78.8930400,810.0
37.96144000,-78.8930000,809.0
37.96127000,-78.8929400,808.0
37.96125000,-78.8929400,808.0
37.96113000,-78.8929800,810.0
37.96093000,-78.8928800,809.0
37.96071000,-78.8928500,810.0
37.96065000,-78.8928100,809.0
37.96060000,-78.8927500,808.0
37.96053000,-78.8925800,803.0
37.96060000,-78.8925500,801.0
37.96081000,-78.8925400,798.0
37.96104000,-78.8924300,791.0
37.96118000,-78.8923900,789.0
37.96173000,-78.8919600,781.0
37.96186000,-78.8918900,780.0
37.96214000,-78.8918000,779.0
37.96235000,-78.8916300,776.0
37.96271000,-78.8916500,776.0
37.96277000,-78.8916100,775.0
37.96282000,-78.8915500,774.0
37.96282000,-78.8914600,774.0
37.96275000,-78.8912500,770.0
37.96276000,-78.8911100,767.0
37.96275000,-78.8910200,765.0
37.96270000,-78.8909600,763.0
37.96263000,-78.8909500,762.0
37.96257000,-78.8910000,762.0
37.96247000,-78.8910400,762.0
37.96224000,-78.8911700,762.0
37.96220000,-78.8911700,761.0
37.96207000,-78.8911300,757.0
37.96216000,-78.8909800,756.0
37.96218000,-78.8908500,754.0
37.96215000,-78.8907700,752.0
37.96212000,-78.8907500,751.0
37.96201000,-78.8907500,749.0
37.96166000,-78.8908600,744.0
37.96148000,-78.8908500,742.0
37.96142000,-78.8908900,743.0
37.96133000,-78.8908300,741.0
37.96130000,-78.8907500,739.0
37.96120000,-78.8907100,738.0
