Latitude,Longitude,Elevation
37.52353000,-77.4702900,24.0
37.52351000,-77.4702100,25.0
37.52350000,-77.4702500,25.0
37.52351000,-77.4702900,25.0
37.52351000,-77.4703200,25.0
37.52350000,-77.4703600,25.0
37.52351000,-77.4704000,24.0
37.52351000,-77.4704400,24.0
37.52351000,-77.4704700,24.0
37.52354000,-77.4705000,24.0
37.52357000,-77.4704900,23.0
37.52360000,-77.4705000,23.0
37.52363000,-77.4705000,22.0
37.52367000,-77.4704900,22.0
37.52369000,-77.4704800,22.0
37.52372000,-77.4704600,21.0
37.52376000,-77.4704400,21.0
37.52379000,-77.4704200,21.0
37.52382000,-77.4704000,20.0
37.52385000,-77.4703800,20.0
37.52388000,-77.4703700,20.0
37.52391000,-77.4703700,19.0
37.52394000,-77.4703900,19.0
37.52396000,-77.4704400,19.0
37.52398000,-77.4705000,19.0
37.52397000,-77.4705600,19.0
37.52396000,-77.4706100,19.0
37.52396000,-77.4706700,19.0
37.52396000,-77.4707300,19.0
37.52397000,-77.4707900,19.0
37.52398000,-77.4708300,19.0
37.52398000,-77.4708800,19.0
37.52399000,-77.4709200,19.0
37.52400000,-77.4709800,19.0
37.52401000,-77.4710400,19.0
37.52402000,-77.4711000,19.0
37.52403000,-77.4711600,20.0
37.52404000,-77.4712100,20.0
37.52406000,-77.4712600,20.0
37.52408000,-77.4713100,20.0
37.52410000,-77.4713600,20.0
37.52411000,-77.4714100,21.0
37.52412000,-77.4714500,22.0
37.52413000,-77.4715000,23.0
37.52414000,-77.4715500,24.0
37.52416000,-77.4715900,25.0
37.52417000,-77.4716400,27.0
37.52419000,-77.4716800,28.0
37.52422000,-77.4717200,28.0
37.52424000,-77.4717600,29.0
37.52428000,-77.4718000,30.0
37.52430000,-77.4718300,30.0
37.52433000,-77.4718600,30.0
37.52436000,-77.4718900,31.0
37.52443000,-77.4719700,32.0
37.52447000,-77.4719900,31.0
37.52450000,-77.4720200,30.0
37.52454000,-77.4720400,29.0
37.52457000,-77.4720700,28.0
37.52460000,-77.4720900,27.0
