Latitude,Longitude,Elevation
38.22997000,-78.7261400,853.0
38.22992000,-78.7260200,852.0
38.22990000,-78.7259700,851.0
38.23023000,-78.7256600,841.0
38.23057000,-78.7252900,837.0
38.23080000,-78.7247200,828.0
38.23103000,-78.7237900,803.0
38.23124000,-78.7227400,793.0
38.23138000,-78.7219200,787.0
38.23129000,-78.7219400,783.0
38.23086000,-78.7224700,774.0
38.23049000,-78.7227800,765.0
38.23008000,-78.7228600,762.0
38.22973000,-78.7227000,755.0
38.22925000,-78.7226900,754.0
38.22870000,-78.7227100,750.0
38.22843000,-78.7227800,750.0
38.22824000,-78.7227600,749.0
38.22810000,-78.7226000,748.0
38.22810000,-78.7221700,747.0
38.22824000,-78.7216200,745.0
38.22843000,-78.7212700,745.0
38.22851000,-78.7208600,747.0
38.22852000,-78.7203700,747.0
38.22837000,-78.7196100,747.0
38.22820000,-78.7190500,742.0
38.22791000,-78.7184400,734.0
38.22770000,-78.7181000,734.0
38.22764000,-78.7176300,732.0
38.22766000,-78.7171200,727.0
38.22783000,-78.7164200,724.0
38.22793000,-78.7157200,718.0
38.22802000,-78.7148300,715.0
38.22802000,-78.7144900,716.0
38.22811000,-78.7137900,703.0
38.22823000,-78.7131800,698.0
38.22835000,-78.7125300,695.0
38.22845000,-78.7119200,689.0
38.22852000,-78.7113200,683.0
38.22853000,-78.7110800,680.0
38.22843000,-78.7108600,679.0
38.22841000,-78.7102700,674.0
38.22840000,-78.7100500,673.0
38.22822000,-78.7090900,666.0
38.22818000,-78.7087000,663.0
38.22830000,-78.7082000,658.0
38.22844000,-78.7076400,652.0
38.22864000,-78.7073300,647.0
38.22888000,-78.7070400,644.0
38.22915000,-78.7061900,642.0
38.22917000,-78.7054200,632.0
38.22920000,-78.7049600,626.0
38.22920000,-78.7044100,615.0
38.22913000,-78.7039200,613.0
38.22920000,-78.7038900,612.0
38.22925000,-78.7041600,608.0
38.22938000,-78.7047500,611.0
38.22947000,-78.7047500,608.0
38.22951000,-78.7045800,603.0
38.22950000,-78.7042200,601.0
38.22952000,-78.7041700,601.0
