Latitude,Longitude,Elevation
38.72520000,-78.5094900,561.0
38.72558000,-78.5094000,567.0
38.72564000,-78.5093800,567.0
38.72566000,-78.5093500,568.0
38.72568000,-78.5093900,568.0
38.72571000,-78.5093700,568.0
38.72574000,-78.5093600,568.0
38.72576000,-78.5093300,568.0
38.72579000,-78.5093200,569.0
38.72582000,-78.5093000,569.0
38.72585000,-78.5093000,569.0
38.72588000,-78.5093100,569.0
38.72592000,-78.5093100,569.0
38.72595000,-78.5093200,569.0
38.72599000,-78.5093200,569.0
38.72601000,-78.5093000,570.0
38.72604000,-78.5092700,570.0
38.72606000,-78.5092500,570.0
38.72609000,-78.5092400,571.0
38.72611000,-78.5092000,571.0
38.72614000,-78.5091700,571.0
38.72616000,-78.5091400,571.0
38.72619000,-78.5091100,571.0
38.72622000,-78.5090800,571.0
38.72624000,-78.5090500,570.0
38.72627000,-78.5090300,570.0
38.72630000,-78.5090000,570.0
38.72632000,-78.5089700,570.0
38.72633000,-78.5089300,570.0
38.72634000,-78.5089000,570.0
38.72637000,-78.5088700,569.0
38.72639000,-78.5088500,569.0
38.72643000,-78.5088300,568.0
38.72646000,-78.5088100,568.0
38.72649000,-78.5087900,568.0
38.72652000,-78.5087700,567.0
38.72654000,-78.5087600,567.0
38.72657000,-78.5087400,567.0
38.72660000,-78.5087200,566.0
38.72662000,-78.5087000,566.0
38.72664000,-78.5086700,566.0
38.72667000,-78.5086300,566.0
38.72669000,-78.5086000,565.0
38.72670000,-78.5085700,565.0
38.72672000,-78.5085400,565.0
38.72675000,-78.5085200,565.0
38.72678000,-78.5085300,565.0
38.72681000,-78.5085200,565.0
38.72684000,-78.5085200,565.0
38.72687000,-78.5085200,565.0
38.72692000,-78.5085000,565.0
38.72694000,-78.5084900,565.0
38.72697000,-78.5084600,565.0
38.72700000,-78.5084500,565.0
38.72702000,-78.5084200,566.0
38.72705000,-78.5084000,566.0
38.72708000,-78.5083700,567.0
38.72710000,-78.5083500,567.0
38.72713000,-78.5083300,568.0
38.72716000,-78.5083200,568.0
38.72718000,-78.5083000,568.0
38.72721000,-78.5082800,568.0
38.72724000,-78.5082600,568.0
38.72727000,-78.5082400,568.0
38.72730000,-78.5082400,568.0
38.72733000,-78.5082200,568.0
38.72736000,-78.5082000,568.0
38.72738000,-78.5081700,568.0
38.72740000,-78.5081300,568.0
38.72742000,-78.5080900,569.0
38.72744000,-78.5080700,569.0
38.72747000,-78.5080400,569.0
38.72749000,-78.5080100,569.0
38.72752000,-78.5079800,569.0
38.72754000,-78.5079500,569.0
38.72754000,-78.5079100,569.0
38.72756000,-78.5078800,569.0
38.72759000,-78.5078500,568.0
38.72760000,-78.5078200,568.0
38.72763000,-78.5078000,568.0
38.72766000,-78.5077800,568.0
38.72769000,-78.5077600,568.0
38.72773000,-78.5077500,568.0
38.72776000,-78.5077300,568.0
38.72779000,-78.5077000,568.0
38.72783000,-78.5076800,568.0
38.72786000,-78.5076700,568.0
38.72788000,-78.5076500,568.0
38.72792000,-78.5076300,568.0
38.72796000,-78.5076200,568.0
38.72799000,-78.5075900,569.0
38.72801000,-78.5075800,569.0
38.72804000,-78.5075500,570.0
38.72807000,-78.5075300,570.0
38.72810000,-78.5075100,570.0
38.72812000,-78.5074900,570.0
38.72813000,-78.5074400,570.0
38.72814000,-78.5074000,570.0
38.72815000,-78.5073600,570.0
38.72816000,-78.5073200,570.0
38.72818000,-78.5073000,570.0
38.72821000,-78.5072700,571.0
38.72824000,-78.5072500,571.0
38.72827000,-78.5072300,572.0
38.72830000,-78.5072200,572.0
38.72832000,-78.5072000,572.0
38.72834000,-78.5071700,572.0
38.72836000,-78.5071300,572.0
38.72839000,-78.5071100,572.0
38.72841000,-78.5070900,572.0
38.72844000,-78.5070500,572.0
38.72846000,-78.5070300,572.0
38.72849000,-78.5069800,572.0
38.72851000,-78.5069500,572.0
38.72853000,-78.5069200,572.0
38.72855000,-78.5068800,572.0
38.72858000,-78.5068500,572.0
38.72860000,-78.5068200,572.0
38.72863000,-78.5068100,571.0
38.72866000,-78.5068000,571.0
38.72869000,-78.5067900,571.0
38.72872000,-78.5067800,571.0
38.72875000,-78.5067700,570.0
38.72878000,-78.5067600,570.0
38.72881000,-78.5067500,570.0
38.72884000,-78.5067400,570.0
38.72887000,-78.5067300,570.0
38.72890000,-78.5067100,570.0
38.72893000,-78.5066800,570.0
38.72896000,-78.5066700,570.0
38.72900000,-78.5066600,570.0
38.72903000,-78.5066400,570.0
38.72906000,-78.5066200,570.0
38.72908000,-78.5066000,570.0
38.72911000,-78.5065600,570.0
38.72913000,-78.5065300,571.0
38.72915000,-78.5065100,571.0
38.72918000,-78.5064800,571.0
38.72920000,-78.5064500,571.0
38.72923000,-78.5064200,571.0
38.72926000,-78.5064000,571.0
38.72928000,-78.5063500,571.0
38.72930000,-78.5063300,571.0
38.72933000,-78.5063200,571.0
38.72936000,-78.5063000,570.0
38.72938000,-78.5062800,570.0
38.72940000,-78.5062500,570.0
38.72942000,-78.5062300,570.0
38.72944000,-78.5062100,570.0
38.72947000,-78.5061800,569.0
38.72949000,-78.5061500,568.0
38.72953000,-78.5061200,568.0
38.72954000,-78.5060900,567.0
38.72957000,-78.5060700,567.0
38.72959000,-78.5060500,566.0
38.72962000,-78.5060200,566.0
38.72963000,-78.5059900,566.0
38.72966000,-78.5059500,565.0
38.72968000,-78.5059100,565.0
38.72970000,-78.5058800,565.0
38.72973000,-78.5058600,565.0
38.72976000,-78.5058300,564.0
38.72978000,-78.5058100,564.0
38.72981000,-78.5057900,563.0
38.72985000,-78.5057700,562.0
38.72988000,-78.5057400,562.0
38.72990000,-78.5057200,561.0
38.72993000,-78.5056900,561.0
38.72997000,-78.5056800,561.0
38.73000000,-78.5056500,561.0
38.73002000,-78.5056300,561.0
38.73005000,-78.5056100,560.0
38.73008000,-78.5055800,560.0
38.73011000,-78.5055600,559.0
38.73014000,-78.5055500,559.0
38.73017000,-78.5055200,558.0
38.73019000,-78.5054900,558.0
38.73022000,-78.5054600,558.0
38.73024000,-78.5054400,558.0
38.73028000,-78.5054200,557.0
38.73031000,-78.5054100,557.0
38.73035000,-78.5053900,557.0
38.73039000,-78.5053900,557.0
38.73042000,-78.5053800,557.0
38.73045000,-78.5053600,557.0
38.73047000,-78.5053400,557.0
38.73050000,-78.5053200,558.0
38.73052000,-78.5052900,558.0
38.73054000,-78.5052500,559.0
38.73058000,-78.5052300,559.0
