Latitude,Longitude,Elevation
38.79345000,-77.2180100,59.0
38.79341000,-77.2177500,59.0
38.79339000,-77.2174300,59.0
38.79336000,-77.2170800,59.0
38.79332000,-77.2161500,62.0
38.79333000,-77.2160900,62.0
38.79336000,-77.2160400,61.0
38.79339000,-77.2159900,61.0
38.79342000,-77.2159500,61.0
38.79347000,-77.2159000,60.0
38.79391000,-77.2156100,56.0
38.79395000,-77.2155900,56.0
38.79405000,-77.2155600,56.0
38.79407000,-77.2154300,56.0
38.79408000,-77.2152800,57.0
38.79412000,-77.2153100,57.0
38.79439000,-77.2160700,63.0
38.79449000,-77.2163300,67.0
38.79453000,-77.2164400,67.0
38.79457000,-77.2165100,65.0
38.79462000,-77.2165600,63.0
38.79467000,-77.2166000,62.0
38.79474000,-77.2166200,61.0
38.79482000,-77.2166500,59.0
38.79487000,-77.2166700,58.0
38.79498000,-77.2166900,56.0
38.79507000,-77.2167100,59.0
38.79522000,-77.2167200,64.0
38.79536000,-77.2167400,66.0
38.79551000,-77.2167500,67.0
38.79565000,-77.2167600,67.0
38.79580000,-77.2167800,67.0
38.79591000,-77.2168000,69.0
38.79601000,-77.2168200,72.0
38.79613000,-77.2168400,75.0
38.79624000,-77.2168600,78.0
38.79632000,-77.2169000,80.0
38.79637000,-77.2169400,81.0
38.79641000,-77.2169800,81.0
38.79644000,-77.2170400,79.0
38.79646000,-77.2171100,77.0
38.79648000,-77.2172200,74.0
38.79650000,-77.2172900,72.0
38.79654000,-77.2173500,70.0
38.79659000,-77.2174000,69.0
38.79664000,-77.2174400,68.0
38.79668000,-77.2174800,67.0
38.79676000,-77.2175700,68.0
38.79678000,-77.2176200,68.0
38.79683000,-77.2176700,69.0
38.79690000,-77.2177500,70.0
38.79694000,-77.2178300,71.0
38.79699000,-77.2179300,71.0
38.79704000,-77.2180200,72.0
38.79708000,-77.2181200,72.0
38.79714000,-77.2182200,72.0
38.79720000,-77.2183000,72.0
38.79729000,-77.2183600,73.0
38.79741000,-77.2184000,73.0
38.79749000,-77.2184600,73.0
38.79756000,-77.2185200,72.0
38.79767000,-77.2186300,70.0
38.79775000,-77.2187400,69.0
38.79781000,-77.2188000,69.0
38.79785000,-77.2188500,69.0
38.79789000,-77.2188900,69.0
38.79805000,-77.2191100,69.0
38.79809000,-77.2191600,70.0
38.79812000,-77.2192000,70.0
38.79817000,-77.2192300,70.0
38.79825000,-77.2192900,71.0
38.79828000,-77.2193800,71.0
38.79828000,-77.2194500,72.0
38.79829000,-77.2195100,72.0
38.79828000,-77.2196300,72.0
38.79826000,-77.2197500,72.0
38.79824000,-77.2198100,73.0
38.79822000,-77.2199000,73.0
38.79818000,-77.2200000,74.0
38.79815000,-77.2200900,75.0
38.79812000,-77.2201800,75.0
38.79809000,-77.2202600,76.0
38.79805000,-77.2203100,77.0
38.79801000,-77.2203500,77.0
38.79797000,-77.2203800,77.0
38.79794000,-77.2204200,77.0
38.79791000,-77.2204600,77.0
38.79789000,-77.2205200,77.0
38.79789000,-77.2205900,77.0
38.79789000,-77.2206700,77.0
38.79789000,-77.2207600,76.0
38.79790000,-77.2208500,76.0
38.79792000,-77.2209200,76.0
38.79795000,-77.2210500,76.0
38.79802000,-77.2211600,76.0
38.79810000,-77.2212300,76.0
38.79816000,-77.2212600,76.0
38.79828000,-77.2212900,76.0
38.79835000,-77.2213200,76.0
38.79844000,-77.2213600,75.0
38.79851000,-77.2213800,74.0
38.79860000,-77.2213900,74.0
38.79870000,-77.2214000,74.0
38.79878000,-77.2214100,74.0
38.79884000,-77.2214300,74.0
38.79892000,-77.2214500,74.0
38.79899000,-77.2214600,74.0
38.79905000,-77.2214700,74.0
38.79915000,-77.2214900,73.0
38.79924000,-77.2215000,72.0
38.79933000,-77.2215200,71.0
38.79940000,-77.2215300,70.0
38.79944000,-77.2215600,70.0
38.79949000,-77.2216200,71.0
38.79948000,-77.2217000,71.0
38.79948000,-77.2217600,72.0
38.79943000,-77.2218400,72.0
38.79936000,-77.2219600,74.0
38.79928000,-77.2220600,74.0
38.79925000,-77.2221500,74.0
38.79921000,-77.2222200,74.0
38.79917000,-77.2223200,74.0
38.79914000,-77.2224300,74.0
38.79910000,-77.2225200,74.0
38.79907000,-77.2226300,73.0
38.79904000,-77.2227000,73.0
38.79900000,-77.2228000,72.0
38.79896000,-77.2229100,70.0
38.79890000,-77.2230500,68.0
38.79884000,-77.2231700,68.0
38.79879000,-77.2232800,69.0
38.79876000,-77.2233700,70.0
38.79873000,-77.2234700,71.0
38.79870000,-77.2235700,73.0
38.79867000,-77.2236900,73.0
38.79862000,-77.2238200,73.0
38.79856000,-77.2239700,72.0
38.79854000,-77.2240600,71.0
38.79852000,-77.2241500,71.0
38.79848000,-77.2242000,70.0
38.79846000,-77.2242500,70.0
38.79843000,-77.2243400,69.0
38.79839000,-77.2244600,69.0
38.79835000,-77.2245800,69.0
38.79830000,-77.2246600,69.0
38.79823000,-77.2247200,69.0
38.79817000,-77.2247500,70.0
38.79811000,-77.2247800,70.0
38.79806000,-77.2247900,70.0
38.79800000,-77.2248100,70.0
38.79794000,-77.2248500,70.0
38.79789000,-77.2249100,70.0
38.79786000,-77.2249700,70.0
38.79782000,-77.2250500,70.0
38.79780000,-77.2251200,70.0
38.79774000,-77.2252200,69.0
38.79769000,-77.2252400,69.0
38.79763000,-77.2252700,68.0
38.79759000,-77.2253100,68.0
38.79756000,-77.2253700,68.0
38.79753000,-77.2254400,68.0
38.79750000,-77.2255100,68.0
38.79748000,-77.2255900,68.0
38.79746000,-77.2256900,69.0
38.79742000,-77.2258000,69.0
38.79739000,-77.2259400,69.0
38.79734000,-77.2260400,69.0
38.79730000,-77.2261500,69.0
38.79726000,-77.2262600,68.0
38.79720000,-77.2263800,68.0
38.79714000,-77.2264900,67.0
38.79712000,-77.2265600,67.0
38.79714000,-77.2266100,67.0
38.79717000,-77.2267000,67.0
38.79722000,-77.2268300,67.0
38.79728000,-77.2269900,68.0
38.79737000,-77.2271500,69.0
38.79745000,-77.2273000,69.0
38.79750000,-77.2273900,69.0
38.79755000,-77.2274500,68.0
38.79760000,-77.2274800,68.0
38.79766000,-77.2275000,68.0
38.79772000,-77.2275100,68.0
38.79777000,-77.2275200,68.0
38.79783000,-77.2275100,69.0
38.79790000,-77.2275000,69.0
38.79800000,-77.2274900,70.0
38.79807000,-77.2274700,71.0
38.79813000,-77.2274600,71.0
38.79820000,-77.2274400,71.0
38.79831000,-77.2274200,71.0
38.79841000,-77.2274100,71.0
38.79847000,-77.2274100,71.0
38.79856000,-77.2274100,71.0
38.79864000,-77.2274200,71.0
38.79871000,-77.2274300,71.0
38.79877000,-77.2274500,71.0
38.79885000,-77.2274700,71.0
38.79890000,-77.2274900,72.0
38.79896000,-77.2275000,72.0
38.79901000,-77.2275200,73.0
38.79907000,-77.2275500,73.0
38.79913000,-77.2275900,74.0
38.79918000,-77.2276300,74.0
38.79924000,-77.2276600,75.0
38.79929000,-77.2277200,76.0
38.79934000,-77.2278000,76.0
38.79936000,-77.2278500,76.0
38.79939000,-77.2279100,77.0
38.79941000,-77.2279600,77.0
38.79944000,-77.2280400,77.0
38.79951000,-77.2281400,76.0
38.79971000,-77.2283500,72.0
38.80006000,-77.2287500,70.0
38.80012000,-77.2288000,70.0
38.80017000,-77.2288500,70.0
38.80022000,-77.2288900,69.0
38.80026000,-77.2289400,69.0
38.80031000,-77.2289900,68.0
38.80036000,-77.2290100,68.0
38.80043000,-77.2290300,68.0
38.80052000,-77.2290400,69.0
38.80057000,-77.2290400,69.0
38.80063000,-77.2290300,69.0
38.80070000,-77.2290300,68.0
38.80076000,-77.2290200,68.0
38.80085000,-77.2290100,68.0
38.80097000,-77.2289800,67.0
38.80104000,-77.2289500,66.0
38.80110000,-77.2289200,66.0
38.80114000,-77.2288800,65.0
38.80120000,-77.2288300,65.0
38.80125000,-77.2287800,65.0
38.80131000,-77.2287500,65.0
38.80139000,-77.2287100,64.0
38.80146000,-77.2286800,65.0
38.80152000,-77.2286500,65.0
38.80157000,-77.2286100,66.0
38.80163000,-77.2285700,67.0
38.80169000,-77.2285100,67.0
38.80178000,-77.2284600,69.0
38.80184000,-77.2284300,69.0
38.80189000,-77.2283900,70.0
38.80195000,-77.2283400,70.0
38.80202000,-77.2282800,70.0
38.80210000,-77.2282200,70.0
38.80217000,-77.2281700,69.0
38.80225000,-77.2281200,69.0
38.80233000,-77.2280500,68.0
38.80243000,-77.2279900,69.0
38.80253000,-77.2279400,70.0
38.80259000,-77.2279200,71.0
38.80265000,-77.2279200,72.0
38.80270000,-77.2279000,73.0
38.80275000,-77.2279000,73.0
38.80282000,-77.2279200,73.0
38.80287000,-77.2279400,73.0
