Latitude,Longitude,Elevation
38.53082000,-78.4396900,1095.0
38.53126000,-78.4403300,1085.0
38.53094000,-78.4409000,1083.0
38.53073000,-78.4415200,1081.0
38.53077000,-78.4421500,1076.0
38.53122000,-78.4431900,1059.0
38.53118000,-78.4435700,1060.0
38.53126000,-78.4437100,1056.0
38.53126000,-78.4439600,1052.0
38.53120000,-78.4443300,1047.0
38.53121000,-78.4448600,1032.0
38.53096000,-78.4453700,1029.0
38.53104000,-78.4455300,1026.0
38.53107000,-78.4461500,1012.0
38.53058000,-78.4470500,1009.0
38.53041000,-78.4470800,1009.0
38.53025000,-78.4473100,1004.0
38.52979000,-78.4476100,992.0
38.52942000,-78.4476200,987.0
38.52914000,-78.4474700,986.0
38.52886000,-78.4474800,988.0
38.52876000,-78.4475700,986.0
38.52823000,-78.4475800,986.0
38.52819000,-78.4476200,985.0
38.52786000,-78.4475900,988.0
38.52736000,-78.4480900,970.0
38.52697000,-78.4483200,958.0
38.52659000,-78.4485700,949.0
38.52585000,-78.4489000,934.0
38.52555000,-78.4489500,928.0
38.52527000,-78.4493700,921.0
38.52497000,-78.4495700,916.0
38.52397000,-78.4508100,897.0
38.52329000,-78.4511600,880.0
38.52300000,-78.4511800,872.0
38.52246000,-78.4508100,865.0
38.52170000,-78.4500100,868.0
38.52154000,-78.4496500,881.0
38.52138000,-78.4496000,877.0
38.52098000,-78.4496400,867.0
38.52057000,-78.4495200,867.0
38.52046000,-78.4494200,873.0
38.52047000,-78.4490500,887.0
38.52043000,-78.4488400,895.0
38.52036000,-78.4488100,897.0
38.52023000,-78.4488700,894.0
38.52005000,-78.4488200,898.0
38.51973000,-78.4484500,914.0
38.51970000,-78.4483600,916.0
38.51993000,-78.4483800,917.0
38.52015000,-78.4483100,918.0
38.52016000,-78.4482300,919.0
38.51974000,-78.4479200,923.0
38.51956000,-78.4475100,934.0
38.51958000,-78.4474400,935.0
38.51983000,-78.4476100,930.0
38.52009000,-78.4475900,933.0
38.52018000,-78.4475200,936.0
38.52013000,-78.4474400,938.0
38.52005000,-78.4474100,939.0
38.51985000,-78.4472200,945.0
38.51987000,-78.4471600,947.0
38.52008000,-78.4471400,950.0
38.52026000,-78.4470300,953.0
38.52034000,-78.4467400,960.0
38.52036000,-78.4465100,965.0
38.52030000,-78.4464300,967.0
38.52034000,-78.4462300,972.0
38.52039000,-78.4461500,974.0
38.52041000,-78.4457500,983.0
38.52036000,-78.4453200,993.0
38.52031000,-78.4448300,1001.0
38.52006000,-78.4443800,1006.0
38.52011000,-78.4439600,1015.0
38.52007000,-78.4439200,1015.0
38.51982000,-78.4438600,1013.0
38.51965000,-78.4437100,1014.0
38.51960000,-78.4434800,1017.0
38.51976000,-78.4435000,1017.0
38.51997000,-78.4436600,1018.0
38.52022000,-78.4436200,1022.0
38.52039000,-78.4435300,1024.0
38.52059000,-78.4434400,1028.0
38.52080000,-78.4432600,1032.0
38.52096000,-78.4430500,1036.0
38.52123000,-78.4429200,1038.0
38.52179000,-78.4428500,1043.0
38.52214000,-78.4429200,1048.0
38.52233000,-78.4430200,1053.0
38.52274000,-78.4432400,1062.0
38.52317000,-78.4434300,1065.0
38.52342000,-78.4435800,1067.0
38.52363000,-78.4437600,1069.0
38.52394000,-78.4439000,1071.0
38.52410000,-78.4439600,1074.0
38.52452000,-78.4441600,1079.0
38.52486000,-78.4441300,1086.0
38.52561000,-78.4440900,1098.0
38.52598000,-78.4443000,1101.0
38.52619000,-78.4445800,1099.0
38.52645000,-78.4445900,1099.0
38.52663000,-78.4445200,1098.0
38.52686000,-78.4443600,1100.0
38.52706000,-78.4442800,1100.0
38.52727000,-78.4441500,1103.0
38.52734000,-78.4440000,1108.0
38.52755000,-78.4438300,1109.0
38.52766000,-78.4437300,1109.0
38.52781000,-78.4435400,1109.0
38.52790000,-78.4434500,1108.0
38.52805000,-78.4433300,1106.0
38.52812000,-78.4432600,1106.0
38.52818000,-78.4431400,1106.0
38.52834000,-78.4429600,1106.0
38.52839000,-78.4429300,1106.0
38.52852000,-78.4428700,1106.0
38.52865000,-78.4429000,1104.0
38.52881000,-78.4429000,1104.0
38.52899000,-78.4429900,1103.0
38.52913000,-78.4429400,1103.0
38.52921000,-78.4428000,1104.0
38.52930000,-78.4427400,1104.0
38.52942000,-78.4427200,1104.0
38.52965000,-78.4426900,1101.0
38.52972000,-78.4425400,1101.0
38.52982000,-78.4423500,1099.0
38.52989000,-78.4421100,1097.0
38.52996000,-78.4418900,1096.0
38.53002000,-78.4417900,1095.0
38.53009000,-78.4416500,1094.0
38.53009000,-78.4415600,1095.0
38.53011000,-78.4414700,1095.0
38.53013000,-78.4413400,1096.0
38.53021000,-78.4412800,1095.0
38.53027000,-78.4411600,1095.0
38.53033000,-78.4410400,1095.0
38.53041000,-78.4410000,1093.0
38.53048000,-78.4410500,1091.0
38.53055000,-78.4409600,1090.0
38.53059000,-78.4409000,1090.0
38.53071000,-78.4407900,1089.0
38.53084000,-78.4406800,1086.0
38.53095000,-78.4406000,1085.0
38.53081000,-78.4403700,1090.0
38.53128000,-78.4403400,1084.0
38.53124000,-78.4402800,1086.0
38.53082000,-78.4396900,1095.0
