Latitude,Longitude,Elevation
38.73032000,-78.2580100,374.0
38.73035000,-78.2579900,374.0
38.73036000,-78.2580100,374.0
38.73066000,-78.2581900,374.0
38.73082000,-78.2582700,374.0
38.73110000,-78.2582600,374.0
38.73139000,-78.2580800,377.0
38.73162000,-78.2578800,379.0
38.73245000,-78.2573500,383.0
38.73272000,-78.2575000,386.0
38.73285000,-78.2578300,388.0
38.73315000,-78.2581000,390.0
38.73337000,-78.2582600,393.0
38.73356000,-78.2585900,399.0
38.73373000,-78.2587500,402.0
38.73403000,-78.2590800,405.0
38.73437000,-78.2594800,409.0
38.73453000,-78.2597100,412.0
38.73479000,-78.2600500,413.0
38.73493000,-78.2603100,414.0
38.73513000,-78.2604100,416.0
38.73524000,-78.2605900,419.0
38.73553000,-78.2608500,422.0
38.73572000,-78.2610100,426.0
38.73595000,-78.2612400,430.0
38.73651000,-78.2614700,436.0
38.73673000,-78.2617000,437.0
38.73709000,-78.2617700,442.0
38.73745000,-78.2617500,453.0
38.73894000,-78.2619000,473.0
38.73924000,-78.2620600,472.0
38.73962000,-78.2621900,481.0
38.73996000,-78.2623800,491.0
38.74093000,-78.2622700,497.0
38.74167000,-78.2620200,502.0
38.74306000,-78.2620100,525.0
38.74319000,-78.2621700,526.0
38.74358000,-78.2620900,533.0
38.74398000,-78.2624500,536.0
38.74457000,-78.2624700,547.0
38.74528000,-78.2625400,567.0
38.74601000,-78.2624600,592.0
38.74664000,-78.2625300,626.0
38.74669000,-78.2626400,625.0
38.74724000,-78.2628300,648.0
38.74770000,-78.2630900,661.0
38.74855000,-78.2632300,679.0
38.74935000,-78.2631300,706.0
38.74952000,-78.2630800,713.0
38.74970000,-78.2631000,721.0
38.74983000,-78.2631800,725.0
38.75002000,-78.2633500,731.0
38.75024000,-78.2634600,736.0
38.75046000,-78.2634500,742.0
38.75072000,-78.2634700,750.0
38.75066000,-78.2636200,749.0
38.75084000,-78.2635900,754.0
38.75100000,-78.2636400,757.0
38.75097000,-78.2638700,760.0
38.75083000,-78.2641000,759.0
38.75128000,-78.2641600,774.0
38.75135000,-78.2644100,780.0
38.75123000,-78.2646200,778.0
38.75119000,-78.2649100,779.0
38.75136000,-78.2654200,791.0
38.75134000,-78.2656900,796.0
38.75122000,-78.2660300,801.0
38.75078000,-78.2664300,804.0
38.75054000,-78.2664900,809.0
38.75029000,-78.2666600,816.0
38.75017000,-78.2670100,821.0
38.75011000,-78.2674600,825.0
38.75008000,-78.2676300,825.0
38.75026000,-78.2677500,827.0
38.75029000,-78.2678100,827.0
38.74985000,-78.2682300,821.0
38.74946000,-78.2684700,817.0
38.74901000,-78.2688500,810.0
38.74824000,-78.2693300,805.0
38.74777000,-78.2695400,803.0
38.74731000,-78.2695000,795.0
38.74682000,-78.2695800,789.0
38.74625000,-78.2698400,787.0
38.74540000,-78.2701800,784.0
38.74511000,-78.2701600,782.0
38.74488000,-78.2700300,779.0
38.74448000,-78.2692400,769.0
38.74421000,-78.2689800,759.0
38.74389000,-78.2689400,757.0
38.74367000,-78.2689600,753.0
38.74309000,-78.2686000,739.0
38.74284000,-78.2683800,733.0
38.74255000,-78.2684300,729.0
38.74225000,-78.2685500,725.0
38.74200000,-78.2692400,723.0
38.74177000,-78.2696700,713.0
38.74167000,-78.2702300,714.0
38.74136000,-78.2710200,712.0
38.74108000,-78.2712800,704.0
38.74044000,-78.2717300,693.0
38.74006000,-78.2724400,692.0
38.73971000,-78.2727200,687.0
38.73936000,-78.2733200,683.0
38.73859000,-78.2738500,672.0
38.73810000,-78.2740700,666.0
38.73775000,-78.2745400,666.0
38.73701000,-78.2749700,661.0
38.73637000,-78.2750500,658.0
38.73574000,-78.2751400,650.0
38.73521000,-78.2756100,646.0
38.73490000,-78.2757000,642.0
38.73459000,-78.2762600,650.0
38.73427000,-78.2768200,651.0
38.73384000,-78.2770800,640.0
38.73340000,-78.2773300,636.0
38.73276000,-78.2775400,640.0
38.73199000,-78.2772400,640.0
38.73146000,-78.2766000,625.0
38.73065000,-78.2762600,620.0
38.73033000,-78.2760000,614.0
38.72995000,-78.2758500,613.0
38.72930000,-78.2758300,615.0
38.72864000,-78.2758100,616.0
38.72833000,-78.2757900,617.0
38.72774000,-78.2759800,616.0
38.72724000,-78.2759200,612.0
38.72674000,-78.2758500,606.0
38.72653000,-78.2756800,603.0
38.72605000,-78.2751300,602.0
38.72556000,-78.2745800,598.0
38.72530000,-78.2744600,597.0
38.72503000,-78.2737300,593.0
38.72458000,-78.2734600,593.0
38.72414000,-78.2731800,591.0
38.72369000,-78.2729100,586.0
38.72295000,-78.2727400,580.0
38.72262000,-78.2720700,579.0
38.72307000,-78.2714500,579.0
38.72343000,-78.2708900,575.0
38.72380000,-78.2703400,566.0
38.72416000,-78.2697800,560.0
38.72463000,-78.2695600,554.0
38.72509000,-78.2693300,544.0
38.72551000,-78.2684900,533.0
38.72597000,-78.2682800,528.0
38.72610000,-78.2679100,527.0
38.72597000,-78.2669200,527.0
38.72618000,-78.2666400,522.0
38.72705000,-78.2666700,497.0
38.72724000,-78.2665400,495.0
38.72714000,-78.2655100,493.0
38.72746000,-78.2650100,476.0
38.72735000,-78.2646100,468.0
38.72702000,-78.2644300,466.0
38.72685000,-78.2641100,464.0
38.72684000,-78.2633000,460.0
38.72670000,-78.2627600,463.0
38.72695000,-78.2622900,456.0
38.72733000,-78.2619300,451.0
38.72771000,-78.2615800,442.0
38.72813000,-78.2609100,427.0
38.72854000,-78.2602300,416.0
38.72871000,-78.2595400,409.0
38.72920000,-78.2589800,397.0
38.72957000,-78.2586600,389.0
38.72995000,-78.2583300,380.0
38.73032000,-78.2580100,374.0
