Latitude,Longitude,Elevation
38.59308000,-78.3756300,1129.0
38.59324000,-78.3752500,1132.0
38.59319000,-78.3748300,1133.0
38.59325000,-78.3745000,1133.0
38.59324000,-78.3742700,1133.0
38.59358000,-78.3740300,1138.0
38.59356000,-78.3735100,1138.0
38.59376000,-78.3725800,1145.0
38.59402000,-78.3723700,1148.0
38.59417000,-78.3718500,1152.0
38.59409000,-78.3715500,1153.0
38.59419000,-78.3714200,1156.0
38.59437000,-78.3715300,1157.0
38.59457000,-78.3715000,1160.0
38.59527000,-78.3703200,1171.0
38.59559000,-78.3703200,1172.0
38.59569000,-78.3705000,1172.0
38.59627000,-78.3709300,1182.0
38.59635000,-78.3712700,1187.0
38.59665000,-78.3710300,1190.0
38.59676000,-78.3709000,1190.0
38.59739000,-78.3709000,1196.0
38.59741000,-78.3709100,1196.0
38.59776000,-78.3707900,1194.0
38.59794000,-78.3708300,1195.0
38.59841000,-78.3713600,1205.0
38.59843000,-78.3716200,1207.0
38.59815000,-78.3718400,1213.0
38.59798000,-78.3721500,1217.0
38.59804000,-78.3727800,1217.0
38.59823000,-78.3732600,1211.0
38.59848000,-78.3736400,1199.0
38.59824000,-78.3732700,1211.0
38.59804000,-78.3727800,1217.0
38.59796000,-78.3727000,1218.0
38.59770000,-78.3725800,1217.0
38.59725000,-78.3721900,1212.0
38.59697000,-78.3722900,1205.0
38.59696000,-78.3722800,1205.0
38.59659000,-78.3721200,1196.0
38.59672000,-78.3717100,1198.0
38.59673000,-78.3716800,1198.0
38.59661000,-78.3714000,1194.0
38.59635000,-78.3712700,1187.0
38.59626000,-78.3709200,1182.0
38.59568000,-78.3704800,1172.0
38.59567000,-78.3703700,1172.0
38.59570000,-78.3703300,1172.0
38.59588000,-78.3703000,1173.0
38.59602000,-78.3701600,1173.0
38.59609000,-78.3701600,1174.0
38.59628000,-78.3700100,1173.0
38.59644000,-78.3698000,1169.0
38.59657000,-78.3695400,1165.0
38.59663000,-78.3694900,1163.0
38.59664000,-78.3693100,1161.0
38.59668000,-78.3692200,1160.0
38.59689000,-78.3691700,1157.0
38.59704000,-78.3691900,1156.0
38.59708000,-78.3691600,1156.0
38.59709000,-78.3690700,1154.0
38.59712000,-78.3690400,1153.0
38.59727000,-78.3690600,1153.0
38.59747000,-78.3689800,1150.0
38.59769000,-78.3689700,1149.0
38.59773000,-78.3690200,1150.0
38.59791000,-78.3689600,1147.0
38.59803000,-78.3688000,1144.0
38.59825000,-78.3686400,1139.0
38.59834000,-78.3686500,1139.0
38.59853000,-78.3686000,1136.0
38.59875000,-78.3684900,1133.0
38.59892000,-78.3683000,1129.0
38.59904000,-78.3681100,1126.0
38.59915000,-78.3679600,1121.0
38.59936000,-78.3679500,1117.0
38.59947000,-78.3680400,1118.0
38.59952000,-78.3680400,1117.0
38.59989000,-78.3681600,1113.0
38.60009000,-78.3682100,1111.0
38.60022000,-78.3681800,1109.0
38.60026000,-78.3681100,1107.0
38.60037000,-78.3680900,1105.0
38.60074000,-78.3678300,1100.0
38.60103000,-78.3677300,1098.0
38.60128000,-78.3677500,1097.0
38.60139000,-78.3676700,1095.0
38.60148000,-78.3676700,1095.0
38.60153000,-78.3676400,1094.0
38.60164000,-78.3675900,1093.0
38.60174000,-78.3676200,1094.0
38.60183000,-78.3675600,1093.0
38.60199000,-78.3676400,1094.0
38.60219000,-78.3676200,1093.0
38.60247000,-78.3675800,1088.0
38.60263000,-78.3677000,1087.0
38.60269000,-78.3678800,1086.0
38.60276000,-78.3680100,1083.0
38.60292000,-78.3681100,1075.0
38.60300000,-78.3681000,1071.0
38.60311000,-78.3680400,1068.0
38.60325000,-78.3680000,1063.0
38.60331000,-78.3679500,1062.0
38.60338000,-78.3678500,1062.0
38.60329000,-78.3677000,1070.0
38.60311000,-78.3676900,1075.0
38.60302000,-78.3676100,1077.0
38.60302000,-78.3675600,1077.0
38.60304000,-78.3675300,1077.0
