Latitude,Longitude,Elevation
38.53948000,-78.3490600,350.0
38.53952000,-78.3492600,351.0
38.53965000,-78.3494200,351.0
38.53964000,-78.3493900,351.0
38.53982000,-78.3494700,351.0
38.53998000,-78.3497100,354.0
38.53998000,-78.3499300,356.0
38.54008000,-78.3501800,358.0
38.54032000,-78.3505100,359.0
38.54047000,-78.3508200,361.0
38.54068000,-78.3511500,359.0
38.54088000,-78.3514900,356.0
38.54103000,-78.3517000,356.0
38.54126000,-78.3517700,357.0
38.54159000,-78.3516900,359.0
38.54170000,-78.3515600,359.0
38.54177000,-78.3513400,360.0
38.54187000,-78.3511000,361.0
38.54195000,-78.3510400,363.0
38.54224000,-78.3510200,365.0
38.54242000,-78.3509400,366.0
38.54267000,-78.3508400,369.0
38.54293000,-78.3508900,373.0
38.54309000,-78.3508700,378.0
38.54349000,-78.3509400,379.0
38.54372000,-78.3510800,377.0
38.54399000,-78.3511300,379.0
38.54404000,-78.3511800,379.0
38.54418000,-78.3511800,380.0
38.54440000,-78.3511900,382.0
38.54476000,-78.3513500,382.0
38.54510000,-78.3514000,384.0
38.54530000,-78.3514300,385.0
38.54548000,-78.3514900,384.0
38.54566000,-78.3515600,384.0
38.54580000,-78.3517800,382.0
38.54592000,-78.3518300,382.0
38.54603000,-78.3520200,382.0
38.54615000,-78.3520800,383.0
38.54634000,-78.3522400,385.0
38.54648000,-78.3523900,387.0
38.54660000,-78.3525700,390.0
38.54681000,-78.3526600,392.0
38.54713000,-78.3528700,395.0
38.54745000,-78.3531000,398.0
38.54770000,-78.3532000,399.0
38.54786000,-78.3532500,399.0
38.54792000,-78.3533000,399.0
38.54803000,-78.3533100,399.0
38.54821000,-78.3532700,401.0
38.54837000,-78.3533800,404.0
38.54880000,-78.3529500,408.0
38.54917000,-78.3530200,410.0
38.54933000,-78.3531300,413.0
38.54942000,-78.3531100,415.0
38.54945000,-78.3529200,419.0
38.54938000,-78.3527400,421.0
38.54949000,-78.3528100,422.0
38.54979000,-78.3527300,428.0
38.54997000,-78.3525000,431.0
38.55033000,-78.3525500,429.0
38.55038000,-78.3526300,428.0
38.55057000,-78.3526800,429.0
38.55086000,-78.3525900,429.0
38.55089000,-78.3525000,431.0
38.55107000,-78.3524200,432.0
38.55120000,-78.3524800,431.0
38.55136000,-78.3522200,432.0
38.55148000,-78.3522300,432.0
38.55177000,-78.3520300,435.0
38.55211000,-78.3519800,436.0
38.55224000,-78.3520200,436.0
38.55230000,-78.3519400,437.0
38.55264000,-78.3518800,438.0
38.55284000,-78.3517300,441.0
38.55286000,-78.3518100,440.0
38.55297000,-78.3515500,445.0
38.55311000,-78.3516600,443.0
38.55344000,-78.3515100,450.0
38.55396000,-78.3516100,451.0
38.55400000,-78.3515200,452.0
38.55450000,-78.3516200,453.0
38.55461000,-78.3517400,453.0
38.55501000,-78.3517100,455.0
38.55507000,-78.3516300,457.0
38.55524000,-78.3517500,460.0
38.55572000,-78.3523200,469.0
38.55575000,-78.3525700,472.0
38.55578000,-78.3527900,478.0
38.55585000,-78.3529000,480.0
38.55590000,-78.3529600,483.0
38.55593000,-78.3530000,485.0
38.55591000,-78.3530900,486.0
38.55586000,-78.3531500,486.0
38.55591000,-78.3530900,486.0
38.55593000,-78.3530000,485.0
38.55590000,-78.3529600,483.0
38.55585000,-78.3529000,480.0
38.55578000,-78.3527900,478.0
38.55575000,-78.3525700,472.0
38.55572000,-78.3523200,469.0
38.55524000,-78.3517500,460.0
38.55507000,-78.3516300,457.0
38.55501000,-78.3517100,455.0
38.55461000,-78.3517400,453.0
38.55450000,-78.3516200,453.0
38.55400000,-78.3515200,452.0
38.55396000,-78.3516100,451.0
38.55344000,-78.3515100,450.0
38.55311000,-78.3516600,443.0
38.55297000,-78.3515500,445.0
38.55286000,-78.3518100,440.0
38.55284000,-78.3517300,441.0
38.55264000,-78.3518800,438.0
38.55230000,-78.3519400,437.0
38.55224000,-78.3520200,436.0
38.55211000,-78.3519800,436.0
38.55177000,-78.3520300,435.0
38.55148000,-78.3522300,432.0
38.55136000,-78.3522200,432.0
38.55120000,-78.3524800,431.0
38.55107000,-78.3524200,432.0
38.55089000,-78.3525000,431.0
38.55086000,-78.3525900,429.0
38.55057000,-78.3526800,429.0
38.55038000,-78.3526300,428.0
38.55033000,-78.3525500,429.0
38.54997000,-78.3525000,431.0
38.54979000,-78.3527300,428.0
38.54949000,-78.3528100,422.0
38.54938000,-78.3527400,421.0
38.54945000,-78.3529200,419.0
38.54942000,-78.3531100,415.0
38.54933000,-78.3531300,413.0
38.54917000,-78.3530200,410.0
38.54880000,-78.3529500,408.0
38.54837000,-78.3533800,404.0
38.54821000,-78.3532700,401.0
38.54803000,-78.3533100,399.0
