Latitude,Longitude,Elevation
38.63795000,-78.3142800,878.0
38.63790000,-78.3142000,876.0
38.63792000,-78.3142500,878.0
38.63794000,-78.3142900,879.0
38.63797000,-78.3143100,879.0
38.63798000,-78.3142800,878.0
38.63801000,-78.3143000,879.0
38.63803000,-78.3143400,880.0
38.63804000,-78.3143700,880.0
38.63801000,-78.3143800,880.0
38.63798000,-78.3143900,881.0
38.63796000,-78.3143900,881.0
38.63793000,-78.3144000,881.0
38.63790000,-78.3143900,881.0
38.63787000,-78.3143900,881.0
38.63784000,-78.3143900,882.0
38.63781000,-78.3143900,882.0
38.63778000,-78.3144000,882.0
38.63775000,-78.3144100,882.0
38.63773000,-78.3144100,882.0
38.63770000,-78.3144100,883.0
38.63768000,-78.3144400,884.0
38.63769000,-78.3144800,885.0
38.63770000,-78.3145200,886.0
38.63772000,-78.3145600,887.0
38.63773000,-78.3146000,889.0
38.63775000,-78.3146200,889.0
38.63777000,-78.3146600,890.0
38.63777000,-78.3147000,892.0
38.63777000,-78.3147400,893.0
38.63777000,-78.3147800,894.0
38.63778000,-78.3148100,895.0
38.63775000,-78.3148000,894.0
38.63772000,-78.3147900,894.0
38.63775000,-78.3149800,899.0
38.63776000,-78.3150200,900.0
38.63777000,-78.3150500,901.0
38.63776000,-78.3150900,901.0
38.63778000,-78.3151300,902.0
38.63780000,-78.3151500,902.0
38.63783000,-78.3151700,903.0
38.63785000,-78.3152000,903.0
38.63787000,-78.3152300,904.0
38.63789000,-78.3152600,904.0
38.63792000,-78.3152900,905.0
38.63793000,-78.3153300,906.0
38.63795000,-78.3153700,906.0
38.63798000,-78.3154000,907.0
38.63799000,-78.3154400,908.0
38.63800000,-78.3154700,908.0
38.63801000,-78.3155100,909.0
38.63802000,-78.3155400,909.0
38.63804000,-78.3155800,910.0
38.63806000,-78.3156100,910.0
38.63808000,-78.3156500,911.0
38.63809000,-78.3156900,911.0
38.63811000,-78.3157200,912.0
38.63813000,-78.3157400,912.0
38.63814000,-78.3157700,912.0
38.63814000,-78.3158100,913.0
38.63815000,-78.3158400,913.0
38.63816000,-78.3158900,914.0
38.63817000,-78.3159200,914.0
38.63818000,-78.3159600,915.0
38.63819000,-78.3160000,916.0
38.63822000,-78.3159900,915.0
38.63823000,-78.3160200,916.0
