Latitude,Longitude,Elevation
38.65928000,-78.3217000,707.0
38.65884000,-78.3217300,710.0
38.65882000,-78.3215000,715.0
38.65880000,-78.3214400,716.0
38.65883000,-78.3214600,715.0
38.65889000,-78.3214000,716.0
38.65899000,-78.3212600,718.0
38.65904000,-78.3211500,720.0
38.65883000,-78.3211100,723.0
38.65869000,-78.3210400,726.0
38.65858000,-78.3209400,729.0
38.65846000,-78.3207700,735.0
38.65837000,-78.3207100,738.0
38.65828000,-78.3205100,743.0
38.65822000,-78.3204600,744.0
38.65815000,-78.3203500,746.0
38.65799000,-78.3200500,750.0
38.65787000,-78.3198800,752.0
38.65773000,-78.3197300,755.0
38.65750000,-78.3196300,760.0
38.65745000,-78.3195600,762.0
38.65738000,-78.3195500,763.0
38.65731000,-78.3194600,765.0
38.65724000,-78.3194300,766.0
38.65717000,-78.3194600,767.0
38.65700000,-78.3194100,772.0
38.65698000,-78.3193800,773.0
38.65688000,-78.3193200,777.0
38.65670000,-78.3193400,782.0
38.65663000,-78.3193200,784.0
38.65667000,-78.3192400,785.0
38.65677000,-78.3191100,785.0
38.65682000,-78.3189900,787.0
38.65685000,-78.3188600,789.0
38.65694000,-78.3187900,788.0
38.65698000,-78.3187100,788.0
38.65699000,-78.3186600,788.0
38.65690000,-78.3185900,792.0
38.65688000,-78.3184500,794.0
38.65690000,-78.3182700,795.0
38.65698000,-78.3181700,792.0
38.65698000,-78.3181400,792.0
38.65691000,-78.3180200,796.0
38.65689000,-78.3179300,795.0
38.65683000,-78.3177700,795.0
38.65673000,-78.3177200,797.0
38.65652000,-78.3176800,804.0
38.65631000,-78.3174200,803.0
38.65602000,-78.3172400,809.0
38.65593000,-78.3171700,812.0
38.65585000,-78.3170800,814.0
38.65576000,-78.3169300,815.0
38.65551000,-78.3163200,816.0
38.65552000,-78.3160400,813.0
38.65550000,-78.3159500,814.0
38.65543000,-78.3159400,818.0
38.65539000,-78.3158700,820.0
38.65531000,-78.3157800,825.0
38.65525000,-78.3156600,830.0
38.65525000,-78.3156200,830.0
38.65530000,-78.3153500,828.0
38.65537000,-78.3151300,825.0
38.65537000,-78.3149900,827.0
38.65527000,-78.3144600,832.0
38.65521000,-78.3143400,836.0
38.65518000,-78.3141600,838.0
38.65518000,-78.3140200,835.0
38.65502000,-78.3137700,839.0
38.65485000,-78.3137300,847.0
38.65472000,-78.3136500,851.0
38.65467000,-78.3135800,850.0
38.65453000,-78.3135400,852.0
38.65429000,-78.3133300,847.0
38.65417000,-78.3131600,841.0
38.65404000,-78.3131100,845.0
38.65395000,-78.3130200,846.0
38.65384000,-78.3130200,850.0
38.65374000,-78.3132000,858.0
38.65365000,-78.3132700,863.0
38.65357000,-78.3134300,869.0
38.65347000,-78.3134700,870.0
38.65372000,-78.3134300,868.0
38.65383000,-78.3134500,867.0
38.65393000,-78.3135800,871.0
38.65393000,-78.3136700,876.0
38.65399000,-78.3137200,876.0
38.65401000,-78.3137500,878.0
38.65410000,-78.3138500,881.0
38.65413000,-78.3140000,889.0
38.65407000,-78.3140100,891.0
38.65378000,-78.3139200,891.0
38.65364000,-78.3139500,894.0
38.65347000,-78.3140300,897.0
38.65326000,-78.3140900,899.0
38.65317000,-78.3141600,904.0
38.65303000,-78.3142100,906.0
38.65293000,-78.3142600,910.0
38.65279000,-78.3142500,908.0
38.65262000,-78.3143300,914.0
38.65248000,-78.3143600,916.0
38.65228000,-78.3144500,925.0
38.65210000,-78.3144600,927.0
38.65203000,-78.3144800,929.0
38.65192000,-78.3144600,930.0
38.65183000,-78.3144000,930.0
38.65168000,-78.3143900,934.0
38.65165000,-78.3143600,934.0
38.65157000,-78.3142200,930.0
38.65154000,-78.3141300,927.0
38.65151000,-78.3141200,927.0
38.65130000,-78.3141400,935.0
38.65119000,-78.3141800,940.0
38.65106000,-78.3141800,943.0
38.65088000,-78.3142200,948.0
38.65081000,-78.3142100,949.0
38.65075000,-78.3141700,949.0
38.65073000,-78.3140300,943.0
38.65070000,-78.3139600,940.0
38.65059000,-78.3139400,941.0
