Latitude,Longitude,Elevation
38.62462000,-78.3423900,1030.0
38.62488000,-78.3419600,1028.0
38.62514000,-78.3414700,1026.0
38.62549000,-78.3410800,1023.0
38.62580000,-78.3410900,1018.0
38.62604000,-78.3406100,1025.0
38.62646000,-78.3404300,1025.0
38.62674000,-78.3403000,1024.0
38.62682000,-78.3402900,1023.0
38.62694000,-78.3404200,1016.0
38.62711000,-78.3404300,1005.0
38.62724000,-78.3401700,1003.0
38.62728000,-78.3398300,1005.0
38.62740000,-78.3395400,1002.0
38.62753000,-78.3391300,1002.0
38.62773000,-78.3388000,1001.0
38.62789000,-78.3386100,1000.0
38.62790000,-78.3383100,1004.0
38.62791000,-78.3380600,1008.0
38.62806000,-78.3376300,1014.0
38.62801000,-78.3375100,1016.0
38.62796000,-78.3374000,1019.0
38.62796000,-78.3372700,1022.0
38.62765000,-78.3366900,1032.0
38.62757000,-78.3363700,1037.0
38.62747000,-78.3360000,1040.0
38.62740000,-78.3357100,1042.0
38.62735000,-78.3356000,1044.0
38.62724000,-78.3355300,1043.0
38.62690000,-78.3353300,1047.0
38.62657000,-78.3350000,1050.0
38.62636000,-78.3346000,1057.0
38.62625000,-78.3344000,1061.0
38.62615000,-78.3340800,1066.0
38.62607000,-78.3337500,1069.0
38.62598000,-78.3333100,1073.0
38.62595000,-78.3332200,1074.0
38.62588000,-78.3330100,1076.0
38.62561000,-78.3324800,1077.0
38.62553000,-78.3323300,1079.0
38.62540000,-78.3321500,1082.0
38.62530000,-78.3319900,1086.0
38.62532000,-78.3318500,1089.0
38.62531000,-78.3316900,1092.0
38.62524000,-78.3315500,1094.0
38.62507000,-78.3314300,1094.0
38.62500000,-78.3313900,1093.0
38.62500000,-78.3311900,1096.0
38.62506000,-78.3311200,1097.0
38.62520000,-78.3310500,1099.0
38.62533000,-78.3310500,1100.0
38.62542000,-78.3310000,1101.0
38.62551000,-78.3310300,1102.0
38.62561000,-78.3311400,1102.0
38.62571000,-78.3310000,1104.0
38.62580000,-78.3308800,1106.0
38.62611000,-78.3310000,1109.0
38.62621000,-78.3309200,1111.0
38.62624000,-78.3307000,1113.0
38.62636000,-78.3303600,1115.0
38.62650000,-78.3303200,1117.0
38.62680000,-78.3303700,1119.0
38.62692000,-78.3304600,1120.0
38.62718000,-78.3304300,1123.0
38.62765000,-78.3302000,1126.0
38.62801000,-78.3298500,1124.0
38.62820000,-78.3296200,1122.0
38.62826000,-78.3294600,1122.0
38.62837000,-78.3293800,1122.0
38.62863000,-78.3291800,1120.0
38.62877000,-78.3290200,1117.0
38.62883000,-78.3286800,1120.0
38.62881000,-78.3285600,1121.0
38.62882000,-78.3284100,1122.0
38.62891000,-78.3282100,1123.0
38.62913000,-78.3277800,1121.0
38.62930000,-78.3275100,1119.0
38.62949000,-78.3273600,1118.0
38.62968000,-78.3272100,1117.0
38.62977000,-78.3270300,1117.0
38.62980000,-78.3268400,1116.0
38.62987000,-78.3267900,1115.0
38.63014000,-78.3266700,1111.0
38.63023000,-78.3265600,1108.0
38.63011000,-78.3265200,1109.0
38.62995000,-78.3264700,1109.0
38.62970000,-78.3264900,1109.0
38.62951000,-78.3264900,1108.0
38.62938000,-78.3265100,1106.0
38.62876000,-78.3267600,1098.0
38.62862000,-78.3268300,1098.0
38.62851000,-78.3268200,1095.0
38.62845000,-78.3266900,1090.0
38.62850000,-78.3265500,1089.0
38.62863000,-78.3263400,1087.0
38.62926000,-78.3258600,1088.0
38.62959000,-78.3256000,1084.0
38.63004000,-78.3253700,1081.0
38.63034000,-78.3251700,1079.0
38.63065000,-78.3251300,1074.0
38.63080000,-78.3252300,1073.0
38.63102000,-78.3253500,1069.0
38.63145000,-78.3254400,1064.0
38.63174000,-78.3253500,1060.0
38.63200000,-78.3254100,1058.0
38.63215000,-78.3253700,1052.0
38.63239000,-78.3253300,1045.0
38.63264000,-78.3252900,1038.0
38.63270000,-78.3253900,1037.0
38.63279000,-78.3253400,1034.0
38.63282000,-78.3252100,1031.0
38.63288000,-78.3250700,1027.0
38.63307000,-78.3250000,1023.0
38.63317000,-78.3248200,1019.0
38.63328000,-78.3246100,1016.0
38.63340000,-78.3245700,1015.0
38.63348000,-78.3245700,1014.0
38.63351000,-78.3244100,1013.0
38.63350000,-78.3242400,1011.0
38.63358000,-78.3241200,1009.0
38.63369000,-78.3240500,1005.0
38.63386000,-78.3240000,1003.0
38.63403000,-78.3239300,1001.0
38.63407000,-78.3239000,1000.0
38.63411000,-78.3237300,999.0
