Latitude,Longitude,Elevation
36.63329000,-81.5087500,1422.0
36.63332000,-81.5087600,1421.0
36.63332000,-81.5087500,1421.0
36.63333000,-81.5087500,1421.0
36.63335000,-81.5087500,1421.0
36.63340000,-81.5087500,1420.0
36.63345000,-81.5087700,1420.0
36.63350000,-81.5088000,1419.0
36.63355000,-81.5088300,1419.0
36.63358000,-81.5089000,1418.0
36.63361000,-81.5090300,1418.0
36.63365000,-81.5091300,1417.0
36.63368000,-81.5091900,1417.0
36.63374000,-81.5092300,1416.0
36.63379000,-81.5092500,1415.0
36.63390000,-81.5092800,1414.0
36.63401000,-81.5092800,1414.0
36.63415000,-81.5092700,1415.0
36.63429000,-81.5092600,1416.0
36.63437000,-81.5092800,1417.0
36.63446000,-81.5093000,1418.0
36.63441000,-81.5092100,1418.0
36.63437000,-81.5091400,1418.0
36.63432000,-81.5090900,1417.0
36.63411000,-81.5086500,1416.0
36.63408000,-81.5085300,1416.0
36.63408000,-81.5083900,1415.0
36.63408000,-81.5083300,1415.0
36.63406000,-81.5082900,1415.0
36.63401000,-81.5082000,1416.0
36.63398000,-81.5081400,1416.0
36.63388000,-81.5079900,1416.0
36.63383000,-81.5079400,1416.0
36.63363000,-81.5078500,1418.0
36.63361000,-81.5078200,1418.0
36.63359000,-81.5077600,1418.0
36.63354000,-81.5075000,1415.0
36.63355000,-81.5073600,1413.0
36.63358000,-81.5071300,1409.0
36.63358000,-81.5070100,1408.0
36.63357000,-81.5067700,1406.0
36.63359000,-81.5064900,1402.0
36.63361000,-81.5062900,1399.0
36.63360000,-81.5060200,1397.0
36.63365000,-81.5060300,1397.0
36.63370000,-81.5060700,1397.0
36.63372000,-81.5061200,1397.0
36.63375000,-81.5061700,1398.0
36.63385000,-81.5062300,1399.0
36.63396000,-81.5062500,1399.0
36.63405000,-81.5062500,1399.0
36.63419000,-81.5062400,1400.0
36.63430000,-81.5062500,1401.0
36.63439000,-81.5062900,1402.0
36.63445000,-81.5062800,1403.0
36.63448000,-81.5062800,1403.0
36.63462000,-81.5062800,1406.0
36.63465000,-81.5062800,1407.0
36.63470000,-81.5062900,1408.0
36.63484000,-81.5062400,1410.0
36.63501000,-81.5062000,1413.0
36.63514000,-81.5061100,1415.0
36.63527000,-81.5061000,1417.0
36.63546000,-81.5061100,1419.0
36.63560000,-81.5060900,1420.0
36.63570000,-81.5060600,1421.0
36.63583000,-81.5059600,1420.0
36.63597000,-81.5059400,1421.0
36.63612000,-81.5059200,1422.0
36.63634000,-81.5059300,1424.0
36.63649000,-81.5059300,1425.0
36.63671000,-81.5059500,1428.0
36.63684000,-81.5059700,1430.0
36.63697000,-81.5060000,1432.0
36.63712000,-81.5059800,1434.0
36.63715000,-81.5059700,1435.0
36.63734000,-81.5059800,1438.0
36.63755000,-81.5059800,1442.0
36.63773000,-81.5059300,1443.0
36.63786000,-81.5058400,1442.0
36.63800000,-81.5057400,1443.0
36.63808000,-81.5056800,1443.0
36.63815000,-81.5055400,1442.0
36.63825000,-81.5054200,1442.0
36.63838000,-81.5052600,1443.0
36.63856000,-81.5050500,1446.0
36.63879000,-81.5048700,1451.0
36.63897000,-81.5047800,1455.0
36.63909000,-81.5047100,1457.0
36.63924000,-81.5046500,1459.0
36.63938000,-81.5045900,1461.0
36.63948000,-81.5045300,1461.0
36.63954000,-81.5045000,1462.0
36.63969000,-81.5044200,1462.0
36.63984000,-81.5043100,1463.0
36.64003000,-81.5041800,1465.0
36.64011000,-81.5039500,1464.0
36.64021000,-81.5038100,1465.0
36.64032000,-81.5036100,1465.0
36.64043000,-81.5034300,1466.0
36.64050000,-81.5032000,1466.0
36.64055000,-81.5030100,1465.0
36.64061000,-81.5029500,1465.0
36.64077000,-81.5027800,1467.0
36.64087000,-81.5024600,1468.0
36.64120000,-81.5018200,1474.0
36.64138000,-81.5015900,1476.0
36.64156000,-81.5013700,1481.0
36.64174000,-81.5013000,1484.0
36.64195000,-81.5012800,1488.0
36.64215000,-81.5012900,1492.0
36.64241000,-81.5010900,1495.0
36.64281000,-81.5009500,1498.0
36.64319000,-81.5006100,1493.0
36.64333000,-81.5007300,1494.0
36.64342000,-81.5008900,1494.0
36.64347000,-81.5010500,1493.0
36.64349000,-81.5013000,1492.0
36.64331000,-81.5015300,1499.0
36.64318000,-81.5017500,1502.0
36.64306000,-81.5019700,1506.0
36.64294000,-81.5021100,1506.0
36.64281000,-81.5022900,1507.0
36.64273000,-81.5024800,1507.0
36.64272000,-81.5028100,1506.0
36.64272000,-81.5028200,1505.0
36.64268000,-81.5030100,1503.0
36.64256000,-81.5031600,1502.0
36.64243000,-81.5032200,1501.0
36.64228000,-81.5033600,1498.0
36.64222000,-81.5035500,1497.0
36.64220000,-81.5037300,1495.0
36.64219000,-81.5040400,1492.0
36.64214000,-81.5042400,1491.0
36.64196000,-81.5043300,1490.0
36.64180000,-81.5045200,1490.0
36.64174000,-81.5046600,1490.0
36.64165000,-81.5049200,1492.0
36.64156000,-81.5050800,1493.0
36.64149000,-81.5052600,1493.0
36.64146000,-81.5054600,1491.0
36.64146000,-81.5056600,1489.0
36.64138000,-81.5058700,1489.0
36.64130000,-81.5060000,1490.0
36.64128000,-81.5062000,1488.0
36.64122000,-81.5062300,1489.0
36.64117000,-81.5062800,1489.0
36.64111000,-81.5063900,1487.0
36.64104000,-81.5065200,1486.0
36.64100000,-81.5066300,1485.0
36.64098000,-81.5067100,1484.0
36.64097000,-81.5067700,1484.0
36.64094000,-81.5068300,1483.0
36.64093000,-81.5068900,1483.0
36.64090000,-81.5069700,1483.0
36.64086000,-81.5070300,1482.0
36.64080000,-81.5071100,1482.0
36.64076000,-81.5071700,1481.0
36.64071000,-81.5072500,1480.0
36.64069000,-81.5073200,1480.0
36.64065000,-81.5073900,1479.0
36.64062000,-81.5074200,1479.0
36.64063000,-81.5074300,1479.0
36.64058000,-81.5075300,1478.0
36.64029000,-81.5081500,1480.0
36.64006000,-81.5084400,1480.0
36.63996000,-81.5085100,1480.0
36.63988000,-81.5086400,1480.0
36.63980000,-81.5087800,1479.0
36.63974000,-81.5088700,1479.0
36.63968000,-81.5089300,1479.0
36.63945000,-81.5090700,1479.0
36.63929000,-81.5092100,1482.0
36.63915000,-81.5093600,1483.0
36.63913000,-81.5090500,1482.0
36.63910000,-81.5089300,1481.0
36.63906000,-81.5088300,1481.0
36.63901000,-81.5087400,1480.0
36.63894000,-81.5086400,1479.0
36.63888000,-81.5085800,1478.0
36.63882000,-81.5085200,1477.0
36.63875000,-81.5084500,1476.0
36.63870000,-81.5084000,1475.0
36.63864000,-81.5083500,1475.0
36.63857000,-81.5083000,1474.0
36.63848000,-81.5082700,1474.0
36.63845000,-81.5082600,1474.0
36.63826000,-81.5082600,1474.0
36.63803000,-81.5082600,1475.0
36.63789000,-81.5082400,1471.0
36.63776000,-81.5082100,1468.0
36.63768000,-81.5081900,1466.0
36.63752000,-81.5081500,1462.0
36.63744000,-81.5081900,1461.0
36.63734000,-81.5082300,1460.0
36.63713000,-81.5083200,1459.0
36.63699000,-81.5084000,1460.0
36.63691000,-81.5084600,1460.0
36.63677000,-81.5085900,1459.0
36.63664000,-81.5087100,1458.0
36.63655000,-81.5087900,1456.0
36.63651000,-81.5088400,1456.0
36.63649000,-81.5088700,1456.0
36.63647000,-81.5089200,1456.0
36.63642000,-81.5090400,1457.0
36.63634000,-81.5092000,1457.0
36.63629000,-81.5093500,1455.0
36.63623000,-81.5095100,1453.0
36.63620000,-81.5095900,1451.0
36.63618000,-81.5096700,1450.0
36.63617000,-81.5097400,1449.0
36.63619000,-81.5097900,1449.0
36.63621000,-81.5098300,1450.0
36.63624000,-81.5099000,1450.0
36.63626000,-81.5099700,1450.0
36.63627000,-81.5100200,1449.0
36.63626000,-81.5100600,1449.0
36.63625000,-81.5101000,1448.0
36.63622000,-81.5101200,1448.0
36.63618000,-81.5101500,1447.0
36.63613000,-81.5101600,1445.0
36.63611000,-81.5101900,1445.0
36.63609000,-81.5102600,1444.0
36.63607000,-81.5103500,1443.0
36.63608000,-81.5104000,1443.0
36.63607000,-81.5105100,1443.0
36.63606000,-81.5105600,1442.0
36.63604000,-81.5106500,1442.0
36.63602000,-81.5106900,1441.0
36.63600000,-81.5107300,1441.0
36.63599000,-81.5107400,1440.0
36.63596000,-81.5107400,1440.0
36.63592000,-81.5107300,1439.0
36.63588000,-81.5107200,1439.0
36.63584000,-81.5107000,1438.0
36.63581000,-81.5106700,1437.0
36.63579000,-81.5106400,1437.0
