Latitude,Longitude,Elevation
36.63364000,-81.5057200,1397.0
36.63365000,-81.5057600,1397.0
36.63362000,-81.5058700,1397.0
36.63360000,-81.5059900,1397.0
36.63360000,-81.5061100,1397.0
36.63362000,-81.5062200,1398.0
36.63363000,-81.5063400,1400.0
36.63362000,-81.5064600,1402.0
36.63360000,-81.5065700,1403.0
36.63360000,-81.5066900,1405.0
36.63357000,-81.5068100,1406.0
36.63358000,-81.5069300,1407.0
36.63358000,-81.5070500,1408.0
36.63359000,-81.5071600,1409.0
36.63357000,-81.5072700,1411.0
36.63356000,-81.5073900,1413.0
36.63354000,-81.5075100,1415.0
36.63357000,-81.5076200,1416.0
36.63360000,-81.5077300,1417.0
36.63365000,-81.5078300,1418.0
36.63374000,-81.5078900,1417.0
36.63382000,-81.5079500,1417.0
36.63390000,-81.5080300,1416.0
36.63396000,-81.5081200,1416.0
36.63402000,-81.5082100,1416.0
36.63407000,-81.5083000,1415.0
36.63408000,-81.5084200,1416.0
36.63409000,-81.5085300,1416.0
36.63412000,-81.5086400,1416.0
36.63416000,-81.5087400,1416.0
36.63421000,-81.5088500,1416.0
36.63426000,-81.5089400,1417.0
36.63430000,-81.5090400,1417.0
36.63437000,-81.5091200,1418.0
36.63443000,-81.5092100,1418.0
36.63448000,-81.5093100,1419.0
36.63458000,-81.5093200,1420.0
36.63467000,-81.5093200,1421.0
36.63476000,-81.5093500,1423.0
36.63483000,-81.5094100,1423.0
36.63492000,-81.5094300,1425.0
36.63501000,-81.5095000,1426.0
36.63504000,-81.5096100,1425.0
36.63508000,-81.5097100,1425.0
36.63514000,-81.5098100,1426.0
36.63520000,-81.5099000,1427.0
36.63526000,-81.5100000,1429.0
36.63534000,-81.5100700,1431.0
36.63541000,-81.5101500,1432.0
36.63548000,-81.5102300,1432.0
36.63555000,-81.5102900,1433.0
36.63563000,-81.5103600,1434.0
36.63568000,-81.5104700,1434.0
36.63575000,-81.5105500,1435.0
36.63579000,-81.5106500,1437.0
36.63588000,-81.5107000,1439.0
36.63597000,-81.5107300,1440.0
36.63603000,-81.5106500,1441.0
36.63608000,-81.5105500,1443.0
36.63611000,-81.5104500,1444.0
36.63612000,-81.5103200,1445.0
36.63613000,-81.5102100,1445.0
36.63621000,-81.5101500,1447.0
36.63629000,-81.5100800,1450.0
36.63629000,-81.5099600,1450.0
36.63626000,-81.5098500,1451.0
36.63621000,-81.5097400,1450.0
36.63622000,-81.5096300,1451.0
36.63625000,-81.5095300,1453.0
36.63630000,-81.5094200,1456.0
36.63633000,-81.5093100,1456.0
36.63638000,-81.5092100,1458.0
36.63643000,-81.5091100,1458.0
36.63647000,-81.5090000,1457.0
36.63651000,-81.5088900,1456.0
36.63656000,-81.5088000,1457.0
36.63663000,-81.5087100,1457.0
36.63671000,-81.5086700,1458.0
36.63679000,-81.5086000,1459.0
36.63687000,-81.5085300,1459.0
36.63695000,-81.5084700,1460.0
36.63702000,-81.5084000,1460.0
36.63711000,-81.5083600,1460.0
36.63720000,-81.5083200,1459.0
36.63729000,-81.5082800,1460.0
36.63738000,-81.5082300,1461.0
36.63746000,-81.5081900,1461.0
36.63756000,-81.5082300,1464.0
36.63766000,-81.5082600,1466.0
36.63774000,-81.5082900,1469.0
36.63784000,-81.5083100,1471.0
36.63792000,-81.5083400,1474.0
36.63802000,-81.5083500,1476.0
36.63812000,-81.5083300,1476.0
36.63821000,-81.5083100,1475.0
36.63831000,-81.5083000,1474.0
36.63841000,-81.5083200,1474.0
36.63851000,-81.5083500,1475.0
36.63860000,-81.5083800,1475.0
36.63868000,-81.5084300,1476.0
36.63875000,-81.5085000,1477.0
36.63882000,-81.5085700,1478.0
36.63889000,-81.5086600,1479.0
36.63895000,-81.5087500,1480.0
36.63900000,-81.5088500,1481.0
36.63902000,-81.5089600,1482.0
36.63903000,-81.5090700,1483.0
36.63904000,-81.5091900,1483.0
36.63906000,-81.5093100,1483.0
36.63907000,-81.5094200,1483.0
36.63904000,-81.5095300,1483.0
36.63899000,-81.5096400,1483.0
36.63893000,-81.5097400,1484.0
36.63886000,-81.5098300,1485.0
36.63878000,-81.5099100,1486.0
36.63871000,-81.5099900,1487.0
36.63864000,-81.5100800,1488.0
36.63858000,-81.5101700,1490.0
36.63854000,-81.5102800,1491.0
36.63851000,-81.5104000,1491.0
36.63849000,-81.5105100,1491.0
36.63847000,-81.5106300,1491.0
36.63845000,-81.5107400,1491.0
36.63842000,-81.5108500,1492.0
36.63840000,-81.5109600,1492.0
36.63838000,-81.5110700,1492.0
36.63836000,-81.5111900,1493.0
36.63834000,-81.5113100,1493.0
36.63833000,-81.5114300,1493.0
36.63831000,-81.5115600,1493.0
36.63832000,-81.5116700,1493.0
36.63833000,-81.5117800,1493.0
36.63834000,-81.5119100,1492.0
36.63834000,-81.5120200,1493.0
36.63834000,-81.5121400,1494.0
36.63835000,-81.5122500,1496.0
36.63841000,-81.5123500,1497.0
36.63847000,-81.5124400,1498.0
36.63848000,-81.5125600,1499.0
36.63850000,-81.5126700,1500.0
36.63850000,-81.5127800,1501.0
36.63854000,-81.5128900,1502.0
36.63854000,-81.5130100,1503.0
36.63856000,-81.5131200,1504.0
36.63856000,-81.5132400,1505.0
36.63856000,-81.5133600,1506.0
36.63856000,-81.5134800,1508.0
36.63859000,-81.5135900,1508.0
36.63862000,-81.5136900,1510.0
36.63866000,-81.5138000,1512.0
36.63872000,-81.5138900,1514.0
36.63876000,-81.5139900,1514.0
