Latitude,Longitude,Elevation
36.68902000,-81.5327200,1151.0
36.68910000,-81.5327900,1149.0
36.68903000,-81.5327600,1151.0
36.68896000,-81.5327400,1152.0
36.68892000,-81.5327200,1152.0
36.68885000,-81.5326800,1153.0
36.68878000,-81.5326600,1154.0
36.68866000,-81.5326500,1155.0
36.68856000,-81.5326700,1157.0
36.68847000,-81.5326900,1158.0
36.68841000,-81.5327100,1159.0
36.68833000,-81.5327700,1160.0
36.68828000,-81.5328400,1161.0
36.68823000,-81.5329100,1162.0
36.68816000,-81.5330100,1163.0
36.68810000,-81.5330600,1164.0
36.68801000,-81.5331400,1166.0
36.68795000,-81.5332400,1168.0
36.68789000,-81.5333300,1169.0
36.68785000,-81.5334000,1170.0
36.68777000,-81.5335100,1172.0
36.68767000,-81.5336200,1175.0
36.68758000,-81.5337400,1177.0
36.68747000,-81.5338900,1178.0
36.68740000,-81.5339700,1179.0
36.68736000,-81.5340500,1179.0
36.68730000,-81.5342300,1178.0
36.68722000,-81.5343500,1179.0
36.68715000,-81.5344200,1180.0
36.68710000,-81.5344800,1182.0
36.68707000,-81.5345300,1182.0
36.68702000,-81.5346100,1183.0
36.68698000,-81.5346400,1183.0
36.68694000,-81.5347100,1184.0
36.68688000,-81.5347700,1185.0
36.68680000,-81.5349400,1185.0
36.68671000,-81.5350800,1187.0
36.68658000,-81.5352100,1190.0
36.68651000,-81.5352900,1192.0
36.68644000,-81.5353900,1194.0
36.68638000,-81.5354600,1195.0
36.68632000,-81.5355400,1195.0
36.68627000,-81.5355900,1196.0
36.68622000,-81.5356400,1196.0
36.68617000,-81.5356500,1197.0
36.68611000,-81.5357200,1196.0
36.68604000,-81.5357600,1196.0
36.68597000,-81.5358400,1195.0
36.68587000,-81.5358800,1195.0
36.68577000,-81.5359000,1196.0
36.68568000,-81.5359100,1198.0
36.68552000,-81.5359000,1201.0
36.68546000,-81.5359400,1202.0
36.68537000,-81.5360700,1203.0
36.68531000,-81.5361400,1203.0
36.68525000,-81.5361900,1205.0
36.68514000,-81.5361900,1207.0
36.68500000,-81.5361700,1211.0
36.68496000,-81.5361700,1212.0
36.68490000,-81.5361400,1213.0
36.68481000,-81.5361500,1214.0
36.68474000,-81.5363200,1214.0
36.68467000,-81.5364600,1216.0
36.68459000,-81.5365300,1218.0
36.68458000,-81.5366600,1218.0
36.68457000,-81.5367500,1218.0
36.68455000,-81.5368300,1219.0
36.68456000,-81.5368900,1218.0
36.68456000,-81.5369800,1218.0
36.68461000,-81.5370900,1217.0
36.68461000,-81.5372700,1218.0
36.68457000,-81.5374100,1220.0
36.68451000,-81.5375100,1221.0
36.68448000,-81.5375700,1222.0
36.68436000,-81.5377300,1224.0
36.68429000,-81.5378300,1225.0
36.68424000,-81.5379000,1224.0
36.68416000,-81.5379500,1225.0
36.68407000,-81.5380200,1226.0
36.68401000,-81.5381300,1226.0
36.68393000,-81.5382000,1227.0
36.68384000,-81.5383200,1227.0
36.68373000,-81.5384100,1228.0
36.68364000,-81.5384900,1228.0
36.68356000,-81.5385200,1229.0
36.68341000,-81.5385800,1230.0
36.68330000,-81.5386200,1231.0
36.68320000,-81.5386400,1232.0
36.68313000,-81.5386400,1234.0
36.68303000,-81.5386500,1236.0
36.68290000,-81.5386400,1238.0
36.68272000,-81.5386400,1241.0
36.68261000,-81.5386300,1243.0
36.68250000,-81.5386600,1243.0
36.68241000,-81.5387100,1244.0
36.68230000,-81.5387200,1247.0
36.68222000,-81.5387400,1248.0
36.68215000,-81.5387800,1248.0
36.68210000,-81.5387900,1249.0
36.68199000,-81.5388200,1251.0
36.68196000,-81.5387900,1253.0
36.68210000,-81.5387000,1252.0
36.68223000,-81.5386000,1253.0
36.68228000,-81.5385400,1253.0
36.68233000,-81.5384900,1253.0
36.68249000,-81.5383900,1252.0
36.68259000,-81.5383300,1252.0
36.68271000,-81.5382700,1252.0
36.68293000,-81.5380900,1254.0
36.68300000,-81.5380000,1255.0
36.68308000,-81.5379200,1256.0
36.68316000,-81.5377600,1257.0
36.68322000,-81.5375500,1259.0
36.68324000,-81.5373800,1261.0
36.68327000,-81.5372300,1262.0
36.68330000,-81.5370500,1263.0
36.68331000,-81.5369500,1264.0
36.68329000,-81.5367600,1266.0
36.68325000,-81.5364300,1268.0
36.68318000,-81.5361400,1273.0
36.68307000,-81.5357700,1281.0
36.68294000,-81.5353800,1286.0
36.68292000,-81.5352500,1287.0
36.68291000,-81.5350700,1288.0
36.68290000,-81.5349400,1288.0
36.68288000,-81.5347500,1289.0
36.68289000,-81.5346000,1290.0
36.68294000,-81.5344100,1290.0
36.68303000,-81.5342500,1290.0
36.68309000,-81.5341200,1290.0
36.68317000,-81.5339800,1290.0
36.68323000,-81.5338500,1290.0
36.68329000,-81.5336300,1292.0
36.68332000,-81.5334200,1294.0
36.68332000,-81.5332300,1296.0
36.68335000,-81.5329900,1296.0
36.68335000,-81.5327600,1297.0
36.68334000,-81.5325800,1300.0
36.68332000,-81.5324000,1302.0
36.68333000,-81.5323100,1303.0
36.68334000,-81.5322500,1303.0
36.68332000,-81.5322300,1304.0
36.68328000,-81.5322900,1304.0
36.68324000,-81.5323800,1305.0
36.68322000,-81.5324600,1305.0
36.68319000,-81.5325400,1305.0
36.68316000,-81.5326200,1305.0
36.68313000,-81.5327000,1306.0
36.68308000,-81.5327800,1307.0
36.68306000,-81.5328100,1307.0
36.68305000,-81.5328500,1308.0
36.68303000,-81.5329000,1308.0
36.68302000,-81.5329900,1309.0
36.68299000,-81.5330400,1309.0
36.68295000,-81.5331200,1310.0
36.68291000,-81.5332100,1310.0
36.68288000,-81.5332500,1311.0
36.68283000,-81.5333100,1312.0
36.68275000,-81.5333500,1314.0
36.68272000,-81.5334000,1314.0
36.68266000,-81.5334500,1314.0
36.68260000,-81.5334900,1315.0
