Latitude,Longitude,Elevation
37.05635000,-76.4879300,20.0
37.05644000,-76.4878000,21.0
37.05680000,-76.4871600,18.0
37.05715000,-76.4865200,19.0
37.05716000,-76.4865200,19.0
37.05703000,-76.4863600,20.0
37.05695000,-76.4862900,20.0
37.05692000,-76.4862200,20.0
37.05689000,-76.4861200,20.0
37.05686000,-76.4860100,19.0
37.05685000,-76.4859500,18.0
37.05685000,-76.4858800,18.0
37.05684000,-76.4858100,17.0
37.05678000,-76.4857000,17.0
37.05675000,-76.4856100,17.0
37.05672000,-76.4855600,16.0
37.05670000,-76.4855000,16.0
37.05668000,-76.4854300,15.0
37.05668000,-76.4853700,15.0
37.05670000,-76.4852800,15.0
37.05679000,-76.4852700,16.0
37.05688000,-76.4852900,18.0
37.05699000,-76.4853100,19.0
37.05718000,-76.4852800,22.0
37.05735000,-76.4852500,24.0
37.05740000,-76.4852400,25.0
37.05745000,-76.4852200,26.0
37.05748000,-76.4851600,26.0
37.05752000,-76.4851000,26.0
37.05758000,-76.4850400,27.0
37.05764000,-76.4849600,28.0
37.05770000,-76.4849000,28.0
37.05774000,-76.4848500,28.0
37.05779000,-76.4848100,29.0
37.05783000,-76.4847500,28.0
37.05787000,-76.4847000,28.0
37.05790000,-76.4846600,28.0
37.05793000,-76.4846100,27.0
37.05801000,-76.4845200,26.0
37.05806000,-76.4844400,24.0
37.05809000,-76.4843700,22.0
37.05814000,-76.4842900,20.0
37.05815000,-76.4840700,14.0
37.05796000,-76.4836700,7.0
37.05777000,-76.4835300,7.0
37.05757000,-76.4833700,7.0
37.05749000,-76.4833200,8.0
37.05741000,-76.4833400,8.0
37.05735000,-76.4833500,8.0
37.05730000,-76.4833700,8.0
37.05720000,-76.4834000,9.0
37.05709000,-76.4834300,8.0
37.05698000,-76.4834600,8.0
37.05692000,-76.4834700,8.0
37.05685000,-76.4834800,8.0
37.05672000,-76.4834800,8.0
37.05662000,-76.4834800,8.0
37.05652000,-76.4834800,8.0
37.05645000,-76.4834800,8.0
37.05637000,-76.4834800,8.0
37.05632000,-76.4834700,8.0
37.05625000,-76.4834600,8.0
37.05616000,-76.4834600,8.0
37.05611000,-76.4834700,9.0
37.05599000,-76.4834800,10.0
37.05593000,-76.4834900,10.0
37.05588000,-76.4835000,10.0
37.05582000,-76.4835200,11.0
37.05575000,-76.4835300,11.0
37.05565000,-76.4835400,11.0
37.05549000,-76.4836000,11.0
37.05543000,-76.4836300,10.0
37.05538000,-76.4836400,10.0
37.05533000,-76.4836100,10.0
37.05530000,-76.4835300,12.0
37.05529000,-76.4834600,13.0
37.05529000,-76.4833900,14.0
37.05528000,-76.4833300,15.0
37.05527000,-76.4832800,15.0
37.05523000,-76.4831900,16.0
37.05519000,-76.4831100,17.0
37.05517000,-76.4830400,17.0
37.05517000,-76.4829600,17.0
37.05502000,-76.4825100,15.0
37.05498000,-76.4824700,15.0
37.05488000,-76.4822700,15.0
37.05479000,-76.4821500,16.0
37.05472000,-76.4820900,17.0
37.05467000,-76.4820600,17.0
37.05460000,-76.4819900,18.0
37.05454000,-76.4819500,18.0
37.05448000,-76.4819300,18.0
37.05443000,-76.4819200,18.0
37.05438000,-76.4819300,18.0
37.05431000,-76.4819500,18.0
37.05426000,-76.4819400,18.0
37.05419000,-76.4818900,19.0
37.05416000,-76.4818400,19.0
37.05413000,-76.4817800,20.0
37.05407000,-76.4817300,21.0
37.05403000,-76.4817000,22.0
37.05396000,-76.4816500,23.0
37.05390000,-76.4815600,24.0
37.05388000,-76.4815100,24.0
37.05385000,-76.4814400,25.0
37.05381000,-76.4813800,25.0
37.05376000,-76.4813100,25.0
37.05368000,-76.4813000,26.0
37.05359000,-76.4814000,26.0
37.05352000,-76.4815000,25.0
37.05347000,-76.4815500,25.0
37.05341000,-76.4815600,25.0
37.05335000,-76.4815600,24.0
37.05329000,-76.4815500,24.0
37.05323000,-76.4815400,24.0
37.05318000,-76.4815000,24.0
37.05316000,-76.4814400,25.0
37.05312000,-76.4814100,25.0
37.05306000,-76.4814000,25.0
37.05301000,-76.4813800,26.0
37.05297000,-76.4813500,26.0
37.05294000,-76.4813100,26.0
37.05291000,-76.4812600,27.0
37.05288000,-76.4811700,28.0
37.05286000,-76.4810800,29.0
37.05283000,-76.4809900,30.0
37.05278000,-76.4808900,30.0
37.05272000,-76.4808200,30.0
37.05267000,-76.4807600,30.0
37.05260000,-76.4807000,30.0
37.05256000,-76.4806800,30.0
37.05249000,-76.4807700,30.0
37.05244000,-76.4809200,30.0
37.05237000,-76.4810400,30.0
37.05229000,-76.4811400,29.0
37.05223000,-76.4812200,29.0
37.05204000,-76.4814300,27.0
37.05200000,-76.4814600,27.0
37.05192000,-76.4815000,27.0
37.05179000,-76.4815500,27.0
37.05168000,-76.4815900,28.0
37.05163000,-76.4816200,28.0
37.05155000,-76.4816500,28.0
37.05151000,-76.4816800,28.0
37.05145000,-76.4817200,28.0
37.05141000,-76.4817600,29.0
37.05136000,-76.4818200,29.0
37.05130000,-76.4818600,29.0
37.05119000,-76.4819300,29.0
37.05106000,-76.4820200,29.0
37.05099000,-76.4820800,28.0
37.05092000,-76.4821300,28.0
37.05087000,-76.4821600,28.0
37.05082000,-76.4821800,27.0
37.05077000,-76.4821800,27.0
37.05069000,-76.4821900,26.0
37.05062000,-76.4822000,25.0
37.05057000,-76.4822100,25.0
37.05049000,-76.4822100,24.0
37.05043000,-76.4821700,23.0
37.05036000,-76.4821000,23.0
37.05031000,-76.4820700,22.0
37.05022000,-76.4820600,22.0
37.05016000,-76.4820500,22.0
37.05009000,-76.4820800,22.0
37.05002000,-76.4821600,21.0
37.04997000,-76.4822300,21.0
37.04993000,-76.4823000,21.0
37.04989000,-76.4823400,21.0
37.04985000,-76.4823700,21.0
37.04980000,-76.4823900,22.0
37.04975000,-76.4824100,23.0
37.04969000,-76.4824100,23.0
37.04959000,-76.4824100,23.0
37.04948000,-76.4824000,24.0
37.04943000,-76.4824000,24.0
37.04938000,-76.4824000,23.0
37.04930000,-76.4824000,23.0
37.04919000,-76.4824100,21.0
37.04895000,-76.4824200,22.0
37.04886000,-76.4824100,23.0
37.04878000,-76.4824000,23.0
37.04871000,-76.4823900,24.0
37.04885000,-76.4822300,24.0
37.04897000,-76.4820800,24.0
37.04909000,-76.4819900,24.0
37.04911000,-76.4819000,23.0
37.04908000,-76.4818500,23.0
37.04907000,-76.4817900,22.0
37.04909000,-76.4817400,21.0
37.04915000,-76.4817000,21.0
37.04920000,-76.4816800,21.0
37.04925000,-76.4816500,21.0
37.04929000,-76.4815900,20.0
37.04933000,-76.4815100,19.0
37.04937000,-76.4814200,18.0
37.04945000,-76.4812300,19.0
37.04949000,-76.4811600,19.0
37.04953000,-76.4811300,19.0
37.04955000,-76.4810700,18.0
37.04959000,-76.4810100,18.0
37.04960000,-76.4809600,18.0
37.04958000,-76.4807900,17.0
37.04956000,-76.4807300,17.0
37.04950000,-76.4806700,17.0
37.04943000,-76.4806600,17.0
37.04936000,-76.4806600,16.0
37.04926000,-76.4806600,16.0
37.04917000,-76.4806700,15.0
37.04910000,-76.4806900,14.0
37.04901000,-76.4807400,13.0
37.04894000,-76.4807900,12.0
37.04889000,-76.4808300,12.0
37.04881000,-76.4808300,11.0
37.04873000,-76.4808300,11.0
37.04865000,-76.4808500,11.0
37.04859000,-76.4808600,10.0
37.04837000,-76.4808300,10.0
37.04812000,-76.4807700,8.0
37.04806000,-76.4807100,8.0
37.04804000,-76.4806600,8.0
37.04803000,-76.4805800,8.0
37.04802000,-76.4804700,8.0
37.04801000,-76.4803600,9.0
37.04801000,-76.4802000,10.0
37.04801000,-76.4800700,11.0
37.04801000,-76.4800000,12.0
37.04800000,-76.4799200,12.0
37.04798000,-76.4798500,13.0
37.04797000,-76.4797800,14.0
37.04792000,-76.4797400,14.0
37.04786000,-76.4797100,14.0
37.04778000,-76.4796600,14.0
37.04773000,-76.4796100,14.0
37.04766000,-76.4795600,14.0
37.04760000,-76.4795400,15.0
37.04754000,-76.4795800,15.0
37.04752000,-76.4796300,15.0
37.04749000,-76.4797600,15.0
37.04748000,-76.4798500,15.0
37.04748000,-76.4799500,15.0
37.04748000,-76.4800400,15.0
37.04746000,-76.4801000,15.0
37.04741000,-76.4801100,15.0
37.04736000,-76.4801000,15.0
37.04728000,-76.4800800,16.0
37.04722000,-76.4800600,16.0
37.04714000,-76.4799300,17.0
37.04708000,-76.4797800,18.0
37.04703000,-76.4796800,19.0
37.04698000,-76.4796200,19.0
37.04692000,-76.4795900,19.0
37.04685000,-76.4796100,19.0
37.04682000,-76.4797100,19.0
37.04683000,-76.4797900,19.0
37.04684000,-76.4798500,19.0
37.04685000,-76.4799400,18.0
37.04684000,-76.4800500,18.0
37.04682000,-76.4801100,18.0
37.04681000,-76.4801900,18.0
37.04678000,-76.4803000,19.0
37.04677000,-76.4803800,19.0
37.04677000,-76.4804400,19.0
37.04681000,-76.4805500,19.0
37.04685000,-76.4806000,19.0
37.04694000,-76.4806400,19.0
37.04700000,-76.4807000,19.0
37.04703000,-76.4807500,19.0
37.04708000,-76.4808500,18.0
37.04711000,-76.4809000,17.0
37.04712000,-76.4810000,17.0
37.04710000,-76.4810500,17.0
37.04705000,-76.4811100,18.0
37.04697000,-76.4811900,20.0
37.04693000,-76.4812200,20.0
37.04686000,-76.4812500,21.0
37.04681000,-76.4812700,21.0
37.04669000,-76.4813000,23.0
37.04663000,-76.4813400,23.0
37.04658000,-76.4813900,22.0
37.04653000,-76.4814700,22.0
37.04648000,-76.4815700,22.0
37.04645000,-76.4816700,22.0
37.04641000,-76.4817300,22.0
37.04638000,-76.4817700,22.0
37.04633000,-76.4818300,22.0
37.04627000,-76.4819000,22.0
37.04617000,-76.4820100,23.0
37.04612000,-76.4820700,23.0
37.04609000,-76.4821200,23.0
37.04607000,-76.4822300,23.0
37.04604000,-76.4823900,22.0
37.04602000,-76.4826800,19.0
37.04600000,-76.4827600,17.0
37.04598000,-76.4828100,16.0
37.04593000,-76.4828600,16.0
37.04585000,-76.4829000,15.0
37.04577000,-76.4829200,14.0
37.04573000,-76.4829600,13.0
37.04568000,-76.4830000,13.0
37.04562000,-76.4830200,13.0
37.04557000,-76.4830300,13.0
37.04548000,-76.4830300,13.0
37.04541000,-76.4830200,13.0
37.04535000,-76.4829900,13.0
37.04530000,-76.4829500,13.0
37.04528000,-76.4828900,13.0
37.04527000,-76.4828200,12.0
37.04528000,-76.4827300,12.0
37.04534000,-76.4826100,12.0
37.04538000,-76.4825500,12.0
37.04541000,-76.4825000,12.0
37.04544000,-76.4824200,12.0
37.04548000,-76.4823700,12.0
37.04557000,-76.4823000,13.0
37.04564000,-76.4822100,15.0
37.04570000,-76.4820900,15.0
37.04573000,-76.4819200,15.0
37.04575000,-76.4818200,14.0
37.04576000,-76.4816900,13.0
37.04576000,-76.4816200,13.0
37.04575000,-76.4815400,12.0
37.04568000,-76.4815000,10.0
37.04563000,-76.4815300,9.0
37.04558000,-76.4815400,8.0
37.04546000,-76.4816000,8.0
37.04539000,-76.4817000,9.0
37.04535000,-76.4818000,9.0
37.04529000,-76.4818700,9.0
37.04523000,-76.4819400,9.0
37.04517000,-76.4819900,9.0
37.04510000,-76.4820300,9.0
37.04500000,-76.4820500,9.0
37.04493000,-76.4820600,9.0
37.04486000,-76.4820500,9.0
37.04482000,-76.4820300,9.0
37.04479000,-76.4819800,9.0
37.04476000,-76.4819200,10.0
37.04476000,-76.4818400,10.0
37.04476000,-76.4817400,10.0
37.04473000,-76.4816800,10.0
37.04469000,-76.4816200,10.0
37.04464000,-76.4815700,10.0
37.04461000,-76.4815300,10.0
37.04456000,-76.4814700,10.0
37.04451000,-76.4813100,10.0
37.04449000,-76.4812500,10.0
37.04448000,-76.4811600,10.0
37.04450000,-76.4810600,10.0
37.04451000,-76.4810100,11.0
37.04455000,-76.4809100,12.0
37.04456000,-76.4808400,13.0
37.04448000,-76.4807600,13.0
37.04432000,-76.4806400,11.0
37.04428000,-76.4806000,11.0
37.04422000,-76.4805600,10.0
37.04417000,-76.4805400,10.0
37.04412000,-76.4805000,10.0
37.04407000,-76.4804700,10.0
37.04403000,-76.4804600,11.0
37.04371000,-76.4804800,16.0
37.04364000,-76.4804800,18.0
37.04354000,-76.4804900,20.0
37.04346000,-76.4805000,22.0
37.04341000,-76.4805100,23.0
37.04336000,-76.4805300,25.0
37.04332000,-76.4805900,26.0
37.04329000,-76.4806600,26.0
37.04328000,-76.4807500,26.0
37.04329000,-76.4809000,26.0
37.04335000,-76.4811100,26.0
37.04342000,-76.4813000,25.0
37.04345000,-76.4814200,24.0
37.04347000,-76.4815200,23.0
37.04348000,-76.4815900,22.0
37.04347000,-76.4816600,22.0
37.04346000,-76.4817700,21.0
37.04341000,-76.4818300,21.0
37.04332000,-76.4818400,22.0
37.04318000,-76.4818600,24.0
37.04300000,-76.4818800,25.0
37.04283000,-76.4818900,24.0
37.04276000,-76.4819000,24.0
37.04266000,-76.4819000,24.0
37.04258000,-76.4819100,23.0
37.04251000,-76.4819200,23.0
37.04245000,-76.4819400,23.0
37.04237000,-76.4819600,22.0
37.04232000,-76.4819800,22.0
37.04226000,-76.4820100,22.0
37.04217000,-76.4820500,22.0
37.04206000,-76.4820900,22.0
37.04198000,-76.4821200,23.0
37.04191000,-76.4821200,24.0
37.04183000,-76.4821200,24.0
37.04169000,-76.4821300,26.0
37.04159000,-76.4821400,26.0
37.04154000,-76.4821600,26.0
37.04147000,-76.4821900,27.0
37.04135000,-76.4822400,27.0
37.04128000,-76.4822700,27.0
37.04121000,-76.4822900,27.0
37.04113000,-76.4823300,26.0
37.04102000,-76.4824000,25.0
37.04096000,-76.4824600,25.0
37.04091000,-76.4824800,24.0
37.04086000,-76.4825000,24.0
37.04080000,-76.4825000,23.0
37.04075000,-76.4825000,22.0
37.04070000,-76.4824900,22.0
37.04066000,-76.4824500,21.0
37.04063000,-76.4824000,21.0
37.04062000,-76.4823300,22.0
37.04060000,-76.4822600,22.0
37.04056000,-76.4822300,22.0
37.04050000,-76.4822000,22.0
