Latitude,Longitude,Elevation
38.57143000,-78.2931300,286.0
38.57142000,-78.2931000,286.0
38.57222000,-78.2927200,278.0
38.57222000,-78.2928000,279.0
38.57222000,-78.2935800,280.0
38.57215000,-78.2940500,286.0
38.57219000,-78.2943500,286.0
38.57228000,-78.2946000,288.0
38.57231000,-78.2946400,289.0
38.57239000,-78.2947600,290.0
38.57251000,-78.2948600,291.0
38.57263000,-78.2949700,292.0
38.57274000,-78.2950600,292.0
38.57276000,-78.2950800,292.0
38.57283000,-78.2951600,293.0
38.57293000,-78.2953300,294.0
38.57299000,-78.2955300,296.0
38.57303000,-78.2957400,296.0
38.57302000,-78.2959100,298.0
38.57302000,-78.2959500,298.0
38.57301000,-78.2959900,299.0
38.57279000,-78.2963600,304.0
38.57248000,-78.2969100,304.0
38.57204000,-78.2976200,313.0
38.57204000,-78.2977600,314.0
38.57204000,-78.2980500,313.0
38.57191000,-78.2982900,315.0
38.57153000,-78.2985600,321.0
38.57143000,-78.2986900,324.0
38.57132000,-78.2989600,326.0
38.57117000,-78.2992100,328.0
38.57100000,-78.2994200,331.0
38.57073000,-78.2997100,338.0
38.57063000,-78.2998700,338.0
38.57055000,-78.3000800,340.0
38.57048000,-78.3002600,340.0
38.57043000,-78.3003700,341.0
38.57040000,-78.3004200,341.0
38.57020000,-78.3007800,344.0
38.57018000,-78.3010700,345.0
38.57028000,-78.3013300,345.0
38.57032000,-78.3017600,344.0
38.57030000,-78.3019300,343.0
38.57026000,-78.3020900,343.0
38.57028000,-78.3022100,343.0
38.57039000,-78.3025000,344.0
38.57043000,-78.3026000,344.0
38.57045000,-78.3026700,344.0
38.57049000,-78.3027500,344.0
38.57052000,-78.3027900,344.0
38.57061000,-78.3028500,345.0
38.57070000,-78.3030500,348.0
38.57071000,-78.3030900,348.0
38.57081000,-78.3035100,353.0
38.57094000,-78.3038800,353.0
38.57098000,-78.3040200,355.0
38.57109000,-78.3045700,362.0
38.57121000,-78.3052100,369.0
38.57130000,-78.3060700,365.0
38.57140000,-78.3066100,371.0
38.57148000,-78.3068500,371.0
38.57155000,-78.3071300,372.0
38.57176000,-78.3081000,377.0
38.57197000,-78.3088100,391.0
38.57212000,-78.3095000,394.0
38.57210000,-78.3100600,402.0
38.57199000,-78.3105600,402.0
38.57186000,-78.3112400,408.0
38.57173000,-78.3117700,412.0
38.57148000,-78.3126900,407.0
38.57124000,-78.3134700,412.0
38.57091000,-78.3142200,415.0
38.57078000,-78.3144700,418.0
38.57018000,-78.3151300,420.0
38.56997000,-78.3153100,420.0
38.56929000,-78.3156900,431.0
38.56872000,-78.3159500,436.0
38.56838000,-78.3161200,437.0
38.56804000,-78.3162600,441.0
38.56794000,-78.3163900,443.0
38.56785000,-78.3165400,444.0
38.56781000,-78.3167700,446.0
38.56780000,-78.3172500,454.0
38.56769000,-78.3179700,461.0
38.56767000,-78.3181500,462.0
38.56759000,-78.3183400,463.0
38.56754000,-78.3186700,463.0
38.56757000,-78.3190300,464.0
38.56763000,-78.3194200,465.0
38.56779000,-78.3196700,468.0
38.56812000,-78.3199400,470.0
38.56829000,-78.3200700,471.0
