Latitude,Longitude,Elevation
36.91600000,-76.0410100,11.0
36.91600000,-76.0408900,11.0
36.91603000,-76.0408000,10.0
36.91598000,-76.0404500,10.0
36.91599000,-76.0403400,10.0
36.91597000,-76.0402500,9.0
36.91590000,-76.0401300,9.0
36.91580000,-76.0400100,9.0
36.91573000,-76.0399700,9.0
36.91562000,-76.0399400,9.0
36.91549000,-76.0399300,10.0
36.91542000,-76.0399000,10.0
36.91530000,-76.0398200,10.0
36.91518000,-76.0397800,10.0
36.91494000,-76.0397500,10.0
36.91481000,-76.0398200,9.0
36.91474000,-76.0398200,9.0
36.91472000,-76.0397700,9.0
36.91475000,-76.0397200,10.0
36.91478000,-76.0396300,10.0
36.91485000,-76.0386800,12.0
36.91498000,-76.0377900,12.0
36.91505000,-76.0373100,11.0
36.91511000,-76.0367400,10.0
36.91509000,-76.0360300,13.0
36.91509000,-76.0359700,13.0
36.91511000,-76.0356300,15.0
36.91511000,-76.0355000,15.0
36.91498000,-76.0350900,14.0
36.91485000,-76.0345800,12.0
36.91475000,-76.0344000,12.0
36.91470000,-76.0339000,13.0
36.91465000,-76.0332900,12.0
36.91456000,-76.0328000,10.0
36.91446000,-76.0324100,11.0
36.91399000,-76.0311600,16.0
36.91379000,-76.0301800,12.0
36.91359000,-76.0295600,10.0
36.91355000,-76.0293700,11.0
36.91353000,-76.0291500,12.0
36.91354000,-76.0289700,12.0
36.91362000,-76.0285600,13.0
36.91368000,-76.0281200,13.0
36.91367000,-76.0271400,17.0
36.91367000,-76.0270600,17.0
36.91366000,-76.0270000,17.0
36.91343000,-76.0266800,14.0
36.91338000,-76.0266000,14.0
36.91333000,-76.0263600,14.0
36.91330000,-76.0261300,15.0
36.91323000,-76.0257600,16.0
36.91306000,-76.0245800,13.0
36.91285000,-76.0234900,13.0
36.91268000,-76.0230100,15.0
36.91215000,-76.0218000,15.0
36.91202000,-76.0213100,15.0
36.91194000,-76.0208000,14.0
36.91178000,-76.0203900,12.0
36.91171000,-76.0200200,12.0
36.91168000,-76.0198500,12.0
36.91172000,-76.0192800,13.0
36.91172000,-76.0189100,13.0
36.91172000,-76.0188300,12.0
36.91174000,-76.0186900,12.0
36.91183000,-76.0183900,12.0
36.91187000,-76.0182500,12.0
36.91188000,-76.0180600,12.0
36.91189000,-76.0179100,13.0
36.91191000,-76.0177800,13.0
36.91204000,-76.0174000,11.0
36.91211000,-76.0172000,11.0
36.91220000,-76.0167700,11.0
36.91224000,-76.0167000,11.0
36.91238000,-76.0164800,10.0
36.91244000,-76.0163700,10.0
36.91249000,-76.0159300,11.0
36.91254000,-76.0157000,12.0
36.91260000,-76.0156100,12.0
36.91277000,-76.0154800,12.0
36.91294000,-76.0154000,12.0
36.91305000,-76.0153700,12.0
36.91313000,-76.0153600,13.0
36.91321000,-76.0153600,13.0
36.91328000,-76.0153800,13.0
36.91334000,-76.0154400,13.0
36.91368000,-76.0165400,14.0
36.91412000,-76.0174800,13.0
36.91418000,-76.0177900,12.0
36.91421000,-76.0179300,12.0
36.91440000,-76.0186100,16.0
36.91449000,-76.0187900,16.0
36.91455000,-76.0188700,16.0
36.91476000,-76.0190900,16.0
36.91485000,-76.0192800,16.0
36.91503000,-76.0200800,17.0
36.91508000,-76.0202600,17.0
36.91510000,-76.0210700,17.0
36.91512000,-76.0219100,15.0
36.91514000,-76.0222900,15.0
36.91516000,-76.0227400,15.0
36.91519000,-76.0230100,15.0
36.91537000,-76.0240900,15.0
36.91546000,-76.0247300,15.0
36.91551000,-76.0254100,13.0
36.91554000,-76.0259800,13.0
36.91560000,-76.0270500,16.0
36.91563000,-76.0277500,14.0
36.91576000,-76.0291900,14.0
36.91582000,-76.0297200,12.0
36.91582000,-76.0302000,11.0
36.91581000,-76.0305500,10.0
36.91574000,-76.0310700,10.0
36.91566000,-76.0321100,14.0
36.91556000,-76.0328100,14.0
36.91532000,-76.0345100,12.0
36.91520000,-76.0353500,15.0
36.91515000,-76.0359000,14.0
36.91512000,-76.0359600,13.0
36.91515000,-76.0366700,11.0
36.91512000,-76.0372400,11.0
36.91510000,-76.0377200,12.0
36.91499000,-76.0386100,12.0
36.91488000,-76.0395200,12.0
36.91481000,-76.0396400,10.0
36.91475000,-76.0397300,10.0
36.91472000,-76.0398000,9.0
36.91483000,-76.0397300,10.0
36.91503000,-76.0397300,10.0
36.91516000,-76.0397500,10.0
36.91529000,-76.0398200,10.0
36.91535000,-76.0398400,10.0
36.91547000,-76.0398600,10.0
36.91559000,-76.0398800,9.0
36.91566000,-76.0399000,9.0
36.91577000,-76.0399900,9.0
36.91584000,-76.0400700,9.0
36.91600000,-76.0410100,11.0
