Latitude,Longitude,Elevation
38.80185000,-78.3148300,292.0
38.80170000,-78.3148000,291.0
38.80165000,-78.3148100,291.0
38.80161000,-78.3148200,291.0
38.80156000,-78.3148300,291.0
38.80151000,-78.3148600,291.0
38.80146000,-78.3148800,291.0
38.80142000,-78.3149000,292.0
38.80136000,-78.3149200,292.0
38.80132000,-78.3149500,293.0
38.80127000,-78.3149700,293.0
38.80122000,-78.3149900,293.0
38.80117000,-78.3150200,294.0
38.80112000,-78.3150400,294.0
38.80108000,-78.3150700,294.0
38.80103000,-78.3151000,294.0
38.80099000,-78.3151300,294.0
38.80088000,-78.3151600,294.0
38.80082000,-78.3151900,295.0
38.80078000,-78.3152200,295.0
38.80073000,-78.3152500,295.0
38.80068000,-78.3152700,296.0
38.80062000,-78.3152800,296.0
38.80058000,-78.3152900,297.0
38.80053000,-78.3153200,297.0
38.80048000,-78.3153400,298.0
38.80043000,-78.3153500,298.0
38.80038000,-78.3153500,298.0
38.80033000,-78.3153500,298.0
38.80028000,-78.3153600,298.0
38.80023000,-78.3153800,298.0
38.80017000,-78.3153900,299.0
38.80011000,-78.3154200,300.0
38.80006000,-78.3154300,300.0
38.80001000,-78.3154300,301.0
38.79996000,-78.3154500,301.0
38.79992000,-78.3154700,301.0
38.79986000,-78.3154800,302.0
38.79981000,-78.3154900,302.0
38.79969000,-78.3155100,302.0
38.79963000,-78.3155400,302.0
38.79959000,-78.3155700,302.0
38.79955000,-78.3155900,302.0
38.79950000,-78.3155700,302.0
38.79945000,-78.3155600,302.0
38.79940000,-78.3155700,302.0
38.79935000,-78.3155700,302.0
38.79930000,-78.3155600,302.0
38.79925000,-78.3155500,301.0
38.79920000,-78.3155200,301.0
38.79915000,-78.3155000,301.0
38.79911000,-78.3154800,301.0
38.79907000,-78.3154500,301.0
38.79903000,-78.3154000,300.0
38.79901000,-78.3153300,300.0
38.79898000,-78.3152800,299.0
38.79895000,-78.3152300,299.0
38.79893000,-78.3151800,299.0
38.79890000,-78.3151300,299.0
38.79887000,-78.3150700,300.0
38.79883000,-78.3150200,300.0
38.79879000,-78.3149800,300.0
38.79875000,-78.3149400,300.0
38.79871000,-78.3149100,300.0
38.79867000,-78.3148800,300.0
38.79863000,-78.3148400,300.0
38.79859000,-78.3148100,300.0
38.79855000,-78.3147600,301.0
38.79851000,-78.3147200,301.0
38.79847000,-78.3146900,302.0
38.79843000,-78.3146500,302.0
38.79838000,-78.3146200,303.0
38.79833000,-78.3146000,303.0
38.79828000,-78.3146000,303.0
38.79824000,-78.3146100,304.0
38.79819000,-78.3146300,304.0
38.79813000,-78.3146600,304.0
38.79806000,-78.3146500,305.0
38.79798000,-78.3146400,305.0
38.79790000,-78.3146300,306.0
38.79784000,-78.3146600,306.0
38.79778000,-78.3146700,307.0
38.79773000,-78.3146600,307.0
38.79769000,-78.3146600,308.0
38.79763000,-78.3146600,308.0
38.79753000,-78.3146900,309.0
38.79744000,-78.3147100,309.0
38.79735000,-78.3147400,310.0
38.79726000,-78.3147700,311.0
38.79717000,-78.3147700,311.0
38.79708000,-78.3147700,312.0
38.79700000,-78.3147000,312.0
38.79690000,-78.3146600,313.0
38.79680000,-78.3146500,314.0
38.79671000,-78.3146500,314.0
38.79661000,-78.3146800,314.0
38.79651000,-78.3147000,315.0
38.79641000,-78.3147200,315.0
38.79632000,-78.3147300,316.0
38.79623000,-78.3147600,317.0
38.79614000,-78.3147800,318.0
38.79605000,-78.3148000,318.0
38.79595000,-78.3148100,318.0
38.79585000,-78.3148000,319.0
38.79576000,-78.3148400,319.0
38.79568000,-78.3148700,320.0
38.79557000,-78.3148700,320.0
38.79547000,-78.3148900,321.0
38.79536000,-78.3148300,322.0
38.79527000,-78.3148900,322.0
38.79519000,-78.3149500,323.0
38.79510000,-78.3149900,323.0
38.79502000,-78.3150300,323.0
38.79494000,-78.3150900,323.0
38.79489000,-78.3150900,323.0
38.79484000,-78.3150900,323.0
38.79480000,-78.3151000,323.0
38.79475000,-78.3151300,323.0
38.79470000,-78.3151600,323.0
38.79466000,-78.3151900,323.0
38.79462000,-78.3152100,324.0
38.79457000,-78.3152300,324.0
38.79453000,-78.3152600,325.0
38.79443000,-78.3152800,326.0
38.79438000,-78.3153000,326.0
38.79434000,-78.3153200,327.0
38.79429000,-78.3153200,327.0
38.79424000,-78.3153400,328.0
38.79420000,-78.3153700,328.0
38.79416000,-78.3153900,329.0
38.79411000,-78.3154200,330.0
38.79407000,-78.3154500,330.0
38.79403000,-78.3154900,331.0
38.79398000,-78.3155000,331.0
38.79394000,-78.3155600,332.0
38.79393000,-78.3156300,333.0
38.79390000,-78.3156900,334.0
38.79387000,-78.3157300,335.0
38.79383000,-78.3157700,336.0
38.79379000,-78.3158200,337.0
38.79375000,-78.3158800,339.0
38.79372000,-78.3159300,340.0
38.79368000,-78.3159800,342.0
38.79364000,-78.3160200,343.0
38.79355000,-78.3160500,345.0
38.79345000,-78.3160600,346.0
38.79336000,-78.3160600,348.0
38.79328000,-78.3160900,349.0
38.79320000,-78.3161400,349.0
38.79314000,-78.3162300,349.0
38.79312000,-78.3163300,350.0
38.79309000,-78.3164300,350.0
38.79306000,-78.3165400,350.0
38.79304000,-78.3166500,350.0
38.79299000,-78.3167400,350.0
38.79292000,-78.3168100,350.0
38.79286000,-78.3168900,350.0
38.79279000,-78.3169500,350.0
38.79273000,-78.3170400,349.0
38.79266000,-78.3171100,348.0
38.79260000,-78.3171800,348.0
38.79253000,-78.3172500,347.0
38.79250000,-78.3173200,346.0
