Latitude,Longitude,Elevation
37.22936000,-80.0884300,695.0
37.22937000,-80.0884300,695.0
37.22941000,-80.0883800,696.0
37.22946000,-80.0883400,696.0
37.22952000,-80.0882800,696.0
37.22957000,-80.0882400,695.0
37.22964000,-80.0881500,695.0
37.22970000,-80.0881000,694.0
37.22973000,-80.0880600,694.0
37.22976000,-80.0880100,695.0
37.22981000,-80.0879700,695.0
37.22987000,-80.0879300,694.0
37.22991000,-80.0879000,694.0
37.22995000,-80.0878800,694.0
37.23000000,-80.0878300,695.0
37.23006000,-80.0878000,696.0
37.23011000,-80.0877700,697.0
37.23017000,-80.0877400,698.0
37.23022000,-80.0877100,699.0
37.23029000,-80.0876800,700.0
37.23033000,-80.0876600,700.0
37.23038000,-80.0876300,700.0
37.23045000,-80.0876100,700.0
37.23052000,-80.0875900,700.0
37.23057000,-80.0875500,701.0
37.23061000,-80.0875300,700.0
37.23066000,-80.0875200,698.0
37.23075000,-80.0874800,696.0
37.23080000,-80.0874500,695.0
37.23084000,-80.0874200,695.0
37.23090000,-80.0874000,694.0
37.23096000,-80.0873800,693.0
37.23101000,-80.0873600,693.0
37.23107000,-80.0873400,691.0
37.23111000,-80.0873200,691.0
37.23116000,-80.0873000,691.0
37.23123000,-80.0872900,691.0
37.23129000,-80.0872600,691.0
37.23134000,-80.0872400,691.0
37.23138000,-80.0872100,692.0
37.23142000,-80.0871800,693.0
37.23146000,-80.0871300,694.0
37.23151000,-80.0871000,694.0
37.23155000,-80.0870500,695.0
37.23160000,-80.0869700,696.0
37.23164000,-80.0869100,697.0
37.23169000,-80.0868800,696.0
37.23173000,-80.0868500,695.0
37.23178000,-80.0868000,695.0
37.23183000,-80.0867600,694.0
37.23187000,-80.0867300,694.0
37.23193000,-80.0866900,692.0
37.23198000,-80.0866600,692.0
37.23203000,-80.0866500,691.0
37.23208000,-80.0866300,691.0
37.23213000,-80.0866200,690.0
37.23218000,-80.0866200,688.0
37.23224000,-80.0866100,687.0
37.23229000,-80.0866200,687.0
37.23233000,-80.0866700,686.0
37.23234000,-80.0867300,685.0
37.23234000,-80.0867900,683.0
37.23233000,-80.0868500,682.0
37.23228000,-80.0869000,681.0
37.23223000,-80.0869400,680.0
37.23219000,-80.0869700,680.0
37.23215000,-80.0870100,680.0
37.23211000,-80.0870500,680.0
37.23211000,-80.0871100,679.0
37.23211000,-80.0871800,679.0
37.23210000,-80.0872500,678.0
37.23210000,-80.0873300,679.0
37.23210000,-80.0873900,679.0
37.23211000,-80.0874200,679.0
37.23211000,-80.0874900,679.0
37.23215000,-80.0879800,684.0
37.23216000,-80.0885000,685.0
37.23214000,-80.0888700,686.0
37.23209000,-80.0891100,686.0
37.23205000,-80.0893700,687.0
37.23204000,-80.0894500,687.0
37.23199000,-80.0900300,685.0
37.23193000,-80.0903900,678.0
37.23191000,-80.0907400,673.0
37.23190000,-80.0908300,672.0
37.23210000,-80.0912800,678.0
37.23225000,-80.0914900,678.0
37.23245000,-80.0915900,676.0
37.23266000,-80.0916000,671.0
37.23293000,-80.0915900,666.0
37.23356000,-80.0915900,657.0
37.23386000,-80.0913000,647.0
37.23389000,-80.0911900,647.0
37.23392000,-80.0911300,646.0
37.23393000,-80.0910500,646.0
37.23394000,-80.0909500,645.0
37.23395000,-80.0908800,644.0
37.23396000,-80.0908100,643.0
37.23395000,-80.0907500,642.0
37.23393000,-80.0907000,642.0
37.23391000,-80.0906300,642.0
37.23388000,-80.0905800,643.0
37.23386000,-80.0905300,643.0
37.23384000,-80.0904600,642.0
37.23382000,-80.0904100,642.0
37.23382000,-80.0903400,641.0
37.23382000,-80.0902800,639.0
37.23382000,-80.0902100,638.0
37.23386000,-80.0902700,637.0
37.23391000,-80.0903500,636.0
37.23393000,-80.0904100,636.0
37.23396000,-80.0904600,635.0
37.23399000,-80.0905100,635.0
37.23403000,-80.0905600,633.0
37.23406000,-80.0906100,632.0
37.23410000,-80.0906600,630.0
37.23412000,-80.0907200,629.0
37.23415000,-80.0907700,627.0
37.23417000,-80.0908500,626.0
37.23420000,-80.0909200,623.0
37.23423000,-80.0910000,620.0
37.23425000,-80.0910800,618.0
37.23427000,-80.0911400,616.0
37.23428000,-80.0912200,613.0
37.23431000,-80.0912900,609.0
37.23433000,-80.0913400,606.0
37.23433000,-80.0914300,605.0
37.23433000,-80.0914900,604.0
37.23432000,-80.0915600,603.0
37.23430000,-80.0916300,604.0
37.23427000,-80.0916900,605.0
37.23423000,-80.0917700,606.0
37.23421000,-80.0918200,607.0
37.23417000,-80.0918900,609.0
37.23415000,-80.0919500,609.0
37.23412000,-80.0920100,610.0
37.23410000,-80.0920600,609.0
37.23406000,-80.0921100,611.0
37.23404000,-80.0921800,610.0
37.23411000,-80.0921500,606.0
37.23416000,-80.0921100,604.0
37.23421000,-80.0920800,601.0
37.23425000,-80.0920500,599.0
37.23430000,-80.0920100,596.0
37.23433000,-80.0919600,596.0
37.23438000,-80.0919300,593.0
37.23441000,-80.0918900,591.0
37.23445000,-80.0918300,589.0
37.23449000,-80.0917900,588.0
37.23453000,-80.0917300,586.0
37.23455000,-80.0916700,586.0
37.23458000,-80.0916300,585.0
37.23462000,-80.0915900,584.0
37.23466000,-80.0915600,582.0
37.23465000,-80.0916500,581.0
37.23463000,-80.0917100,581.0
37.23461000,-80.0917800,581.0
37.23459000,-80.0918400,581.0
37.23457000,-80.0919300,581.0
37.23455000,-80.0919800,580.0
37.23451000,-80.0920400,581.0
37.23449000,-80.0920900,581.0
37.23447000,-80.0921500,580.0
37.23445000,-80.0922000,580.0
37.23441000,-80.0922600,581.0
37.23438000,-80.0923100,581.0
37.23434000,-80.0923500,582.0
37.23431000,-80.0924000,582.0
37.23427000,-80.0924500,583.0
37.23424000,-80.0924900,583.0
37.23422000,-80.0925400,583.0
37.23421000,-80.0926200,581.0
37.23419000,-80.0926800,579.0
37.23417000,-80.0927400,579.0
37.23416000,-80.0927900,577.0
37.23412000,-80.0928400,578.0
37.23410000,-80.0929000,576.0
37.23406000,-80.0929600,576.0
37.23404000,-80.0930100,574.0
37.23409000,-80.0930100,572.0
37.23414000,-80.0929700,571.0
37.23419000,-80.0929200,571.0
37.23424000,-80.0928600,570.0
37.23427000,-80.0928100,570.0
37.23432000,-80.0927700,569.0
37.23436000,-80.0927100,569.0
37.23440000,-80.0926800,567.0
37.23445000,-80.0926400,565.0
37.23449000,-80.0925700,565.0
37.23453000,-80.0925200,563.0
37.23457000,-80.0924800,562.0
37.23461000,-80.0924300,561.0
37.23465000,-80.0923900,559.0
37.23470000,-80.0923500,558.0
37.23474000,-80.0923200,557.0
37.23479000,-80.0923000,557.0
37.23485000,-80.0922500,558.0
37.23490000,-80.0922200,558.0
37.23494000,-80.0922000,558.0
37.23499000,-80.0921900,557.0
37.23495000,-80.0922400,556.0
37.23492000,-80.0923000,554.0
37.23489000,-80.0923500,552.0
37.23486000,-80.0924100,550.0
37.23484000,-80.0924700,548.0
37.23480000,-80.0925300,547.0
37.23478000,-80.0925900,546.0
37.23474000,-80.0926400,545.0
37.23468000,-80.0926800,548.0
37.23465000,-80.0927500,548.0
37.23463000,-80.0928200,548.0
37.23463000,-80.0929100,546.0
37.23460000,-80.0929700,546.0
37.23456000,-80.0930200,547.0
37.23451000,-80.0930700,548.0
37.23447000,-80.0931100,548.0
37.23444000,-80.0931500,548.0
37.23439000,-80.0931900,549.0
37.23433000,-80.0932300,550.0
37.23429000,-80.0932600,551.0
37.23425000,-80.0932900,551.0
37.23420000,-80.0933400,552.0
37.23416000,-80.0933800,551.0
37.23410000,-80.0934100,553.0
37.23405000,-80.0934300,555.0
37.23400000,-80.0934800,555.0
37.23396000,-80.0935100,555.0
37.23392000,-80.0935500,555.0
37.23389000,-80.0936000,554.0
37.23386000,-80.0936500,552.0
37.23382000,-80.0936900,551.0
37.23379000,-80.0937300,550.0
37.23375000,-80.0937900,548.0
37.23371000,-80.0938400,547.0
37.23367000,-80.0938700,546.0
37.23363000,-80.0938900,547.0
37.23358000,-80.0939200,547.0
37.23353000,-80.0939400,547.0
37.23349000,-80.0939600,546.0
37.23344000,-80.0939700,547.0
37.23339000,-80.0939900,547.0
37.23334000,-80.0940100,547.0
37.23329000,-80.0940200,547.0
37.23325000,-80.0940400,546.0
37.23321000,-80.0940800,545.0
37.23324000,-80.0941200,543.0
37.23330000,-80.0941300,541.0
37.23336000,-80.0941400,540.0
37.23344000,-80.0941600,538.0
37.23351000,-80.0941700,536.0
37.23357000,-80.0941800,535.0
37.23362000,-80.0941900,534.0
37.23369000,-80.0941900,532.0
37.23376000,-80.0941900,531.0
37.23381000,-80.0942100,529.0
37.23386000,-80.0941900,529.0
37.23392000,-80.0941700,528.0
37.23397000,-80.0941500,527.0
37.23402000,-80.0941200,526.0
37.23407000,-80.0940900,526.0
37.23411000,-80.0940400,526.0
37.23416000,-80.0940000,526.0
37.23421000,-80.0939700,526.0
37.23425000,-80.0939500,527.0
37.23429000,-80.0939200,527.0
37.23433000,-80.0938900,528.0
37.23438000,-80.0938700,528.0
37.23442000,-80.0938500,528.0
37.23448000,-80.0938200,528.0
37.23454000,-80.0938000,528.0
37.23458000,-80.0937800,528.0
37.23463000,-80.0937500,529.0
37.23469000,-80.0937300,529.0
37.23474000,-80.0937100,528.0
37.23480000,-80.0937100,527.0
37.23486000,-80.0936900,526.0
37.23492000,-80.0936600,525.0
37.23496000,-80.0936200,525.0
37.23500000,-80.0935900,525.0
37.23504000,-80.0935500,525.0
37.23507000,-80.0935100,525.0
37.23511000,-80.0934600,525.0
37.23515000,-80.0934200,525.0
37.23515000,-80.0934900,524.0
37.23512000,-80.0935500,523.0
37.23510000,-80.0936000,523.0
37.23509000,-80.0936700,522.0
37.23506000,-80.0937200,521.0
37.23502000,-80.0937400,522.0
37.23498000,-80.0937700,522.0
37.23493000,-80.0937900,523.0
37.23489000,-80.0938100,523.0
37.23484000,-80.0938300,524.0
37.23480000,-80.0938700,524.0
37.23476000,-80.0939300,524.0
37.23472000,-80.0939900,523.0
37.23467000,-80.0940300,523.0
37.23463000,-80.0940500,522.0
37.23457000,-80.0941000,521.0
37.23452000,-80.0941400,521.0
37.23449000,-80.0941800,520.0
37.23444000,-80.0942200,519.0
37.23439000,-80.0942400,519.0
37.23434000,-80.0942700,519.0
37.23431000,-80.0943100,518.0
37.23437000,-80.0943600,517.0
37.23445000,-80.0943300,518.0
37.23450000,-80.0943300,517.0
37.23455000,-80.0943300,517.0
37.23459000,-80.0943600,517.0
37.23464000,-80.0943700,517.0
37.23469000,-80.0943700,517.0
37.23474000,-80.0943400,517.0
37.23478000,-80.0943000,517.0
37.23481000,-80.0942500,517.0
37.23486000,-80.0942200,517.0
37.23491000,-80.0942200,516.0
37.23497000,-80.0942200,515.0
37.23503000,-80.0942200,514.0
37.23508000,-80.0942200,513.0
37.23514000,-80.0942100,512.0
37.23521000,-80.0941800,511.0
37.23526000,-80.0941700,510.0
37.23531000,-80.0941700,508.0
37.23536000,-80.0941700,507.0
37.23539000,-80.0941500,506.0
37.23544000,-80.0941500,505.0
37.23549000,-80.0941400,503.0
37.23554000,-80.0941300,501.0
37.23558000,-80.0941100,500.0
37.23564000,-80.0941100,499.0
37.23570000,-80.0941000,497.0
37.23575000,-80.0941000,495.0
37.23580000,-80.0941000,494.0
37.23585000,-80.0941400,493.0
37.23586000,-80.0942100,494.0
37.23580000,-80.0942200,495.0
37.23576000,-80.0942400,496.0
37.23574000,-80.0942900,498.0
37.23580000,-80.0943300,498.0
37.23586000,-80.0943300,497.0
37.23591000,-80.0943300,497.0
37.23597000,-80.0943300,497.0
37.23602000,-80.0943400,496.0
37.23608000,-80.0943600,496.0
37.23612000,-80.0943800,497.0
37.23617000,-80.0944000,496.0
37.23622000,-80.0944100,496.0
37.23627000,-80.0944300,496.0
37.23632000,-80.0944500,495.0
37.23638000,-80.0944600,495.0
37.23644000,-80.0944600,494.0
37.23649000,-80.0944600,492.0
37.23653000,-80.0944800,492.0
37.23659000,-80.0945100,491.0
37.23663000,-80.0945300,491.0
37.23668000,-80.0945500,491.0
37.23673000,-80.0945600,491.0
37.23679000,-80.0945700,491.0
37.23684000,-80.0945900,491.0
37.23689000,-80.0946100,492.0
37.23695000,-80.0946300,492.0
37.23699000,-80.0946600,492.0
37.23704000,-80.0946700,491.0
37.23700000,-80.0946300,491.0
37.23695000,-80.0945900,491.0
37.23690000,-80.0945700,491.0
37.23685000,-80.0945400,490.0
37.23679000,-80.0945200,489.0
37.23673000,-80.0944700,488.0
37.23668000,-80.0944400,488.0
37.23664000,-80.0944100,488.0
37.23658000,-80.0943900,490.0
37.23654000,-80.0943700,491.0
37.23650000,-80.0943300,491.0
37.23644000,-80.0943100,492.0
37.23639000,-80.0943100,493.0
37.23634000,-80.0943000,493.0
37.23629000,-80.0942800,494.0
37.23623000,-80.0942700,494.0
37.23618000,-80.0942600,494.0
37.23613000,-80.0942600,495.0
37.23606000,-80.0942400,495.0
37.23598000,-80.0942200,494.0
37.23594000,-80.0941900,493.0
37.23590000,-80.0941700,493.0
37.23586000,-80.0941500,493.0
37.23584000,-80.0941000,493.0
37.23587000,-80.0940500,493.0
37.23591000,-80.0940300,493.0
37.23597000,-80.0940000,494.0
37.23601000,-80.0939600,494.0
37.23603000,-80.0939000,494.0
37.23606000,-80.0938600,494.0
37.23610000,-80.0938300,494.0
37.23612000,-80.0937800,495.0
37.23612000,-80.0937000,496.0
37.23611000,-80.0936400,496.0
37.23610000,-80.0935600,497.0
37.23609000,-80.0935100,498.0
37.23607000,-80.0934500,499.0
37.23605000,-80.0934000,500.0
37.23601000,-80.0933600,502.0
37.23597000,-80.0933800,502.0
37.23592000,-80.0934200,502.0
37.23587000,-80.0934500,502.0
37.23581000,-80.0934800,503.0
37.23577000,-80.0935000,504.0
37.23573000,-80.0935200,505.0
37.23574000,-80.0934400,506.0
37.23576000,-80.0933900,506.0
37.23578000,-80.0933400,507.0
37.23580000,-80.0932700,507.0
37.23581000,-80.0932100,507.0
37.23585000,-80.0931500,507.0
37.23587000,-80.0931000,507.0
37.23589000,-80.0930200,509.0
37.23591000,-80.0929700,510.0
37.23592000,-80.0929100,511.0
37.23594000,-80.0928400,513.0
37.23596000,-80.0927900,514.0
37.23597000,-80.0927200,515.0
37.23598000,-80.0926600,516.0
37.23593000,-80.0926500,518.0
37.23588000,-80.0926800,518.0
37.23584000,-80.0927100,518.0
37.23580000,-80.0927600,518.0
37.23575000,-80.0927900,520.0
37.23570000,-80.0928400,521.0
37.23566000,-80.0928900,521.0
37.23562000,-80.0929100,522.0
37.23557000,-80.0929300,524.0
37.23553000,-80.0929500,525.0
37.23548000,-80.0929600,526.0
