Latitude,Longitude,Elevation
38.55971000,-77.3489000,75.0
38.55972000,-77.3488800,76.0
38.55978000,-77.3489200,76.0
38.55995000,-77.3490900,76.0
38.56014000,-77.3493000,76.0
38.56025000,-77.3494000,77.0
38.56036000,-77.3494800,77.0
38.56047000,-77.3495400,77.0
38.56097000,-77.3498300,75.0
38.56108000,-77.3498200,75.0
38.56115000,-77.3498400,75.0
38.56122000,-77.3498700,75.0
38.56124000,-77.3498900,75.0
38.56125000,-77.3499300,75.0
38.56124000,-77.3499600,75.0
38.56129000,-77.3499800,75.0
38.56134000,-77.3499900,75.0
38.56158000,-77.3500500,77.0
38.56189000,-77.3499800,75.0
38.56215000,-77.3499600,72.0
38.56247000,-77.3499200,70.0
38.56289000,-77.3499000,67.0
38.56332000,-77.3499000,61.0
38.56369000,-77.3501000,57.0
38.56399000,-77.3503600,58.0
38.56419000,-77.3507600,56.0
38.56441000,-77.3511700,55.0
38.56453000,-77.3513200,55.0
38.56470000,-77.3516000,54.0
38.56485000,-77.3518700,54.0
38.56498000,-77.3520800,54.0
38.56513000,-77.3522900,53.0
38.56525000,-77.3524800,52.0
38.56534000,-77.3526100,50.0
38.56558000,-77.3529500,46.0
38.56566000,-77.3530200,44.0
38.56575000,-77.3530700,41.0
38.56585000,-77.3530800,40.0
38.56603000,-77.3530400,38.0
38.56615000,-77.3529800,37.0
38.56621000,-77.3529300,36.0
38.56635000,-77.3528500,34.0
38.56664000,-77.3528200,28.0
38.56668000,-77.3528400,28.0
38.56665000,-77.3527800,28.0
38.56662000,-77.3527100,29.0
38.56662000,-77.3526700,29.0
38.56663000,-77.3526200,29.0
38.56665000,-77.3525900,29.0
38.56666000,-77.3525700,28.0
38.56667000,-77.3525500,28.0
38.56668000,-77.3525100,29.0
38.56671000,-77.3524800,29.0
38.56678000,-77.3524200,30.0
38.56684000,-77.3523700,31.0
38.56694000,-77.3523300,31.0
38.56708000,-77.3522600,33.0
38.56736000,-77.3521800,33.0
38.56750000,-77.3521500,32.0
38.56762000,-77.3521100,32.0
38.56769000,-77.3521000,31.0
38.56779000,-77.3520700,31.0
38.56787000,-77.3520400,31.0
38.56793000,-77.3520500,31.0
38.56800000,-77.3520600,30.0
38.56808000,-77.3520400,30.0
38.56815000,-77.3520000,30.0
38.56821000,-77.3519500,30.0
38.56826000,-77.3518700,30.0
38.56829000,-77.3518100,29.0
38.56834000,-77.3517200,29.0
38.56838000,-77.3516500,29.0
38.56839000,-77.3516300,29.0
38.56844000,-77.3515400,29.0
38.56847000,-77.3514600,29.0
38.56854000,-77.3513300,29.0
38.56860000,-77.3512200,29.0
38.56867000,-77.3511000,29.0
38.56874000,-77.3509700,29.0
38.56881000,-77.3508500,30.0
38.56886000,-77.3507500,31.0
38.56889000,-77.3506300,31.0
38.56892000,-77.3505500,32.0
38.56895000,-77.3504800,32.0
38.56895000,-77.3504000,32.0
38.56896000,-77.3503000,32.0
38.56895000,-77.3501900,33.0
38.56895000,-77.3500800,33.0
38.56894000,-77.3500100,33.0
38.56892000,-77.3499400,32.0
38.56891000,-77.3498700,32.0
38.56891000,-77.3497900,32.0
38.56892000,-77.3497300,32.0
38.56894000,-77.3497100,32.0
38.56898000,-77.3496900,32.0
38.56901000,-77.3496500,32.0
38.56904000,-77.3495900,32.0
38.56907000,-77.3494900,32.0
38.56907000,-77.3493700,32.0
38.56904000,-77.3492900,32.0
38.56902000,-77.3492200,33.0
38.56900000,-77.3491600,33.0
38.56900000,-77.3490800,33.0
38.56900000,-77.3490100,33.0
38.56901000,-77.3489100,33.0
38.56905000,-77.3487800,33.0
38.56907000,-77.3487200,33.0
38.56910000,-77.3486800,33.0
38.56916000,-77.3486400,33.0
38.56923000,-77.3486000,33.0
38.56934000,-77.3485600,34.0
38.56945000,-77.3485200,35.0
38.56959000,-77.3484500,36.0
38.56972000,-77.3483700,37.0
38.56981000,-77.3483400,36.0
38.56985000,-77.3483100,36.0
38.56989000,-77.3482500,35.0
38.56994000,-77.3482200,35.0
38.57000000,-77.3482100,35.0
38.57004000,-77.3482200,35.0
38.57008000,-77.3482700,35.0
38.57010000,-77.3483200,35.0
38.57012000,-77.3483700,36.0
38.57014000,-77.3484200,36.0
38.57017000,-77.3484800,37.0
38.57020000,-77.3485300,38.0
38.57028000,-77.3486200,39.0
38.57032000,-77.3486500,39.0
38.57045000,-77.3487200,39.0
38.57057000,-77.3487600,40.0
38.57072000,-77.3487900,40.0
38.57086000,-77.3488300,41.0
38.57087000,-77.3488400,41.0
38.57097000,-77.3488400,39.0
38.57098000,-77.3488500,39.0
38.57108000,-77.3488300,37.0
38.57116000,-77.3488600,37.0
38.57121000,-77.3488900,37.0
38.57127000,-77.3489300,37.0
38.57134000,-77.3489600,36.0
38.57143000,-77.3489900,36.0
38.57151000,-77.3490100,36.0
38.57158000,-77.3490100,36.0
38.57166000,-77.3490100,36.0
38.57174000,-77.3489900,36.0
38.57179000,-77.3489800,37.0
38.57187000,-77.3489500,37.0
38.57197000,-77.3489100,36.0
38.57206000,-77.3488500,34.0
38.57214000,-77.3487900,32.0
38.57221000,-77.3487200,30.0
38.57228000,-77.3486300,29.0
38.57235000,-77.3485200,28.0
38.57241000,-77.3484100,27.0
38.57246000,-77.3483400,27.0
38.57251000,-77.3482800,27.0
38.57257000,-77.3482300,27.0
38.57262000,-77.3481800,28.0
38.57267000,-77.3481600,28.0
38.57273000,-77.3481200,28.0
38.57278000,-77.3480600,29.0
38.57281000,-77.3480100,29.0
38.57282000,-77.3479400,29.0
38.57282000,-77.3478600,29.0
38.57281000,-77.3478100,29.0
38.57281000,-77.3477500,29.0
38.57283000,-77.3476700,29.0
