Latitude,Longitude,Elevation
38.02691000,-78.5557200,189.0
38.02677000,-78.5558800,185.0
38.02679000,-78.5558500,186.0
38.02682000,-78.5558600,187.0
38.02685000,-78.5558700,188.0
38.02687000,-78.5558700,189.0
38.02695000,-78.5558200,191.0
38.02698000,-78.5558000,192.0
38.02701000,-78.5557900,192.0
38.02704000,-78.5558000,193.0
38.02705000,-78.5558300,193.0
38.02708000,-78.5558600,194.0
38.02708000,-78.5558900,194.0
38.02710000,-78.5559300,194.0
38.02711000,-78.5559600,194.0
38.02711000,-78.5560000,194.0
38.02710000,-78.5560400,194.0
38.02713000,-78.5560900,195.0
38.02715000,-78.5561200,195.0
38.02717000,-78.5561500,196.0
38.02719000,-78.5561800,196.0
38.02721000,-78.5562300,197.0
38.02723000,-78.5562700,197.0
38.02724000,-78.5563100,198.0
38.02725000,-78.5563400,198.0
38.02726000,-78.5563700,199.0
38.02728000,-78.5564000,200.0
38.02730000,-78.5564400,201.0
38.02731000,-78.5564700,202.0
38.02732000,-78.5565100,203.0
38.02733000,-78.5565400,204.0
38.02735000,-78.5565700,205.0
38.02738000,-78.5566100,207.0
38.02740000,-78.5566500,208.0
38.02742000,-78.5566800,209.0
38.02744000,-78.5567200,211.0
38.02747000,-78.5567400,212.0
38.02750000,-78.5567500,213.0
38.02753000,-78.5567600,214.0
38.02757000,-78.5567800,215.0
38.02760000,-78.5567900,216.0
38.02762000,-78.5568100,216.0
38.02765000,-78.5568300,217.0
38.02769000,-78.5568400,218.0
38.02772000,-78.5568600,218.0
38.02775000,-78.5569000,219.0
38.02777000,-78.5569200,219.0
38.02779000,-78.5569500,220.0
38.02782000,-78.5569800,220.0
38.02783000,-78.5570200,220.0
38.02785000,-78.5570400,220.0
38.02788000,-78.5570800,220.0
38.02790000,-78.5571100,221.0
38.02791000,-78.5571400,221.0
38.02794000,-78.5571800,221.0
38.02796000,-78.5572000,222.0
38.02800000,-78.5572100,222.0
38.02814000,-78.5572000,225.0
38.02817000,-78.5572000,226.0
38.02819000,-78.5572300,226.0
38.02822000,-78.5572600,226.0
38.02825000,-78.5572800,226.0
38.02828000,-78.5573000,226.0
38.02831000,-78.5573000,227.0
38.02834000,-78.5573000,227.0
38.02837000,-78.5573100,227.0
38.02837000,-78.5573500,226.0
38.02839000,-78.5573900,225.0
38.02840000,-78.5574200,225.0
38.02842000,-78.5574600,224.0
38.02844000,-78.5574900,223.0
38.02845000,-78.5575200,222.0
