Latitude,Longitude,Elevation
39.11660000,-77.8524300,312.0
39.11635000,-77.8520600,311.0
39.11640000,-77.8521100,311.0
39.11644000,-77.8521600,312.0
39.11647000,-77.8522000,312.0
39.11650000,-77.8522200,312.0
39.11653000,-77.8522400,313.0
39.11655000,-77.8522700,313.0
39.11658000,-77.8523000,313.0
39.11660000,-77.8523200,314.0
39.11662000,-77.8523400,314.0
39.11661000,-77.8523700,313.0
39.11663000,-77.8524000,313.0
39.11661000,-77.8524300,312.0
39.11658000,-77.8524400,312.0
39.11655000,-77.8524600,311.0
39.11658000,-77.8524500,312.0
39.11661000,-77.8524300,312.0
39.11661000,-77.8524000,313.0
39.11662000,-77.8523500,314.0
39.11662000,-77.8523100,314.0
39.11661000,-77.8522700,314.0
39.11662000,-77.8522300,315.0
39.11661000,-77.8521900,316.0
39.11661000,-77.8521500,316.0
39.11664000,-77.8521400,317.0
39.11667000,-77.8521500,318.0
39.11670000,-77.8521500,319.0
39.11673000,-77.8521800,319.0
39.11675000,-77.8522100,319.0
39.11677000,-77.8522400,319.0
39.11679000,-77.8522600,319.0
39.11682000,-77.8522800,320.0
39.11684000,-77.8523100,319.0
39.11685000,-77.8523500,319.0
39.11687000,-77.8523900,318.0
39.11690000,-77.8524100,318.0
39.11691000,-77.8524400,318.0
39.11693000,-77.8524600,317.0
39.11696000,-77.8524900,317.0
39.11698000,-77.8525200,316.0
39.11701000,-77.8525500,316.0
39.11703000,-77.8525700,315.0
39.11706000,-77.8525900,315.0
39.11708000,-77.8526100,315.0
39.11711000,-77.8526300,314.0
39.11714000,-77.8526400,314.0
39.11718000,-77.8526400,315.0
39.11721000,-77.8526400,315.0
39.11724000,-77.8526400,315.0
39.11727000,-77.8526600,315.0
39.11730000,-77.8526600,316.0
39.11733000,-77.8526600,316.0
39.11736000,-77.8526800,316.0
39.11739000,-77.8526900,316.0
39.11742000,-77.8527000,317.0
39.11744000,-77.8527200,317.0
39.11746000,-77.8527600,316.0
39.11749000,-77.8527800,316.0
39.11752000,-77.8528000,316.0
39.11754000,-77.8528100,316.0
39.11757000,-77.8528100,316.0
39.11760000,-77.8528200,316.0
39.11761000,-77.8528500,316.0
39.11764000,-77.8528700,315.0
39.11767000,-77.8528800,315.0
39.11769000,-77.8528900,315.0
39.11771000,-77.8529300,315.0
39.11774000,-77.8529300,315.0
39.11776000,-77.8529300,315.0
39.11779000,-77.8529300,315.0
39.11782000,-77.8529400,315.0
39.11785000,-77.8529500,315.0
39.11788000,-77.8529400,316.0
39.11790000,-77.8529200,316.0
39.11794000,-77.8529100,316.0
39.11797000,-77.8529200,316.0
39.11800000,-77.8529100,317.0
39.11803000,-77.8529100,317.0
39.11805000,-77.8529000,317.0
39.11808000,-77.8529200,317.0
39.11807000,-77.8529500,317.0
39.11806000,-77.8529900,316.0
39.11807000,-77.8530300,315.0
39.11810000,-77.8530300,315.0
39.11812000,-77.8529900,316.0
39.11813000,-77.8529500,317.0
39.11814000,-77.8529200,318.0
39.11815000,-77.8528800,318.0
39.11818000,-77.8528700,319.0
39.11821000,-77.8528600,319.0
39.11823000,-77.8528300,320.0
39.11827000,-77.8528200,320.0
39.11830000,-77.8528300,321.0
39.11833000,-77.8528400,321.0
39.11836000,-77.8528400,321.0
39.11839000,-77.8528300,321.0
39.11843000,-77.8528200,322.0
39.11846000,-77.8528300,322.0
39.11850000,-77.8528500,322.0
39.11853000,-77.8528400,323.0
39.11856000,-77.8528400,323.0
39.11859000,-77.8528500,323.0
39.11862000,-77.8528800,323.0
39.11864000,-77.8529100,323.0
39.11867000,-77.8529400,323.0
39.11869000,-77.8529700,323.0
39.11872000,-77.8530000,323.0
39.11875000,-77.8530200,323.0
39.11878000,-77.8530400,323.0
39.11881000,-77.8530600,323.0
39.11885000,-77.8530700,324.0
39.11888000,-77.8530900,324.0
39.11890000,-77.8531100,324.0
39.11893000,-77.8531100,324.0
39.11897000,-77.8531200,324.0
39.11899000,-77.8531500,324.0
39.11901000,-77.8531800,323.0
39.11904000,-77.8532000,323.0
39.11907000,-77.8532200,323.0
39.11910000,-77.8532400,323.0
39.11913000,-77.8532700,322.0
39.11914000,-77.8533000,322.0
39.11916000,-77.8533300,321.0
39.11919000,-77.8533500,321.0
39.11921000,-77.8533700,321.0
39.11923000,-77.8533900,320.0
39.11927000,-77.8534100,320.0
39.11930000,-77.8534200,320.0
39.11933000,-77.8534200,320.0
39.11936000,-77.8534100,320.0
39.11939000,-77.8534000,321.0
39.11941000,-77.8533800,321.0
39.11944000,-77.8533600,322.0
39.11946000,-77.8533400,323.0
39.11949000,-77.8533200,324.0
39.11951000,-77.8533000,324.0
39.11954000,-77.8532800,326.0
39.11957000,-77.8532800,326.0
39.11960000,-77.8532900,326.0
39.11963000,-77.8532900,327.0
39.11966000,-77.8532700,328.0
39.11969000,-77.8532600,329.0
39.11972000,-77.8532600,329.0
39.11975000,-77.8532500,330.0
39.11978000,-77.8532400,330.0
39.11981000,-77.8532200,330.0
39.11984000,-77.8532100,331.0
39.11987000,-77.8532000,331.0
39.11988000,-77.8532400,330.0
39.11989000,-77.8532700,329.0
39.11989000,-77.8532300,330.0
39.11989000,-77.8532000,331.0
39.11990000,-77.8531600,333.0
39.11991000,-77.8531900,332.0
39.11993000,-77.8532200,331.0
39.11996000,-77.8531900,332.0
39.11998000,-77.8531700,332.0
39.12000000,-77.8531400,333.0
39.12002000,-77.8531200,334.0
39.12005000,-77.8530900,335.0
39.12008000,-77.8530600,336.0
39.12010000,-77.8530400,337.0
39.12013000,-77.8530200,337.0
39.12016000,-77.8529900,338.0
39.12019000,-77.8529700,339.0
39.12021000,-77.8529500,339.0
39.12024000,-77.8529300,340.0
39.12027000,-77.8529100,341.0
39.12029000,-77.8528900,341.0
39.12032000,-77.8528800,341.0
39.12034000,-77.8528400,342.0
39.12035000,-77.8528100,342.0
39.12038000,-77.8527800,343.0
39.12041000,-77.8527600,343.0
39.12045000,-77.8527500,342.0
39.12047000,-77.8527200,343.0
39.12050000,-77.8527000,343.0
39.12053000,-77.8526900,342.0
39.12056000,-77.8526900,342.0
39.12059000,-77.8527000,341.0
39.12062000,-77.8526900,341.0
39.12066000,-77.8526700,340.0
39.12068000,-77.8526600,340.0
39.12071000,-77.8526500,339.0
39.12075000,-77.8526300,339.0
39.12078000,-77.8526100,339.0
39.12081000,-77.8525900,339.0
39.12084000,-77.8525900,338.0
39.12088000,-77.8525800,338.0
39.12091000,-77.8525600,339.0
39.12094000,-77.8525600,338.0
39.12098000,-77.8525500,339.0
39.12101000,-77.8525500,339.0
39.12104000,-77.8525400,339.0
39.12108000,-77.8525100,339.0
39.12110000,-77.8525000,340.0
39.12113000,-77.8524900,339.0
39.12116000,-77.8524900,339.0
39.12118000,-77.8525200,337.0
39.12121000,-77.8525300,336.0
39.12124000,-77.8525200,336.0
39.12127000,-77.8525000,336.0
39.12130000,-77.8524800,336.0
39.12133000,-77.8524700,336.0
39.12135000,-77.8524500,336.0
39.12136000,-77.8524100,337.0
39.12139000,-77.8524000,336.0
39.12142000,-77.8523800,336.0
39.12144000,-77.8523500,336.0
39.12146000,-77.8523200,336.0
39.12149000,-77.8523100,335.0
39.12152000,-77.8522900,335.0
39.12155000,-77.8522700,334.0
39.12158000,-77.8522500,334.0
39.12161000,-77.8522300,333.0
39.12163000,-77.8522000,333.0
39.12165000,-77.8521800,333.0
39.12168000,-77.8521700,332.0
39.12170000,-77.8521500,332.0
39.12174000,-77.8521500,330.0
39.12176000,-77.8521500,330.0
39.12179000,-77.8521400,329.0
39.12182000,-77.8521300,328.0
39.12185000,-77.8521300,327.0
39.12188000,-77.8521200,326.0
39.12191000,-77.8521000,326.0
39.12194000,-77.8520900,325.0
39.12196000,-77.8520600,325.0
39.12198000,-77.8520400,325.0
39.12201000,-77.8520300,324.0
39.12204000,-77.8520300,323.0
39.12207000,-77.8520200,322.0
39.12211000,-77.8520200,321.0
39.12214000,-77.8520300,320.0
39.12216000,-77.8520300,320.0
39.12219000,-77.8520500,318.0
39.12223000,-77.8520500,317.0
39.12226000,-77.8520400,316.0
39.12227000,-77.8520000,316.0
39.12229000,-77.8519800,316.0
39.12231000,-77.8519500,316.0
39.12231000,-77.8519100,316.0
39.12233000,-77.8518900,316.0
39.12236000,-77.8518800,315.0
39.12233000,-77.8518800,316.0
39.12230000,-77.8518900,317.0
39.12233000,-77.8519000,316.0
39.12236000,-77.8519100,314.0
39.12239000,-77.8519100,313.0
39.12238000,-77.8518700,314.0
39.12237000,-77.8518400,315.0
39.12240000,-77.8518200,314.0
39.12242000,-77.8518000,314.0
39.12243000,-77.8517600,314.0
39.12244000,-77.8517300,314.0
39.12245000,-77.8517000,314.0
39.12246000,-77.8516700,314.0
39.12248000,-77.8517000,313.0
39.12248000,-77.8517400,312.0
39.12246000,-77.8517600,313.0
39.12248000,-77.8517900,312.0
39.12250000,-77.8518200,310.0
39.12252000,-77.8518600,309.0
39.12252000,-77.8519000,308.0
39.12253000,-77.8519300,307.0
39.12253000,-77.8519700,306.0
39.12254000,-77.8520100,305.0
39.12254000,-77.8520500,304.0
39.12254000,-77.8520800,303.0
39.12254000,-77.8521200,302.0
39.12253000,-77.8521600,302.0
39.12251000,-77.8521700,302.0
39.12252000,-77.8522000,301.0
39.12255000,-77.8521800,300.0
39.12252000,-77.8521900,301.0
39.12253000,-77.8522200,300.0
39.12252000,-77.8522600,300.0
39.12255000,-77.8522500,298.0
39.12257000,-77.8522200,299.0
39.12258000,-77.8521900,299.0
39.12260000,-77.8521600,299.0
39.12262000,-77.8521300,298.0
39.12263000,-77.8520900,299.0
39.12261000,-77.8520700,300.0
39.12263000,-77.8520400,300.0
39.12265000,-77.8520300,299.0
39.12268000,-77.8520000,298.0
39.12270000,-77.8519700,298.0
39.12272000,-77.8519400,298.0
39.12274000,-77.8519100,297.0
39.12276000,-77.8518800,296.0
39.12279000,-77.8518700,295.0
39.12281000,-77.8518500,294.0
39.12284000,-77.8518300,294.0
39.12287000,-77.8518200,292.0
39.12290000,-77.8518000,292.0
39.12292000,-77.8518100,291.0
39.12294000,-77.8518500,289.0
39.12295000,-77.8518900,288.0
39.12294000,-77.8519300,288.0
39.12295000,-77.8519700,287.0
39.12295000,-77.8520100,287.0
39.12294000,-77.8520500,286.0
39.12295000,-77.8520900,285.0
39.12295000,-77.8521200,285.0
39.12294000,-77.8521600,285.0
39.12294000,-77.8522000,284.0
39.12293000,-77.8522300,284.0
39.12292000,-77.8522600,283.0
39.12291000,-77.8523000,283.0
39.12288000,-77.8523100,284.0
39.12285000,-77.8523300,284.0
39.12283000,-77.8523700,284.0
39.12282000,-77.8524000,283.0
39.12280000,-77.8524300,283.0
39.12278000,-77.8524500,284.0
39.12277000,-77.8524900,283.0
39.12277000,-77.8525300,282.0
39.12276000,-77.8525600,281.0
39.12273000,-77.8525800,282.0
39.12273000,-77.8526200,281.0
39.12271000,-77.8526600,280.0
39.12271000,-77.8527000,279.0
39.12272000,-77.8527300,278.0
39.12272000,-77.8527700,277.0
39.12270000,-77.8528000,276.0
39.12272000,-77.8528200,275.0
39.12275000,-77.8528200,274.0
39.12278000,-77.8528100,274.0
39.12280000,-77.8527900,274.0
39.12283000,-77.8527800,273.0
39.12286000,-77.8527700,272.0
