Latitude,Longitude,Elevation
38.57157000,-78.2930800,284.0
38.57155000,-78.2930300,284.0
38.57222000,-78.2927200,278.0
38.57222000,-78.2928000,279.0
38.57222000,-78.2935800,280.0
38.57215000,-78.2940500,286.0
38.57219000,-78.2943500,286.0
38.57228000,-78.2946000,288.0
38.57231000,-78.2946400,289.0
38.57239000,-78.2947600,290.0
38.57263000,-78.2949700,292.0
38.57274000,-78.2950600,292.0
38.57276000,-78.2950800,292.0
38.57283000,-78.2951600,293.0
38.57286000,-78.2952100,294.0
38.57293000,-78.2953300,294.0
38.57299000,-78.2955300,296.0
38.57303000,-78.2957400,296.0
38.57302000,-78.2959100,298.0
38.57302000,-78.2959500,298.0
38.57301000,-78.2959900,299.0
38.57279000,-78.2963600,304.0
38.57248000,-78.2969100,304.0
38.57204000,-78.2976200,313.0
38.57204000,-78.2977600,314.0
38.57204000,-78.2980500,313.0
38.57191000,-78.2982900,315.0
38.57153000,-78.2985600,321.0
38.57143000,-78.2986900,324.0
38.57132000,-78.2989600,326.0
38.57117000,-78.2992100,328.0
38.57100000,-78.2994200,331.0
38.57086000,-78.2995600,334.0
38.57073000,-78.2997100,338.0
38.57063000,-78.2998700,338.0
38.57055000,-78.3000800,340.0
38.57048000,-78.3002600,340.0
38.57043000,-78.3003700,341.0
38.57038000,-78.3003500,341.0
38.57018000,-78.3003300,344.0
38.57010000,-78.3002800,345.0
38.56993000,-78.3002300,348.0
38.56979000,-78.3001400,351.0
38.56965000,-78.3000600,355.0
38.56945000,-78.3000500,360.0
38.56924000,-78.3000600,361.0
38.56912000,-78.3001100,362.0
38.56899000,-78.3001900,363.0
38.56889000,-78.3002700,363.0
38.56879000,-78.3003600,365.0
38.56871000,-78.3004500,366.0
38.56857000,-78.3005800,369.0
38.56843000,-78.3007700,371.0
38.56828000,-78.3009400,375.0
38.56822000,-78.3009800,377.0
38.56813000,-78.3009900,378.0
38.56804000,-78.3010200,379.0
38.56786000,-78.3010600,380.0
38.56770000,-78.3010500,382.0
38.56746000,-78.3010400,385.0
38.56727000,-78.3010600,389.0
