Latitude,Longitude,Elevation
38.15310000,-78.7725700,911.0
38.15309000,-78.7727300,909.0
38.15309000,-78.7727600,908.0
38.15308000,-78.7728200,907.0
38.15306000,-78.7728800,907.0
38.15304000,-78.7729400,906.0
38.15302000,-78.7730000,906.0
38.15298000,-78.7730600,906.0
38.15296000,-78.7731100,906.0
38.15293000,-78.7731500,906.0
38.15291000,-78.7732100,907.0
38.15290000,-78.7732700,907.0
38.15289000,-78.7733400,907.0
38.15289000,-78.7734100,906.0
38.15288000,-78.7734700,906.0
38.15288000,-78.7735300,906.0
38.15288000,-78.7735900,906.0
38.15289000,-78.7736500,906.0
38.15289000,-78.7737200,905.0
38.15290000,-78.7737900,904.0
38.15290000,-78.7738500,904.0
38.15290000,-78.7739300,903.0
38.15290000,-78.7740000,902.0
38.15292000,-78.7740900,901.0
38.15295000,-78.7741400,900.0
38.15300000,-78.7741600,899.0
38.15304000,-78.7741900,898.0
38.15309000,-78.7742100,897.0
38.15314000,-78.7742300,896.0
38.15319000,-78.7742400,895.0
38.15323000,-78.7742500,894.0
38.15328000,-78.7742600,893.0
38.15333000,-78.7742600,892.0
38.15342000,-78.7743200,890.0
38.15351000,-78.7744000,886.0
38.15356000,-78.7744200,885.0
38.15405000,-78.7746700,875.0
38.15429000,-78.7750800,862.0
38.15471000,-78.7754700,861.0
38.15484000,-78.7758700,853.0
38.15516000,-78.7766700,838.0
38.15525000,-78.7771000,829.0
38.15558000,-78.7774800,826.0
38.15562000,-78.7778100,826.0
38.15560000,-78.7786400,828.0
38.15548000,-78.7789000,828.0
38.15548000,-78.7792400,828.0
38.15555000,-78.7796500,829.0
38.15609000,-78.7806400,830.0
38.15616000,-78.7807700,827.0
38.15621000,-78.7810200,823.0
38.15614000,-78.7813200,820.0
38.15575000,-78.7817300,816.0
38.15537000,-78.7822100,807.0
38.15515000,-78.7825300,808.0
38.15515000,-78.7828900,801.0
38.15504000,-78.7832600,795.0
38.15491000,-78.7835600,789.0
38.15464000,-78.7839200,786.0
38.15423000,-78.7842400,781.0
38.15390000,-78.7846300,776.0
38.15378000,-78.7849700,773.0
38.15375000,-78.7853400,769.0
38.15400000,-78.7861700,764.0
38.15417000,-78.7864700,767.0
38.15456000,-78.7868000,765.0
38.15489000,-78.7872000,760.0
38.15511000,-78.7877200,751.0
38.15535000,-78.7881300,745.0
38.15552000,-78.7882100,745.0
38.15575000,-78.7883000,742.0
38.15599000,-78.7884500,736.0
38.15602000,-78.7886800,735.0
38.15609000,-78.7889400,732.0
38.15624000,-78.7891600,727.0
38.15623000,-78.7894800,724.0
38.15599000,-78.7898700,720.0
38.15575000,-78.7899500,718.0
38.15543000,-78.7899100,717.0
38.15493000,-78.7898700,709.0
38.15466000,-78.7896900,707.0
38.15440000,-78.7895600,701.0
38.15439000,-78.7898000,694.0
38.15477000,-78.7902900,688.0
38.15525000,-78.7905500,692.0
38.15560000,-78.7909800,683.0
38.15587000,-78.7913900,670.0
38.15596000,-78.7917300,665.0
38.15602000,-78.7919300,663.0
38.15645000,-78.7922900,664.0
38.15685000,-78.7924000,665.0
38.15709000,-78.7925000,666.0
38.15754000,-78.7929300,660.0
38.15761000,-78.7931700,657.0
38.15758000,-78.7936400,653.0
38.15734000,-78.7940700,648.0
38.15700000,-78.7945200,647.0
38.15680000,-78.7948200,643.0
38.15695000,-78.7951400,634.0
38.15716000,-78.7952500,631.0
38.15745000,-78.7949100,631.0
38.15780000,-78.7947100,624.0
38.15831000,-78.7947100,610.0
38.15860000,-78.7947400,605.0
38.15883000,-78.7946100,600.0
38.15915000,-78.7940900,590.0
38.15944000,-78.7938800,585.0
38.15964000,-78.7935300,582.0
38.15969000,-78.7928500,576.0
38.15995000,-78.7924800,565.0
38.16005000,-78.7922300,560.0
38.15996000,-78.7918200,558.0
38.15981000,-78.7915800,563.0
38.15983000,-78.7913700,563.0
38.16010000,-78.7913000,559.0
38.16047000,-78.7915600,557.0
38.16103000,-78.7922500,551.0
38.16116000,-78.7929600,551.0
38.16121000,-78.7935100,552.0
38.16133000,-78.7937900,550.0
38.16150000,-78.7941600,550.0
38.16153000,-78.7948200,540.0
38.16148000,-78.7956400,538.0
38.16158000,-78.7962200,538.0
38.16202000,-78.7967100,525.0
38.16244000,-78.7971400,514.0
38.16260000,-78.7975700,508.0
38.16260000,-78.7979500,507.0
38.16260000,-78.7984500,503.0
38.16281000,-78.7986600,502.0
38.16320000,-78.7986600,506.0
38.16340000,-78.7980200,505.0
38.16362000,-78.7977600,504.0
38.16475000,-78.7971600,514.0
38.16506000,-78.7966900,511.0
38.16526000,-78.7963400,515.0
38.16563000,-78.7959600,521.0
38.16582000,-78.7956600,521.0
38.16607000,-78.7954900,525.0
38.16649000,-78.7952700,532.0
38.16705000,-78.7952500,537.0
38.16745000,-78.7952500,539.0
38.16771000,-78.7950600,541.0
38.16788000,-78.7944800,541.0
38.16813000,-78.7939900,541.0
38.16853000,-78.7934900,550.0
38.16874000,-78.7934100,552.0
38.16914000,-78.7934300,560.0
38.16939000,-78.7932500,561.0
38.16955000,-78.7931300,559.0
38.16968000,-78.7930200,557.0
38.17004000,-78.7930000,556.0
38.17019000,-78.7931300,557.0
38.17049000,-78.7933400,561.0
38.17053000,-78.7933900,562.0
38.17059000,-78.7934600,564.0
38.17062000,-78.7935200,564.0
38.17066000,-78.7935700,564.0
38.17070000,-78.7936100,565.0
38.17073000,-78.7936600,565.0
38.17077000,-78.7937000,565.0
38.17086000,-78.7937100,565.0
38.17093000,-78.7937100,566.0
38.17100000,-78.7937100,567.0
38.17106000,-78.7937100,568.0
38.17113000,-78.7937100,569.0
38.17120000,-78.7937100,571.0
38.17124000,-78.7937500,573.0
38.17128000,-78.7938000,575.0
38.17134000,-78.7938600,578.0
38.17141000,-78.7938900,581.0
38.17147000,-78.7939100,584.0
38.17152000,-78.7939100,585.0
38.17161000,-78.7938900,588.0
38.17168000,-78.7938200,589.0
38.17172000,-78.7937700,590.0
38.17174000,-78.7936800,590.0
38.17174000,-78.7936100,589.0
38.17171000,-78.7935500,588.0
38.17169000,-78.7934800,587.0
38.17168000,-78.7934100,586.0
38.17166000,-78.7933400,584.0
38.17166000,-78.7932600,585.0
38.17166000,-78.7931900,585.0
38.17166000,-78.7931000,585.0
38.17166000,-78.7930300,585.0
38.17166000,-78.7929200,586.0
38.17166000,-78.7928500,586.0
38.17166000,-78.7927600,587.0
38.17168000,-78.7926700,588.0
38.17171000,-78.7925800,590.0
38.17172000,-78.7925100,590.0
38.17175000,-78.7924300,593.0
38.17181000,-78.7923400,596.0
38.17182000,-78.7923300,596.0
38.17215000,-78.7919900,600.0
38.17221000,-78.7919900,600.0
38.17229000,-78.7919900,600.0
38.17236000,-78.7919900,600.0
38.17240000,-78.7919700,599.0
38.17244000,-78.7919400,599.0
38.17250000,-78.7919200,598.0
38.17254000,-78.7918900,598.0
38.17262000,-78.7918400,599.0
38.17266000,-78.7917900,598.0
38.17272000,-78.7917600,599.0
38.17274000,-78.7917100,598.0
38.17280000,-78.7916300,598.0
38.17284000,-78.7915600,599.0
38.17288000,-78.7915100,600.0
38.17290000,-78.7914600,601.0
38.17296000,-78.7914000,602.0
38.17298000,-78.7913500,602.0
38.17302000,-78.7913000,602.0
38.17304000,-78.7912500,602.0
38.17306000,-78.7912000,602.0
38.17312000,-78.7911200,603.0
38.17314000,-78.7910700,603.0
38.17318000,-78.7910200,604.0
38.17320000,-78.7909700,605.0
38.17332000,-78.7909400,607.0
38.17338000,-78.7908900,608.0
38.17346000,-78.7908400,610.0
38.17352000,-78.7908200,612.0
38.17354000,-78.7907900,613.0
38.17395000,-78.7905100,619.0
38.17401000,-78.7905100,619.0
38.17407000,-78.7905100,620.0
38.17441000,-78.7903500,623.0
38.17445000,-78.7903300,623.0
38.17449000,-78.7903000,623.0
38.17457000,-78.7902300,625.0
38.17463000,-78.7902000,625.0
38.17469000,-78.7901500,626.0
38.17474000,-78.7901000,626.0
38.17480000,-78.7900500,626.0
38.17484000,-78.7900000,626.0
38.17488000,-78.7899700,627.0
38.17500000,-78.7899500,628.0
38.17510000,-78.7898900,630.0
38.17524000,-78.7898400,633.0
38.17534000,-78.7897700,634.0
38.17544000,-78.7897400,635.0
38.17548000,-78.7896900,635.0
38.17552000,-78.7896600,635.0
38.17560000,-78.7896600,636.0
38.17568000,-78.7896600,638.0
38.17576000,-78.7896600,639.0
38.17582000,-78.7896600,640.0
