Latitude,Longitude,Elevation
38.99726000,-77.2550000,52.0
38.99728000,-77.2549900,52.0
38.99724000,-77.2549100,52.0
38.99712000,-77.2548000,51.0
38.99686000,-77.2547400,50.0
38.99661000,-77.2546600,49.0
38.99640000,-77.2545200,49.0
38.99617000,-77.2544600,49.0
38.99598000,-77.2543400,50.0
38.99600000,-77.2542600,50.0
38.99602000,-77.2541900,50.0
38.99591000,-77.2541000,49.0
38.99585000,-77.2540400,49.0
38.99572000,-77.2539200,50.0
38.99570000,-77.2539100,50.0
38.99562000,-77.2538700,50.0
38.99553000,-77.2538000,50.0
38.99541000,-77.2537100,49.0
38.99528000,-77.2536000,47.0
38.99501000,-77.2533400,46.0
38.99498000,-77.2533000,46.0
38.99439000,-77.2527600,50.0
38.99403000,-77.2524300,49.0
38.99386000,-77.2522600,50.0
38.99369000,-77.2521100,52.0
38.99368000,-77.2521000,53.0
38.99352000,-77.2519400,53.0
38.99312000,-77.2515400,53.0
38.99277000,-77.2511500,52.0
38.99256000,-77.2510200,52.0
38.99239000,-77.2511100,51.0
38.99235000,-77.2511200,50.0
38.99211000,-77.2512300,51.0
38.99183000,-77.2511500,53.0
38.99145000,-77.2506800,53.0
38.99139000,-77.2506000,52.0
38.99128000,-77.2504300,51.0
38.99121000,-77.2504300,51.0
38.99100000,-77.2501500,51.0
38.99094000,-77.2500600,52.0
38.99069000,-77.2498600,55.0
38.99050000,-77.2495100,53.0
38.99045000,-77.2493700,51.0
38.99019000,-77.2491100,49.0
38.98987000,-77.2489200,49.0
38.98967000,-77.2488300,51.0
38.98957000,-77.2487800,52.0
38.98943000,-77.2486700,52.0
38.98944000,-77.2486300,51.0
38.98945000,-77.2485700,50.0
38.98951000,-77.2483700,46.0
38.98956000,-77.2482800,44.0
38.98962000,-77.2482100,41.0
38.98970000,-77.2482200,41.0
38.98981000,-77.2483500,44.0
38.98994000,-77.2483500,44.0
38.99012000,-77.2484100,44.0
38.99028000,-77.2484300,43.0
38.99043000,-77.2484000,40.0
38.99055000,-77.2484700,40.0
38.99066000,-77.2485100,41.0
38.99084000,-77.2486100,43.0
38.99092000,-77.2488300,46.0
38.99104000,-77.2488800,47.0
38.99120000,-77.2487500,45.0
38.99140000,-77.2486900,39.0
38.99149000,-77.2487500,40.0
38.99152000,-77.2489300,43.0
38.99155000,-77.2490400,43.0
38.99163000,-77.2491400,43.0
38.99168000,-77.2492400,43.0
38.99171000,-77.2493100,43.0
38.99174000,-77.2493100,43.0
38.99181000,-77.2492900,42.0
38.99185000,-77.2491500,41.0
38.99192000,-77.2489800,38.0
38.99204000,-77.2488900,37.0
38.99226000,-77.2489500,37.0
38.99242000,-77.2489500,37.0
38.99255000,-77.2491100,37.0
38.99265000,-77.2493200,39.0
38.99284000,-77.2494100,39.0
38.99306000,-77.2495000,37.0
38.99311000,-77.2496500,38.0
38.99312000,-77.2498600,41.0
38.99329000,-77.2501000,41.0
38.99334000,-77.2504000,44.0
38.99348000,-77.2506100,44.0
38.99362000,-77.2508800,46.0
38.99368000,-77.2508900,45.0
38.99377000,-77.2510600,46.0
38.99393000,-77.2513400,47.0
38.99417000,-77.2518200,48.0
38.99430000,-77.2519800,47.0
38.99436000,-77.2521100,48.0
38.99437000,-77.2521400,48.0
38.99445000,-77.2523100,50.0
38.99447000,-77.2524300,51.0
38.99462000,-77.2527000,49.0
38.99475000,-77.2528300,47.0
38.99487000,-77.2529200,44.0
38.99497000,-77.2529200,42.0
38.99511000,-77.2529500,40.0
38.99513000,-77.2529100,40.0
38.99515000,-77.2528600,39.0
38.99511000,-77.2529500,40.0
38.99498000,-77.2533000,46.0
38.99501000,-77.2533400,46.0
38.99528000,-77.2536000,47.0
38.99541000,-77.2537100,49.0
38.99553000,-77.2538000,50.0
38.99562000,-77.2538700,50.0
38.99570000,-77.2539100,50.0
38.99577000,-77.2537500,45.0
38.99586000,-77.2535200,39.0
38.99591000,-77.2534400,39.0
38.99593000,-77.2533400,39.0
38.99591000,-77.2534400,39.0
38.99586000,-77.2535200,39.0
38.99577000,-77.2537500,45.0
38.99570000,-77.2539100,50.0
38.99572000,-77.2539200,50.0
38.99585000,-77.2540400,49.0
38.99591000,-77.2541000,49.0
38.99602000,-77.2541900,50.0
38.99600000,-77.2542600,50.0
38.99598000,-77.2543400,50.0
38.99617000,-77.2544600,49.0
38.99640000,-77.2545200,49.0
38.99639000,-77.2543800,48.0
38.99638000,-77.2542500,47.0
38.99635000,-77.2540300,43.0
38.99634000,-77.2538500,39.0
38.99640000,-77.2536500,39.0
38.99634000,-77.2538500,39.0
38.99635000,-77.2540300,43.0
38.99638000,-77.2542500,47.0
38.99639000,-77.2543800,48.0
38.99640000,-77.2545200,49.0
38.99661000,-77.2546600,49.0
38.99686000,-77.2547400,50.0
38.99712000,-77.2548000,51.0
38.99724000,-77.2549100,52.0
38.99728000,-77.2549900,52.0
38.99726000,-77.2550000,52.0
